dataset,method,experiment,n_models,complexity_median,complexity_q1,complexity_q3,complexity_mean,complexity_std,gates_median,gates_q1,gates_q3,depth_median
ICU_composite_risk_score,lgo,base,100,60.5,53.0,78.0,66.52,17.42776143648026,0.0,0.0,0.0,10.0
ICU_composite_risk_score,lgo,lgo_hard,100,68.0,62.75,87.0,72.73,14.971929964726879,2.0,1.0,4.0,10.0
ICU_composite_risk_score,lgo,lgo_soft,100,124.0,63.75,144.5,113.71,51.21795277896888,11.0,7.0,17.0,10.0
ICU_composite_risk_score,lgo_base,base,100,60.5,53.0,78.0,66.52,17.42776143648026,0.0,0.0,0.0,10.0
ICU_composite_risk_score,lgo_lgo_hard,lgo_hard,100,68.0,62.75,87.0,72.73,14.971929964726879,2.0,1.0,4.0,10.0
ICU_composite_risk_score,lgo_lgo_soft,lgo_soft,100,124.0,63.75,144.5,113.71,51.21795277896888,11.0,7.0,17.0,10.0
ICU_composite_risk_score,operon,base,10,81.0,73.75,86.5,78.1,11.327939893123647,0.0,0.0,0.0,16.0
ICU_composite_risk_score,operon_base,base,10,81.0,73.75,86.5,78.1,11.327939893123647,0.0,0.0,0.0,16.0
ICU_composite_risk_score,pstree,pstree,10,1.0,1.0,1.0,2.0,3.162277660168379,0.0,0.0,0.0,0.0
ICU_composite_risk_score,pstree_base,pstree,10,1.0,1.0,1.0,2.0,3.162277660168379,0.0,0.0,0.0,0.0
ICU_composite_risk_score,pysr,base,100,13.0,10.0,15.0,12.44,2.8966019799591085,0.0,0.0,0.0,2.0
ICU_composite_risk_score,pysr_base,base,100,13.0,10.0,15.0,12.44,2.8966019799591085,0.0,0.0,0.0,2.0
ICU_composite_risk_score,rils_rols,rils_rols,10,28.5,28.0,30.5,29.4,1.8973665961010275,0.0,0.0,0.0,4.5
ICU_composite_risk_score,rils_rols_base,rils_rols,10,28.5,28.0,30.5,29.4,1.8973665961010275,0.0,0.0,0.0,4.5
