dataset,method,experiment,seed,expr,complexity,cv_loss,test_loss,cv_r2,test_r2
ICU_composite_risk_score,lgo,base,1,"sqrt(sub(log(mul(div(div(mul(mul(pow(log(zero), id(lactate_mmol_l)), log(zero)), pow(mul(-0.159460309456478, -1.8879817953264604), log(zero))), id(lactate_mmol_l)), id(lactate_mmol_l)), mul(pow(log(zero), id(lactate_mmol_l)), log(zero)))), pow(mul(sqrt(pow(pow(id(vasopressor_use_std), log(id(vasopressor_use_std))), id(vasopressor_use_std))), log(zero)), pow(id(vasopressor_use_std), sub(sqrt(pow(id(idF(idF(creatinine_mg_dl))), zero)), pow(mul(pow(log(zero), id(lactate_mmol_l)), log(zero)), pow(log(zero), id(lactate_mmol_l))))))))",55,0.722559127,0.705718375,0.787340178,0.794335501
ICU_composite_risk_score,lgo,lgo_soft,1,"lgo_or2(id(idF(vasopressor_use_std)), div(lgo_or2(gate_expr(lgo_and3(one, id(idF(idF(lactate_mmol_l))), gate_expr(one, 3.10152058745479e-07, as_thr(1.0801558672332745)), as_pos(add(sqrt(0.4285927332779374), mul(one, 3.546390250209531))), as_thr(pow(pow(lgo_or2(id(map_mmhg), zero, as_pos(-0.12430249530350962), as_thr(one)), div(0.5060069720490513, pow(zero, 0.3949362950994202))), pow(log(sqrt(-1.0565582388559005)), gate_expr(lgo(zero, 2.509198341940564e-07, 0.6329515444305664), 2.305918054164375e-06, as_thr(zero)))))), as_pos(pow(id(idF(lactate_mmol_l)), -1.8185071401835893)), -0.18446586595189102), div(one, 0.5060069720490513), as_pos(zero), -0.4894819400616547), 0.3578322089713467), as_pos(-0.12430249530350962), as_thr(pow(lgo_and3(lgo_or2(one, 0.45739448320204384, as_pos(pow(id(idF(vasopressor_use_std)), -1.8185071401835893)), -0.7961522588994824), lgo_and3(zero, one, 0.45739448320204384, 3.196349522240147e-07, 0.767201322204975), sqrt(-0.8371637588673615), as_pos(zero), as_thr(pow(pow(log(gate_expr(one, 3.097220528333636e-07, 0.8618632816895683)), div(0.5060069720490513, pow(zero, 0.3949362950994202))), pow(log(sqrt(-1.0565582388559005)), gate_expr(lgo(zero, 2.509198341940564e-07, 0.5066956641889472), as_pos(one), as_thr(-0.22519260960557333)))))), lgo_and2(lgo_or2(pow(one, zero), -0.6082756744158317, 4.6017738281785236e-07, 1.6188922402796022), lgo_and2(one, 1.138589504953945, 7.37067282374104e-07, 0.1288475657264015), as_pos(one), as_thr(zero)))))",110.7,1.139510308,1.120269305,0.662986321,0.673524689
ICU_composite_risk_score,lgo,lgo_hard,1,"add(log(div(sub(sqrt(pow(0.8206947499518028, sqrt(pow(add(add(zero, -0.9940557184724376), id(dbp_min)), add(mul(-0.5454496568009786, -0.47127442482996296), -1.2180939182860377))))), sub(-0.1462488659627085, add(add(id(idF(idF(creatinine_mg_dl))), pow(add(id(lactate_mmol_l), pow(0.8206947499518028, one)), one)), pow(add(id(lactate_mmol_l), pow(0.8206947499518028, id(dbp_min))), one)))), 0.012522254407786662)), pow(id(vasopressor_use_std), pow(add(add(id(lactate_mmol_l), pow(lgo_thre(pow(1.042244087204501, 0.2883152247292757), as_pos(one), as_thr(one)), 0.8206947499518028)), log(-0.7601173600463147)), sub(-0.1462488659627085, add(add(add(id(creatinine_mg_dl), pow(0.8206947499518028, div(zero, zero))), pow(add(one, mul(one, zero)), 0.8206947499518028)), add(id(lactate_mmol_l), pow(lgo_thre(pow(1.042244087204501, 0.2883152247292757), as_pos(one), as_thr(one)), 0.8206947499518028)))))))",65,0.350954046,0.341249237,0.897982685,0.900551189
ICU_composite_risk_score,pysr,base,1,2*vasopressor_use_std + log(lactate_mmol_l) + log(creatinine_mg_dl + 1.2355905450144) + cos(log(0.226298172938716*exp(0.3829094/(lactate_mmol_l - 2.0506735)))) + 2.3226366,20,0.383129703,,0.887336257,
ICU_composite_risk_score,operon,base,1,(38.494778 + ((-32.079750) * (exp(((((0.236672 / (sqrt(1 + (0.261302 * lactate_mmol_l) ^ 2))) / (sqrt(1 + (0.318310 * lactate_mmol_l) ^ 2))) / (sqrt(1 + cos(cos((1.847956 * lactate_mmol_l))) ^ 2))) * ((0.350504 / (sqrt(1 + log((1.464008 * creatinine_mg_dl)) ^ 2))) + 0.707107))) / (sqrt(1 + ((((0.236672 / (sqrt(1 + cos((0.471148 * lactate_mmol_l)) ^ 2))) * exp(((cos(0.666389) / (sqrt(1 + (3.002783 * vasopressor_use_std) ^ 2))) / (sqrt(1 + cos((0.082019 * map_mmhg)) ^ 2))))) / (sqrt(1 + (((0.370876 * lactate_mmol_l) / (sqrt(1 + log((1.464008 * creatinine_mg_dl)) ^ 2))) * ((0.318310 * lactate_mmol_l) / (sqrt(1 + (cos((3.117407 * vasopressor_use_std)) / (sqrt(1 + (cos((0.082019 * map_mmhg)) + cos((-0.392580))) ^ 2))) ^ 2)))) ^ 2))) + (0.318310 * vasopressor_use_std)) ^ 2))))),102.25,29.0212766,,-7.575642132,
ICU_composite_risk_score,lgo,base,2,"log(add(mul(pow(one, 0.0811489585586717), div(one, sub(1.7243450441674517, one))), mul(log(zero), sub(log(div(pow(div(id(lactate_mmol_l), log(log(one))), id(idF(lactate_mmol_l))), pow(0.008004899718522215, div(-0.6085534145617685, one)))), pow(mul(pow(div(-0.6085534145617685, one), pow(add(-0.7837475359848575, pow(2.051609949274326, -0.07693615627837604)), id(lactate_mmol_l))), log(zero)), pow(id(vasopressor_use_std), div(one, sub(1.7243450441674517, one))))))))",44.5,0.716102996,0.757089473,0.78460153,0.793507208
ICU_composite_risk_score,lgo,lgo_soft,2,"add(one, sub(add(sub(sub(id(idF(idF(idF(vasopressor_use_std)))), lgo(log(sub(0.3681044820043122, id(idF(lactate_mmol_l)))), as_pos(one), as_thr(-1.9885471671661858))), lgo(log(sub(0.3681044820043122, id(lactate_mmol_l))), as_pos(one), as_thr(id(gender_std)))), id(idF(idF(lactate_mmol_l)))), log(lgo_and2(0.83574537557998, one, 4.975614818233877, 1.235525971163548))))",22.5,0.674630327,0.755043655,0.792209535,0.794065195
ICU_composite_risk_score,lgo,lgo_hard,2,"add(pow(add(lgo_thre(lgo_thre(id(idF(lactate_mmol_l)), as_pos(sub(sub(one, mul(one, log(zero))), mul(one, log(zero)))), -0.3171627936451512), as_pos(sub(lgo_thre(0.2578782831553375, as_pos(zero), -0.3480742171768161), zero)), 1.0914872729279728), sub(lgo_thre(id(vasopressor_use_std), 0.536081072214745, as_thr(0.3073876359416753)), -0.6691103384133315)), log(log(zero))), sub(lgo_thre(id(idF(idF(idF(idF(idF(creatinine_mg_dl)))))), as_pos(sub(div(div(lgo_thre(lgo_thre(1.6280853437861658, as_pos(one), 0.8185039987317628), as_pos(zero), -0.3171627936451512), lgo_thre(mul(one, log(zero)), as_pos(-1.3666402799982216), as_thr(zero))), add(sqrt(log(zero)), lgo_thre(log(-0.6080807411972432), as_pos(-0.4672427402263879), as_thr(1.343595787437359)))), zero)), -0.07745246330312293), -0.6691103384133315))",58,0.286593819,0.299545876,0.9106981,0.918300192
ICU_composite_risk_score,pysr,base,2,-0.07692833*lactate_mmol_l + 2.0006756*vasopressor_use_std + log(lactate_mmol_l - sin(0.584463*lactate_mmol_l**2)) + log(-map_mmhg + sodium_min) - cos(sqrt(creatinine_mg_dl)),24,0.395654475,,0.881530412,
ICU_composite_risk_score,operon,base,2,(12.595270 + ((-4.241823) * ((((((0.771520 * (0.318310 * map_mmhg)) / (sqrt(1 + (0.246873 * sbp_min) ^ 2))) * ((0.693147 * (3.401696 + (0.318310 * dbp_min))) / (sqrt(1 + cos((6.083338 / (sqrt(1 + (0.707107 * lactate_mmol_l) ^ 2)))) ^ 2)))) / (sqrt(1 + (0.275411 * sodium_min) ^ 2))) + (((((0.246873 * sbp_min) / (sqrt(1 + cos((6.083338 / (sqrt(1 + (0.717798 * creatinine_mg_dl) ^ 2)))) ^ 2))) / (sqrt(1 + (((6.283185 / (sqrt(1 + (0.707107 * lactate_mmol_l) ^ 2))) * ((-0.576057) * creatinine_mg_dl)) * cos((6.142831 / (sqrt(1 + ((-0.503020) * lactate_mmol_l) ^ 2))))) ^ 2))) / (sqrt(1 + (0.275411 * sodium_min) ^ 2))) + exp(((cos((0.771520 / (sqrt(1 + (0.977232 * vasopressor_use_std) ^ 2)))) / (sqrt(1 + (0.434294 * lactate_mmol_l) ^ 2))) / (sqrt(1 + (0.434294 * lactate_mmol_l) ^ 2)))))) / (sqrt(1 + (0.977232 * vasopressor_use_std) ^ 2))))),108.25,28.0212766,,-7.671642124,
