dataset,task,method,experiment,seed,split,metric,value
ICU_composite_risk_score,regression,lgo,base,1,0,RMSE,0.8396235558254314
ICU_composite_risk_score,regression,lgo,base,1,0,MAE,0.6717280940213035
ICU_composite_risk_score,regression,lgo,base,1,0,R2,0.7945542623266802
ICU_composite_risk_score,regression,lgo,lgo_soft,1,0,RMSE,1.179483837480934
ICU_composite_risk_score,regression,lgo,lgo_soft,1,0,MAE,0.980518892995149
ICU_composite_risk_score,regression,lgo,lgo_soft,1,0,R2,0.5945737213351866
ICU_composite_risk_score,regression,lgo,lgo_hard,1,0,RMSE,0.5822993109448406
ICU_composite_risk_score,regression,lgo,lgo_hard,1,0,MAE,0.4484470995184303
ICU_composite_risk_score,regression,lgo,lgo_hard,1,0,R2,0.9011855496452439
ICU_composite_risk_score,regression,pysr,base,1,0,RMSE,0.6208066328202941
ICU_composite_risk_score,regression,pysr,base,1,0,MAE,0.4929767022067148
ICU_composite_risk_score,regression,pysr,base,1,0,R2,0.8876842649721004
ICU_composite_risk_score,regression,operon,base,1,0,RMSE,0.5477302543144922
ICU_composite_risk_score,regression,operon,base,1,0,MAE,0.4175489478667936
ICU_composite_risk_score,regression,operon,base,1,0,R2,0.9125698210555325
ICU_composite_risk_score,regression,lgo,base,2,0,RMSE,0.868613660545809
ICU_composite_risk_score,regression,lgo,base,2,0,MAE,0.708432687250006
ICU_composite_risk_score,regression,lgo,base,2,0,R2,0.7942162865852137
ICU_composite_risk_score,regression,lgo,lgo_soft,2,0,RMSE,0.8659049676094464
ICU_composite_risk_score,regression,lgo,lgo_soft,2,0,MAE,0.7005200817679106
ICU_composite_risk_score,regression,lgo,lgo_soft,2,0,R2,0.7954977211467916
ICU_composite_risk_score,regression,lgo,lgo_hard,2,0,RMSE,0.5473078442565862
ICU_composite_risk_score,regression,lgo,lgo_hard,2,0,MAE,0.43797336544746995
ICU_composite_risk_score,regression,lgo,lgo_hard,2,0,R2,0.9183001921796725
ICU_composite_risk_score,regression,pysr,base,2,0,RMSE,0.6350639197969851
ICU_composite_risk_score,regression,pysr,base,2,0,MAE,0.4931775601324006
ICU_composite_risk_score,regression,pysr,base,2,0,R2,0.8900000294497685
ICU_composite_risk_score,regression,operon,base,2,0,RMSE,0.5766084067372197
ICU_composite_risk_score,regression,operon,base,2,0,MAE,0.4433698398964559
ICU_composite_risk_score,regression,operon,base,2,0,R2,0.9093183049518486
ICU_composite_risk_score,regression,lgo,base,3,0,RMSE,0.9369411175873449
ICU_composite_risk_score,regression,lgo,base,3,0,MAE,0.7403407776558016
ICU_composite_risk_score,regression,lgo,base,3,0,R2,0.739720194191849
ICU_composite_risk_score,regression,lgo,lgo_soft,3,0,RMSE,1.5927014309152914
ICU_composite_risk_score,regression,lgo,lgo_soft,3,0,MAE,1.34555580743533
ICU_composite_risk_score,regression,lgo,lgo_soft,3,0,R2,0.24788436339291975
ICU_composite_risk_score,regression,lgo,lgo_hard,3,0,RMSE,0.7554661109192183
ICU_composite_risk_score,regression,lgo,lgo_hard,3,0,MAE,0.6104594901227522
ICU_composite_risk_score,regression,lgo,lgo_hard,3,0,R2,0.8307822750147087
ICU_composite_risk_score,regression,pysr,base,3,0,RMSE,0.71226267515826
ICU_composite_risk_score,regression,pysr,base,3,0,MAE,0.5610769322025828
ICU_composite_risk_score,regression,pysr,base,3,0,R2,0.849583232825562
ICU_composite_risk_score,regression,operon,base,3,0,RMSE,0.5269834273783991
ICU_composite_risk_score,regression,operon,base,3,0,MAE,0.39022488313653436
ICU_composite_risk_score,regression,operon,base,3,0,R2,0.9176602028519534
ICU_composite_risk_score,regression,lgo,base,5,0,RMSE,0.9179633547309195
ICU_composite_risk_score,regression,lgo,base,5,0,MAE,0.7232693464109823
