dataset,task,method,experiment,seed,split,metric,value
ICU_composite_risk_score,regression,lgo,base,1,1,RMSE,0.8463732177107253
ICU_composite_risk_score,regression,lgo,base,1,1,MAE,0.6689432093493146
ICU_composite_risk_score,regression,lgo,base,1,1,R2,0.7880506102004202
ICU_composite_risk_score,regression,lgo,lgo_soft,1,1,RMSE,1.1713847296288622
ICU_composite_risk_score,regression,lgo,lgo_soft,1,1,MAE,0.9811206063454454
ICU_composite_risk_score,regression,lgo,lgo_soft,1,1,R2,0.5940173608685078
ICU_composite_risk_score,regression,lgo,lgo_hard,1,1,RMSE,0.5850066508085869
ICU_composite_risk_score,regression,lgo,lgo_hard,1,1,MAE,0.4488679667930883
ICU_composite_risk_score,regression,lgo,lgo_hard,1,1,R2,0.8987418582672547
ICU_composite_risk_score,regression,pysr,base,1,1,RMSE,0.6158613766035952
ICU_composite_risk_score,regression,pysr,base,1,1,MAE,0.48265795667030265
ICU_composite_risk_score,regression,pysr,base,1,1,R2,0.8877789616325589
ICU_composite_risk_score,regression,operon,base,1,1,RMSE,0.5593115044346715
ICU_composite_risk_score,regression,operon,base,1,1,MAE,0.4256085115931857
ICU_composite_risk_score,regression,operon,base,1,1,R2,0.9074415974029821
ICU_composite_risk_score,regression,lgo,base,2,1,RMSE,0.8498782170776583
ICU_composite_risk_score,regression,lgo,base,2,1,MAE,0.682810850988422
ICU_composite_risk_score,regression,lgo,base,2,1,R2,0.7825665322554567
ICU_composite_risk_score,regression,lgo,lgo_soft,2,1,RMSE,0.8309682851744657
ICU_composite_risk_score,regression,lgo,lgo_soft,2,1,MAE,0.6683975465554719
ICU_composite_risk_score,regression,lgo,lgo_soft,2,1,R2,0.7921347492425495
ICU_composite_risk_score,regression,lgo,lgo_hard,2,1,RMSE,0.542508444005866
ICU_composite_risk_score,regression,lgo,lgo_hard,2,1,MAE,0.4291887191815344
ICU_composite_risk_score,regression,lgo,lgo_hard,2,1,R2,0.9114015752168685
ICU_composite_risk_score,regression,pysr,base,2,1,RMSE,0.6249429904587991
ICU_composite_risk_score,regression,pysr,base,2,1,MAE,0.4847658404579769
ICU_composite_risk_score,regression,pysr,base,2,1,R2,0.8824307362610515
