dataset,method,experiment,rank,expr,complexity,cv_metric,seed
ICU_composite_risk_score,lgo,base,1,"sqrt(sub(log(mul(div(div(mul(mul(pow(log(zero), id(lactate_mmol_l)), log(zero)), pow(mul(-0.159460309456478, -1.8879817953264604), log(zero))), id(lactate_mmol_l)), id(lactate_mmol_l)), mul(pow(log(zero), id(lactate_mmol_l)), log(zero)))), pow(mul(sqrt(pow(pow(id(vasopressor_use_std), log(id(vasopressor_use_std))), id(vasopressor_use_std))), log(zero)), pow(id(vasopressor_use_std), sub(sqrt(pow(id(idF(idF(creatinine_mg_dl))), zero)), pow(mul(pow(log(zero), id(lactate_mmol_l)), log(zero)), pow(log(zero), id(lactate_mmol_l))))))))",55.0,0.722559126730764,1
ICU_composite_risk_score,lgo,base,2,"sqrt(sub(log(mul(div(div(mul(mul(pow(log(zero), id(lactate_mmol_l)), log(zero)), pow(mul(-0.159460309456478, -1.8879817953264604), log(zero))), id(lactate_mmol_l)), id(lactate_mmol_l)), mul(pow(log(zero), id(lactate_mmol_l)), log(zero)))), pow(mul(sqrt(pow(pow(id(vasopressor_use_std), zero), id(lactate_mmol_l))), log(zero)), pow(id(vasopressor_use_std), sub(sqrt(pow(id(idF(idF(creatinine_mg_dl))), zero)), pow(mul(pow(log(zero), id(lactate_mmol_l)), log(zero)), pow(log(zero), id(lactate_mmol_l))))))))",53.5,0.7234508355764473,1
ICU_composite_risk_score,lgo,base,3,"sqrt(sub(log(mul(div(div(mul(mul(pow(log(zero), id(lactate_mmol_l)), log(zero)), pow(mul(-0.159460309456478, -1.8879817953264604), log(zero))), id(lactate_mmol_l)), id(lactate_mmol_l)), mul(pow(log(zero), id(lactate_mmol_l)), log(zero)))), pow(mul(sqrt(pow(pow(id(vasopressor_use_std), log(one)), id(lactate_mmol_l))), log(zero)), pow(id(vasopressor_use_std), sub(sqrt(pow(id(idF(idF(creatinine_mg_dl))), zero)), pow(mul(pow(log(zero), id(lactate_mmol_l)), log(zero)), pow(log(zero), id(lactate_mmol_l))))))))",55.0,0.7234508355764473,1
ICU_composite_risk_score,lgo,base,4,"sqrt(sub(log(mul(div(div(mul(mul(pow(log(zero), id(lactate_mmol_l)), log(zero)), pow(mul(-0.159460309456478, -1.8879817953264604), log(zero))), id(lactate_mmol_l)), id(lactate_mmol_l)), mul(pow(log(zero), id(lactate_mmol_l)), log(zero)))), pow(mul(sqrt(pow(pow(id(vasopressor_use_std), log(one)), id(vasopressor_use_std))), log(zero)), pow(id(vasopressor_use_std), sub(sqrt(pow(id(idF(idF(creatinine_mg_dl))), zero)), pow(mul(pow(log(zero), id(lactate_mmol_l)), log(zero)), pow(log(zero), id(lactate_mmol_l))))))))",55.0,0.7234508355764473,1
ICU_composite_risk_score,lgo,base,5,"sqrt(sub(log(mul(div(div(mul(mul(pow(log(zero), id(lactate_mmol_l)), log(zero)), pow(mul(-0.159460309456478, -1.8879817953264604), log(zero))), id(lactate_mmol_l)), id(lactate_mmol_l)), mul(pow(log(zero), id(lactate_mmol_l)), log(zero)))), pow(mul(sqrt(pow(pow(id(vasopressor_use_std), log(one)), id(vasopressor_use_std))), log(zero)), pow(id(vasopressor_use_std), sub(sqrt(pow(id(creatinine_mg_dl), zero)), pow(mul(pow(log(zero), id(lactate_mmol_l)), log(zero)), pow(log(zero), id(lactate_mmol_l))))))))",55.0,0.7234508355764473,1
ICU_composite_risk_score,lgo,base,6,"sqrt(sub(log(mul(div(div(mul(mul(pow(log(zero), id(lactate_mmol_l)), log(zero)), pow(mul(-0.159460309456478, -1.8879817953264604), log(zero))), id(lactate_mmol_l)), id(lactate_mmol_l)), mul(pow(log(zero), id(lactate_mmol_l)), log(zero)))), pow(mul(sqrt(pow(pow(id(vasopressor_use_std), log(one)), id(lactate_mmol_l))), log(zero)), pow(id(vasopressor_use_std), sub(sqrt(pow(id(idF(creatinine_mg_dl)), zero)), pow(mul(pow(log(zero), id(lactate_mmol_l)), log(zero)), pow(log(zero), id(lactate_mmol_l))))))))",55.0,0.7234508355764473,1
ICU_composite_risk_score,lgo,base,7,"sqrt(sub(log(mul(div(div(mul(mul(pow(log(zero), id(lactate_mmol_l)), log(zero)), pow(mul(-0.159460309456478, -1.8879817953264604), log(zero))), id(lactate_mmol_l)), id(lactate_mmol_l)), mul(pow(log(zero), id(lactate_mmol_l)), log(zero)))), pow(mul(sqrt(pow(pow(id(vasopressor_use_std), log(one)), id(vasopressor_use_std))), log(zero)), pow(id(vasopressor_use_std), sub(sqrt(pow(id(idF(creatinine_mg_dl)), zero)), pow(mul(pow(log(zero), id(lactate_mmol_l)), log(zero)), pow(log(zero), id(lactate_mmol_l))))))))",55.0,0.7234508355764473,1
ICU_composite_risk_score,lgo,base,8,"sqrt(sub(log(mul(div(div(mul(mul(pow(log(zero), id(lactate_mmol_l)), log(zero)), pow(mul(-0.159460309456478, -1.8879817953264604), log(zero))), id(lactate_mmol_l)), id(lactate_mmol_l)), mul(pow(log(zero), id(lactate_mmol_l)), log(zero)))), pow(mul(sqrt(pow(pow(id(vasopressor_use_std), log(one)), id(creatinine_mg_dl))), log(zero)), pow(id(vasopressor_use_std), sub(sqrt(pow(id(idF(idF(creatinine_mg_dl))), zero)), pow(mul(pow(log(zero), id(lactate_mmol_l)), log(zero)), pow(log(zero), id(lactate_mmol_l))))))))",55.0,0.7234508355764473,1
ICU_composite_risk_score,lgo,base,9,"sqrt(sub(log(mul(div(div(mul(mul(pow(log(zero), id(lactate_mmol_l)), log(zero)), pow(mul(-0.159460309456478, -1.8879817953264604), log(zero))), id(lactate_mmol_l)), id(lactate_mmol_l)), mul(pow(log(zero), id(lactate_mmol_l)), log(zero)))), pow(mul(sqrt(pow(pow(id(vasopressor_use_std), log(one)), id(vasopressor_use_std))), log(zero)), pow(id(vasopressor_use_std), sub(sqrt(pow(id(idF(idF(creatinine_mg_dl))), zero)), pow(mul(pow(log(div(zero, -0.9966326371417364)), id(lactate_mmol_l)), log(zero)), pow(log(zero), id(lactate_mmol_l))))))))",56.5,0.7234508355764473,1
ICU_composite_risk_score,lgo,base,10,"sqrt(sub(log(mul(div(div(mul(mul(pow(log(zero), id(lactate_mmol_l)), log(zero)), pow(mul(-0.159460309456478, -1.8879817953264604), log(zero))), id(lactate_mmol_l)), id(lactate_mmol_l)), mul(pow(log(zero), id(lactate_mmol_l)), log(zero)))), pow(mul(sqrt(pow(pow(id(vasopressor_use_std), log(one)), id(lactate_mmol_l))), log(pow(zero, one))), pow(id(vasopressor_use_std), sub(sqrt(pow(id(creatinine_mg_dl), zero)), pow(mul(pow(log(zero), id(lactate_mmol_l)), log(zero)), pow(log(zero), id(lactate_mmol_l))))))))",57.0,0.7234508355764473,1
