dataset,method,experiment,seed,expr,complexity,cv_loss,test_loss,cv_r2,test_r2
ICU_composite_risk_score,lgo,base,1,"add(2.4156325765208044, sub(add(pow(id(idF(idF(vasopressor_use_std))), add(pow(id(idF(creatinine_mg_dl)), pow(id(idF(vasopressor_dose)), sub(add(add(-0.40880827859819024, one), id(lactate_mmol_l)), id(map_mmhg)))), sub(add(div(id(dbp_min), pow(-0.612451586213201, 0.8895195747446254)), pow(pow(1.3608723759435093, one), add(one, 0.8895195747446254))), id(idF(lactate_mmol_l))))), add(add(one, id(idF(lactate_mmol_l))), one)), -0.7776293922950797))",25.5,0.9203693091862911,0.816930534076823,0.7285851169785691,0.7619254151476101
ICU_composite_risk_score,lgo,lgo_soft,1,"div(gate_expr(one, 1.2172488596030526, as_thr(lgo_and2(-0.6101222738862025, div(sqrt(0.4702110553404319), lgo_or2(zero, zero, 0.45918225139301827, 0.4598438696981641)), 0.3545060330673924, as_thr(pow(zero, one))))), add(-0.8005951335667149, one))",45.5,3.3939674611511115,3.4329060842843684,-0.0020635789807769366,-0.000437193569738481
ICU_composite_risk_score,lgo,lgo_hard,1,"add(mul(mul(sub(lgo_thre(id(lactate_mmol_l), 10.68541946766069, as_thr(sub(lgo_thre(id(lactate_mmol_l), 4.652246421270819, as_thr(zero)), sub(one, lgo_thre(id(lactate_mmol_l), 1.7822970187378062, 0.2883883865920946))))), sub(one, lgo_thre(id(vasopressor_use_std), 4.652246421270819, as_thr(lgo_thre(1.978571627988326, 0.5386494352792885, -0.7645619780136151))))), sub(sub(-0.15973794268944416, pow(zero, id(vasopressor_use_std))), lgo_thre(one, 1.420795722297857, as_thr(id(lactate_mmol_l))))), div(-0.3878692432360268, 0.1413484797436311)), div(one, 0.18225200260985802))",30.0,0.5713632707914272,0.5557029577999787,0.828976222753983,0.8380538546903746
ICU_composite_risk_score,pysr,base,1,log(sqrt(creatinine_mg_dl)*(vasopressor_use_std + 0.1325982)*(-2*lactate_mmol_l - map_mmhg + sodium_min)) + log(lactate_mmol_l + cos(2*lactate_mmol_l)) + 1.241124,20.5,0.42281211689312925,,0.8771793113495434,
ICU_composite_risk_score,operon,base,1,(38.494778 + ((-32.079750) * (exp(((((0.236672 / (sqrt(1 + (0.261302 * lactate_mmol_l) ^ 2))) / (sqrt(1 + (0.318310 * lactate_mmol_l) ^ 2))) / (sqrt(1 + cos(cos((1.847956 * lactate_mmol_l))) ^ 2))) * ((0.350504 / (sqrt(1 + log((1.464008 * creatinine_mg_dl)) ^ 2))) + 0.707107))) / (sqrt(1 + ((((0.236672 / (sqrt(1 + cos((0.471148 * lactate_mmol_l)) ^ 2))) * exp(((cos(0.666389) / (sqrt(1 + (3.002783 * vasopressor_use_std) ^ 2))) / (sqrt(1 + cos((0.082019 * map_mmhg)) ^ 2))))) / (sqrt(1 + (((0.370876 * lactate_mmol_l) / (sqrt(1 + log((1.464008 * creatinine_mg_dl)) ^ 2))) * ((0.318310 * lactate_mmol_l) / (sqrt(1 + (cos((3.117407 * vasopressor_use_std)) / (sqrt(1 + (cos((0.082019 * map_mmhg)) + cos((-0.392580))) ^ 2))) ^ 2)))) ^ 2))) + (0.318310 * vasopressor_use_std)) ^ 2))))),102.25,29.02127659574468,,-7.575642131705104,
ICU_composite_risk_score,lgo,base,2,"add(id(idF(idF(idF(idF(vasopressor_use_std))))), add(add(sqrt(sqrt(pow(sqrt(id(idF(idF(lactate_mmol_l)))), log(sqrt(pow(sqrt(0.10406859580436607), one)))))), add(add(one, sqrt(pow(id(creatinine_mg_dl), mul(zero, id(lactate_mmol_l))))), sub(1.5595261738527357, zero))), sub(div(div(id(lactate_mmol_l), add(sqrt(id(lactate_mmol_l)), add(sqrt(add(zero, 0.6112473378697068)), sqrt(id(idF(lactate_mmol_l)))))), add(sqrt(id(lactate_mmol_l)), add(one, sqrt(id(idF(idF(lactate_mmol_l))))))), -2.1366106675696463)))",40.0,0.5638666178884826,0.704632852116875,0.8207408941080134,0.807814518107782
ICU_composite_risk_score,lgo,lgo_soft,2,"lgo_and2(add(pow(lgo_or2(add(-0.3631129138338832, one), div(one, one), as_pos(one), as_thr(one)), gate_expr(id(vasopressor_use_std), as_pos(zero), as_thr(lgo_and3(one, 0.8557649982002028, -0.5931500771571138, 0.490718068345808, -9.77942439172549)))), -0.6895529602220315), sub(id(lactate_mmol_l), log(mul(zero, -1.3332556971394496))), as_pos(lgo_and3(pow(one, one), div(-1.7622947816304895, zero), lgo_and3(zero, zero, zero, 0.03413160984870819, 0.10588489709079374), as_pos(0.45769588871094724), as_thr(one))), as_thr(lgo_and2(1.308709255452051, div(0.1364101656033709, 0.4913385439948624), 0.07341151283195013, as_thr(lgo_and3(-0.1783218645922438, zero, -0.018874072758210767, 0.029158782956374113, 1.4920835514685047)))))",45.099999999999994,1.3155206107288175,1.3963163329337007,0.6053637899625072,0.6191609197433114
ICU_composite_risk_score,lgo,lgo_hard,2,"add(add(sqrt(sqrt(sqrt(sqrt(sub(id(idF(idF(lactate_mmol_l))), pow(-0.2864810566401901, lgo_thre(one, 2.8224781631485443, 0.09152435969950286))))))), add(sqrt(sqrt(sqrt(sqrt(sub(id(lactate_mmol_l), pow(-0.2864810566401901, lgo_thre(zero, 2.8224781631485443, -0.7951372271758665))))))), add(sqrt(id(vasopressor_use_std)), log(sub(pow(sub(id(age_band), 1.633322429069537), lgo_thre(one, 2.9481195047411983, -0.17253038411981395)), log(mul(one, zero))))))), sqrt(id(vasopressor_use_std)))",39.0,0.4741727838801092,0.5296517665187841,0.8531861417911456,0.8555398323003633
ICU_composite_risk_score,pysr,base,2,2.2583428*vasopressor_use_std + log(age_years*lactate_mmol_l) + 1.1291714*sin(log(age_years) + cos(lactate_mmol_l)) + sin(sin(sin(sin(log(creatinine_mg_dl) - 0.4922633)))),24.25,0.5178681329122199,,0.8468288669548011,
ICU_composite_risk_score,operon,base,2,(12.595270 + ((-4.241823) * ((((((0.771520 * (0.318310 * map_mmhg)) / (sqrt(1 + (0.246873 * sbp_min) ^ 2))) * ((0.693147 * (3.401696 + (0.318310 * dbp_min))) / (sqrt(1 + cos((6.083338 / (sqrt(1 + (0.707107 * lactate_mmol_l) ^ 2)))) ^ 2)))) / (sqrt(1 + (0.275411 * sodium_min) ^ 2))) + (((((0.246873 * sbp_min) / (sqrt(1 + cos((6.083338 / (sqrt(1 + (0.717798 * creatinine_mg_dl) ^ 2)))) ^ 2))) / (sqrt(1 + (((6.283185 / (sqrt(1 + (0.707107 * lactate_mmol_l) ^ 2))) * ((-0.576057) * creatinine_mg_dl)) * cos((6.142831 / (sqrt(1 + ((-0.503020) * lactate_mmol_l) ^ 2))))) ^ 2))) / (sqrt(1 + (0.275411 * sodium_min) ^ 2))) + exp(((cos((0.771520 / (sqrt(1 + (0.977232 * vasopressor_use_std) ^ 2)))) / (sqrt(1 + (0.434294 * lactate_mmol_l) ^ 2))) / (sqrt(1 + (0.434294 * lactate_mmol_l) ^ 2)))))) / (sqrt(1 + (0.977232 * vasopressor_use_std) ^ 2))))),108.25,28.02127659574468,,-7.671642124438786,
