dataset,task,method,experiment,seed,split,metric,value
ICU_composite_risk_score,regression,lgo,base,1,0,RMSE,0.8621784161334264
ICU_composite_risk_score,regression,lgo,base,1,0,MAE,0.7100079698241895
ICU_composite_risk_score,regression,lgo,base,1,0,R2,0.7833682042163307
ICU_composite_risk_score,regression,lgo,lgo_hard,1,0,RMSE,1.6558833042818195
ICU_composite_risk_score,regression,lgo,lgo_hard,1,0,MAE,1.3912427375224798
ICU_composite_risk_score,regression,lgo,lgo_hard,1,0,R2,0.20092533476089136
ICU_composite_risk_score,regression,pysr,base,1,0,RMSE,0.608386976307498
ICU_composite_risk_score,regression,pysr,base,1,0,MAE,0.48387138354923975
ICU_composite_risk_score,regression,pysr,base,1,0,R2,0.8921332176396525
ICU_composite_risk_score,regression,operon,base,1,0,RMSE,0.5477302543144922
ICU_composite_risk_score,regression,operon,base,1,0,MAE,0.4175489478667936
ICU_composite_risk_score,regression,operon,base,1,0,R2,0.9125698210555325
ICU_composite_risk_score,regression,lgo,base,2,0,RMSE,0.8394241193323403
ICU_composite_risk_score,regression,lgo,base,2,0,MAE,0.6133458507299788
ICU_composite_risk_score,regression,lgo,base,2,0,R2,0.807814518107782
ICU_composite_risk_score,regression,lgo,lgo_soft,2,0,RMSE,1.176488006415304
ICU_composite_risk_score,regression,lgo,lgo_soft,2,0,MAE,1.0034663708118972
ICU_composite_risk_score,regression,lgo,lgo_soft,2,0,R2,0.6224863164430141
ICU_composite_risk_score,regression,lgo,lgo_hard,2,0,RMSE,0.7277717818923622
ICU_composite_risk_score,regression,lgo,lgo_hard,2,0,MAE,0.598426904927599
ICU_composite_risk_score,regression,lgo,lgo_hard,2,0,R2,0.8555398323003633
ICU_composite_risk_score,regression,pysr,base,2,0,RMSE,0.7287451918987361
ICU_composite_risk_score,regression,pysr,base,2,0,MAE,0.5862744463811207
ICU_composite_risk_score,regression,pysr,base,2,0,R2,0.8551531368645867
ICU_composite_risk_score,regression,operon,base,2,0,RMSE,0.5766084067372197
ICU_composite_risk_score,regression,operon,base,2,0,MAE,0.4433698398964559
ICU_composite_risk_score,regression,operon,base,2,0,R2,0.9093183049518486
ICU_composite_risk_score,regression,lgo,base,3,0,RMSE,0.5569590620011957
ICU_composite_risk_score,regression,lgo,base,3,0,MAE,0.4318303213702961
ICU_composite_risk_score,regression,lgo,base,3,0,R2,0.9080265608294512
ICU_composite_risk_score,regression,lgo,lgo_soft,3,0,RMSE,1.006809621965711
ICU_composite_risk_score,regression,lgo,lgo_soft,3,0,MAE,0.8119074514448689
ICU_composite_risk_score,regression,lgo,lgo_soft,3,0,R2,0.6994542492187539
ICU_composite_risk_score,regression,lgo,lgo_hard,3,0,RMSE,0.8481223601858104
ICU_composite_risk_score,regression,lgo,lgo_hard,3,0,MAE,0.685892197323536
ICU_composite_risk_score,regression,lgo,lgo_hard,3,0,R2,0.786728460535881
ICU_composite_risk_score,regression,pysr,base,3,0,RMSE,0.7201524911342239
ICU_composite_risk_score,regression,pysr,base,3,0,MAE,0.5666297639577518
ICU_composite_risk_score,regression,pysr,base,3,0,R2,0.8462324084834698
ICU_composite_risk_score,regression,operon,base,3,0,RMSE,0.5269834273783991
ICU_composite_risk_score,regression,operon,base,3,0,MAE,0.39022488313653436
ICU_composite_risk_score,regression,operon,base,3,0,R2,0.9176602028519534
ICU_composite_risk_score,regression,lgo,base,5,0,RMSE,0.8729570563290603
ICU_composite_risk_score,regression,lgo,base,5,0,MAE,0.6943974861127635
ICU_composite_risk_score,regression,lgo,base,5,0,R2,0.772130979434812
ICU_composite_risk_score,regression,lgo,lgo_soft,5,0,RMSE,1.2386264455082199
ICU_composite_risk_score,regression,lgo,lgo_soft,5,0,MAE,1.041071975954019
ICU_composite_risk_score,regression,lgo,lgo_soft,5,0,R2,0.5412456213507892
ICU_composite_risk_score,regression,lgo,lgo_hard,5,0,RMSE,0.803925209919753
ICU_composite_risk_score,regression,lgo,lgo_hard,5,0,MAE,0.6558383236237333
ICU_composite_risk_score,regression,lgo,lgo_hard,5,0,R2,0.8067449633535752
ICU_composite_risk_score,regression,pysr,base,5,0,RMSE,0.6240192729024804
ICU_composite_risk_score,regression,pysr,base,5,0,MAE,0.4842159200209012
ICU_composite_risk_score,regression,pysr,base,5,0,R2,0.8835617868414967
ICU_composite_risk_score,regression,operon,base,5,0,RMSE,0.610153555397059
ICU_composite_risk_score,regression,operon,base,5,0,MAE,0.46788191449626637
ICU_composite_risk_score,regression,operon,base,5,0,R2,0.8886788155610702
ICU_composite_risk_score,regression,lgo,base,8,0,RMSE,0.8454479657979983
ICU_composite_risk_score,regression,lgo,base,8,0,MAE,0.6911096106697964
ICU_composite_risk_score,regression,lgo,base,8,0,R2,0.7990817328508384
ICU_composite_risk_score,regression,lgo,lgo_soft,8,0,RMSE,0.7422230753971264
ICU_composite_risk_score,regression,lgo,lgo_soft,8,0,MAE,0.5855694681507688
ICU_composite_risk_score,regression,lgo,lgo_soft,8,0,R2,0.8451488049622271
ICU_composite_risk_score,regression,lgo,lgo_hard,8,0,RMSE,0.8816232407590063
ICU_composite_risk_score,regression,lgo,lgo_hard,8,0,MAE,0.7153012098215947
ICU_composite_risk_score,regression,lgo,lgo_hard,8,0,R2,0.7815199848377248
ICU_composite_risk_score,regression,pysr,base,8,0,RMSE,0.6343270417376702
ICU_composite_risk_score,regression,pysr,base,8,0,MAE,0.487653525613372
ICU_composite_risk_score,regression,pysr,base,8,0,R2,0.886897524940331
ICU_composite_risk_score,regression,operon,base,8,0,RMSE,0.5192194838598065
ICU_composite_risk_score,regression,operon,base,8,0,MAE,0.39564229643881316
ICU_composite_risk_score,regression,operon,base,8,0,R2,0.9242212182607656
ICU_composite_risk_score,regression,lgo,base,13,0,RMSE,0.6371041365149928
ICU_composite_risk_score,regression,lgo,base,13,0,MAE,0.4965703868525921
ICU_composite_risk_score,regression,lgo,base,13,0,R2,0.8855297923420823
ICU_composite_risk_score,regression,lgo,lgo_soft,13,0,RMSE,0.9020767892666014
ICU_composite_risk_score,regression,lgo,lgo_soft,13,0,MAE,0.7364570068351924
ICU_composite_risk_score,regression,lgo,lgo_soft,13,0,R2,0.7705127097746625
ICU_composite_risk_score,regression,lgo,lgo_hard,13,0,RMSE,1.5956175295175872
ICU_composite_risk_score,regression,lgo,lgo_hard,13,0,MAE,1.2801998524099214
ICU_composite_risk_score,regression,lgo,lgo_hard,13,0,R2,0.2819921065716554
ICU_composite_risk_score,regression,pysr,base,13,0,RMSE,0.6531471515611196
ICU_composite_risk_score,regression,pysr,base,13,0,MAE,0.5057580190493811
ICU_composite_risk_score,regression,pysr,base,13,0,R2,0.8796922248722334
ICU_composite_risk_score,regression,operon,base,13,0,RMSE,0.49328369900302815
ICU_composite_risk_score,regression,operon,base,13,0,MAE,0.3801097628669023
ICU_composite_risk_score,regression,operon,base,13,0,R2,0.9313777191206715
ICU_composite_risk_score,regression,lgo,base,21,0,RMSE,0.8744033922302563
ICU_composite_risk_score,regression,lgo,base,21,0,MAE,0.6935150672322685
ICU_composite_risk_score,regression,lgo,base,21,0,R2,0.7634702846593932
ICU_composite_risk_score,regression,lgo,lgo_soft,21,0,RMSE,0.705267949272846
ICU_composite_risk_score,regression,lgo,lgo_soft,21,0,MAE,0.5653569498859727
ICU_composite_risk_score,regression,lgo,lgo_soft,21,0,R2,0.8461241952185738
ICU_composite_risk_score,regression,lgo,lgo_hard,21,0,RMSE,0.6068565991628053
ICU_composite_risk_score,regression,lgo,lgo_hard,21,0,MAE,0.4749773325669082
ICU_composite_risk_score,regression,lgo,lgo_hard,21,0,R2,0.886071022541519
ICU_composite_risk_score,regression,pysr,base,21,0,RMSE,0.646695304091474
ICU_composite_risk_score,regression,pysr,base,21,0,MAE,0.5112370089318989
ICU_composite_risk_score,regression,pysr,base,21,0,R2,0.8706216952347049
ICU_composite_risk_score,regression,operon,base,21,0,RMSE,0.5316875823592939
ICU_composite_risk_score,regression,operon,base,21,0,MAE,0.40389503585373765
ICU_composite_risk_score,regression,operon,base,21,0,R2,0.91254692665467
ICU_composite_risk_score,regression,lgo,base,34,0,RMSE,0.7325036261546287
ICU_composite_risk_score,regression,lgo,base,34,0,MAE,0.5640792397022543
ICU_composite_risk_score,regression,lgo,base,34,0,R2,0.8321689042831373
ICU_composite_risk_score,regression,lgo,lgo_soft,34,0,RMSE,1.2654911891338327
ICU_composite_risk_score,regression,lgo,lgo_soft,34,0,MAE,1.0905411701775984
ICU_composite_risk_score,regression,lgo,lgo_soft,34,0,R2,0.4990768261534686
ICU_composite_risk_score,regression,lgo,lgo_hard,34,0,RMSE,0.903603754157084
ICU_composite_risk_score,regression,lgo,lgo_hard,34,0,MAE,0.719577479570515
ICU_composite_risk_score,regression,lgo,lgo_hard,34,0,R2,0.7446070378551093
ICU_composite_risk_score,regression,pysr,base,34,0,RMSE,0.6045914352805085
ICU_composite_risk_score,regression,pysr,base,34,0,MAE,0.4695114164645404
ICU_composite_risk_score,regression,pysr,base,34,0,R2,0.8856656167793086
ICU_composite_risk_score,regression,operon,base,34,0,RMSE,0.5410688591260426
ICU_composite_risk_score,regression,operon,base,34,0,MAE,0.41128830878026396
ICU_composite_risk_score,regression,operon,base,34,0,R2,0.9084290013989349
ICU_composite_risk_score,regression,lgo,base,55,0,RMSE,0.7973851124329221
ICU_composite_risk_score,regression,lgo,base,55,0,MAE,0.6321302340753093
ICU_composite_risk_score,regression,lgo,base,55,0,R2,0.8175922416021866
ICU_composite_risk_score,regression,lgo,lgo_soft,55,0,RMSE,0.7914469154128796
ICU_composite_risk_score,regression,lgo,lgo_soft,55,0,MAE,0.6415470901144787
ICU_composite_risk_score,regression,lgo,lgo_soft,55,0,R2,0.8202989386485272
ICU_composite_risk_score,regression,lgo,lgo_hard,55,0,RMSE,0.8448779335713208
ICU_composite_risk_score,regression,lgo,lgo_hard,55,0,MAE,0.6580542624615444
ICU_composite_risk_score,regression,lgo,lgo_hard,55,0,R2,0.7952164839765302
ICU_composite_risk_score,regression,pysr,base,55,0,RMSE,0.6768221128429879
ICU_composite_risk_score,regression,pysr,base,55,0,MAE,0.5410592506365081
