dataset,task,method,experiment,seed,split,metric,value
ICU_composite_risk_score,regression,lgo,base,1,1,RMSE,0.8816854580579306
ICU_composite_risk_score,regression,lgo,base,1,1,MAE,0.7381124166397873
ICU_composite_risk_score,regression,lgo,base,1,1,R2,0.7699958342866708
ICU_composite_risk_score,regression,lgo,lgo_soft,1,1,RMSE,1.97669635376662
ICU_composite_risk_score,regression,lgo,lgo_soft,1,1,MAE,1.97669635376662
ICU_composite_risk_score,regression,lgo,lgo_soft,1,1,R2,0.0
ICU_composite_risk_score,regression,lgo,lgo_hard,1,1,RMSE,1.661915226420046
ICU_composite_risk_score,regression,lgo,lgo_hard,1,1,MAE,1.387778764254333
ICU_composite_risk_score,regression,lgo,lgo_hard,1,1,R2,0.18280428690719275
ICU_composite_risk_score,regression,pysr,base,1,1,RMSE,0.6436185066100555
ICU_composite_risk_score,regression,pysr,base,1,1,MAE,0.5060549341555536
ICU_composite_risk_score,regression,pysr,base,1,1,R2,0.877435303917087
ICU_composite_risk_score,regression,operon,base,1,1,RMSE,0.5593115044346715
ICU_composite_risk_score,regression,operon,base,1,1,MAE,0.4256085115931857
ICU_composite_risk_score,regression,operon,base,1,1,R2,0.9074415974029821
ICU_composite_risk_score,regression,lgo,base,2,1,RMSE,0.7692924855133885
ICU_composite_risk_score,regression,lgo,base,2,1,MAE,0.5347990285893178
ICU_composite_risk_score,regression,lgo,base,2,1,R2,0.8218458364442868
ICU_composite_risk_score,regression,lgo,lgo_soft,2,1,RMSE,1.1398814766950345
ICU_composite_risk_score,regression,lgo,lgo_soft,2,1,MAE,0.9656633935118248
ICU_composite_risk_score,regression,lgo,lgo_soft,2,1,R2,0.6088598583686373
ICU_composite_risk_score,regression,lgo,lgo_hard,2,1,RMSE,0.696379169951842
ICU_composite_risk_score,regression,lgo,lgo_hard,2,1,MAE,0.5695966915967163
ICU_composite_risk_score,regression,lgo,lgo_hard,2,1,R2,0.8540162417389693
ICU_composite_risk_score,regression,pysr,base,2,1,RMSE,0.7053264974802861
ICU_composite_risk_score,regression,pysr,base,2,1,MAE,0.5589218187909483
ICU_composite_risk_score,regression,pysr,base,2,1,R2,0.8502408400928698
ICU_composite_risk_score,regression,operon,base,2,1,RMSE,0.5565882118991082
ICU_composite_risk_score,regression,operon,base,2,1,MAE,0.4292369051646951
ICU_composite_risk_score,regression,operon,base,2,1,R2,0.9067430936866466
ICU_composite_risk_score,regression,lgo,base,3,1,RMSE,0.555317754029595
ICU_composite_risk_score,regression,lgo,base,3,1,MAE,0.4304122367280447
ICU_composite_risk_score,regression,lgo,base,3,1,R2,0.9091861377289575
ICU_composite_risk_score,regression,lgo,lgo_soft,3,1,RMSE,0.9469565980865636
ICU_composite_risk_score,regression,lgo,lgo_soft,3,1,MAE,0.7698691506037747
ICU_composite_risk_score,regression,lgo,lgo_soft,3,1,R2,0.7359238509019033
ICU_composite_risk_score,regression,lgo,lgo_hard,3,1,RMSE,0.8236786407097286
ICU_composite_risk_score,regression,lgo,lgo_hard,3,1,MAE,0.663720266056611
ICU_composite_risk_score,regression,lgo,lgo_hard,3,1,R2,0.8002049897563797
ICU_composite_risk_score,regression,pysr,base,3,1,RMSE,0.6707052954519435
ICU_composite_risk_score,regression,pysr,base,3,1,MAE,0.5242993014411366
ICU_composite_risk_score,regression,pysr,base,3,1,R2,0.8675254356650695
ICU_composite_risk_score,regression,operon,base,3,1,RMSE,0.4885449491905987
ICU_composite_risk_score,regression,operon,base,3,1,MAE,0.364489333339254
ICU_composite_risk_score,regression,operon,base,3,1,R2,0.9297125018931995
ICU_composite_risk_score,regression,lgo,base,5,1,RMSE,0.8596180625942305
ICU_composite_risk_score,regression,lgo,base,5,1,MAE,0.6939190353228581
ICU_composite_risk_score,regression,lgo,base,5,1,R2,0.7822430737855082
ICU_composite_risk_score,regression,lgo,lgo_soft,5,1,RMSE,1.2150921124355252
ICU_composite_risk_score,regression,lgo,lgo_soft,5,1,MAE,1.0334741349553629
