phase,duration_s,method,seed,split
fit,68.13622665405273,lgo,1,0
fit,62.50266981124878,lgo,1,0
fit,70.07413864135742,lgo,1,0
fit,125.77301025390625,pysr,1,0
fit,11.88801121711731,operon,1,0
fit,66.98245096206665,lgo,2,0
fit,80.18881130218506,lgo,2,0
fit,64.23146677017212,lgo,2,0
fit,150.51282262802124,pysr,2,0
fit,9.747806787490845,operon,2,0
fit,68.83465051651001,lgo,3,0
fit,75.06621360778809,lgo,3,0
fit,66.81465816497803,lgo,3,0
fit,132.107501745224,pysr,3,0
fit,12.041058778762817,operon,3,0
fit,76.26916742324829,lgo,5,0
fit,92.6388156414032,lgo,5,0
fit,77.97986340522766,lgo,5,0
fit,129.7286307811737,pysr,5,0
fit,12.610039234161377,operon,5,0
fit,62.32603669166565,lgo,8,0
fit,124.54141068458557,lgo,8,0
fit,76.20383024215698,lgo,8,0
fit,136.14264965057373,pysr,8,0
fit,11.791058778762817,operon,8,0
fit,69.34689974784851,lgo,13,0
fit,114.9940984249115,lgo,13,0
fit,68.44203305244446,lgo,13,0
fit,125.31959390640259,pysr,13,0
fit,14.22339940071106,operon,13,0
fit,75.7403256893158,lgo,21,0
fit,73.25438928604126,lgo,21,0
fit,64.98337054252625,lgo,21,0
fit,124.93419981002808,pysr,21,0
fit,11.633885860443115,operon,21,0
fit,67.69669556617737,lgo,34,0
fit,75.77173089981079,lgo,34,0
fit,71.92097091674805,lgo,34,0
fit,112.59402251243591,pysr,34,0
fit,8.149790048599243,operon,34,0
fit,72.03688549995422,lgo,55,0
fit,128.06468534469604,lgo,55,0
fit,82.9764997959137,lgo,55,0
fit,136.22683787345886,pysr,55,0
fit,14.309507608413696,operon,55,0
fit,72.20279502868652,lgo,89,0
fit,78.30796384811401,lgo,89,0
fit,76.25338363647461,lgo,89,0
fit,118.18155193328857,pysr,89,0
fit,10.539548873901367,operon,89,0
