dataset,task,method,experiment,seed,split,metric,value
NHANES_metabolic_score,regression,lgo,base,1,0,RMSE,0.7873832466161372
NHANES_metabolic_score,regression,lgo,base,1,0,MAE,0.6362245058202387
NHANES_metabolic_score,regression,lgo,base,1,0,R2,0.648616478759458
NHANES_metabolic_score,regression,lgo,lgo_soft,1,0,RMSE,1.0253804868964858
NHANES_metabolic_score,regression,lgo,lgo_soft,1,0,MAE,0.8077792244267401
NHANES_metabolic_score,regression,lgo,lgo_soft,1,0,R2,0.4040920933891786
NHANES_metabolic_score,regression,lgo,lgo_hard,1,0,RMSE,0.781331053739984
NHANES_metabolic_score,regression,lgo,lgo_hard,1,0,MAE,0.6414104196624256
NHANES_metabolic_score,regression,lgo,lgo_hard,1,0,R2,0.65399751189459
NHANES_metabolic_score,regression,pysr,base,1,0,RMSE,0.74361733140835
NHANES_metabolic_score,regression,pysr,base,1,0,MAE,0.5860609245968164
NHANES_metabolic_score,regression,pysr,base,1,0,R2,0.686593458247645
NHANES_metabolic_score,regression,operon,base,1,0,RMSE,0.5838650357848427
NHANES_metabolic_score,regression,operon,base,1,0,MAE,0.45785036549452907
NHANES_metabolic_score,regression,operon,base,1,0,R2,0.8067880480039143
NHANES_metabolic_score,regression,lgo,base,2,0,RMSE,0.8956510774193195
NHANES_metabolic_score,regression,lgo,base,2,0,MAE,0.7223509922051928
NHANES_metabolic_score,regression,lgo,base,2,0,R2,0.5877743286499331
NHANES_metabolic_score,regression,lgo,lgo_soft,2,0,RMSE,1.2124445368919627
NHANES_metabolic_score,regression,lgo,lgo_soft,2,0,MAE,0.9929812816942372
NHANES_metabolic_score,regression,lgo,lgo_soft,2,0,R2,0.2445928509468659
NHANES_metabolic_score,regression,lgo,lgo_hard,2,0,RMSE,0.5872229707067249
NHANES_metabolic_score,regression,lgo,lgo_hard,2,0,MAE,0.42898386797695176
NHANES_metabolic_score,regression,lgo,lgo_hard,2,0,R2,0.8228001295023849
NHANES_metabolic_score,regression,pysr,base,2,0,RMSE,0.7709474113304442
NHANES_metabolic_score,regression,pysr,base,2,0,MAE,0.6195035417237911
NHANES_metabolic_score,regression,pysr,base,2,0,R2,0.6945734140539589
NHANES_metabolic_score,regression,operon,base,2,0,RMSE,0.6416656134094343
NHANES_metabolic_score,regression,operon,base,2,0,MAE,0.52047200045125
NHANES_metabolic_score,regression,operon,base,2,0,R2,0.7884198790102952
NHANES_metabolic_score,regression,lgo,base,3,0,RMSE,0.7686250461185494
NHANES_metabolic_score,regression,lgo,base,3,0,MAE,0.6162103064678208
NHANES_metabolic_score,regression,lgo,base,3,0,R2,0.687056793269252
NHANES_metabolic_score,regression,lgo,lgo_soft,3,0,RMSE,0.821059746032426
NHANES_metabolic_score,regression,lgo,lgo_soft,3,0,MAE,0.6579567541648513
NHANES_metabolic_score,regression,lgo,lgo_soft,3,0,R2,0.6429031778445589
NHANES_metabolic_score,regression,lgo,lgo_hard,3,0,RMSE,0.6037819851865928
NHANES_metabolic_score,regression,lgo,lgo_hard,3,0,MAE,0.45072812571206994
NHANES_metabolic_score,regression,lgo,lgo_hard,3,0,R2,0.8068935561176945
NHANES_metabolic_score,regression,pysr,base,3,0,RMSE,0.8022692037074072
NHANES_metabolic_score,regression,pysr,base,3,0,MAE,0.6537277638747635
NHANES_metabolic_score,regression,pysr,base,3,0,R2,0.6590609809896176
NHANES_metabolic_score,regression,operon,base,3,0,RMSE,0.6129629486452719
NHANES_metabolic_score,regression,operon,base,3,0,MAE,0.46933983440271576
NHANES_metabolic_score,regression,operon,base,3,0,R2,0.8009762468294725
NHANES_metabolic_score,regression,lgo,base,5,0,RMSE,0.7495547984127029
NHANES_metabolic_score,regression,lgo,base,5,0,MAE,0.5916156150972555
NHANES_metabolic_score,regression,lgo,base,5,0,R2,0.6767437655367567
NHANES_metabolic_score,regression,lgo,lgo_soft,5,0,RMSE,0.8100610048755705
NHANES_metabolic_score,regression,lgo,lgo_soft,5,0,MAE,0.640301641843567
NHANES_metabolic_score,regression,lgo,lgo_soft,5,0,R2,0.6224490347201301
NHANES_metabolic_score,regression,lgo,lgo_hard,5,0,RMSE,0.8274488341011725
NHANES_metabolic_score,regression,lgo,lgo_hard,5,0,MAE,0.6288237465449139
NHANES_metabolic_score,regression,lgo,lgo_hard,5,0,R2,0.6060669406122376
NHANES_metabolic_score,regression,pysr,base,5,0,RMSE,0.7937028684684823
NHANES_metabolic_score,regression,pysr,base,5,0,MAE,0.6407652540904052
NHANES_metabolic_score,regression,pysr,base,5,0,R2,0.637543383602214
NHANES_metabolic_score,regression,operon,base,5,0,RMSE,0.6095943835595135
NHANES_metabolic_score,regression,operon,base,5,0,MAE,0.48943434774403366
NHANES_metabolic_score,regression,operon,base,5,0,R2,0.7861929377734697
NHANES_metabolic_score,regression,lgo,base,8,0,RMSE,0.7907260489302467
NHANES_metabolic_score,regression,lgo,base,8,0,MAE,0.6456086907588698
NHANES_metabolic_score,regression,lgo,base,8,0,R2,0.6560418030187956
NHANES_metabolic_score,regression,lgo,lgo_soft,8,0,RMSE,0.9434456836873126
NHANES_metabolic_score,regression,lgo,lgo_soft,8,0,MAE,0.7347413325916929
NHANES_metabolic_score,regression,lgo,lgo_soft,8,0,R2,0.5103481772946644
NHANES_metabolic_score,regression,lgo,lgo_hard,8,0,RMSE,0.7845635582057784
NHANES_metabolic_score,regression,lgo,lgo_hard,8,0,MAE,0.6319640495942197
NHANES_metabolic_score,regression,lgo,lgo_hard,8,0,R2,0.6613821596219203
NHANES_metabolic_score,regression,pysr,base,8,0,RMSE,0.697323578378677
NHANES_metabolic_score,regression,pysr,base,8,0,MAE,0.571438519975919
NHANES_metabolic_score,regression,pysr,base,8,0,R2,0.7325009328081509
NHANES_metabolic_score,regression,operon,base,8,0,RMSE,0.5919645003478631
NHANES_metabolic_score,regression,operon,base,8,0,MAE,0.4705728320456846
NHANES_metabolic_score,regression,operon,base,8,0,R2,0.8072275805775712
NHANES_metabolic_score,regression,lgo,base,13,0,RMSE,0.8475854136931662
NHANES_metabolic_score,regression,lgo,base,13,0,MAE,0.6940483077982985
NHANES_metabolic_score,regression,lgo,base,13,0,R2,0.5999004334758065
NHANES_metabolic_score,regression,lgo,lgo_soft,13,0,RMSE,1.126221568540754
NHANES_metabolic_score,regression,lgo,lgo_soft,13,0,MAE,0.9211220330020297
NHANES_metabolic_score,regression,lgo,lgo_soft,13,0,R2,0.29360305372251094
NHANES_metabolic_score,regression,lgo,lgo_hard,13,0,RMSE,0.7321244217075574
NHANES_metabolic_score,regression,lgo,lgo_hard,13,0,MAE,0.602013384405067
NHANES_metabolic_score,regression,lgo,lgo_hard,13,0,R2,0.7014817270390059
NHANES_metabolic_score,regression,pysr,base,13,0,RMSE,0.7551910737737271
NHANES_metabolic_score,regression,pysr,base,13,0,MAE,0.6115336400035273
NHANES_metabolic_score,regression,pysr,base,13,0,R2,0.6823748899855291
NHANES_metabolic_score,regression,operon,base,13,0,RMSE,0.5938826155670359
NHANES_metabolic_score,regression,operon,base,13,0,MAE,0.4778102181799032
NHANES_metabolic_score,regression,operon,base,13,0,R2,0.803572469110716
NHANES_metabolic_score,regression,lgo,base,21,0,RMSE,0.8098248550696561
NHANES_metabolic_score,regression,lgo,base,21,0,MAE,0.6295352579543163
NHANES_metabolic_score,regression,lgo,base,21,0,R2,0.5976494125421954
NHANES_metabolic_score,regression,lgo,lgo_soft,21,0,RMSE,0.7634456383446193
NHANES_metabolic_score,regression,lgo,lgo_soft,21,0,MAE,0.6113116481826436
NHANES_metabolic_score,regression,lgo,lgo_soft,21,0,R2,0.6424155107568308
NHANES_metabolic_score,regression,lgo,lgo_hard,21,0,RMSE,0.652328987652634
NHANES_metabolic_score,regression,lgo,lgo_hard,21,0,MAE,0.49945698658294224
NHANES_metabolic_score,regression,lgo,lgo_hard,21,0,R2,0.7389307080153654
NHANES_metabolic_score,regression,pysr,base,21,0,RMSE,0.6930305970132906
NHANES_metabolic_score,regression,pysr,base,21,0,MAE,0.5573677253401106
NHANES_metabolic_score,regression,pysr,base,21,0,R2,0.7053358821200499
NHANES_metabolic_score,regression,operon,base,21,0,RMSE,0.5768714538551469
NHANES_metabolic_score,regression,operon,base,21,0,MAE,0.4618565603099734
NHANES_metabolic_score,regression,operon,base,21,0,R2,0.7958353572063841
NHANES_metabolic_score,regression,lgo,base,34,0,RMSE,0.6688331273880215
NHANES_metabolic_score,regression,lgo,base,34,0,MAE,0.5229382538066871
NHANES_metabolic_score,regression,lgo,base,34,0,R2,0.7315636734254392
NHANES_metabolic_score,regression,lgo,lgo_soft,34,0,RMSE,1.0712982356221104
NHANES_metabolic_score,regression,lgo,lgo_soft,34,0,MAE,0.8628728594871704
NHANES_metabolic_score,regression,lgo,lgo_soft,34,0,R2,0.31130565785955544
NHANES_metabolic_score,regression,lgo,lgo_hard,34,0,RMSE,0.5736512617686451
NHANES_metabolic_score,regression,lgo,lgo_hard,34,0,MAE,0.40519164506382727
NHANES_metabolic_score,regression,lgo,lgo_hard,34,0,R2,0.8025297653830297
NHANES_metabolic_score,regression,pysr,base,34,0,RMSE,0.7119554980343418
NHANES_metabolic_score,regression,pysr,base,34,0,MAE,0.5593813459327527
