dataset,task,method,experiment,seed,split,metric,value
NHANES_metabolic_score,regression,lgo,base,1,1,RMSE,0.7813469517108405
NHANES_metabolic_score,regression,lgo,base,1,1,MAE,0.6250312602703147
NHANES_metabolic_score,regression,lgo,base,1,1,R2,0.6460963694432095
NHANES_metabolic_score,regression,lgo,lgo_soft,1,1,RMSE,0.9983929869860121
NHANES_metabolic_score,regression,lgo,lgo_soft,1,1,MAE,0.7948849569016657
NHANES_metabolic_score,regression,lgo,lgo_soft,1,1,R2,0.42216982558998906
NHANES_metabolic_score,regression,lgo,lgo_hard,1,1,RMSE,0.7791668141373691
NHANES_metabolic_score,regression,lgo,lgo_hard,1,1,MAE,0.6323918867839465
NHANES_metabolic_score,regression,lgo,lgo_hard,1,1,R2,0.6480685591030352
NHANES_metabolic_score,regression,pysr,base,1,1,RMSE,0.7583038672315755
NHANES_metabolic_score,regression,pysr,base,1,1,MAE,0.6146497822197642
NHANES_metabolic_score,regression,pysr,base,1,1,R2,0.6666628520651254
NHANES_metabolic_score,regression,operon,base,1,1,RMSE,0.605823921261884
NHANES_metabolic_score,regression,operon,base,1,1,MAE,0.4803123672066525
NHANES_metabolic_score,regression,operon,base,1,1,R2,0.7872399866384475
NHANES_metabolic_score,regression,lgo,base,2,1,RMSE,0.8343615034071936
NHANES_metabolic_score,regression,lgo,base,2,1,MAE,0.6701077075279257
NHANES_metabolic_score,regression,lgo,base,2,1,R2,0.5855050214099164
NHANES_metabolic_score,regression,lgo,lgo_soft,2,1,RMSE,1.1323429796689055
NHANES_metabolic_score,regression,lgo,lgo_soft,2,1,MAE,0.9114153526141756
NHANES_metabolic_score,regression,lgo,lgo_soft,2,1,R2,0.2365743606497427
NHANES_metabolic_score,regression,lgo,lgo_hard,2,1,RMSE,0.5499286001315042
NHANES_metabolic_score,regression,lgo,lgo_hard,2,1,MAE,0.4046114253456628
NHANES_metabolic_score,regression,lgo,lgo_hard,2,1,R2,0.8199374604834749
NHANES_metabolic_score,regression,pysr,base,2,1,RMSE,0.7091371564123982
NHANES_metabolic_score,regression,pysr,base,2,1,MAE,0.574642636511126
NHANES_metabolic_score,regression,pysr,base,2,1,R2,0.7005865945816443
NHANES_metabolic_score,regression,operon,base,2,1,RMSE,0.6021538394939137
NHANES_metabolic_score,regression,operon,base,2,1,MAE,0.4690352402983645
NHANES_metabolic_score,regression,operon,base,2,1,R2,0.7841134045862053
NHANES_metabolic_score,regression,lgo,base,3,1,RMSE,0.7355439061245154
NHANES_metabolic_score,regression,lgo,base,3,1,MAE,0.5938569909036758
NHANES_metabolic_score,regression,lgo,base,3,1,R2,0.6805976431194354
NHANES_metabolic_score,regression,lgo,lgo_soft,3,1,RMSE,0.791642958861148
NHANES_metabolic_score,regression,lgo,lgo_soft,3,1,MAE,0.6371433102873886
NHANES_metabolic_score,regression,lgo,lgo_soft,3,1,R2,0.6300188315013
NHANES_metabolic_score,regression,lgo,lgo_hard,3,1,RMSE,0.5824515870608878
NHANES_metabolic_score,regression,lgo,lgo_hard,3,1,MAE,0.4467489950215031
NHANES_metabolic_score,regression,lgo,lgo_hard,3,1,R2,0.7997186182797729
NHANES_metabolic_score,regression,pysr,base,3,1,RMSE,0.7212033101241203
NHANES_metabolic_score,regression,pysr,base,3,1,MAE,0.5808152086038526
NHANES_metabolic_score,regression,pysr,base,3,1,R2,0.6929307447684003
NHANES_metabolic_score,regression,operon,base,3,1,RMSE,0.5728640148090297
NHANES_metabolic_score,regression,operon,base,3,1,MAE,0.45621169335354333
NHANES_metabolic_score,regression,operon,base,3,1,R2,0.806257902308902
NHANES_metabolic_score,regression,lgo,base,5,1,RMSE,0.7684618238260218
NHANES_metabolic_score,regression,lgo,base,5,1,MAE,0.6129192125103198
NHANES_metabolic_score,regression,lgo,base,5,1,R2,0.6589530433553664
NHANES_metabolic_score,regression,lgo,lgo_soft,5,1,RMSE,0.8443709415335563
NHANES_metabolic_score,regression,lgo,lgo_soft,5,1,MAE,0.6690859595921487
NHANES_metabolic_score,regression,lgo,lgo_soft,5,1,R2,0.5882475974641114
NHANES_metabolic_score,regression,lgo,lgo_hard,5,1,RMSE,0.8368527919064349
NHANES_metabolic_score,regression,lgo,lgo_hard,5,1,MAE,0.6366914578097801
NHANES_metabolic_score,regression,lgo,lgo_hard,5,1,R2,0.5955473150969804
NHANES_metabolic_score,regression,pysr,base,5,1,RMSE,0.7551025786003712
NHANES_metabolic_score,regression,pysr,base,5,1,MAE,0.6029525247117205
NHANES_metabolic_score,regression,pysr,base,5,1,R2,0.6707077642851871
