dataset,method,experiment,seed,complexity,loss,expr
NHANES_metabolic_score,lgo,base,2,15.0,0.788110389,"add(add(mul(mul(add(mul(add(mul(1.1028910811599475, one), one), 0.1639763460095015), add(one, one)), id(idF(systolic_bp))), 0.1639763460095015), add(mul(1.1028910811599475, one), one)), mul(0.7365482667439227, mul(one, mul(0.7365482667439227, add(id(waist_circumference), id(idF(idF(triglycerides))))))))"
NHANES_metabolic_score,lgo,base,13,19.0,0.638552156,"add(id(idF(waist_circumference)), add(add(sqrt(sqrt(add(1.0357734834027568, sub(sub(id(fasting_glucose), -0.22754775726823664), id(waist_circumference))))), add(sqrt(0.8420175873469908), mul(add(sub(log(-1.0402887213731689), -0.22754775726823664), log(-1.0402887213731689)), id(systolic_bp)))), sqrt(id(idF(triglycerides)))))"
NHANES_metabolic_score,lgo,base,55,28.0,0.487938136,"add(sqrt(id(triglycerides)), add(add(pow(add(0.7385658923863098, zero), add(add(id(hdl_cholesterol), add(sqrt(id(idF(waist_circumference))), id(hdl_cholesterol))), pow(0.2765185672977068, add(id(waist_circumference), add(id(waist_circumference), add(0.2765185672977068, id(gender_std))))))), add(0.7385658923863098, sqrt(sqrt(id(systolic_bp))))), sub(log(add(0.7385658923863098, sqrt(id(idF(idF(waist_circumference)))))), log(one))))"
NHANES_metabolic_score,lgo,base,34,34.0,0.481318486,"add(sqrt(add(id(waist_circumference), sqrt(add(add(id(idF(idF(gender_std))), sub(id(fasting_glucose), pow(-1.0945068676655791, sub(-1.1808679638405428, -0.0656463796353)))), sub(sub(id(idF(idF(fasting_glucose))), pow(-1.0945068676655791, sqrt(id(triglycerides)))), zero))))), sqrt(add(id(systolic_bp), add(sqrt(id(triglycerides)), sub(sqrt(id(triglycerides)), pow(sub(pow(-1.0945068676655791, sub(sub(1.139528489746523, zero), zero)), one), div(id(idF(hdl_cholesterol)), -1.0945068676655791)))))))"
NHANES_metabolic_score,lgo,lgo_hard,1,25.0,0.606055906,"add(sqrt(div(add(add(add(add(id(systolic_bp), lgo_thre(id(idF(gender_std)), 2.9591255550357505, -0.25715112191986716)), 1.1762555618280364), id(idF(idF(idF(idF(fasting_glucose)))))), id(idF(waist_circumference))), one)), sqrt(div(pow(add(one, id(triglycerides)), 1.1762555618280364), sub(one, mul(div(pow(add(one, id(triglycerides)), 1.1762555618280364), one), zero)))))"
NHANES_metabolic_score,lgo,lgo_hard,21,31.0,0.427982044,"add(lgo_thre(id(waist_circumference), 5.885297469035506, as_thr(-0.38701092065136433)), div(add(sqrt(id(idF(idF(triglycerides)))), add(zero, div(add(sqrt(sqrt(id(systolic_bp))), lgo_thre(lgo_thre(id(idF(fasting_glucose)), 8.84562709277992, -0.3570859087176507), 8.84562709277992, 0.4398548767975108)), pow(div(one, lgo_thre(lgo_thre(id(fasting_glucose), 7.928792832586385, -0.49569095101344995), 8.84562709277992, 0.019478755026724442)), one)))), pow(sqrt(sqrt(0.7059600000198958)), one)))"
NHANES_metabolic_score,lgo,lgo_hard,3,39.5,0.339086267,"add(lgo_thre(id(waist_circumference), 4.121154560004933, -0.6355915427463122), div(add(sqrt(id(triglycerides)), div(add(sqrt(sqrt(id(idF(idF(systolic_bp))))), lgo_thre(sub(id(idF(fasting_glucose)), sqrt(log(-0.8262901909686373))), as_pos(mul(mul(mul(-1.261707374765856, 0.12156503060314841), div(one, zero)), sub(one, 1.2216240876354307))), -0.38604695656430776)), pow(div(one, 1.1917206310936277), id(idF(idF(idF(idF(gender_std)))))))), pow(div(one, div(0.5608638902782919, 0.539458119449239)), mul(1.0720430330165307, div(div(id(idF(waist_circumference)), lgo_thre(id(idF(gender_std)), 4.121154560004933, -0.027278908513152844)), one)))))"
NHANES_metabolic_score,lgo,lgo_hard,2,81.5,0.241427004,"add(lgo_thre(id(idF(idF(triglycerides))), as_pos(mul(sub(lgo_thre(zero, 0.36974162586442544, as_thr(zero)), log(zero)), div(div(0.22272576449739548, zero), sub(zero, zero)))), as_thr(sqrt(mul(lgo_thre(id(waist_circumference), 0.41309577023514216, -0.32094327464699257), lgo_thre(id(bmi), 6.8357131667367685, as_thr(sqrt(zero))))))), div(add(lgo_thre(id(idF(fasting_glucose)), as_pos(mul(sub(lgo_thre(zero, 4.2458180478685374, -0.5828360645114322), log(zero)), div(div(0.22272576449739548, zero), sub(zero, zero)))), -0.401414580019459), add(pow(sqrt(zero), one), add(lgo_thre(id(bmi), 4.035707748665311, -0.32094327464699257), lgo_thre(id(systolic_bp), 7.541688845598262, as_thr(lgo_thre(0.5195443171749201, as_pos(0.38140876595136813), 1.621810779098432)))))), pow(div(one, mul(1.0720430330165307, one)), mul(pow(sub(pow(lgo_thre(one, as_pos(0.25096369887387093), -2.1625322305758705), sqrt(-1.230460532624411)), lgo_thre(one, as_pos(one), as_thr(zero))), pow(add(id(hdl_cholesterol), sqrt(-1.230460532624411)), sub(pow(lgo_thre(one, 4.035707748665311, -0.527397819963527), zero), id(idF(idF(gender_std)))))), one))))"
NHANES_metabolic_score,lgo,lgo_soft,13,12.0,1.102197022,"lgo_or2(gate_expr(add(1.3756635782048707, 1.3756635782048707), 5.8768182416352275, as_thr(zero)), id(waist_circumference), as_pos(div(div(one, -0.12507482219942), zero)), as_thr(zero))"
NHANES_metabolic_score,lgo,lgo_soft,21,43.0,0.597421133,"lgo_or2(gate_expr(add(one, add(one, add(1.25104487897034, pow(id(triglycerides), pow(gate_expr(one, 0.4430314270334462, 0.19327930404206708), id(triglycerides)))))), as_pos(one), 0.30576820720800246), sub(sub(pow(id(waist_circumference), gate_expr(one, 0.23105632999204495, 1.4240217684062821)), sqrt(sub(lgo(-0.5152371951561253, 0.5540377880016586, as_thr(add(-0.04580480561092218, -1.9707388756645556))), id(fasting_glucose)))), sqrt(sub(lgo(-0.5152371951561253, 1.4190159425800921, -0.756435981532108), id(fasting_glucose)))), as_pos(div(-1.6192221208415445, sub(gate_expr(one, as_pos(lgo_or2(zero, zero, 0.4430314270334462, 0.6360858665564406)), 0.9364090926408647), sqrt(zero)))), 0.8206226496788158)"
NHANES_metabolic_score,operon,base,5,71.75,5.994520548,((-2.589694) + ((-0.281887) * ((sqrt((sqrt((sqrt((0.132779 * triglycerides)) + sin((0.693147 * (1.722481 + (0.252846 * fasting_glucose)))))) * ((1.089409 * waist_circumference) * (0.131000 * systolic_bp)))) + ((log((3.702765 * hdl_cholesterol)) * sin(sin((0.693147 * (0.141428 * systolic_bp))))) + sqrt((((6.283185 * hdl_cholesterol) / (sqrt(1 + ((0.132779 * triglycerides) * log((0.132779 * triglycerides))) ^ 2))) + (((0.707107 * gender_std) * 1.722481) * ((0.323832 * triglycerides) + ((0.693147 * hdl_cholesterol) + (0.252846 * fasting_glucose)))))))) * (sin(sin(log((0.626494 * fasting_glucose)))) / (sqrt(1 + log((0.318310 * hdl_cholesterol)) ^ 2))))))
NHANES_metabolic_score,operon,base,3,74.75,5.97260274,((-28.168659) + (2.400506 * (log((((((1.600057 * triglycerides) + (1.702069 * waist_circumference)) * ((0.028491 * waist_circumference) + exp((1.414214 * gender_std)))) + ((((2.963277 * waist_circumference) / (sqrt(1 + log((0.010001 * fasting_glucose)) ^ 2))) + (sqrt((1.533465 * hdl_cholesterol)) * sqrt((1.772454 * hdl_cholesterol)))) * (cos((((-0.871506) * systolic_bp) * 0.152952)) + ((0.353227 * fasting_glucose) * 0.152952)))) / (sqrt(1 + (((((0.010001 * fasting_glucose) + sqrt((1.533465 * hdl_cholesterol))) + cos(sqrt((2.718282 * hdl_cholesterol)))) / (sqrt(1 + cos(((0.353227 * fasting_glucose) * 0.152952)) ^ 2))) + cos((0.028491 * waist_circumference))) ^ 2)))) + log((4.594075 * systolic_bp)))))
NHANES_metabolic_score,operon,base,89,78.5,5.967123288,((-4.106913) + (0.361127 * (sqrt(((sqrt(sqrt((1.180452 * fasting_glucose))) * (((((0.320089 * systolic_bp) / (sqrt(1 + 0.693147 ^ 2))) + (-2.031986)) * sqrt((1.440101 * waist_circumference))) / (sqrt(1 + sqrt((1.598957 * hdl_cholesterol)) ^ 2)))) / (sqrt(1 + cos((0.082603 * systolic_bp)) ^ 2)))) + ((sqrt(sqrt((sqrt((3.141593 * waist_circumference)) * (0.693147 * triglycerides)))) + cos(sqrt((3.141593 * waist_circumference)))) + (((((0.763012 * gender_std) + sqrt(sqrt((0.763012 * gender_std)))) + cos(sqrt((2.302585 * (3.901121 * fasting_glucose))))) + cos(sqrt((1.598957 * hdl_cholesterol)))) + cos(sqrt((1.180452 * fasting_glucose))))))))
NHANES_metabolic_score,pstree,base,2,1.0,1.104213252,"mul(waist_circumference, 0.521)"
NHANES_metabolic_score,pstree,base,21,2.0,0.914921181,"mul(add(triglycerides, waist_circumference), 0.427)"
NHANES_metabolic_score,pstree,base,13,2.5,0.778136677,"mul(add(add(systolic_bp, waist_circumference), triglycerides), 0.382)"
NHANES_metabolic_score,pstree,base,3,5.0,0.774639789,"mul(add(add(add(triglycerides, waist_circumference), systolic_bp), add(triglycerides, waist_circumference)), abs(-0.254))"
NHANES_metabolic_score,pysr,base,1,19.0,0.578571797,systolic_bp/(hdl_cholesterol + 4.502504) + sin(sin(gender_std + sqrt(waist_circumference) + log(sqrt(triglycerides)))) - 13.386935/age
NHANES_metabolic_score,pysr,base,2,19.75,0.504670047,0.8388273*gender_std + sin(sqrt(systolic_bp) + 0.5193401 + triglycerides/systolic_bp) + cos(log(fasting_glucose)) + 0.8388273*waist_circumference/hdl_cholesterol
NHANES_metabolic_score,pysr,base,13,25.25,0.494391844,#NAME?
NHANES_metabolic_score,rils_rols,base,8,41.25,0.2793994994918961,0.319548*gender_std - 0.011611*exp(-fasting_glucose - 4.146902*sin(0.8/fasting_glucose)) + 0.490849*exp(sin(2.2*sin(systolic_bp))) + 0.583361*sin(waist_circumference) - 0.603863*sin(2.22222222222222*sin(1.81818181818182*triglycerides - 41.6173890909091)) + 1.806896 + 0.372253170485811*exp(-hdl_cholesterol)
NHANES_metabolic_score,rils_rols,base,2,42.5,0.2636608448976983,0.315075*gender_std - 0.040625*exp(-fasting_glucose - 2.827433*sin(0.9/fasting_glucose)) + 0.573778*sin(waist_circumference) - 1.974828*sin(sin(sin(systolic_bp - 0.726)) - 316.080957) - 0.588087*sin(2.2*sin(triglycerides - 500)) + 1.100856 + 0.399759*exp(-0.910231*hdl_cholesterol)
NHANES_metabolic_score,rils_rols,base,3,45.25,0.2600261017809624,0.322998*gender_std - 0.046468*exp(-fasting_glucose + exp(-sin(0.81/fasting_glucose))) + 0.501063*exp(sin(2.2*sin(systolic_bp))) + 0.583775*sin(waist_circumference) + 0.537289*sin(2.2*sin(2.5350213195293*sin(triglycerides - 0.355027))) + 1.83221 + 0.350811*exp(-0.975534*hdl_cholesterol)
