dataset,method,experiment,seed,expr_id,expression,complexity,depth,expr_length,num_gates,num_AND,num_OR,num_soft,num_pair,num_gate_expr
UCI_CTG_NSPbin,lgo,base,1,0,"sqrt(add(pow(id(NSP), zero), zero))",7,4,35,0,0,0,0,0,0
UCI_CTG_NSPbin,lgo,base,1,1,"sqrt(pow(id(idF(NSP)), sqrt(zero)))",7,4,35,0,0,0,0,0,0
UCI_CTG_NSPbin,lgo,base,1,2,"sqrt(add(pow(id(idF(idF(NSP))), zero), sqrt(zero)))",10,6,51,0,0,0,0,0,0
UCI_CTG_NSPbin,lgo,base,1,3,"sqrt(add(pow(id(idF(NSP)), zero), sqrt(zero)))",9,5,46,0,0,0,0,0,0
UCI_CTG_NSPbin,lgo,base,1,4,"sqrt(sqrt(pow(id(NSP), sqrt(zero))))",7,4,36,0,0,0,0,0,0
UCI_CTG_NSPbin,lgo,base,1,5,"sqrt(add(pow(id(idF(NSP)), log(one)), sqrt(zero)))",10,5,50,0,0,0,0,0,0
UCI_CTG_NSPbin,lgo,base,1,6,"sqrt(add(pow(id(NSP), zero), sqrt(pow(zero, 0.9629694432775858))))",10,4,66,0,0,0,0,0,0
UCI_CTG_NSPbin,lgo,base,1,7,"sqrt(sqrt(pow(sqrt(div(add(one, zero), id(idF(NSP)))), zero)))",12,7,62,0,0,0,0,0,0
UCI_CTG_NSPbin,lgo,base,1,8,"sqrt(sqrt(pow(id(idF(NSP)), div(sqrt(-1.4172645230330132), log(zero)))))",11,5,72,0,0,0,0,0,0
UCI_CTG_NSPbin,lgo,base,1,9,"sqrt(add(pow(zero, -0.2776705794457662), sqrt(pow(id(idF(NSP)), sqrt(log(one))))))",13,6,82,0,0,0,0,0,0
UCI_CTG_NSPbin,lgo,base,13,10,"sqrt(pow(id(idF(idF(NSP))), zero))",7,5,34,0,0,0,0,0,0
UCI_CTG_NSPbin,lgo,base,13,11,"sqrt(pow(id(NSP), zero))",5,3,24,0,0,0,0,0,0
