dataset,method,experiment,seed,expr,complexity,cv_loss,test_loss,cv_r2,test_r2
UCI_CTG_NSPbin,lgo,base,1,"sqrt(add(pow(id(NSP), zero), zero))",4.5,0.0,0.0,1.0,1.0
UCI_CTG_NSPbin,lgo,lgo_soft,1,"sqrt(div(gate_expr(id(NSP), as_pos(sqrt(add(mul(-0.0015050240312517353, lgo(lgo_or2(-0.0015050240312517353, one, 0.3322897167478186, 1.1281060002571979), as_pos(sub(zero, one)), 0.5995249434991673)), lgo_and2(add(gate_expr(zero, 0.3322897167478186, 0.5995249434991673), one), 0.4003800340639564, as_pos(-1.0541095487085865), as_thr(one))))), as_thr(lgo(-0.23156775915065558, as_pos(mul(-0.0015050240312517353, add(one, add(lgo_or2(one, 0.22730389558128855, 6.079996879477149, -1.3491590255712953), lgo_or2(one, 0.22730389558128855, 4.938013050858842, -1.3491590255712953))))), 0.6944375874626323))), sub(lgo(id(NSP), as_pos(sqrt(add(mul(log(lgo_and3(one, -0.957008093840594, one, 0.3322897167478186, 1.058500108562273)), -0.0015050240312517353), lgo_and3(one, sqrt(one), one, 6.079996879477149, 0.9593476747049826)))), as_thr(one)), -0.23156775915065558)))",56.599999999999994,4.49997781068822e-15,3.3475164676794815e-15,0.9999999999999749,0.9999999999999806
UCI_CTG_NSPbin,lgo,lgo_hard,1,"sqrt(pow(id(idF(NSP)), zero))",3.5,0.0,0.0,1.0,1.0
UCI_CTG_NSPbin,pysr,base,1,1.0666794*sin(1.7533404*log(NSP)),6.0,8.109169194754152e-12,,0.9999999999520981,
UCI_CTG_NSPbin,operon,base,1,(1.392532 + ((-1.131797) * (exp(sin(cos((1.346746 * NSP)))) / (sqrt(1 + log((1.176515 * NSP)) ^ 2))))),17.0,0.22941176470588234,,-0.2855307328268356,
UCI_CTG_NSPbin,lgo,base,2,"sqrt(add(pow(id(idF(NSP)), zero), zero))",4.5,0.0,0.0,1.0,1.0
UCI_CTG_NSPbin,lgo,lgo_soft,2,"sqrt(sqrt(pow(id(idF(idF(idF(NSP)))), mul(sub(mul(lgo_or2(id(NSP), 0.485194372202998, 0.2628995196533449, -0.2200915024773963), mul(zero, -0.3573902280700936)), lgo_and2(lgo_and2(1.8955077205416455, one, 3.749692117025438, 0.460103559004379), lgo(one, 0.25612820974285894, -0.2814955755466451), as_pos(-0.1235996784695579), as_thr(one))), sub(div(lgo_and2(zero, -0.32110031151324164, 4.430745251242618, 0.25707500305901443), sqrt(one)), gate_expr(lgo_or2(zero, zero, 4.921385109872675, -0.9992191540582445), as_pos(gate_expr(-1.3708929752580403, 0.35599077213227215, -1.1084152164040832)), as_thr(0.4398088952791876)))))))",38.0,0.0,0.0,1.0,1.0
UCI_CTG_NSPbin,lgo,lgo_hard,2,"lgo_thre(div(id(idF(idF(idF(NSP)))), sqrt(zero)), 5.722605907086684, as_thr(lgo_thre(sqrt(one), as_pos(1.548274914929724), as_thr(0.02184514732171292))))",11.5,6.043910834580869e-53,5.975725728816206e-53,1.0,1.0
UCI_CTG_NSPbin,pysr,base,2,1.001021*sin(1.59713139897047*log(NSP)**(1/8)),10.0,5.305494901634677e-13,,0.9999999999968148,
UCI_CTG_NSPbin,operon,base,2,(1.000062 + ((-28.997961) * exp((sin(sin(cos(exp((-1.222067))))) + (((2.044872 * NSP) + 1.249206) * ((-1.243608) * NSP)))))),19.5,5.387840442284618e-10,,0.9999999967470116,
