dataset,task,method,experiment,seed,split,metric,value
UCI_CTG_NSPbin,binary_classification,lgo,base,1,0,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,base,1,0,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,base,1,0,Brier,0.2107957086480757
UCI_CTG_NSPbin,binary_classification,lgo,lgo_soft,1,0,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,lgo_soft,1,0,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,lgo_soft,1,0,Brier,0.2107957082847162
UCI_CTG_NSPbin,binary_classification,lgo,lgo_hard,1,0,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,lgo_hard,1,0,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,lgo_hard,1,0,Brier,0.2107957086480757
UCI_CTG_NSPbin,binary_classification,pysr,base,1,0,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,pysr,base,1,0,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,pysr,base,1,0,Brier,0.21079581136610917
UCI_CTG_NSPbin,binary_classification,operon,base,1,0,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,operon,base,1,0,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,operon,base,1,0,Brier,0.21079619413591102
UCI_CTG_NSPbin,binary_classification,lgo,base,2,0,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,base,2,0,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,base,2,0,Brier,0.21079570864807573
UCI_CTG_NSPbin,binary_classification,lgo,lgo_soft,2,0,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,lgo_soft,2,0,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,lgo_soft,2,0,Brier,0.21079570864807573
UCI_CTG_NSPbin,binary_classification,lgo,lgo_hard,2,0,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,lgo_hard,2,0,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,lgo_hard,2,0,Brier,0.21079570864807573
UCI_CTG_NSPbin,binary_classification,pysr,base,2,0,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,pysr,base,2,0,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,pysr,base,2,0,Brier,0.2107957381926041
UCI_CTG_NSPbin,binary_classification,operon,base,2,0,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,operon,base,2,0,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,operon,base,2,0,Brier,0.210795307570435
UCI_CTG_NSPbin,binary_classification,lgo,base,3,0,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,base,3,0,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,base,3,0,Brier,0.21079570864807573
UCI_CTG_NSPbin,binary_classification,lgo,lgo_soft,3,0,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,lgo_soft,3,0,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,lgo_soft,3,0,Brier,0.21079570864807573
UCI_CTG_NSPbin,binary_classification,lgo,lgo_hard,3,0,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,lgo_hard,3,0,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,lgo_hard,3,0,Brier,0.21079570864807573
UCI_CTG_NSPbin,binary_classification,pysr,base,3,0,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,pysr,base,3,0,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,pysr,base,3,0,Brier,0.21079576665724176
UCI_CTG_NSPbin,binary_classification,operon,base,3,0,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,operon,base,3,0,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,operon,base,3,0,Brier,0.21079531886825495
UCI_CTG_NSPbin,binary_classification,lgo,base,5,0,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,base,5,0,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,base,5,0,Brier,0.2107957086480757
UCI_CTG_NSPbin,binary_classification,lgo,lgo_soft,5,0,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,lgo_soft,5,0,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,lgo_soft,5,0,Brier,0.2107957086480757
UCI_CTG_NSPbin,binary_classification,lgo,lgo_hard,5,0,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,lgo_hard,5,0,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,lgo_hard,5,0,Brier,0.2107957086480757
UCI_CTG_NSPbin,binary_classification,pysr,base,5,0,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,pysr,base,5,0,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,pysr,base,5,0,Brier,0.21079572667342533
UCI_CTG_NSPbin,binary_classification,operon,base,5,0,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,operon,base,5,0,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,operon,base,5,0,Brier,0.21079474817653193
UCI_CTG_NSPbin,binary_classification,lgo,base,8,0,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,base,8,0,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,base,8,0,Brier,0.2107957086480757
UCI_CTG_NSPbin,binary_classification,lgo,lgo_soft,8,0,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,lgo_soft,8,0,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,lgo_soft,8,0,Brier,0.2107957086480757
UCI_CTG_NSPbin,binary_classification,lgo,lgo_hard,8,0,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,lgo_hard,8,0,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,lgo_hard,8,0,Brier,0.2107957086480757
UCI_CTG_NSPbin,binary_classification,pysr,base,8,0,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,pysr,base,8,0,AUPRC,0.9999999999999999
UCI_CTG_NSPbin,binary_classification,pysr,base,8,0,Brier,0.2107957213762586
UCI_CTG_NSPbin,binary_classification,operon,base,8,0,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,operon,base,8,0,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,operon,base,8,0,Brier,0.21079593878101371
UCI_CTG_NSPbin,binary_classification,lgo,base,13,0,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,base,13,0,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,base,13,0,Brier,0.21079570864807573
UCI_CTG_NSPbin,binary_classification,lgo,lgo_soft,13,0,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,lgo_soft,13,0,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,lgo_soft,13,0,Brier,0.21079570864807573
UCI_CTG_NSPbin,binary_classification,lgo,lgo_hard,13,0,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,lgo_hard,13,0,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,lgo_hard,13,0,Brier,0.21079570864807573
UCI_CTG_NSPbin,binary_classification,pysr,base,13,0,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,pysr,base,13,0,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,pysr,base,13,0,Brier,0.21079566910016379
UCI_CTG_NSPbin,binary_classification,operon,base,13,0,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,operon,base,13,0,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,operon,base,13,0,Brier,0.2107961394450903
UCI_CTG_NSPbin,binary_classification,lgo,base,21,0,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,base,21,0,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,base,21,0,Brier,0.2107957086480757
UCI_CTG_NSPbin,binary_classification,lgo,lgo_soft,21,0,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,lgo_soft,21,0,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,lgo_soft,21,0,Brier,0.2107957086480757
UCI_CTG_NSPbin,binary_classification,lgo,lgo_hard,21,0,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,lgo_hard,21,0,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,lgo_hard,21,0,Brier,0.2107957086480757
UCI_CTG_NSPbin,binary_classification,pysr,base,21,0,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,pysr,base,21,0,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,pysr,base,21,0,Brier,0.21079570841248235
UCI_CTG_NSPbin,binary_classification,operon,base,21,0,AUROC,0.5
UCI_CTG_NSPbin,binary_classification,operon,base,21,0,AUPRC,0.22065727699530516
UCI_CTG_NSPbin,binary_classification,operon,base,21,0,Brier,0.43247733251668363
UCI_CTG_NSPbin,binary_classification,lgo,base,34,0,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,base,34,0,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,base,34,0,Brier,0.21079570864807573
UCI_CTG_NSPbin,binary_classification,lgo,lgo_soft,34,0,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,lgo_soft,34,0,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,lgo_soft,34,0,Brier,0.21079570864807573
UCI_CTG_NSPbin,binary_classification,lgo,lgo_hard,34,0,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,lgo_hard,34,0,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,lgo_hard,34,0,Brier,0.21079570864807573
UCI_CTG_NSPbin,binary_classification,pysr,base,34,0,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,pysr,base,34,0,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,pysr,base,34,0,Brier,0.21079573019802594
UCI_CTG_NSPbin,binary_classification,operon,base,34,0,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,operon,base,34,0,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,operon,base,34,0,Brier,0.21079422533692874
UCI_CTG_NSPbin,binary_classification,lgo,base,55,0,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,base,55,0,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,base,55,0,Brier,0.2107957086480757
UCI_CTG_NSPbin,binary_classification,lgo,lgo_soft,55,0,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,lgo_soft,55,0,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,lgo_soft,55,0,Brier,0.2107957086480757
UCI_CTG_NSPbin,binary_classification,lgo,lgo_hard,55,0,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,lgo_hard,55,0,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,lgo_hard,55,0,Brier,0.2107957086480757
UCI_CTG_NSPbin,binary_classification,pysr,base,55,0,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,pysr,base,55,0,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,pysr,base,55,0,Brier,0.2107957183530559
UCI_CTG_NSPbin,binary_classification,operon,base,55,0,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,operon,base,55,0,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,operon,base,55,0,Brier,0.2267653816138599
UCI_CTG_NSPbin,binary_classification,lgo,base,89,0,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,base,89,0,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,base,89,0,Brier,0.2107957086480757
UCI_CTG_NSPbin,binary_classification,lgo,lgo_soft,89,0,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,lgo_soft,89,0,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,lgo_soft,89,0,Brier,0.2107957086480757
UCI_CTG_NSPbin,binary_classification,lgo,lgo_hard,89,0,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,lgo_hard,89,0,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,lgo_hard,89,0,Brier,0.2107957086480757
UCI_CTG_NSPbin,binary_classification,pysr,base,89,0,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,pysr,base,89,0,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,pysr,base,89,0,Brier,0.21079570826231642
UCI_CTG_NSPbin,binary_classification,operon,base,89,0,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,operon,base,89,0,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,operon,base,89,0,Brier,0.16703004969598678
