dataset,task,method,experiment,seed,split,metric,value
UCI_CTG_NSPbin,binary_classification,lgo,base,1,1,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,base,1,1,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,base,1,1,Brier,0.21059895119085267
UCI_CTG_NSPbin,binary_classification,lgo,lgo_soft,1,1,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,lgo_soft,1,1,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,lgo_soft,1,1,Brier,0.2105989501417713
UCI_CTG_NSPbin,binary_classification,lgo,lgo_hard,1,1,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,lgo_hard,1,1,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,lgo_hard,1,1,Brier,0.21059895119085267
UCI_CTG_NSPbin,binary_classification,pysr,base,1,1,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,pysr,base,1,1,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,pysr,base,1,1,Brier,0.21059902773300515
UCI_CTG_NSPbin,binary_classification,operon,base,1,1,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,operon,base,1,1,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,operon,base,1,1,Brier,0.21059911982401805
UCI_CTG_NSPbin,binary_classification,lgo,base,2,1,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,base,2,1,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,base,2,1,Brier,0.21059895119085267
UCI_CTG_NSPbin,binary_classification,lgo,lgo_soft,2,1,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,lgo_soft,2,1,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,lgo_soft,2,1,Brier,0.21059895119085267
UCI_CTG_NSPbin,binary_classification,lgo,lgo_hard,2,1,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,lgo_hard,2,1,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,lgo_hard,2,1,Brier,0.21059895119085267
UCI_CTG_NSPbin,binary_classification,pysr,base,2,1,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,pysr,base,2,1,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,pysr,base,2,1,Brier,0.21059898300391972
UCI_CTG_NSPbin,binary_classification,operon,base,2,1,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,operon,base,2,1,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,operon,base,2,1,Brier,0.2105984195097155
UCI_CTG_NSPbin,binary_classification,lgo,base,3,1,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,base,3,1,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,base,3,1,Brier,0.21059895119085267
UCI_CTG_NSPbin,binary_classification,lgo,lgo_soft,3,1,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,lgo_soft,3,1,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,lgo_soft,3,1,Brier,0.21059895119085267
UCI_CTG_NSPbin,binary_classification,lgo,lgo_hard,3,1,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,lgo_hard,3,1,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,lgo_hard,3,1,Brier,0.21059895119085267
UCI_CTG_NSPbin,binary_classification,pysr,base,3,1,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,pysr,base,3,1,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,pysr,base,3,1,Brier,0.2105990085046969
UCI_CTG_NSPbin,binary_classification,operon,base,3,1,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,operon,base,3,1,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,operon,base,3,1,Brier,0.2105986356947652
UCI_CTG_NSPbin,binary_classification,lgo,base,5,1,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,base,5,1,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,base,5,1,Brier,0.21059895119085267
UCI_CTG_NSPbin,binary_classification,lgo,lgo_soft,5,1,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,lgo_soft,5,1,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,lgo_soft,5,1,Brier,0.21059895119085267
UCI_CTG_NSPbin,binary_classification,lgo,lgo_hard,5,1,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,lgo_hard,5,1,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,lgo_hard,5,1,Brier,0.21059895119085267
UCI_CTG_NSPbin,binary_classification,pysr,base,5,1,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,pysr,base,5,1,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,pysr,base,5,1,Brier,0.2105989699529458
UCI_CTG_NSPbin,binary_classification,operon,base,5,1,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,operon,base,5,1,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,operon,base,5,1,Brier,0.21059799208411786
UCI_CTG_NSPbin,binary_classification,lgo,base,8,1,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,base,8,1,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,base,8,1,Brier,0.21059895119085265
UCI_CTG_NSPbin,binary_classification,lgo,lgo_soft,8,1,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,lgo_soft,8,1,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,lgo_soft,8,1,Brier,0.21059895119085265
UCI_CTG_NSPbin,binary_classification,lgo,lgo_hard,8,1,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,lgo_hard,8,1,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,lgo_hard,8,1,Brier,0.21059895119085265
UCI_CTG_NSPbin,binary_classification,pysr,base,8,1,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,pysr,base,8,1,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,pysr,base,8,1,Brier,0.21059896559341254
UCI_CTG_NSPbin,binary_classification,operon,base,8,1,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,operon,base,8,1,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,operon,base,8,1,Brier,0.21059917655587979
UCI_CTG_NSPbin,binary_classification,lgo,base,13,1,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,base,13,1,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,base,13,1,Brier,0.21059895119085267
UCI_CTG_NSPbin,binary_classification,lgo,lgo_soft,13,1,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,lgo_soft,13,1,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,lgo_soft,13,1,Brier,0.21059895119085267
UCI_CTG_NSPbin,binary_classification,lgo,lgo_hard,13,1,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,lgo_hard,13,1,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,lgo_hard,13,1,Brier,0.21059895119085267
UCI_CTG_NSPbin,binary_classification,pysr,base,13,1,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,pysr,base,13,1,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,pysr,base,13,1,Brier,0.21059891565310784
UCI_CTG_NSPbin,binary_classification,operon,base,13,1,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,operon,base,13,1,AUPRC,1.0
UCI_CTG_NSPbin,binary_classification,operon,base,13,1,Brier,0.21059938152378038
UCI_CTG_NSPbin,binary_classification,lgo,base,21,1,AUROC,1.0
UCI_CTG_NSPbin,binary_classification,lgo,base,21,1,AUPRC,1.0
