phase,duration_s,method,seed,split
fit,392.2901976108551,lgo,1,0
fit,399.3627784252167,lgo,1,0
fit,405.6324107646942,lgo,1,0
fit,104.04372072219849,pysr,1,0
fit,4.229364395141602,operon,1,0
fit,380.0863039493561,lgo,2,0
fit,444.5507538318634,lgo,2,0
fit,359.15714478492737,lgo,2,0
fit,92.47993350028992,pysr,2,0
fit,4.300064325332642,operon,2,0
fit,444.485817193985,lgo,3,0
fit,368.3349323272705,lgo,3,0
fit,405.2122712135315,lgo,3,0
fit,87.45788812637329,pysr,3,0
fit,4.729944467544556,operon,3,0
fit,407.11889481544495,lgo,5,0
fit,429.9539723396301,lgo,5,0
fit,397.47296714782715,lgo,5,0
fit,100.60462641716003,pysr,5,0
fit,4.447666645050049,operon,5,0
fit,392.4382703304291,lgo,8,0
fit,485.83196115493774,lgo,8,0
fit,396.56770849227905,lgo,8,0
fit,92.37171173095703,pysr,8,0
fit,5.409584045410156,operon,8,0
fit,411.5842356681824,lgo,13,0
fit,521.1758949756622,lgo,13,0
fit,368.8761148452759,lgo,13,0
fit,91.59519362449646,pysr,13,0
fit,4.765364646911621,operon,13,0
fit,417.1134569644928,lgo,21,0
fit,755.5079102516174,lgo,21,0
fit,354.75576758384705,lgo,21,0
fit,93.12691307067871,pysr,21,0
fit,4.428762435913086,operon,21,0
fit,431.9672541618347,lgo,34,0
fit,580.7519869804382,lgo,34,0
fit,391.6244568824768,lgo,34,0
fit,93.88566946983337,pysr,34,0
fit,5.634703159332275,operon,34,0
fit,359.85391116142273,lgo,55,0
fit,396.7839262485504,lgo,55,0
fit,333.4654562473297,lgo,55,0
fit,96.89393162727356,pysr,55,0
fit,4.7267234325408936,operon,55,0
fit,414.7533233165741,lgo,89,0
fit,449.3786723613739,lgo,89,0
fit,360.2809371948242,lgo,89,0
fit,97.36574292182922,pysr,89,0
fit,4.688642978668213,operon,89,0
fit,152.35813689231873,pstree,1,0
fit,155.14820051193237,pstree,2,0
fit,151.98665809631348,pstree,3,0
fit,155.10393476486206,pstree,5,0
fit,175.8223807811737,pstree,8,0
fit,153.44503736495972,pstree,13,0
fit,151.91406440734863,pstree,21,0
fit,152.02150774002075,pstree,34,0
fit,152.4993405342102,pstree,55,0
fit,153.73332691192627,pstree,89,0
fit,32.5955650806427,rils_rols,1,0
fit,37.59299921989441,rils_rols,2,0
fit,47.96315145492554,rils_rols,3,0
fit,40.65626835823059,rils_rols,5,0
fit,42.923792600631714,rils_rols,8,0
fit,48.660863637924194,rils_rols,13,0
fit,43.660603523254395,rils_rols,21,0
fit,41.80815529823303,rils_rols,34,0
fit,46.15899133682251,rils_rols,55,0
fit,49.96303153038025,rils_rols,89,0
