dataset,method,experiment,rank,expr,complexity,cv_metric,seed
UCI_CTG_NSPbin,lgo,base,1,"sqrt(add(pow(id(NSP), zero), zero))",4.5,0.0,1
UCI_CTG_NSPbin,lgo,base,2,"sqrt(pow(id(idF(NSP)), sqrt(zero)))",5.0,0.0,1
UCI_CTG_NSPbin,lgo,base,3,"sqrt(add(pow(id(idF(idF(NSP))), zero), sqrt(zero)))",6.0,0.0,1
UCI_CTG_NSPbin,lgo,base,4,"sqrt(add(pow(id(idF(NSP)), zero), sqrt(zero)))",6.0,0.0,1
UCI_CTG_NSPbin,lgo,base,5,"sqrt(sqrt(pow(id(NSP), sqrt(zero))))",6.5,0.0,1
UCI_CTG_NSPbin,lgo,base,6,"sqrt(add(pow(id(idF(NSP)), log(one)), sqrt(zero)))",7.5,0.0,1
UCI_CTG_NSPbin,lgo,base,7,"sqrt(add(pow(id(NSP), zero), sqrt(pow(zero, 0.9629694432775858))))",8.0,0.0,1
UCI_CTG_NSPbin,lgo,base,8,"sqrt(sqrt(pow(sqrt(div(add(one, zero), id(idF(NSP)))), zero)))",9.0,0.0,1
UCI_CTG_NSPbin,lgo,base,9,"sqrt(sqrt(pow(id(idF(NSP)), div(sqrt(-1.4172645230330132), log(zero)))))",9.5,0.0,1
UCI_CTG_NSPbin,lgo,base,10,"sqrt(add(pow(zero, -0.2776705794457662), sqrt(pow(id(idF(NSP)), sqrt(log(one))))))",11.0,0.0,1
UCI_CTG_NSPbin,lgo,base,11,"sqrt(pow(id(idF(idF(NSP))), zero))",3.5,0.0,13
UCI_CTG_NSPbin,lgo,base,12,"sqrt(pow(id(NSP), zero))",3.5,0.0,13
UCI_CTG_NSPbin,lgo,base,13,"sqrt(add(pow(id(NSP), zero), zero))",4.5,0.0,13
UCI_CTG_NSPbin,lgo,base,14,"pow(sqrt(id(idF(NSP))), mul(zero, id(NSP)))",4.5,0.0,13
UCI_CTG_NSPbin,lgo,base,15,"pow(sqrt(id(idF(NSP))), mul(zero, log(id(idF(idF(idF(DP)))))))",6.0,0.0,13
UCI_CTG_NSPbin,lgo,base,16,"sqrt(add(pow(div(add(1.112772418536063, one), id(idF(NSP))), zero), zero))",7.0,0.0,13
UCI_CTG_NSPbin,lgo,base,17,"sqrt(add(pow(id(idF(idF(NSP))), zero), sqrt(div(-0.18839951970765034, one))))",7.5,0.0,13
UCI_CTG_NSPbin,lgo,base,18,"sqrt(add(pow(add(pow(id(idF(idF(NSP))), zero), div(-0.18839951970765034, id(NSP))), zero), zero))",9.0,0.0,13
UCI_CTG_NSPbin,lgo,base,19,"sqrt(pow(id(idF(NSP)), sqrt(pow(pow(-2.1299722569463677, zero), id(DL)))))",9.0,0.0,13
UCI_CTG_NSPbin,lgo,base,20,"sqrt(add(pow(id(idF(idF(NSP))), zero), log(pow(log(zero), sqrt(zero)))))",11.0,0.0,13
UCI_CTG_NSPbin,lgo,base,21,"sqrt(add(pow(id(idF(NSP)), zero), zero))",4.5,0.0,2
UCI_CTG_NSPbin,lgo,base,22,"sqrt(add(pow(id(idF(NSP)), zero), sub(zero, zero)))",5.5,0.0,2
UCI_CTG_NSPbin,lgo,base,23,"sqrt(add(pow(id(idF(NSP)), zero), mul(zero, one)))",5.5,0.0,2
UCI_CTG_NSPbin,lgo,base,24,"sqrt(add(pow(id(idF(idF(NSP))), zero), sqrt(-0.5200725252589552)))",6.0,0.0,2
UCI_CTG_NSPbin,lgo,base,25,"sqrt(add(pow(id(idF(NSP)), zero), sqrt(zero)))",6.0,0.0,2
UCI_CTG_NSPbin,lgo,base,26,"sqrt(add(pow(id(idF(NSP)), zero), sqrt(log(zero))))",7.5,0.0,2
UCI_CTG_NSPbin,lgo,base,27,"sqrt(div(sqrt(one), pow(id(NSP), mul(-1.4714636778034524, zero))))",7.5,0.0,2
UCI_CTG_NSPbin,lgo,base,28,"sqrt(add(pow(id(idF(idF(NSP))), zero), sqrt(div(add(id(idF(NSP)), 0.35366589114092734), -0.5200725252589552))))",8.5,0.0,2
UCI_CTG_NSPbin,lgo,base,29,"sqrt(add(pow(id(idF(idF(NSP))), zero), sqrt(sub(mul(zero, div(zero, -0.5200725252589552)), zero))))",9.5,0.0,2
UCI_CTG_NSPbin,lgo,base,30,"sqrt(add(sqrt(sub(mul(zero, div(zero, -0.5200725252589552)), zero)), pow(id(NSP), zero)))",9.5,0.0,2
UCI_CTG_NSPbin,lgo,base,31,"sqrt(add(pow(id(NSP), zero), zero))",4.5,0.0,21
UCI_CTG_NSPbin,lgo,base,32,"sqrt(pow(id(NSP), pow(zero, -0.2776705794457662)))",5.5,0.0,21
UCI_CTG_NSPbin,lgo,base,33,"sqrt(sqrt(pow(id(NSP), mul(zero, one))))",6.0,0.0,21
UCI_CTG_NSPbin,lgo,base,34,"sqrt(add(pow(id(idF(NSP)), zero), sqrt(zero)))",6.0,0.0,21
UCI_CTG_NSPbin,lgo,base,35,"sqrt(add(pow(id(NSP), mul(add(one, zero), zero)), zero))",6.5,0.0,21
UCI_CTG_NSPbin,lgo,base,36,"sqrt(add(pow(id(idF(NSP)), sub(one, one)), sqrt(zero)))",7.0,0.0,21
UCI_CTG_NSPbin,lgo,base,37,"sqrt(pow(id(idF(NSP)), mul(div(sqrt(-1.4172645230330132), log(one)), id(idF(DL)))))",9.0,0.0,21
UCI_CTG_NSPbin,lgo,base,38,"sqrt(add(pow(id(NSP), add(sub(log(one), mul(zero, zero)), mul(div(-1.0369954225477565, one), div(zero, one)))), zero))",13.0,0.0,21
UCI_CTG_NSPbin,lgo,base,39,"sqrt(add(pow(id(idF(idF(NSP))), add(sub(log(one), mul(zero, zero)), mul(div(-1.0369954225477565, one), div(zero, one)))), zero))",13.0,0.0,21
UCI_CTG_NSPbin,lgo,base,40,"sqrt(add(pow(id(NSP), log(sqrt(one))), sqrt(pow(log(add(one, zero)), 0.003952749513052885))))",13.5,0.0,21
UCI_CTG_NSPbin,lgo,base,41,"sqrt(pow(id(idF(NSP)), zero))",3.5,0.0,3
UCI_CTG_NSPbin,lgo,base,42,"sqrt(add(pow(id(idF(NSP)), zero), sqrt(-0.49655146026424574)))",6.0,0.0,3
UCI_CTG_NSPbin,lgo,base,43,"pow(sqrt(id(idF(idF(NSP)))), mul(zero, div(one, one)))",6.0,0.0,3
UCI_CTG_NSPbin,lgo,base,44,"sqrt(add(pow(id(NSP), zero), sqrt(-0.8167187268947367)))",6.0,0.0,3
UCI_CTG_NSPbin,lgo,base,45,"sqrt(add(pow(id(idF(NSP)), zero), pow(zero, -0.33532835862074456)))",6.5,0.0,3
UCI_CTG_NSPbin,lgo,base,46,"sqrt(add(pow(zero, zero), add(pow(id(idF(NSP)), zero), zero)))",7.5,0.0,3
UCI_CTG_NSPbin,lgo,base,47,"sqrt(add(pow(zero, zero), add(pow(id(NSP), zero), sqrt(-1.301354816575203))))",9.0,0.0,3
UCI_CTG_NSPbin,lgo,base,48,"sqrt(add(pow(zero, zero), add(pow(id(idF(NSP)), zero), pow(zero, mul(one, 0.0032248610531535682)))))",10.5,0.0,3
UCI_CTG_NSPbin,lgo,base,49,"sqrt(add(pow(zero, zero), add(pow(id(idF(NSP)), zero), sqrt(log(one)))))",10.5,0.0,3
UCI_CTG_NSPbin,lgo,base,50,"sqrt(add(pow(zero, zero), add(pow(id(NSP), zero), sqrt(pow(zero, one)))))",11.0,0.0,3
UCI_CTG_NSPbin,lgo,base,51,"sqrt(add(pow(id(NSP), zero), zero))",4.5,0.0,34
UCI_CTG_NSPbin,lgo,base,52,"sqrt(pow(id(idF(idF(NSP))), pow(zero, -1.301354816575203)))",5.5,0.0,34
UCI_CTG_NSPbin,lgo,base,53,"sqrt(add(pow(id(idF(NSP)), zero), sqrt(zero)))",6.0,0.0,34
UCI_CTG_NSPbin,lgo,base,54,"sqrt(pow(id(NSP), pow(zero, add(0.0115038342589797, one))))",6.5,0.0,34
UCI_CTG_NSPbin,lgo,base,55,"sqrt(add(pow(id(idF(idF(NSP))), mul(zero, one)), pow(zero, -0.09352477459685939)))",7.5,0.0,34
UCI_CTG_NSPbin,lgo,base,56,"sqrt(add(pow(id(NSP), mul(zero, one)), pow(zero, -0.09352477459685939)))",7.5,0.0,34
UCI_CTG_NSPbin,lgo,base,57,"sqrt(add(pow(id(NSP), mul(zero, one)), pow(zero, mul(one, -0.19906133749369084))))",8.5,0.0,34
UCI_CTG_NSPbin,lgo,base,58,"sqrt(add(pow(id(idF(NSP)), mul(zero, one)), pow(zero, mul(one, sqrt(sqrt(0.003952749513052885))))))",11.5,0.0,34
UCI_CTG_NSPbin,lgo,base,59,"sqrt(add(pow(zero, pow(one, 0.2923963759541735)), pow(pow(id(idF(NSP)), -1.9392858845240577), pow(zero, zero))))",12.5,0.0,34
UCI_CTG_NSPbin,lgo,base,60,"sqrt(add(pow(zero, pow(pow(log(mul(one, zero)), sqrt(log(-1.8202981118027053))), zero)), pow(id(idF(NSP)), zero)))",16.0,0.0,34
UCI_CTG_NSPbin,lgo,base,61,"sqrt(mul(one, pow(id(idF(idF(NSP))), sub(add(pow(zero, -0.03341675788268882), pow(zero, -0.14067985591102836)), log(sub(zero, one))))))",13.0,0.0,5
UCI_CTG_NSPbin,lgo,base,62,"sqrt(mul(one, pow(mul(pow(pow(id(idF(NSP)), zero), log(one)), mul(div(0.11627977001603221, one), add(0.8283502155030188, one))), sub(add(zero, pow(zero, -0.14067985591102836)), log(sub(zero, one))))))",21.0,0.0,5
UCI_CTG_NSPbin,lgo,base,63,"sqrt(mul(one, pow(mul(pow(pow(id(NSP), zero), id(idF(NSP))), mul(div(0.11627977001603221, one), add(0.8283502155030188, one))), sub(add(pow(zero, -0.03341675788268882), pow(zero, -0.14067985591102836)), log(sub(zero, one))))))",21.5,0.0,5
UCI_CTG_NSPbin,lgo,base,64,"sqrt(mul(one, pow(mul(pow(pow(id(NSP), zero), mul(id(idF(NSP)), zero)), mul(div(0.11627977001603221, 0.13962760816700714), add(0.8283502155030188, one))), sub(add(pow(zero, -0.03341675788268882), pow(zero, -0.14067985591102836)), log(sub(zero, one))))))",22.5,0.0,5
UCI_CTG_NSPbin,lgo,base,65,"sqrt(mul(one, pow(mul(pow(pow(id(NSP), zero), log(0.912745854070041)), mul(div(0.11627977001603221, one), add(0.8283502155030188, one))), sub(add(pow(zero, -0.03341675788268882), pow(zero, -0.14067985591102836)), log(sub(zero, one))))))",23.0,0.0,5
UCI_CTG_NSPbin,lgo,base,66,"sqrt(mul(one, pow(mul(pow(pow(id(idF(NSP)), zero), log(one)), mul(div(0.11627977001603221, one), add(0.8283502155030188, one))), sub(add(pow(zero, -0.03341675788268882), pow(zero, -0.14067985591102836)), log(sub(zero, one))))))",23.0,0.0,5
UCI_CTG_NSPbin,lgo,base,67,"sqrt(mul(one, pow(mul(pow(pow(id(NSP), pow(-0.35357269815318954, zero)), log(one)), mul(div(0.11627977001603221, one), add(0.8283502155030188, one))), sub(add(pow(zero, -0.03341675788268882), pow(zero, -0.14067985591102836)), log(sub(zero, one))))))",25.0,0.0,5
UCI_CTG_NSPbin,lgo,base,68,"sqrt(mul(one, pow(mul(pow(pow(id(NSP), zero), log(id(NSP))), mul(div(0.11627977001603221, one), add(0.8283502155030188, one))), sub(add(pow(zero, mul(sub(1.082431657680496, -0.1044209079353984), zero)), pow(zero, -0.14067985591102836)), log(sub(zero, one))))))",25.0,0.0,5
