dataset,method,experiment,seed,expr,complexity,cv_loss,test_loss,cv_r2,test_r2
UCI_Heart_Cleveland_num,lgo,base,1,"sqrt(sub(add(add(add(id(idF(thal)), id(oldpeak)), id(idF(cp))), add(pow(id(idF(slope)), id(idF(idF(idF(cp))))), add(id(ca), sqrt(id(idF(cp)))))), pow(div(log(pow(id(idF(idF(oldpeak))), sqrt(id(idF(ca))))), sub(add(id(cp), add(div(add(id(cp), pow(one, 0.4447917312345318)), id(cp)), add(sqrt(one), id(ca)))), sqrt(id(idF(cp))))), add(pow(id(idF(idF(oldpeak))), id(idF(idF(oldpeak)))), add(id(idF(idF(ca))), sqrt(id(idF(ca))))))))",36.5,0.5437605110254176,0.8780318687679433,0.6474611633455203,0.4111109257956894
UCI_Heart_Cleveland_num,lgo,lgo_soft,1,"sqrt(add(id(idF(ca)), div(lgo_or2(add(id(oldpeak), div(lgo_or2(div(id(cp), sub(0.6998724643713948, zero)), lgo(div(id(cp), sub(0.6998724643713948, zero)), 1371.33738102483, -1.0687468400129443), as_pos(zero), 1.9277617916210286), lgo_or2(zero, 1.2922646565171856, 1840.064607912461, -2.0442112407745894))), lgo(div(id(thal), sub(0.6998724643713948, zero)), as_pos(lgo_or2(div(id(cp), sub(0.6998724643713948, zero)), lgo(div(id(cp), sub(0.6998724643713948, zero)), 1840.064607912461, 0.8306898311760983), as_pos(zero), -0.20203503049651417)), as_thr(-0.5896251858960536)), as_pos(lgo_and3(id(oldpeak), lgo_and3(gate_expr(pow(zero, zero), as_pos(zero), as_thr(zero)), lgo_or2(gate_expr(pow(one, one), 1324.7771759687764, 3.511745154951174), lgo_or2(1.364162122513044, zero, 1162.3663968554636, 1.2329307199688522), as_pos(zero), as_thr(one)), pow(lgo_and3(zero, 1.3002843621602902, -0.01889815732352645, 198.49961632974455, as_thr(-1.4293780314356552)), lgo_or2(one, zero, 1840.064607912461, -1.7279707058948108)), as_pos(zero), as_thr(one)), div(lgo_and2(pow(one, zero), zero, as_pos(0.3161732493362825), as_thr(one)), pow(sqrt(zero), pow(zero, one))), as_pos(lgo_and3(lgo_and2(one, one, 1840.064607912461, -1.241650874858847), pow(zero, one), zero, as_pos(0.5180504369346681), -0.3987327018038763)), as_thr(mul(lgo_or2(zero, one, 163.16582731182112, -1.0096203960170216), lgo_and2(zero, zero, as_pos(0.3161732493362825), -0.5038801451653183))))), -4.2066339923041545), one)))",114.19999999999999,0.6693155882595296,0.7685258731637797,0.5458588965250023,0.48455573647396843
UCI_Heart_Cleveland_num,lgo,lgo_hard,1,"sqrt(add(add(id(cp), add(sqrt(add(add(add(pow(id(slope), -0.9204569966303348), pow(id(slope), log(-0.6306154900379426))), add(add(zero, id(slope)), add(id(oldpeak), id(ca)))), add(add(id(trestbps), lgo_thre(0.4620143772147406, as_pos(one), as_thr(0.7076857223574261))), add(lgo_thre(id(oldpeak), as_pos(one), as_thr(0.7076857223574261)), log(id(thalach)))))), add(add(id(thal), sqrt(add(add(id(oldpeak), id(exang)), pow(id(ca), id(trestbps))))), add(sqrt(-0.9609797301287926), -0.9204569966303348)))), id(ca)))",40.0,0.4930715053773547,0.7578988776954381,0.634912631820176,0.4916831788203454
UCI_Heart_Cleveland_num,pysr,base,1,log((ca + sin(thal + 0.35922977) + 0.34047282)*(0.7016473*cp*slope + sin(cp + 1.5551313) - 0.9878323) + 0.99361444),18.0,0.5796217022808039,,0.588835589917406,
UCI_Heart_Cleveland_num,operon,base,1,((-0.419833) + (0.648934 * sqrt((((sqrt((1.731358 * thal)) + ((0.707107 * cp) + sin(((2.240542 * trestbps) + (2.302585 * ca))))) * (sin((((1.731358 * thal) + (((-1.806817) * slope) * (0.745018 * cp))) + (3.141593 * thalach))) + ((0.434294 * restecg) + (1.597433 * slope)))) / (sqrt(1 + (((0.707107 / (sqrt(1 + (0.659677 * oldpeak) ^ 2))) * ((3.141593 * thalach) / (sqrt(1 + ((((0.693147 * cp) + (4.024503 * ca)) + (3.141593 * ca)) * ((2.240542 * sex) + ((0.162946 * cp) * (1.414214 * thal)))) ^ 2)))) / (sqrt(1 + (sin(((0.745018 * cp) * (0.745018 * cp))) + sqrt((1.731358 * thal))) ^ 2))) ^ 2)))))),79.5,2.4791666666666665,,-0.6243912709842799,
UCI_Heart_Cleveland_num,lgo,base,2,"sqrt(add(add(sub(sub(-0.4445856447328498, sub(pow(zero, id(idF(idF(thal)))), sqrt(pow(id(ca), id(chol))))), sub(sub(pow(zero, div(sqrt(-1.5058313294459944), id(thal))), sqrt(pow(id(ca), id(chol)))), id(cp))), div(sqrt(sub(sub(pow(zero, sqrt(-1.5058313294459944)), sqrt(pow(id(ca), id(chol)))), id(cp))), sub(-0.4445856447328498, sub(pow(zero, sqrt(-1.5058313294459944)), sqrt(pow(pow(id(ca), zero), zero)))))), add(add(id(idF(idF(idF(oldpeak)))), id(idF(idF(idF(idF(thal)))))), id(idF(slope)))))",41.5,0.48688704763200047,1.2091470710850474,0.6052032623103246,0.3541148074206918
UCI_Heart_Cleveland_num,lgo,lgo_soft,2,"sqrt(lgo_or2(lgo_or2(add(id(idF(oldpeak)), add(id(thal), add(id(ca), mul(one, one)))), lgo_and2(lgo_or2(id(restecg), id(cp), 5.468552741672857, as_thr(log(lgo_or2(one, -1.8447716463729085, as_pos(0.3972753379444784), 0.36672378904041497)))), one, as_pos(zero), as_thr(id(idF(cp)))), 5.566540015440424, as_thr(one)), id(cp), 5.468552741672857, as_thr(lgo_or2(add(id(idF(oldpeak)), add(id(cp), add(id(ca), mul(one, one)))), id(cp), as_pos(0.3972753379444784), as_thr(lgo_or2(add(id(idF(cp)), one), lgo_or2(lgo(mul(one, one), as_pos(zero), as_thr(one)), id(idF(cp)), as_pos(0.3972753379444784), as_thr(pow(zero, one))), 5.468552741672857, as_thr(log(lgo_or2(one, -1.8447716463729085, 5.468552741672857, 0.36672378904041497)))))))))",51.5,0.5569440030505717,0.8250541314481039,0.5685865165318722,0.559284176985588
UCI_Heart_Cleveland_num,lgo,lgo_hard,2,"sqrt(add(add(sqrt(add(add(sqrt(sqrt(id(idF(ca)))), id(exang)), id(idF(idF(oldpeak))))), add(add(id(idF(idF(oldpeak))), id(thal)), id(ca))), add(mul(add(add(add(id(idF(ca)), add(add(id(thal), id(thal)), add(id(thal), id(thal)))), id(oldpeak)), sub(div(sqrt(id(idF(ca))), id(idF(trestbps))), log(add(one, 1.2571309439927232)))), mul(log(0.9390113087498775), add(id(idF(exang)), id(exang)))), id(idF(cp)))))",30.0,0.558468237845213,0.9325889195780638,0.6026199698284782,0.5018427548449649
UCI_Heart_Cleveland_num,pysr,base,2,0.21540964*cp*log(ca*(exang + oldpeak + restecg) + oldpeak*(thal - 2.827813) + 1.2127726),14.25,0.5675153227009393,,0.574426570101987,
UCI_Heart_Cleveland_num,operon,base,2,((-0.171463) + ((-0.216558) * (((cos((1.772454 * restecg)) + sin(((-0.527459) * trestbps))) + ((((-0.645548) * cp) + sin(((-0.557722) * ca))) * ((sqrt((1.442695 * thal)) + ((-0.207697) * oldpeak)) + (0.707107 * oldpeak)))) / (sqrt(1 + ((exp((exp(((-1.831863) * ca)) + sin((exp(((-0.493494) * ca)) + ((-0.849949) * slope))))) + sin(((-1.624913) * exang))) + ((cos((0.434294 * oldpeak)) / (sqrt(1 + (sin(((-0.527459) * trestbps)) + sin((1.772454 * trestbps))) ^ 2))) + ((sin(sqrt((2.718282 * thal))) / (sqrt(1 + cos(((-0.560655) * oldpeak)) ^ 2))) / (sqrt(1 + exp(cos((1.442695 * restecg))) ^ 2))))) ^ 2))))),95.25,2.2291666666666665,,-0.5834186747372648,
UCI_Heart_Cleveland_num,lgo,base,3,"add(sub(sqrt(sqrt(id(ca))), pow(log(pow(-0.9162809818667099, div(id(thal), add(sqrt(id(idF(sex))), mul(add(mul(one, one), one), mul(one, add(zero, zero))))))), pow(add(add(div(add(mul(one, mul(one, one)), add(one, mul(0.8466097535364244, zero))), 0.8466097535364244), div(id(idF(thal)), div(add(mul(one, 0.8466097535364244), mul(-1.2378750990997693, -0.13420094745443187)), 0.8466097535364244))), div(id(idF(thal)), add(mul(one, 0.8466097535364244), mul(-1.2378750990997693, -0.13420094745443187)))), sub(-0.6950852228106799, id(oldpeak))))), sqrt(id(cp)))",40.0,0.6599566193794065,0.5387515325541159,0.473092264215321,0.569623346364563
