dataset,task,method,experiment,seed,split,metric,value
UCI_Heart_Cleveland_num,regression,lgo,base,1,0,RMSE,0.937033547301239
UCI_Heart_Cleveland_num,regression,lgo,base,1,0,MAE,0.5518168839875458
UCI_Heart_Cleveland_num,regression,lgo,base,1,0,R2,0.4111109257956894
UCI_Heart_Cleveland_num,regression,lgo,lgo_soft,1,0,RMSE,0.8429120504497534
UCI_Heart_Cleveland_num,regression,lgo,lgo_soft,1,0,MAE,0.4625126006462208
UCI_Heart_Cleveland_num,regression,lgo,lgo_soft,1,0,R2,0.5234727474844506
UCI_Heart_Cleveland_num,regression,lgo,lgo_hard,1,0,RMSE,0.8705738783672745
UCI_Heart_Cleveland_num,regression,lgo,lgo_hard,1,0,MAE,0.4656128161108033
UCI_Heart_Cleveland_num,regression,lgo,lgo_hard,1,0,R2,0.4916831788203454
UCI_Heart_Cleveland_num,regression,pysr,base,1,0,RMSE,1.007827841926983
UCI_Heart_Cleveland_num,regression,pysr,base,1,0,MAE,0.6160795701070767
UCI_Heart_Cleveland_num,regression,pysr,base,1,0,R2,0.31876661782587146
UCI_Heart_Cleveland_num,regression,operon,base,1,0,RMSE,0.95113334698242
UCI_Heart_Cleveland_num,regression,operon,base,1,0,MAE,0.5225850323580146
UCI_Heart_Cleveland_num,regression,operon,base,1,0,R2,0.3932552398406799
UCI_Heart_Cleveland_num,regression,lgo,base,2,0,RMSE,1.0863742844097508
UCI_Heart_Cleveland_num,regression,lgo,base,2,0,MAE,0.6836993565699351
UCI_Heart_Cleveland_num,regression,lgo,base,2,0,R2,0.36957249377526347
UCI_Heart_Cleveland_num,regression,lgo,lgo_soft,2,0,RMSE,0.9722158787042047
UCI_Heart_Cleveland_num,regression,lgo,lgo_soft,2,0,MAE,0.6447399510726873
UCI_Heart_Cleveland_num,regression,lgo,lgo_soft,2,0,R2,0.4951043607826766
UCI_Heart_Cleveland_num,regression,lgo,lgo_hard,2,0,RMSE,0.9595974827097283
UCI_Heart_Cleveland_num,regression,lgo,lgo_hard,2,0,MAE,0.6109029698188208
UCI_Heart_Cleveland_num,regression,lgo,lgo_hard,2,0,R2,0.5081253961312353
UCI_Heart_Cleveland_num,regression,pysr,base,2,0,RMSE,1.020852471554532
UCI_Heart_Cleveland_num,regression,pysr,base,2,0,MAE,0.7379729615884857
UCI_Heart_Cleveland_num,regression,pysr,base,2,0,R2,0.44332442158275254
UCI_Heart_Cleveland_num,regression,operon,base,2,0,RMSE,0.9630609277994959
UCI_Heart_Cleveland_num,regression,operon,base,2,0,MAE,0.6858303647202103
UCI_Heart_Cleveland_num,regression,operon,base,2,0,R2,0.5045683734160739
UCI_Heart_Cleveland_num,regression,lgo,base,3,0,RMSE,0.7094502877943586
UCI_Heart_Cleveland_num,regression,lgo,base,3,0,MAE,0.4753423513353971
UCI_Heart_Cleveland_num,regression,lgo,base,3,0,R2,0.5979277277633265
UCI_Heart_Cleveland_num,regression,lgo,lgo_soft,3,0,RMSE,0.7260383198009881
UCI_Heart_Cleveland_num,regression,lgo,lgo_soft,3,0,MAE,0.48886769397747293
UCI_Heart_Cleveland_num,regression,lgo,lgo_soft,3,0,R2,0.5789057880613689
UCI_Heart_Cleveland_num,regression,lgo,lgo_hard,3,0,RMSE,0.6790555065977822
UCI_Heart_Cleveland_num,regression,lgo,lgo_hard,3,0,MAE,0.4373118662860106
UCI_Heart_Cleveland_num,regression,lgo,lgo_hard,3,0,R2,0.6316414654674307
UCI_Heart_Cleveland_num,regression,pysr,base,3,0,RMSE,0.7223413074837471
UCI_Heart_Cleveland_num,regression,pysr,base,3,0,MAE,0.5396500682424104
UCI_Heart_Cleveland_num,regression,pysr,base,3,0,R2,0.5831833222639411
UCI_Heart_Cleveland_num,regression,operon,base,3,0,RMSE,0.6507985376615626
UCI_Heart_Cleveland_num,regression,operon,base,3,0,MAE,0.4333064915253701
UCI_Heart_Cleveland_num,regression,operon,base,3,0,R2,0.6616600173954368
UCI_Heart_Cleveland_num,regression,lgo,base,5,0,RMSE,0.8495247142494237
UCI_Heart_Cleveland_num,regression,lgo,base,5,0,MAE,0.5949053336364449
UCI_Heart_Cleveland_num,regression,lgo,base,5,0,R2,0.5245366810395498
UCI_Heart_Cleveland_num,regression,lgo,lgo_soft,5,0,RMSE,0.8526889109865609
UCI_Heart_Cleveland_num,regression,lgo,lgo_soft,5,0,MAE,0.5647769615178795
UCI_Heart_Cleveland_num,regression,lgo,lgo_soft,5,0,R2,0.5209881997239263
