dataset,task,method,experiment,seed,split,metric,value
UCI_Heart_Cleveland_num,regression,lgo,base,1,1,RMSE,0.7198551532641989
UCI_Heart_Cleveland_num,regression,lgo,base,1,1,MAE,0.4691572164327022
UCI_Heart_Cleveland_num,regression,lgo,base,1,1,R2,0.6568127336295353
UCI_Heart_Cleveland_num,regression,lgo,lgo_soft,1,1,RMSE,0.8145906784680453
UCI_Heart_Cleveland_num,regression,lgo,lgo_soft,1,1,MAE,0.5320281188067826
UCI_Heart_Cleveland_num,regression,lgo,lgo_soft,1,1,R2,0.5605395445226411
UCI_Heart_Cleveland_num,regression,lgo,lgo_hard,1,1,RMSE,0.7297959077233199
UCI_Heart_Cleveland_num,regression,lgo,lgo_hard,1,1,MAE,0.4545079437317815
UCI_Heart_Cleveland_num,regression,lgo,lgo_hard,1,1,R2,0.6472688803583568
UCI_Heart_Cleveland_num,regression,pysr,base,1,1,RMSE,0.7749865659441271
UCI_Heart_Cleveland_num,regression,pysr,base,1,1,MAE,0.5461104083453864
UCI_Heart_Cleveland_num,regression,pysr,base,1,1,R2,0.6022325163421693
UCI_Heart_Cleveland_num,regression,operon,base,1,1,RMSE,0.6821286660743411
UCI_Heart_Cleveland_num,regression,operon,base,1,1,MAE,0.49354364440740367
UCI_Heart_Cleveland_num,regression,operon,base,1,1,R2,0.6918419401287579
UCI_Heart_Cleveland_num,regression,lgo,base,2,1,RMSE,0.7366911550381301
UCI_Heart_Cleveland_num,regression,lgo,base,2,1,MAE,0.44631229026844355
UCI_Heart_Cleveland_num,regression,lgo,base,2,1,R2,0.6137013457621928
UCI_Heart_Cleveland_num,regression,lgo,lgo_soft,2,1,RMSE,0.821092893546007
UCI_Heart_Cleveland_num,regression,lgo,lgo_soft,2,1,MAE,0.5449434410464032
UCI_Heart_Cleveland_num,regression,lgo,lgo_soft,2,1,R2,0.5201153364037718
UCI_Heart_Cleveland_num,regression,lgo,lgo_hard,2,1,RMSE,0.7387807739808203
UCI_Heart_Cleveland_num,regression,lgo,lgo_hard,2,1,MAE,0.464351151918266
UCI_Heart_Cleveland_num,regression,lgo,lgo_hard,2,1,R2,0.6115067712451271
UCI_Heart_Cleveland_num,regression,pysr,base,2,1,RMSE,0.7616585370750147
UCI_Heart_Cleveland_num,regression,pysr,base,2,1,MAE,0.5543494366111773
UCI_Heart_Cleveland_num,regression,pysr,base,2,1,R2,0.5870733503428591
UCI_Heart_Cleveland_num,regression,operon,base,2,1,RMSE,0.6949444462785348
UCI_Heart_Cleveland_num,regression,operon,base,2,1,MAE,0.4982926203855323
UCI_Heart_Cleveland_num,regression,operon,base,2,1,R2,0.6562422792782776
UCI_Heart_Cleveland_num,regression,lgo,base,3,1,RMSE,0.8551037991571068
UCI_Heart_Cleveland_num,regression,lgo,base,3,1,MAE,0.6053354939152766
UCI_Heart_Cleveland_num,regression,lgo,base,3,1,R2,0.5338325316846833
UCI_Heart_Cleveland_num,regression,lgo,lgo_soft,3,1,RMSE,0.8747247938952969
UCI_Heart_Cleveland_num,regression,lgo,lgo_soft,3,1,MAE,0.5924858856054614
UCI_Heart_Cleveland_num,regression,lgo,lgo_soft,3,1,R2,0.5121939703081759
UCI_Heart_Cleveland_num,regression,lgo,lgo_hard,3,1,RMSE,0.8266013638211371
UCI_Heart_Cleveland_num,regression,lgo,lgo_hard,3,1,MAE,0.5354561402445288
UCI_Heart_Cleveland_num,regression,lgo,lgo_hard,3,1,R2,0.5643913191117969
UCI_Heart_Cleveland_num,regression,pysr,base,3,1,RMSE,0.8060367034984838
UCI_Heart_Cleveland_num,regression,pysr,base,3,1,MAE,0.5804549324614504
UCI_Heart_Cleveland_num,regression,pysr,base,3,1,R2,0.5857963446240491
UCI_Heart_Cleveland_num,regression,operon,base,3,1,RMSE,0.7496331328896266
UCI_Heart_Cleveland_num,regression,operon,base,3,1,MAE,0.534554991490959
UCI_Heart_Cleveland_num,regression,operon,base,3,1,R2,0.6417370991287026
UCI_Heart_Cleveland_num,regression,lgo,base,5,1,RMSE,0.7782178722267156
UCI_Heart_Cleveland_num,regression,lgo,base,5,1,MAE,0.5091224383133557
UCI_Heart_Cleveland_num,regression,lgo,base,5,1,R2,0.5974381852354489
UCI_Heart_Cleveland_num,regression,lgo,lgo_soft,5,1,RMSE,0.8021961221013942
UCI_Heart_Cleveland_num,regression,lgo,lgo_soft,5,1,MAE,0.5174329561504799
UCI_Heart_Cleveland_num,regression,lgo,lgo_soft,5,1,R2,0.5722487445324186
UCI_Heart_Cleveland_num,regression,lgo,lgo_hard,5,1,RMSE,0.7825788367473149
UCI_Heart_Cleveland_num,regression,lgo,lgo_hard,5,1,MAE,0.5177802189150501
UCI_Heart_Cleveland_num,regression,lgo,lgo_hard,5,1,R2,0.5929138052711418
UCI_Heart_Cleveland_num,regression,pysr,base,5,1,RMSE,0.7475340015413592
UCI_Heart_Cleveland_num,regression,pysr,base,5,1,MAE,0.5230612202625449
UCI_Heart_Cleveland_num,regression,pysr,base,5,1,R2,0.6285570848898812
UCI_Heart_Cleveland_num,regression,operon,base,5,1,RMSE,0.6930549411102774
UCI_Heart_Cleveland_num,regression,operon,base,5,1,MAE,0.4939678332292136
UCI_Heart_Cleveland_num,regression,operon,base,5,1,R2,0.6807245653886205
UCI_Heart_Cleveland_num,regression,lgo,base,8,1,RMSE,0.7529247346687613
UCI_Heart_Cleveland_num,regression,lgo,base,8,1,MAE,0.49458595745543715
UCI_Heart_Cleveland_num,regression,lgo,base,8,1,R2,0.6131881158764949
UCI_Heart_Cleveland_num,regression,lgo,lgo_soft,8,1,RMSE,0.7582219998372599
UCI_Heart_Cleveland_num,regression,lgo,lgo_soft,8,1,MAE,0.5396426507438489
UCI_Heart_Cleveland_num,regression,lgo,lgo_soft,8,1,R2,0.6077260739476938
UCI_Heart_Cleveland_num,regression,lgo,lgo_hard,8,1,RMSE,0.7887389548215873
UCI_Heart_Cleveland_num,regression,lgo,lgo_hard,8,1,MAE,0.5148216040804483
UCI_Heart_Cleveland_num,regression,lgo,lgo_hard,8,1,R2,0.5755141081943164
UCI_Heart_Cleveland_num,regression,pysr,base,8,1,RMSE,0.7712871997336453
UCI_Heart_Cleveland_num,regression,pysr,base,8,1,MAE,0.5216546542222757
