phase,duration_s,method,seed,split
fit,197.81068468093872,lgo,1,0
fit,413.3817081451416,lgo,1,0
fit,181.929541349411,lgo,1,0
fit,55.19696855545044,pysr,1,0
fit,2.558267831802368,operon,1,0
fit,226.82398557662964,lgo,2,0
fit,278.1710772514343,lgo,2,0
fit,164.88928389549255,lgo,2,0
fit,48.50589966773987,pysr,2,0
fit,2.9725258350372314,operon,2,0
fit,206.79541325569153,lgo,3,0
fit,387.76349663734436,lgo,3,0
fit,124.98838448524475,lgo,3,0
fit,47.12491726875305,pysr,3,0
fit,2.7786762714385986,operon,3,0
fit,191.58269810676575,lgo,5,0
fit,275.7938885688782,lgo,5,0
fit,123.67271876335144,lgo,5,0
fit,46.718443155288696,pysr,5,0
fit,2.754002094268799,operon,5,0
fit,216.35626339912415,lgo,8,0
fit,563.0863163471222,lgo,8,0
fit,124.23645377159119,lgo,8,0
fit,47.90855050086975,pysr,8,0
fit,3.0387818813323975,operon,8,0
fit,228.5024287700653,lgo,13,0
fit,362.03849816322327,lgo,13,0
fit,117.94523978233337,lgo,13,0
fit,48.45502281188965,pysr,13,0
fit,2.675826072692871,operon,13,0
fit,279.81611132621765,lgo,21,0
fit,377.3448328971863,lgo,21,0
fit,182.6538507938385,lgo,21,0
fit,48.14829397201538,pysr,21,0
fit,2.775576591491699,operon,21,0
fit,247.7270209789276,lgo,34,0
fit,388.76302433013916,lgo,34,0
fit,262.71402072906494,lgo,34,0
fit,46.50097727775574,pysr,34,0
fit,2.6832759380340576,operon,34,0
fit,150.76347994804382,lgo,55,0
fit,250.7015504837036,lgo,55,0
fit,126.45056557655334,lgo,55,0
fit,46.12687110900879,pysr,55,0
fit,2.877927303314209,operon,55,0
fit,166.55666065216064,lgo,89,0
fit,236.44770121574402,lgo,89,0
fit,132.54031372070312,lgo,89,0
fit,47.890952587127686,pysr,89,0
fit,3.029219388961792,operon,89,0
fit,149.8132472038269,pstree,1,0
fit,149.22643733024597,pstree,2,0
fit,152.41976118087769,pstree,3,0
fit,149.65227246284485,pstree,5,0
fit,151.62245321273804,pstree,8,0
fit,152.62352871894836,pstree,13,0
fit,146.833265542984,pstree,21,0
fit,133.4869360923767,pstree,34,0
fit,135.92133688926697,pstree,55,0
fit,132.79699993133545,pstree,89,0
fit,93.64223432540894,rils_rols,1,0
fit,94.83561491966248,rils_rols,2,0
fit,101.8459722995758,rils_rols,3,0
fit,100.33542728424072,rils_rols,5,0
fit,105.52631306648254,rils_rols,8,0
fit,114.7625060081482,rils_rols,13,0
fit,111.89267468452454,rils_rols,21,0
fit,118.1377580165863,rils_rols,34,0
fit,122.71948766708374,rils_rols,55,0
fit,128.3978316783905,rils_rols,89,0
