dataset,task,method,experiment,seed,split,check,status,value,threshold,notes
UCI_Heart_Cleveland_num,regression,lgo,base,1,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_Heart_Cleveland_num,regression,lgo,base,1,0,metrics_guard_RMSE_ge_MAE,OK,0.3852166633136932,>= 0,
UCI_Heart_Cleveland_num,regression,lgo,lgo_soft,1,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_Heart_Cleveland_num,regression,lgo,lgo_soft,1,0,metrics_guard_RMSE_ge_MAE,OK,0.3803994498035326,>= 0,
UCI_Heart_Cleveland_num,regression,lgo,lgo_hard,1,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_Heart_Cleveland_num,regression,lgo,lgo_hard,1,0,metrics_guard_RMSE_ge_MAE,OK,0.4049610622564712,>= 0,
UCI_Heart_Cleveland_num,regression,pysr,base,1,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_Heart_Cleveland_num,regression,pysr,base,1,0,metrics_guard_RMSE_ge_MAE,OK,0.39174827181990635,>= 0,
UCI_Heart_Cleveland_num,regression,operon,base,1,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_Heart_Cleveland_num,regression,operon,base,1,0,metrics_guard_RMSE_ge_MAE,OK,0.42854831462440546,>= 0,
UCI_Heart_Cleveland_num,regression,lgo,base,2,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_Heart_Cleveland_num,regression,lgo,base,2,0,metrics_guard_RMSE_ge_MAE,OK,0.40267492783981573,>= 0,
UCI_Heart_Cleveland_num,regression,lgo,lgo_soft,2,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_Heart_Cleveland_num,regression,lgo,lgo_soft,2,0,metrics_guard_RMSE_ge_MAE,OK,0.32747592763151734,>= 0,
UCI_Heart_Cleveland_num,regression,lgo,lgo_hard,2,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_Heart_Cleveland_num,regression,lgo,lgo_hard,2,0,metrics_guard_RMSE_ge_MAE,OK,0.3486945128909076,>= 0,
UCI_Heart_Cleveland_num,regression,pysr,base,2,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_Heart_Cleveland_num,regression,pysr,base,2,0,metrics_guard_RMSE_ge_MAE,OK,0.28287950996604627,>= 0,
UCI_Heart_Cleveland_num,regression,operon,base,2,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_Heart_Cleveland_num,regression,operon,base,2,0,metrics_guard_RMSE_ge_MAE,OK,0.2772305630792856,>= 0,
UCI_Heart_Cleveland_num,regression,lgo,base,3,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
