dataset,method,experiment,rank,expr,complexity,cv_metric,seed
UCI_Heart_Cleveland_num,lgo,base,1,"sqrt(sub(add(add(add(id(idF(thal)), id(oldpeak)), id(idF(cp))), add(pow(id(idF(slope)), id(idF(idF(idF(cp))))), add(id(ca), sqrt(id(idF(cp)))))), pow(div(log(pow(id(idF(idF(oldpeak))), sqrt(id(idF(ca))))), sub(add(id(cp), add(div(add(id(cp), pow(one, 0.4447917312345318)), id(cp)), add(sqrt(one), id(ca)))), sqrt(id(idF(cp))))), add(pow(id(idF(idF(oldpeak))), id(idF(idF(oldpeak)))), add(id(idF(idF(ca))), sqrt(id(idF(ca))))))))",36.5,0.5437605110254176,1
UCI_Heart_Cleveland_num,lgo,base,2,"sqrt(sub(add(add(add(id(idF(thal)), id(oldpeak)), id(idF(cp))), add(pow(id(idF(slope)), id(idF(idF(idF(cp))))), add(id(ca), sqrt(id(idF(cp)))))), pow(div(log(pow(id(idF(idF(oldpeak))), sqrt(id(idF(ca))))), sub(add(id(cp), add(div(add(id(cp), pow(one, 0.4447917312345318)), id(cp)), add(sqrt(one), id(ca)))), zero)), add(pow(id(idF(idF(oldpeak))), id(idF(idF(oldpeak)))), add(id(idF(idF(ca))), sqrt(id(idF(ca))))))))",35.0,0.5454273886074147,1
UCI_Heart_Cleveland_num,lgo,base,3,"sqrt(sub(add(add(add(id(idF(thal)), id(oldpeak)), id(idF(cp))), add(pow(id(idF(slope)), id(idF(idF(idF(cp))))), add(id(ca), sqrt(id(idF(cp)))))), pow(div(log(pow(id(idF(oldpeak)), sqrt(id(idF(ca))))), sub(add(id(idF(cp)), add(div(add(id(cp), pow(one, 0.4447917312345318)), id(cp)), add(sqrt(one), id(ca)))), zero)), add(pow(id(idF(idF(oldpeak))), id(idF(idF(oldpeak)))), add(id(idF(ca)), sqrt(id(idF(ca))))))))",35.0,0.5454273886074147,1
UCI_Heart_Cleveland_num,lgo,base,4,"sqrt(sub(add(add(add(id(idF(thal)), id(oldpeak)), id(idF(cp))), add(pow(id(idF(slope)), id(idF(idF(idF(cp))))), add(id(ca), sqrt(id(idF(cp)))))), pow(div(log(pow(id(idF(idF(oldpeak))), sqrt(id(idF(ca))))), sub(add(id(cp), add(div(add(id(cp), pow(one, 0.4447917312345318)), id(cp)), add(sqrt(one), id(ca)))), zero)), add(pow(id(idF(idF(oldpeak))), id(idF(idF(idF(idF(oldpeak)))))), add(id(idF(ca)), sqrt(id(idF(ca))))))))",35.0,0.5454273886074147,1
UCI_Heart_Cleveland_num,lgo,base,5,"sqrt(sub(add(add(add(id(idF(thal)), id(oldpeak)), id(idF(cp))), add(pow(id(idF(slope)), id(idF(idF(idF(cp))))), add(id(ca), sqrt(id(idF(cp)))))), pow(div(log(pow(id(idF(idF(oldpeak))), sqrt(id(idF(ca))))), sub(add(id(cp), add(div(add(id(cp), pow(one, one)), id(cp)), add(sqrt(one), id(ca)))), zero)), add(pow(id(idF(idF(oldpeak))), id(idF(idF(oldpeak)))), add(id(idF(ca)), sqrt(id(idF(ca))))))))",35.0,0.5454273886074147,1
UCI_Heart_Cleveland_num,lgo,base,6,"sqrt(sub(add(add(add(id(idF(thal)), id(oldpeak)), id(idF(cp))), add(pow(id(idF(slope)), id(idF(idF(idF(cp))))), add(id(ca), sqrt(id(idF(cp)))))), pow(div(log(pow(id(idF(idF(oldpeak))), sqrt(id(idF(ca))))), sub(add(id(cp), add(div(add(id(cp), pow(one, 0.4447917312345318)), id(cp)), add(sqrt(one), id(idF(ca))))), zero)), add(pow(id(idF(idF(oldpeak))), id(idF(idF(oldpeak)))), add(id(ca), sqrt(id(idF(ca))))))))",35.0,0.5454273886074147,1
UCI_Heart_Cleveland_num,lgo,base,7,"sqrt(sub(add(add(add(id(idF(thal)), id(oldpeak)), id(idF(cp))), add(pow(id(idF(slope)), id(idF(idF(cp)))), add(id(ca), sqrt(id(idF(cp)))))), pow(div(log(pow(id(idF(idF(oldpeak))), sqrt(id(idF(idF(ca)))))), sub(add(id(cp), add(div(add(id(cp), pow(one, 0.4447917312345318)), id(cp)), add(sqrt(one), id(ca)))), zero)), add(pow(id(idF(idF(oldpeak))), id(idF(idF(oldpeak)))), add(id(idF(ca)), sqrt(id(idF(ca))))))))",35.0,0.5454273886074147,1
UCI_Heart_Cleveland_num,lgo,base,8,"sqrt(sub(add(add(add(id(idF(thal)), id(oldpeak)), id(idF(cp))), add(pow(id(idF(slope)), id(idF(idF(idF(cp))))), add(id(ca), sqrt(id(idF(cp)))))), pow(div(log(pow(id(idF(idF(oldpeak))), sqrt(id(idF(ca))))), sub(add(id(cp), add(div(add(id(cp), pow(one, 0.4447917312345318)), id(cp)), add(sqrt(one), id(ca)))), zero)), add(pow(id(idF(idF(oldpeak))), id(idF(idF(oldpeak)))), add(id(idF(ca)), sqrt(id(idF(ca))))))))",35.0,0.5454273886074147,1
UCI_Heart_Cleveland_num,lgo,base,9,"sqrt(sub(add(add(add(id(idF(thal)), id(oldpeak)), id(idF(cp))), add(pow(id(idF(slope)), id(idF(cp))), add(id(ca), sqrt(id(idF(cp)))))), pow(div(log(pow(id(idF(idF(oldpeak))), sqrt(id(idF(ca))))), sub(add(id(cp), add(div(add(id(cp), pow(one, 0.4447917312345318)), id(cp)), add(sqrt(one), id(ca)))), zero)), add(pow(id(idF(idF(oldpeak))), id(idF(idF(oldpeak)))), add(id(idF(ca)), sqrt(id(idF(ca))))))))",35.0,0.5454273886074147,1
UCI_Heart_Cleveland_num,lgo,base,10,"sqrt(sub(add(add(add(id(idF(thal)), id(oldpeak)), id(idF(cp))), add(pow(id(slope), id(idF(idF(idF(cp))))), add(id(ca), sqrt(id(idF(cp)))))), pow(div(log(pow(id(idF(idF(oldpeak))), sqrt(id(idF(ca))))), sub(add(id(cp), add(div(add(id(cp), pow(one, 0.4447917312345318)), id(cp)), add(sqrt(one), id(ca)))), zero)), add(pow(id(idF(idF(oldpeak))), id(idF(idF(oldpeak)))), add(id(idF(ca)), sqrt(id(idF(ca))))))))",35.0,0.5454273886074147,1
