dataset,method,experiment,seed,expr_id,expression,complexity,depth,expr_length,num_gates,num_AND,num_OR,num_soft,num_pair,num_gate_expr
UCI_HydraulicSys_fault_score,lgo,base,1,0,"add(log(sub(add(one, log(1.4385112734776075)), mul(div(div(div(-0.17039974728727975, log(1.4385112734776075)), log(log(one))), pow(id(EPS1_q75), id(idF(CE_mean)))), sqrt(pow(id(PS3_std), mul(pow(div(-0.17039974728727975, log(1.4385112734776075)), id(idF(PS3_std))), log(zero))))))), sqrt(log(sqrt(sqrt(log(add(pow(id(EPS1_q75), id(EPS1_q75)), pow(sub(one, 1.4846812261534015), id(PS3_std)))))))))",55,10,396,0,0,0,0,0,0
UCI_HydraulicSys_fault_score,lgo,base,1,1,"add(log(sub(add(one, log(1.4385112734776075)), mul(div(div(div(-0.17039974728727975, log(1.4385112734776075)), log(log(one))), pow(id(EPS1_q75), id(CE_mean))), sqrt(pow(id(PS3_std), mul(pow(div(-0.17039974728727975, log(1.4385112734776075)), id(idF(PS3_std))), log(zero))))))), sqrt(log(sqrt(sqrt(log(add(pow(id(EPS1_q75), id(EPS1_q75)), pow(sub(one, 1.4846812261534015), id(PS3_std)))))))))",54,10,391,0,0,0,0,0,0
UCI_HydraulicSys_fault_score,lgo,base,1,2,"add(log(sub(add(one, log(1.4385112734776075)), mul(div(div(div(-0.17039974728727975, log(1.4385112734776075)), log(log(one))), pow(id(EPS1_q75), id(idF(CE_mean)))), sqrt(pow(id(PS3_std), mul(pow(div(-0.17039974728727975, log(1.4385112734776075)), id(PS3_std)), log(zero))))))), sqrt(log(sqrt(sqrt(log(add(pow(id(EPS1_q75), id(EPS1_q75)), pow(sub(one, 1.4846812261534015), id(idF(PS3_std))))))))))",55,10,396,0,0,0,0,0,0
UCI_HydraulicSys_fault_score,lgo,base,1,3,"add(log(sub(add(one, log(1.4385112734776075)), mul(div(div(div(-0.17039974728727975, log(1.4385112734776075)), log(log(one))), pow(id(EPS1_q75), id(idF(idF(CE_mean))))), sqrt(pow(id(PS3_std), mul(pow(div(-0.17039974728727975, log(1.4385112734776075)), id(PS3_std)), log(zero))))))), sqrt(log(sqrt(sqrt(log(add(pow(id(EPS1_q75), id(EPS1_q75)), pow(sub(one, 1.4846812261534015), id(PS3_std)))))))))",55,10,396,0,0,0,0,0,0
UCI_HydraulicSys_fault_score,lgo,base,1,4,"add(log(sub(add(one, log(1.4385112734776075)), mul(div(div(div(-0.17039974728727975, log(1.4385112734776075)), log(log(one))), pow(id(EPS1_q75), id(idF(CE_mean)))), sqrt(pow(id(PS3_std), mul(pow(div(-0.17039974728727975, log(1.4385112734776075)), id(PS3_std)), log(zero))))))), sqrt(log(sqrt(sqrt(log(add(pow(id(EPS1_q75), id(EPS1_q75)), pow(sub(one, 1.4846812261534015), id(PS3_std)))))))))",54,10,391,0,0,0,0,0,0
UCI_HydraulicSys_fault_score,lgo,base,1,5,"add(log(sub(add(one, log(1.4385112734776075)), mul(div(div(div(-0.17039974728727975, log(1.4385112734776075)), log(log(one))), pow(id(EPS1_q75), id(idF(idF(CE_mean))))), sqrt(pow(id(PS3_std), mul(pow(div(-0.17039974728727975, log(1.4385112734776075)), mul(id(PS3_std), pow(one, 1.4654798516983143))), log(zero))))))), sqrt(log(sqrt(sqrt(log(add(pow(id(EPS1_q75), id(EPS1_q75)), pow(sub(one, 1.4846812261534015), id(PS3_std)))))))))",59,10,431,0,0,0,0,0,0
UCI_HydraulicSys_fault_score,lgo,base,1,6,"add(log(sub(add(one, log(1.4385112734776075)), mul(div(div(div(-0.17039974728727975, log(1.4385112734776075)), log(log(one))), pow(id(EPS1_q75), id(idF(CE_mean)))), sqrt(pow(id(PS3_std), mul(pow(div(-0.17039974728727975, log(1.4385112734776075)), mul(id(PS3_std), pow(one, 1.4654798516983143))), log(zero))))))), sqrt(log(sqrt(sqrt(log(add(pow(id(EPS1_q75), id(EPS1_q75)), pow(sub(one, 1.4846812261534015), id(PS3_std)))))))))",58,10,426,0,0,0,0,0,0
UCI_HydraulicSys_fault_score,lgo,base,1,7,"add(log(sub(add(one, log(1.4385112734776075)), mul(div(div(div(-0.17039974728727975, log(1.4385112734776075)), log(log(one))), pow(id(EPS1_q75), id(CE_mean))), sqrt(pow(id(PS3_std), mul(pow(div(-0.17039974728727975, log(1.4385112734776075)), mul(id(PS3_std), pow(one, 1.4654798516983143))), log(zero))))))), sqrt(log(sqrt(sqrt(log(add(pow(id(EPS1_q75), id(EPS1_q75)), pow(sub(one, 1.4846812261534015), id(PS3_std)))))))))",57,10,421,0,0,0,0,0,0
UCI_HydraulicSys_fault_score,lgo,base,1,8,"add(log(sub(add(one, log(1.4385112734776075)), mul(div(div(div(-0.17039974728727975, log(1.4385112734776075)), log(log(one))), pow(id(EPS1_q75), id(idF(CE_mean)))), sqrt(pow(id(PS3_std), mul(pow(div(-0.17039974728727975, log(1.4385112734776075)), mul(id(PS3_std), pow(one, one))), log(zero))))))), sqrt(log(sqrt(sqrt(log(add(pow(id(EPS1_q75), id(EPS1_q75)), pow(sub(one, 1.4846812261534015), id(PS3_std)))))))))",58,10,411,0,0,0,0,0,0
UCI_HydraulicSys_fault_score,lgo,base,1,9,"add(log(sub(add(one, log(1.4385112734776075)), mul(div(div(div(-0.17039974728727975, log(1.4385112734776075)), log(log(one))), pow(id(EPS1_q75), id(idF(CE_mean)))), sqrt(pow(id(PS3_std), mul(pow(div(-0.17039974728727975, log(1.4385112734776075)), mul(id(PS3_std), pow(one, 1.4654798516983143))), log(mul(id(PS3_std), sqrt(zero))))))))), sqrt(log(sqrt(sqrt(log(add(pow(id(EPS1_q75), id(EPS1_q75)), pow(sub(one, 1.4846812261534015), id(PS3_std)))))))))",62,10,450,0,0,0,0,0,0
UCI_HydraulicSys_fault_score,lgo,base,13,10,"add(mul(mul(id(idF(idF(PS3_mean))), mul(0.4713999042267579, sqrt(add(0.2698602664258645, zero)))), log(sub(mul(0.09522210328982746, mul(mul(add(mul(id(CE_mean), one), 1.4578611335229412), pow(id(idF(PS3_mean)), add(zero, -0.6519880898453566))), id(idF(idF(idF(PS3_std)))))), add(div(0.4713999042267579, -1.583692626853424), one)))), 0.4068677941770504)",43,10,352,0,0,0,0,0,0
UCI_HydraulicSys_fault_score,lgo,base,13,11,"add(mul(mul(id(idF(idF(PS3_mean))), mul(0.4713999042267579, sqrt(add(0.2698602664258645, zero)))), log(sub(mul(0.09522210328982746, mul(mul(add(mul(id(CE_mean), one), 1.4578611335229412), pow(id(PS3_mean), div(one, -1.583692626853424))), id(idF(idF(idF(PS3_std)))))), add(div(0.4713999042267579, -1.583692626853424), one)))), 0.4068677941770504)",42,10,345,0,0,0,0,0,0
UCI_HydraulicSys_fault_score,lgo,base,13,12,"add(mul(mul(id(PS3_mean), mul(0.4713999042267579, sqrt(add(0.2698602664258645, zero)))), log(sub(mul(0.09522210328982746, mul(mul(add(mul(id(CE_mean), one), 1.4578611335229412), pow(id(PS3_mean), div(one, -1.583692626853424))), id(idF(idF(PS3_std))))), add(div(0.4713999042267579, -1.583692626853424), one)))), 0.4068677941770504)",39,10,330,0,0,0,0,0,0
UCI_HydraulicSys_fault_score,lgo,base,13,13,"add(mul(mul(id(idF(PS3_mean)), mul(0.4713999042267579, sqrt(add(0.2698602664258645, zero)))), log(sub(mul(0.09522210328982746, mul(mul(add(mul(id(CE_mean), one), 1.4578611335229412), pow(id(PS3_mean), div(one, -1.583692626853424))), id(idF(PS3_std)))), add(div(0.4713999042267579, -1.583692626853424), one)))), 0.4068677941770504)",39,10,330,0,0,0,0,0,0
UCI_HydraulicSys_fault_score,lgo,base,13,14,"add(mul(mul(id(idF(PS3_mean)), mul(0.4713999042267579, sqrt(add(0.2698602664258645, zero)))), log(sub(mul(0.09522210328982746, mul(mul(add(mul(id(CE_mean), one), 1.4578611335229412), pow(id(PS3_mean), div(one, -1.583692626853424))), id(idF(idF(idF(PS3_std)))))), add(div(0.4713999042267579, -1.583692626853424), one)))), 0.4068677941770504)",41,10,340,0,0,0,0,0,0
UCI_HydraulicSys_fault_score,lgo,base,13,15,"add(mul(mul(id(idF(idF(idF(idF(PS3_mean))))), mul(0.4713999042267579, sqrt(add(0.2698602664258645, zero)))), log(sub(mul(0.09522210328982746, mul(mul(add(mul(id(CE_mean), one), 1.4578611335229412), pow(id(idF(PS3_mean)), div(one, -1.583692626853424))), id(idF(idF(idF(PS3_std)))))), add(div(0.4713999042267579, -1.583692626853424), one)))), 0.4068677941770504)",45,10,360,0,0,0,0,0,0
UCI_HydraulicSys_fault_score,lgo,base,13,16,"add(mul(mul(id(idF(idF(PS3_mean))), mul(0.4713999042267579, sqrt(add(0.2698602664258645, zero)))), log(sub(mul(0.09522210328982746, mul(mul(add(mul(id(CE_mean), one), 1.4578611335229412), pow(id(idF(PS3_mean)), div(one, -1.583692626853424))), id(idF(idF(idF(PS3_std)))))), add(div(0.4713999042267579, -1.583692626853424), one)))), 0.4068677941770504)",43,10,350,0,0,0,0,0,0
UCI_HydraulicSys_fault_score,lgo,base,13,17,"add(mul(mul(id(PS3_mean), mul(0.4713999042267579, sqrt(add(0.2698602664258645, zero)))), log(sub(mul(0.09522210328982746, mul(mul(add(mul(id(CE_mean), one), 1.4578611335229412), pow(id(PS3_mean), div(one, -1.583692626853424))), id(idF(idF(idF(PS3_std)))))), add(div(0.4713999042267579, -1.583692626853424), one)))), 0.4068677941770504)",40,10,335,0,0,0,0,0,0
UCI_HydraulicSys_fault_score,lgo,base,13,18,"add(mul(mul(id(PS3_mean), mul(0.4713999042267579, sqrt(add(0.2698602664258645, zero)))), log(sub(mul(0.09522210328982746, mul(mul(add(mul(id(CE_mean), one), 1.4578611335229412), pow(id(idF(PS3_mean)), div(one, -1.583692626853424))), id(idF(idF(idF(PS3_std)))))), add(div(0.4713999042267579, -1.583692626853424), one)))), 0.4068677941770504)",41,10,340,0,0,0,0,0,0
UCI_HydraulicSys_fault_score,lgo,base,13,19,"add(mul(mul(id(idF(idF(idF(idF(PS3_mean))))), mul(0.4713999042267579, sqrt(add(0.2698602664258645, zero)))), log(sub(mul(0.09522210328982746, mul(mul(add(mul(id(CE_mean), one), 1.4578611335229412), pow(id(idF(PS3_mean)), div(one, -1.583692626853424))), id(idF(idF(PS3_std))))), add(div(0.4713999042267579, -1.583692626853424), one)))), 0.4068677941770504)",44,10,355,0,0,0,0,0,0
UCI_HydraulicSys_fault_score,lgo,base,2,20,"add(add(0.32298888819900484, sub(sqrt(0.19745965179107833), 0.47013310884243487)), sqrt(add(div(mul(sub(sqrt(sub(sub(add(0.47013310884243487, -0.8214226545853006), id(PS3_std)), id(idF(SE_std)))), id(PS3_kurt)), div(1.0439393477664212, pow(id(PS3_std), add(id(PS3_std), div(mul(-0.49518810788610834, one), sqrt(0.8560404963842614)))))), add(log(zero), add(add(sub(sub(add(one, 1.0439393477664212), id(PS2_max_diff)), add(-0.49518810788610834, div(one, -0.13909618134963395))), add(one, 1.0439393477664212)), sub(sub(sub(add(0.33062995049710325, zero), id(PS2_max_diff)), id(PS2_max_diff)), sub(sub(add(zero, -0.8214226545853006), 1.0439393477664212), id(PS3_std)))))), div(div(zero, add(add(sub(sub(add(one, 1.0439393477664212), id(PS2_max_diff)), 1.0439393477664212), sub(zero, sub(sqrt(one), one))), sub(id(PS2_max_diff), sub(sub(add(one, -0.8633134353444867), id(PS3_std)), id(idF(SE_std)))))), add(sub(sub(add(0.33062995049710325, -0.8214226545853006), id(PS3_kurt)), id(idF(idF(idF(PS3_std))))), -0.8633134353444867)))))",123,10,1025,0,0,0,0,0,0
