dataset,method,experiment,seed,expr,complexity,cv_loss,test_loss,cv_r2,test_r2
UCI_HydraulicSys_fault_score,lgo,base,1,"add(log(sub(add(one, log(1.4385112734776075)), mul(div(div(div(-0.17039974728727975, log(1.4385112734776075)), log(log(one))), pow(id(EPS1_q75), id(idF(CE_mean)))), sqrt(pow(id(PS3_std), mul(pow(div(-0.17039974728727975, log(1.4385112734776075)), id(idF(PS3_std))), log(zero))))))), sqrt(log(sqrt(sqrt(log(add(pow(id(EPS1_q75), id(EPS1_q75)), pow(sub(one, 1.4846812261534015), id(PS3_std)))))))))",42.5,0.008175852631133847,0.008891241769215049,0.7158290939286827,0.6931166651479894
UCI_HydraulicSys_fault_score,lgo,lgo_soft,1,"gate_expr(pow(lgo(one, as_pos(lgo_or2(zero, one, 0.43595870487648763, as_thr(-2.3979815257849713))), as_thr(1.9279099041366674)), lgo_or2(lgo_and3(gate_expr(lgo_or2(pow(-0.37973930993582466, mul(add(-0.6414202150471527, one), id(idF(FS2_std)))), add(pow(-0.37973930993582466, div(one, id(PS3_kurt))), div(mul(0.1388922600575818, 0.8668798773741888), one)), as_pos(lgo_or2(zero, -1.8478612815732252, 0.2438836061051693, as_thr(-2.3979815257849713))), as_thr(div(sqrt(zero), gate_expr(one, 5.302639369384531, as_thr(-2.3979815257849713))))), 6.271494723822143, as_thr(-2.3979815257849713)), id(idF(EPS1_q75)), log(add(log(zero), lgo_or2(lgo_or2(zero, -1.8478612815732252, 0.3309465768944671, 0.9461678364629953), gate_expr(-0.7232842495954361, 3.544463407903047, as_thr(-2.3979815257849713)), 0.2438836061051693, as_thr(-2.3979815257849713)))), as_pos(-2.3979815257849713), as_thr(pow(-0.37973930993582466, div(-1.8478612815732252, id(PS3_mean))))), id(PS3_mean), 4.807491158998899, as_thr(gate_expr(sqrt(pow(-0.37973930993582466, div(add(0.5920180025987889, lgo(one, 0.8228455645842807, 0.9461678364629953)), one))), as_pos(mul(-0.8301778412806589, -1.346499961665252)), as_thr(-2.3979815257849713))))), as_pos(lgo_or2(zero, -1.8478612815732252, 0.8228455645842807, 0.9461678364629953)), as_thr(zero))",89.3,0.006739409758209453,0.0062856303317770255,0.7652060123352994,0.7830499667052718
UCI_HydraulicSys_fault_score,lgo,lgo_hard,1,"lgo_thre(log(mul(id(idF(FS1_std)), div(div(1.263047434721761, one), add(zero, id(CE_mean))))), as_pos(mul(pow(sub(div(one, one), lgo_thre(4.020265311989358, as_pos(zero), as_thr(log(pow(sub(1.3336762377046978, zero), one))))), add(id(idF(idF(PS1_std))), mul(one, 0.600595503487915))), mul(log(pow(id(SE_mean), one)), 0.44534795178714465))), as_thr(log(pow(sub(1.3336762377046978, zero), one))))",29.5,0.011532053885720844,0.013060325105911203,0.5900702108565782,0.5492197572862415
UCI_HydraulicSys_fault_score,pysr,base,1,sin(sin(sin(cos(PS3_mean*PS3_std*(-0.768362))*1.7619464)))*cos(sin(cos(SE_std) + 1.267924)*cos((PS3_skew - 1*1.002289)*1.2223761)),25.5,0.006288824644465748,,0.7787673557201301,
UCI_HydraulicSys_fault_score,operon,base,1,(0.816445 + ((-0.000000) * (((exp((0.097070 * SE_mean)) * (((-0.125940) * SE_mean) + exp((1.920037 * PS3_mean)))) * ((0.097070 * PS3_skew) + 0.244713)) * (((((0.097070 * PS3_skew) + (0.097070 * PS3_skew)) + 0.313995) * (((exp((2.718282 * PS3_mean)) + (4.079988 * VS1_skew)) + (3.263097 * VS1_skew)) + ((exp((1.920037 * PS3_mean)) + exp((0.524697 * PS3_skew))) + (((0.524697 * PS3_skew) + (0.097070 * PS3_skew)) + (2.302585 * PS4_mean))))) * ((((exp((0.097070 * PS1_q50)) / (sqrt(1 + cos((0.278990 * CP_mean)) ^ 2))) / (sqrt(1 + (6.283185 * PS3_peak) ^ 2))) / (sqrt(1 + (6.283185 * PS3_peak) ^ 2))) * ((0.097070 * PS3_skew) + 0.313995)))))),75.0,0.18288015669263455,,-5.4656726402906415,
UCI_HydraulicSys_fault_score,lgo,base,2,"add(add(0.32298888819900484, sub(sqrt(0.19745965179107833), 0.47013310884243487)), sqrt(add(div(mul(sub(sqrt(sub(sub(add(0.33062995049710325, -0.8214226545853006), id(PS3_std)), id(idF(SE_std)))), id(PS3_kurt)), div(1.0439393477664212, pow(id(PS3_std), add(id(PS3_std), div(mul(-0.49518810788610834, one), sqrt(0.8560404963842614)))))), add(log(zero), add(add(sub(sub(add(one, 1.0439393477664212), id(PS2_max_diff)), add(-0.49518810788610834, div(one, -0.13909618134963395))), add(one, 1.0439393477664212)), sub(sub(sub(add(0.33062995049710325, zero), id(PS2_max_diff)), id(PS2_max_diff)), sub(sub(add(zero, -0.8214226545853006), 1.0439393477664212), id(PS3_std)))))), div(div(zero, add(sub(add(0.33062995049710325, -0.8214226545853006), id(PS3_std)), sub(id(PS2_max_diff), sub(sub(add(one, -0.8633134353444867), id(PS3_std)), id(idF(PS3_std)))))), add(sub(sub(add(0.33062995049710325, -0.8214226545853006), id(PS3_kurt)), id(idF(PS3_std))), -0.8633134353444867)))))",61.0,0.009153024847411385,0.009043350487025223,0.6794986136088796,0.6875251376629983
UCI_HydraulicSys_fault_score,lgo,lgo_soft,2,"gate_expr(sqrt(lgo_or2(mul(sub(0.9143527238292926, sqrt(lgo_or2(mul(sub(0.9143527238292926, sqrt(0.5659481449213541)), lgo(id(PS1_std), 73.53097265380813, -2.219621454397304)), lgo(one, 3.723910743613321, as_thr(one)), as_pos(gate_expr(div(one, one), 3.8743374182071406, as_thr(one))), as_thr(one)))), id(PS1_std)), lgo(one, as_pos(id(PS1_std)), as_thr(gate_expr(one, 3.6376223058579775, 0.44113224760273506))), as_pos(id(PS1_std)), as_thr(one))), as_pos(gate_expr(div(div(one, one), one), as_pos(pow(log(one), gate_expr(gate_expr(pow(sub(zero, zero), mul(2.252654890717119, zero)), as_pos(gate_expr(log(zero), 42.53579443241867, as_thr(one))), as_thr(gate_expr(-0.5207412246593895, as_pos(1.0129861388379706), 0.9165424219914264))), as_pos(gate_expr(log(zero), 62.86147933076637, as_thr(one))), as_thr(lgo_and3(div(one, one), gate_expr(one, 70.00365888376169, -0.25981241182684633), lgo_and3(-0.308544167836266, zero, zero, 3.2354030335591015, as_thr(one)), as_pos(zero), as_thr(-0.048152491219744735)))))), as_thr(mul(lgo_and3(gate_expr(sub(zero, lgo_and2(gate_expr(one, 3.4526628834386437, -0.2567709347505927), id(SE_std), as_pos(zero), as_thr(one))), as_pos(id(PS1_std)), as_thr(gate_expr(div(one, one), 73.64079544771887, as_thr(one)))), gate_expr(lgo(zero, 7.4416226015682, -0.060750783687665844), as_pos(-0.016973706821582578), as_thr(one)), lgo_and3(one, lgo_and2(one, zero, as_pos(log(zero)), 0.5408309839451508), lgo_or2(one, 2.3986389835745925, 5.24215231003719, -1.985348105969298), 38.02092579131145, as_thr(-0.2688385300346534)), as_pos(id(PS1_std)), as_thr(sub(0.6197354210823692, 0.08317552316892568))), lgo_and2(lgo_and3(one, sqrt(one), lgo(zero, as_pos(id(PS1_std)), 1.214565815532008), 3.372969853619917, as_thr(zero)), gate_expr(lgo(one, 5.010389200543847, as_thr(one)), 42.53579443241867, 0.17273174582040204), 57.37321539751292, as_thr(sub(one, zero))))))), -0.6840207313482423)",148.5,0.017815540613914292,0.016514381280232762,0.3875132554713665,0.42937863300497126
UCI_HydraulicSys_fault_score,lgo,lgo_hard,2,"lgo_thre(log(mul(sub(id(idF(SE_mean)), sqrt(add(sub(-0.3257876739766363, 0.21879019628786042), pow(one, zero)))), div(div(-1.2117009420988651, id(CE_mean)), pow(div(pow(pow(add(log(2.1117998823170847), lgo_thre(one, 0.38613418048172826, -1.2384621360586276)), mul(add(one, one), pow(zero, 1.7169530015235448))), id(SE_mean)), sqrt(mul(lgo_thre(id(PS3_max), 0.38613418048172826, 0.28940602752753447), pow(lgo_thre(0.12343135810502803, 4.042557106072232, -0.3317086099832303), id(SE_mean))))), sub(id(PS3_max), mul(sub(id(idF(PS3_std)), div(id(FS2_std), 1.7169530015235448)), div(one, mul(-0.40674130688640786, one)))))))), as_pos(-0.40674130688640786), 0.28940602752753447)",47.5,0.005546797395187371,0.004724838147915408,0.8123446972880488,0.8367426816031616
UCI_HydraulicSys_fault_score,pysr,base,2,CP_mean*(sin(PS3_std*SE_mean**(1/4)) - 0.46106097 + 1.34389821895454*cos(sqrt(SE_mean))/(FS2_mean*PS3_std*cos(sin(PS1_mean)))),23.0,0.005467047229334194,,0.8063669568571855,
UCI_HydraulicSys_fault_score,operon,base,2,((-0.260355) + (2526.461914 * (((((cos((0.707107 * PS3_mean)) / (sqrt(1 + (sqrt((0.183472 * PS3_kurt)) + 0.350855) ^ 2))) * (((-1.794612) * PS1_std) / (sqrt(1 + (6.283185 * SE_std) ^ 2)))) / (sqrt(1 + sqrt((0.183472 * PS3_kurt)) ^ 2))) * ((((-1.794612) * PS1_std) / (sqrt(1 + (6.283185 * SE_std) ^ 2))) * sin((0.713166 * PS3_mean)))) / (sqrt(1 + (exp(exp((1.033798 * PS3_std))) + (((((0.206514 * PS3_kurt) + (((-1.794612) * PS1_std) / (sqrt(1 + sqrt((0.206514 * PS3_kurt)) ^ 2)))) * 0.318310) / (sqrt(1 + sin(exp((sqrt((0.183472 * PS3_kurt)) + 0.318310))) ^ 2))) / (sqrt(1 + sin(exp((sin(((-1.794612) * PS3_skew)) + sqrt((0.161654 * PS3_kurt))))) ^ 2)))) ^ 2))))),96.0,0.18919959605823863,,-5.614903101331852,
