dataset,task,method,experiment,seed,split,metric,value
UCI_HydraulicSys_fault_score,regression,lgo,base,1,0,RMSE,0.09190558883907354
UCI_HydraulicSys_fault_score,regression,lgo,base,1,0,MAE,0.0708035037706182
UCI_HydraulicSys_fault_score,regression,lgo,base,1,0,R2,0.7084622960580051
UCI_HydraulicSys_fault_score,regression,lgo,lgo_soft,1,0,RMSE,0.09299144730392894
UCI_HydraulicSys_fault_score,regression,lgo,lgo_soft,1,0,MAE,0.07338934718185228
UCI_HydraulicSys_fault_score,regression,lgo,lgo_soft,1,0,R2,0.701532602081357
UCI_HydraulicSys_fault_score,regression,lgo,lgo_hard,1,0,RMSE,0.1220508036659895
UCI_HydraulicSys_fault_score,regression,lgo,lgo_hard,1,0,MAE,0.09225921576620663
UCI_HydraulicSys_fault_score,regression,lgo,lgo_hard,1,0,R2,0.48584723917249106
UCI_HydraulicSys_fault_score,regression,pysr,base,1,0,RMSE,0.08071149958226695
UCI_HydraulicSys_fault_score,regression,pysr,base,1,0,MAE,0.0643732947719776
UCI_HydraulicSys_fault_score,regression,pysr,base,1,0,R2,0.7751557850601188
UCI_HydraulicSys_fault_score,regression,operon,base,1,0,RMSE,0.4324757793737102
UCI_HydraulicSys_fault_score,regression,operon,base,1,0,MAE,0.39757086167800454
UCI_HydraulicSys_fault_score,regression,operon,base,1,0,R2,-5.455568075934459
UCI_HydraulicSys_fault_score,regression,lgo,base,2,0,RMSE,0.09490995553654452
UCI_HydraulicSys_fault_score,regression,lgo,base,2,0,MAE,0.06931190597389665
UCI_HydraulicSys_fault_score,regression,lgo,base,2,0,R2,0.6887500699849638
UCI_HydraulicSys_fault_score,regression,lgo,lgo_soft,2,0,RMSE,0.14038840866347213
UCI_HydraulicSys_fault_score,regression,lgo,lgo_soft,2,0,MAE,0.11593661627405996
UCI_HydraulicSys_fault_score,regression,lgo,lgo_soft,2,0,R2,0.3189982545491775
UCI_HydraulicSys_fault_score,regression,lgo,lgo_hard,2,0,RMSE,0.06867514427439857
UCI_HydraulicSys_fault_score,regression,lgo,lgo_hard,2,0,MAE,0.0533743854135553
UCI_HydraulicSys_fault_score,regression,lgo,lgo_hard,2,0,R2,0.8370385487858235
UCI_HydraulicSys_fault_score,regression,pysr,base,2,0,RMSE,0.0648488533092126
UCI_HydraulicSys_fault_score,regression,pysr,base,2,0,MAE,0.0539332328574448
UCI_HydraulicSys_fault_score,regression,pysr,base,2,0,R2,0.8546917325092596
UCI_HydraulicSys_fault_score,regression,operon,base,2,0,RMSE,0.051521387954062525
UCI_HydraulicSys_fault_score,regression,operon,base,2,0,MAE,0.04060241247035975
UCI_HydraulicSys_fault_score,regression,operon,base,2,0,R2,0.9082806790295895
UCI_HydraulicSys_fault_score,regression,lgo,base,3,0,RMSE,0.1483440673685161
UCI_HydraulicSys_fault_score,regression,lgo,base,3,0,MAE,0.12283108346125192
UCI_HydraulicSys_fault_score,regression,lgo,base,3,0,R2,0.2526672533559392
UCI_HydraulicSys_fault_score,regression,lgo,lgo_soft,3,0,RMSE,0.1068388288409154
UCI_HydraulicSys_fault_score,regression,lgo,lgo_soft,3,0,MAE,0.08468804944201114
UCI_HydraulicSys_fault_score,regression,lgo,lgo_soft,3,0,R2,0.6123570545117331
UCI_HydraulicSys_fault_score,regression,lgo,lgo_hard,3,0,RMSE,0.10467559955958733
UCI_HydraulicSys_fault_score,regression,lgo,lgo_hard,3,0,MAE,0.07904449217154944
UCI_HydraulicSys_fault_score,regression,lgo,lgo_hard,3,0,R2,0.6278958087679697
UCI_HydraulicSys_fault_score,regression,pysr,base,3,0,RMSE,0.06855206388310874
UCI_HydraulicSys_fault_score,regression,pysr,base,3,0,MAE,0.04913283012774868
UCI_HydraulicSys_fault_score,regression,pysr,base,3,0,R2,0.8404066773490174
UCI_HydraulicSys_fault_score,regression,operon,base,3,0,RMSE,0.06539903693212563
UCI_HydraulicSys_fault_score,regression,operon,base,3,0,MAE,0.04639155554092397
UCI_HydraulicSys_fault_score,regression,operon,base,3,0,R2,0.8547499289790724
UCI_HydraulicSys_fault_score,regression,lgo,base,5,0,RMSE,0.10222615292508458
UCI_HydraulicSys_fault_score,regression,lgo,base,5,0,MAE,0.07841846024589547
UCI_HydraulicSys_fault_score,regression,lgo,base,5,0,R2,0.6456357397904624
UCI_HydraulicSys_fault_score,regression,lgo,lgo_soft,5,0,RMSE,0.1390880199624104
UCI_HydraulicSys_fault_score,regression,lgo,lgo_soft,5,0,MAE,0.11512122475225464
UCI_HydraulicSys_fault_score,regression,lgo,lgo_soft,5,0,R2,0.34399775023031254
UCI_HydraulicSys_fault_score,regression,lgo,lgo_hard,5,0,RMSE,0.10965326281673281
UCI_HydraulicSys_fault_score,regression,lgo,lgo_hard,5,0,MAE,0.08481805623385019
UCI_HydraulicSys_fault_score,regression,lgo,lgo_hard,5,0,R2,0.592273445200926
UCI_HydraulicSys_fault_score,regression,pysr,base,5,0,RMSE,0.06602717874184451
UCI_HydraulicSys_fault_score,regression,pysr,base,5,0,MAE,0.04484113424846278
UCI_HydraulicSys_fault_score,regression,pysr,base,5,0,R2,0.8521670098729357
UCI_HydraulicSys_fault_score,regression,operon,base,5,0,RMSE,0.07406098873412227
UCI_HydraulicSys_fault_score,regression,operon,base,5,0,MAE,0.052769665489600534
UCI_HydraulicSys_fault_score,regression,operon,base,5,0,R2,0.8140034490183723
UCI_HydraulicSys_fault_score,regression,lgo,base,8,0,RMSE,0.11805629279991006
UCI_HydraulicSys_fault_score,regression,lgo,base,8,0,MAE,0.09345067107718293
UCI_HydraulicSys_fault_score,regression,lgo,base,8,0,R2,0.477242704944145
UCI_HydraulicSys_fault_score,regression,lgo,lgo_soft,8,0,RMSE,0.1400882304075168
UCI_HydraulicSys_fault_score,regression,lgo,lgo_soft,8,0,MAE,0.11397157310226183
UCI_HydraulicSys_fault_score,regression,lgo,lgo_soft,8,0,R2,0.26391983009658837
UCI_HydraulicSys_fault_score,regression,lgo,lgo_hard,8,0,RMSE,0.10788991724936084
UCI_HydraulicSys_fault_score,regression,lgo,lgo_hard,8,0,MAE,0.07891500941454253
UCI_HydraulicSys_fault_score,regression,lgo,lgo_hard,8,0,R2,0.5634001930995505
UCI_HydraulicSys_fault_score,regression,pysr,base,8,0,RMSE,0.05256674318126582
UCI_HydraulicSys_fault_score,regression,pysr,base,8,0,MAE,0.03888612917057819
UCI_HydraulicSys_fault_score,regression,pysr,base,8,0,R2,0.8963560488836901
UCI_HydraulicSys_fault_score,regression,operon,base,8,0,RMSE,0.04979157638653945
UCI_HydraulicSys_fault_score,regression,operon,base,8,0,MAE,0.0358828703156802
UCI_HydraulicSys_fault_score,regression,operon,base,8,0,R2,0.9070105730101989
UCI_HydraulicSys_fault_score,regression,lgo,base,13,0,RMSE,0.11651637228397027
UCI_HydraulicSys_fault_score,regression,lgo,base,13,0,MAE,0.09283447864620314
UCI_HydraulicSys_fault_score,regression,lgo,base,13,0,R2,0.5524117943354783
UCI_HydraulicSys_fault_score,regression,lgo,lgo_soft,13,0,RMSE,0.08775708174098544
