dataset,task,method,experiment,seed,split,metric,value
UCI_HydraulicSys_fault_score,regression,lgo,base,1,1,RMSE,0.089332172975243
UCI_HydraulicSys_fault_score,regression,lgo,base,1,1,MAE,0.0683648626718401
UCI_HydraulicSys_fault_score,regression,lgo,base,1,1,R2,0.7174516291386581
UCI_HydraulicSys_fault_score,regression,lgo,lgo_soft,1,1,RMSE,0.09622531704980836
UCI_HydraulicSys_fault_score,regression,lgo,lgo_soft,1,1,MAE,0.0769509684923609
UCI_HydraulicSys_fault_score,regression,lgo,lgo_soft,1,1,R2,0.6721647016953107
UCI_HydraulicSys_fault_score,regression,lgo,lgo_hard,1,1,RMSE,0.11581952173094169
UCI_HydraulicSys_fault_score,regression,lgo,lgo_hard,1,1,MAE,0.08782954803187296
UCI_HydraulicSys_fault_score,regression,lgo,lgo_hard,1,1,R2,0.5250580340556297
UCI_HydraulicSys_fault_score,regression,pysr,base,1,1,RMSE,0.0789686640710239
UCI_HydraulicSys_fault_score,regression,pysr,base,1,1,MAE,0.06379955708367768
UCI_HydraulicSys_fault_score,regression,pysr,base,1,1,R2,0.7792063427506826
UCI_HydraulicSys_fault_score,regression,operon,base,1,1,RMSE,0.45022520111349507
UCI_HydraulicSys_fault_score,regression,operon,base,1,1,MAE,0.41768282312925176
UCI_HydraulicSys_fault_score,regression,operon,base,1,1,R2,-6.176895334549299
UCI_HydraulicSys_fault_score,regression,lgo,base,2,1,RMSE,0.09521936355750231
UCI_HydraulicSys_fault_score,regression,lgo,base,2,1,MAE,0.06964331234239748
UCI_HydraulicSys_fault_score,regression,lgo,base,2,1,R2,0.6798585403160642
UCI_HydraulicSys_fault_score,regression,lgo,lgo_soft,2,1,RMSE,0.14042985314352524
UCI_HydraulicSys_fault_score,regression,lgo,lgo_soft,2,1,MAE,0.11357381500032857
UCI_HydraulicSys_fault_score,regression,lgo,lgo_soft,2,1,R2,0.30367777761048065
UCI_HydraulicSys_fault_score,regression,lgo,lgo_hard,2,1,RMSE,0.07335113612894834
