dataset,method,experiment,seed,complexity,loss,expr
UCI_HydraulicSys_fault_score,lgo,base,8,13.0,0.0150348856701381,"add(pow(0.42038288243175576, one), mul(mul(mul(mul(-0.20033596822455443, sub(one, mul(mul(mul(-0.7442417482565357, 0.11988817227794797), sub(1.426536503513577, -0.5856305699987454)), id(PS3_mean)))), sub(one, mul(mul(mul(-0.7442417482565357, 0.11988817227794797), sub(1.426536503513577, -0.5856305699987454)), log(add(zero, 0.9100587814900817))))), 0.8028817282001035), id(PS3_mean)))"
UCI_HydraulicSys_fault_score,lgo,base,13,19.5,0.0128637512244603,"add(mul(mul(id(idF(idF(PS3_mean))), mul(0.4713999042267579, sqrt(add(0.2698602664258645, zero)))), log(sub(mul(0.09522210328982746, mul(mul(add(mul(id(CE_mean), one), 1.4578611335229412), pow(id(PS3_mean), div(one, -1.583692626853424))), id(idF(idF(idF(PS3_std)))))), add(div(0.4713999042267579, -1.583692626853424), one)))), 0.4068677941770504)"
UCI_HydraulicSys_fault_score,lgo,base,21,22.5,0.0064749493952436,"div(sqrt(sub(sqrt(sub(sub(sqrt(sub(div(one, 1.141320488703986), id(SE_mean))), id(idF(FS1_std))), id(idF(idF(idF(EPS1_q75)))))), id(SE_mean))), add(sqrt(add(add(sqrt(sqrt(sub(id(FS2_mean), mul(-1.182053961996959, 1.141320488703986)))), id(PS3_kurt)), div(0.377952822588845, id(idF(EPS1_q75))))), 1.673399745583419))"
UCI_HydraulicSys_fault_score,lgo,base,34,31.5,0.0063116340582772,"add(0.3993626167541486, mul(sub(id(EPS1_q75), mul(pow(0.6683408524151444, pow(pow(id(VS1_std), div(id(EPS1_mean), sub(sub(one, one), add(zero, 0.3993626167541486)))), mul(sqrt(sqrt(one)), div(id(idF(EPS1_q75)), sub(id(VS1_max), 0.6683408524151444))))), mul(pow(div(one, add(one, one)), id(PS2_iqr)), id(PS3_std)))), div(mul(sqrt(one), mul(0.07917868142530063, one)), 0.6683408524151444)))"
UCI_HydraulicSys_fault_score,lgo,lgo_hard,8,19.5,0.0076241086249324,"lgo_thre(log(mul(id(idF(idF(PS1_q50))), div(div(div(id(SE_std), mul(id(idF(idF(PS3_peak))), div(id(CE_mean), -1.2967653949501592))), pow(id(idF(idF(idF(PS3_std)))), id(idF(idF(idF(PS4_mean)))))), pow(id(idF(idF(idF(PS1_q50)))), id(idF(idF(idF(VS1_std)))))))), as_pos(add(-1.2967653949501592, zero)), as_thr(sub(id(idF(idF(PS1_q50))), -0.11445256486760744)))"
UCI_HydraulicSys_fault_score,lgo,lgo_hard,2,47.5,0.0055467973951873,"lgo_thre(log(mul(sub(id(idF(SE_mean)), sqrt(add(sub(-0.3257876739766363, 0.21879019628786042), pow(one, zero)))), div(div(-1.2117009420988651, id(CE_mean)), pow(div(pow(pow(add(log(2.1117998823170847), lgo_thre(one, 0.38613418048172826, -1.2384621360586276)), mul(add(one, one), pow(zero, 1.7169530015235448))), id(SE_mean)), sqrt(mul(lgo_thre(id(PS3_max), 0.38613418048172826, 0.28940602752753447), pow(lgo_thre(0.12343135810502803, 4.042557106072232, -0.3317086099832303), id(SE_mean))))), sub(id(PS3_max), mul(sub(id(idF(PS3_std)), div(id(FS2_std), 1.7169530015235448)), div(one, mul(-0.40674130688640786, one)))))))), as_pos(-0.40674130688640786), 0.28940602752753447)"
UCI_HydraulicSys_fault_score,lgo,lgo_soft,34,23.3,0.0282573916587264,"gate_expr(sqrt(one), as_pos(pow(div(lgo_and3(gate_expr(-0.029479025332743006, 6.127053704603624, 0.3244073610642233), log(1.95407631993232), div(zero, one), 0.4022670915464288, as_thr(-0.2930347120719616)), lgo_and2(id(PS1_iqr), log(zero), as_pos(one), 0.06971972251037693)), one)), 1.6159115807361537)"
UCI_HydraulicSys_fault_score,lgo,lgo_soft,5,42.5,0.015589176813487,"log(add(lgo(0.6918011789871826, as_pos(div(one, add(log(zero), 0.6918011789871826))), as_thr(lgo_or2(add(lgo(one, 1.9174872980240396, as_thr(div(zero, one))), lgo(zero, 1.8693143368332692, as_thr(div(zero, one)))), id(idF(idF(PS3_mean))), 1.9174872980240396, as_thr(add(zero, -1.2525796191681107))))), lgo_or2(mul(gate_expr(log(sqrt(0.4483905484912778)), as_pos(sub(zero, one)), as_thr(div(zero, one))), id(PS3_mean)), 1.150308759919833, 7.421534723138234, -1.5806320948818728)))"
UCI_HydraulicSys_fault_score,lgo,lgo_soft,89,63.5,0.0129208282596746,"log(add(1.496303012014618, lgo_or2(0.029177766560931975, div(id(PS3_mean), log(lgo_and2(id(PS3_std), lgo_and2(id(PS3_std), lgo_and2(id(PS3_mean), -0.039025349064090296, 3.878772448601117, -1.0883912851814899), 2.477950944527952, as_thr(-2.145195344811162)), 2.827649037287803, as_thr(-2.145195344811162)))), 4.307947174328511, as_thr(sub(lgo_and2(mul(gate_expr(lgo_and3(-0.9055094643302078, zero, zero, 1.956016211532918, -1.0278099137874435), as_pos(one), as_thr(-0.4571474275955242)), lgo_or2(gate_expr(one, 0.345874044466016, 0.37478175377656614), id(PS3_skew), as_pos(zero), as_thr(-0.04607290060420175))), lgo_and2(id(PS3_mean), 0.029177766560931975, 2.477950944527952, -0.9069182785979435), 10.586065146439184, as_thr(-2.145195344811162)), lgo_and2(add(lgo_or2(mul(lgo_or2(one, one, 4.307947174328511, -0.06998313588063693), mul(1.3903327071423472, one)), one, 2.7459152808802525, -1.5022110853228976), gate_expr(1.3903327071423472, as_pos(one), 0.6279279552920267)), log(add(one, one)), 2.7459152808802525, -1.0250296166668005))))))"
UCI_HydraulicSys_fault_score,lgo,lgo_soft,1,89.3,0.0067394097582094,"gate_expr(pow(lgo(one, as_pos(lgo_or2(zero, one, 0.43595870487648763, as_thr(-2.3979815257849713))), as_thr(1.9279099041366674)), lgo_or2(lgo_and3(gate_expr(lgo_or2(pow(-0.37973930993582466, mul(add(-0.6414202150471527, one), id(idF(FS2_std)))), add(pow(-0.37973930993582466, div(one, id(PS3_kurt))), div(mul(0.1388922600575818, 0.8668798773741888), one)), as_pos(lgo_or2(zero, -1.8478612815732252, 0.2438836061051693, as_thr(-2.3979815257849713))), as_thr(div(sqrt(zero), gate_expr(one, 5.302639369384531, as_thr(-2.3979815257849713))))), 6.271494723822143, as_thr(-2.3979815257849713)), id(idF(EPS1_q75)), log(add(log(zero), lgo_or2(lgo_or2(zero, -1.8478612815732252, 0.3309465768944671, 0.9461678364629953), gate_expr(-0.7232842495954361, 3.544463407903047, as_thr(-2.3979815257849713)), 0.2438836061051693, as_thr(-2.3979815257849713)))), as_pos(-2.3979815257849713), as_thr(pow(-0.37973930993582466, div(-1.8478612815732252, id(PS3_mean))))), id(PS3_mean), 4.807491158998899, as_thr(gate_expr(sqrt(pow(-0.37973930993582466, div(add(0.5920180025987889, lgo(one, 0.8228455645842807, 0.9461678364629953)), one))), as_pos(mul(-0.8301778412806589, -1.346499961665252)), as_thr(-2.3979815257849713))))), as_pos(lgo_or2(zero, -1.8478612815732252, 0.8228455645842807, 0.9461678364629953)), as_thr(zero))"
