phase,duration_s,method,seed,split
fit,411.3071219921112,lgo,1,0
fit,663.8983952999115,lgo,1,0
fit,409.55402302742004,lgo,1,0
fit,143.99018549919128,pysr,1,0
fit,10.937274932861328,operon,1,0
fit,465.2217493057251,lgo,2,0
fit,774.8121178150177,lgo,2,0
fit,478.7731177806854,lgo,2,0
fit,94.22394680976868,pysr,2,0
fit,10.273376703262329,operon,2,0
fit,559.2950491905212,lgo,3,0
fit,779.0847480297089,lgo,3,0
fit,627.9799449443817,lgo,3,0
fit,157.11754274368286,pysr,3,0
fit,10.027969360351562,operon,3,0
fit,421.01421070098877,lgo,5,0
fit,492.60259437561035,lgo,5,0
fit,585.7713661193848,lgo,5,0
fit,96.01420331001282,pysr,5,0
fit,11.666060209274292,operon,5,0
fit,346.91866660118103,lgo,8,0
fit,639.510960817337,lgo,8,0
fit,392.5370955467224,lgo,8,0
fit,96.20761632919312,pysr,8,0
fit,9.58516001701355,operon,8,0
fit,339.52010893821716,lgo,13,0
fit,744.6473138332367,lgo,13,0
fit,484.17913818359375,lgo,13,0
fit,108.34937787055969,pysr,13,0
fit,12.732523679733276,operon,13,0
fit,371.16941261291504,lgo,21,0
fit,800.7701575756073,lgo,21,0
fit,536.2650446891785,lgo,21,0
fit,105.42419123649597,pysr,21,0
fit,12.317814588546753,operon,21,0
fit,397.6702764034271,lgo,34,0
fit,458.66632986068726,lgo,34,0
fit,592.3317623138428,lgo,34,0
fit,105.79809474945068,pysr,34,0
fit,10.76874852180481,operon,34,0
fit,399.73936581611633,lgo,55,0
fit,812.6016674041748,lgo,55,0
fit,415.64103174209595,lgo,55,0
fit,102.45065975189209,pysr,55,0
fit,10.004165172576904,operon,55,0
fit,392.70170879364014,lgo,89,0
fit,442.14405488967896,lgo,89,0
fit,561.9326841831207,lgo,89,0
fit,91.58744549751282,pysr,89,0
fit,12.363668203353882,operon,89,0
fit,180.58191967010498,pstree,1,0
fit,168.8252809047699,pstree,2,0
fit,167.30646324157715,pstree,3,0
fit,174.01156735420227,pstree,5,0
fit,160.787264585495,pstree,8,0
fit,168.34384775161743,pstree,13,0
fit,158.34258031845093,pstree,21,0
fit,159.95375990867615,pstree,34,0
fit,170.10678267478943,pstree,55,0
fit,170.16991519927979,pstree,89,0
fit,132.89233303070068,rils_rols,1,0
fit,132.95036578178406,rils_rols,2,0
fit,115.32623553276062,rils_rols,3,0
fit,129.81595826148987,rils_rols,5,0
fit,129.41543436050415,rils_rols,8,0
fit,128.04328298568726,rils_rols,13,0
fit,122.20096516609192,rils_rols,21,0
fit,120.23322892189026,rils_rols,34,0
fit,139.26452207565308,rils_rols,55,0
fit,117.08647680282593,rils_rols,89,0
