dataset,task,method,experiment,seed,split,check,status,value,threshold,notes
UCI_HydraulicSys_fault_score,regression,lgo,base,1,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_HydraulicSys_fault_score,regression,lgo,base,1,0,metrics_guard_RMSE_ge_MAE,OK,0.021102085068455345,>= 0,
UCI_HydraulicSys_fault_score,regression,lgo,lgo_soft,1,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_HydraulicSys_fault_score,regression,lgo,lgo_soft,1,0,metrics_guard_RMSE_ge_MAE,OK,0.019602100122076666,>= 0,
UCI_HydraulicSys_fault_score,regression,lgo,lgo_hard,1,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_HydraulicSys_fault_score,regression,lgo,lgo_hard,1,0,metrics_guard_RMSE_ge_MAE,OK,0.029791587899782868,>= 0,
UCI_HydraulicSys_fault_score,regression,pysr,base,1,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_HydraulicSys_fault_score,regression,pysr,base,1,0,metrics_guard_RMSE_ge_MAE,OK,0.016338204810289345,>= 0,
UCI_HydraulicSys_fault_score,regression,operon,base,1,0,anomaly_scan_raw_pred,WARN,,,"nan=False, inf=False, const=True, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_HydraulicSys_fault_score,regression,operon,base,1,0,metrics_guard_RMSE_ge_MAE,OK,0.03490491769570564,>= 0,
UCI_HydraulicSys_fault_score,regression,lgo,base,2,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_HydraulicSys_fault_score,regression,lgo,base,2,0,metrics_guard_RMSE_ge_MAE,OK,0.02559804956264787,>= 0,
UCI_HydraulicSys_fault_score,regression,lgo,lgo_soft,2,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_HydraulicSys_fault_score,regression,lgo,lgo_soft,2,0,metrics_guard_RMSE_ge_MAE,OK,0.02445179238941217,>= 0,
UCI_HydraulicSys_fault_score,regression,lgo,lgo_hard,2,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_HydraulicSys_fault_score,regression,lgo,lgo_hard,2,0,metrics_guard_RMSE_ge_MAE,OK,0.01530075886084327,>= 0,
UCI_HydraulicSys_fault_score,regression,pysr,base,2,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_HydraulicSys_fault_score,regression,pysr,base,2,0,metrics_guard_RMSE_ge_MAE,OK,0.010915620451767798,>= 0,
UCI_HydraulicSys_fault_score,regression,operon,base,2,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_HydraulicSys_fault_score,regression,operon,base,2,0,metrics_guard_RMSE_ge_MAE,OK,0.010918975483702777,>= 0,
UCI_HydraulicSys_fault_score,regression,lgo,base,3,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_HydraulicSys_fault_score,regression,lgo,base,3,0,metrics_guard_RMSE_ge_MAE,OK,0.025512983907264183,>= 0,
UCI_HydraulicSys_fault_score,regression,lgo,lgo_soft,3,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_HydraulicSys_fault_score,regression,lgo,lgo_soft,3,0,metrics_guard_RMSE_ge_MAE,OK,0.022150779398904266,>= 0,
UCI_HydraulicSys_fault_score,regression,lgo,lgo_hard,3,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_HydraulicSys_fault_score,regression,lgo,lgo_hard,3,0,metrics_guard_RMSE_ge_MAE,OK,0.025631107388037894,>= 0,
UCI_HydraulicSys_fault_score,regression,pysr,base,3,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_HydraulicSys_fault_score,regression,pysr,base,3,0,metrics_guard_RMSE_ge_MAE,OK,0.019419233755360053,>= 0,
UCI_HydraulicSys_fault_score,regression,operon,base,3,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_HydraulicSys_fault_score,regression,operon,base,3,0,metrics_guard_RMSE_ge_MAE,OK,0.01900748139120166,>= 0,
UCI_HydraulicSys_fault_score,regression,lgo,base,5,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_HydraulicSys_fault_score,regression,lgo,base,5,0,metrics_guard_RMSE_ge_MAE,OK,0.023807692679189113,>= 0,
UCI_HydraulicSys_fault_score,regression,lgo,lgo_soft,5,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_HydraulicSys_fault_score,regression,lgo,lgo_soft,5,0,metrics_guard_RMSE_ge_MAE,OK,0.023966795210155767,>= 0,
UCI_HydraulicSys_fault_score,regression,lgo,lgo_hard,5,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_HydraulicSys_fault_score,regression,lgo,lgo_hard,5,0,metrics_guard_RMSE_ge_MAE,OK,0.024835206582882616,>= 0,
UCI_HydraulicSys_fault_score,regression,pysr,base,5,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_HydraulicSys_fault_score,regression,pysr,base,5,0,metrics_guard_RMSE_ge_MAE,OK,0.021186044493381725,>= 0,
UCI_HydraulicSys_fault_score,regression,operon,base,5,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
