dataset,method,experiment,seed,expr_id,expression,complexity,depth,expr_length,num_gates,num_AND,num_OR,num_soft,num_pair,num_gate_expr
eICU_composite_risk_score,lgo,base,1,0,"log(pow(add(add(mul(log(zero), one), mul(mul(pow(id(gcs), 0.5616806022161155), sub(sub(0.6674644636190513, -1.3387433837539826), -1.3387433837539826)), mul(sub(one, -1.8280465986994692), add(1.7215173264214318, zero)))), add(pow(-0.20832460075442033, -1.8280465986994692), pow(pow(mul(sqrt(one), log(log(pow(one, zero)))), pow(id(idF(creatinine_mg_dl)), log(one))), one))), add(add(mul(pow(id(idF(vasopressor_use_std)), add(add(id(mechanical_ventilation_std), add(id(hr_max), id(mechanical_ventilation_std))), add(id(creatinine_mg_dl), id(mechanical_ventilation_std)))), log(-1.3387433837539826)), sub(0.6674644636190513, -1.3387433837539826)), add(div(mul(pow(id(lactate_mmol_l), 0.5312002540826175), 0.24127557524741536), 0.5616806022161155), 0.24127557524741536))))",83,10,768,0,0,0,0,0,0
eICU_composite_risk_score,lgo,base,1,1,"log(pow(add(add(mul(log(zero), one), mul(mul(pow(id(gcs), 0.5616806022161155), sub(sub(0.6674644636190513, -1.3387433837539826), -1.3387433837539826)), mul(sub(one, -1.8280465986994692), add(1.7215173264214318, zero)))), add(pow(-0.20832460075442033, -1.8280465986994692), pow(pow(mul(sqrt(one), log(log(pow(one, -1.3387433837539826)))), pow(id(idF(creatinine_mg_dl)), log(one))), one))), add(add(mul(pow(id(idF(vasopressor_use_std)), add(add(id(mechanical_ventilation_std), add(id(hr_max), id(mechanical_ventilation_std))), add(id(creatinine_mg_dl), id(mechanical_ventilation_std)))), log(-1.3387433837539826)), sub(0.6674644636190513, -1.3387433837539826)), add(div(mul(pow(id(lactate_mmol_l), 0.5312002540826175), 0.24127557524741536), 0.5616806022161155), 0.24127557524741536))))",83,10,783,0,0,0,0,0,0
eICU_composite_risk_score,lgo,base,1,2,"log(pow(add(add(mul(log(zero), one), mul(mul(pow(id(gcs), 0.5616806022161155), sub(sub(0.6674644636190513, -1.3387433837539826), -1.3387433837539826)), mul(sub(one, -1.8280465986994692), add(1.7215173264214318, zero)))), add(pow(-0.20832460075442033, -1.8280465986994692), pow(pow(mul(sqrt(one), log(log(pow(one, one)))), pow(id(idF(creatinine_mg_dl)), log(one))), one))), add(add(mul(pow(id(idF(vasopressor_use_std)), add(add(id(mechanical_ventilation_std), add(id(hr_max), id(mechanical_ventilation_std))), add(id(creatinine_mg_dl), id(mechanical_ventilation_std)))), log(-1.3387433837539826)), sub(0.6674644636190513, -1.3387433837539826)), add(div(mul(pow(id(lactate_mmol_l), 0.5312002540826175), 0.24127557524741536), 0.5616806022161155), 0.24127557524741536))))",83,10,767,0,0,0,0,0,0
eICU_composite_risk_score,lgo,base,1,3,"log(pow(add(add(mul(log(zero), one), mul(mul(pow(id(gcs), 0.5616806022161155), sub(sub(0.6674644636190513, -1.3387433837539826), -1.3387433837539826)), mul(sub(one, -1.8280465986994692), add(1.7215173264214318, zero)))), add(pow(-0.20832460075442033, -1.8280465986994692), pow(pow(mul(sqrt(one), log(log(pow(one, zero)))), pow(id(idF(creatinine_mg_dl)), log(one))), one))), add(add(mul(pow(id(idF(vasopressor_use_std)), add(add(id(mechanical_ventilation_std), add(id(hr_max), id(mechanical_ventilation_std))), add(id(mechanical_ventilation_std), id(idF(creatinine_mg_dl))))), log(-1.3387433837539826)), sub(0.6674644636190513, -1.3387433837539826)), add(div(mul(pow(id(lactate_mmol_l), 0.5312002540826175), 0.24127557524741536), 0.5616806022161155), 0.24127557524741536))))",84,10,773,0,0,0,0,0,0
eICU_composite_risk_score,lgo,base,1,4,"log(pow(add(add(mul(log(zero), one), mul(mul(pow(id(gcs), 0.5616806022161155), sub(sub(0.6674644636190513, -1.3387433837539826), -1.3387433837539826)), mul(sub(one, -1.8280465986994692), add(1.7215173264214318, zero)))), add(pow(-0.20832460075442033, -1.8280465986994692), pow(pow(mul(sqrt(one), log(log(pow(-1.3387433837539826, zero)))), pow(id(idF(creatinine_mg_dl)), log(one))), one))), add(add(mul(pow(id(idF(vasopressor_use_std)), add(add(id(mechanical_ventilation_std), add(id(hr_max), id(mechanical_ventilation_std))), add(id(creatinine_mg_dl), id(mechanical_ventilation_std)))), log(-1.3387433837539826)), sub(0.6674644636190513, -1.3387433837539826)), add(div(mul(pow(id(lactate_mmol_l), 0.5312002540826175), 0.24127557524741536), 0.5616806022161155), 0.24127557524741536))))",83,10,784,0,0,0,0,0,0
eICU_composite_risk_score,lgo,base,1,5,"log(pow(add(add(mul(log(zero), one), mul(mul(pow(id(gcs), 0.5616806022161155), sub(sub(one, -1.3387433837539826), -1.3387433837539826)), mul(sub(one, -1.8280465986994692), add(1.7215173264214318, zero)))), add(pow(-0.20832460075442033, -1.8280465986994692), pow(pow(mul(sqrt(one), log(log(pow(one, zero)))), pow(id(idF(creatinine_mg_dl)), log(one))), one))), add(add(mul(pow(id(idF(vasopressor_use_std)), add(add(id(mechanical_ventilation_std), add(id(hr_max), id(mechanical_ventilation_std))), add(id(creatinine_mg_dl), id(mechanical_ventilation_std)))), log(-1.3387433837539826)), sub(0.6674644636190513, -1.3387433837539826)), add(div(mul(pow(id(lactate_mmol_l), 0.5312002540826175), 0.24127557524741536), 0.5616806022161155), 0.24127557524741536))))",83,10,753,0,0,0,0,0,0
eICU_composite_risk_score,lgo,base,1,6,"log(pow(add(add(mul(log(zero), one), mul(mul(pow(id(gcs), 0.5616806022161155), sub(one, -1.3387433837539826)), mul(sub(one, -1.8280465986994692), add(sub(one, -0.9264477187979182), one)))), add(pow(-0.20832460075442033, -1.8280465986994692), pow(pow(mul(sqrt(sub(one, -1.3387433837539826)), log(log(pow(one, 0.24127557524741536)))), pow(id(idF(idF(creatinine_mg_dl))), log(one))), one))), add(add(mul(pow(id(idF(vasopressor_use_std)), add(id(idF(idF(hr_max))), add(id(mechanical_ventilation_std), add(id(mechanical_ventilation_std), id(mechanical_ventilation_std))))), log(-1.3387433837539826)), sub(0.6674644636190513, -1.3387433837539826)), add(div(mul(pow(id(lactate_mmol_l), 0.5312002540826175), 0.24127557524741536), 0.5616806022161155), 0.24127557524741536))))",85,10,766,0,0,0,0,0,0
eICU_composite_risk_score,lgo,base,1,7,"log(pow(add(add(mul(log(zero), one), mul(mul(pow(id(gcs), 0.5616806022161155), sub(sub(0.6674644636190513, -1.3387433837539826), -1.3387433837539826)), mul(sub(one, -1.8280465986994692), add(1.7215173264214318, zero)))), add(pow(-0.20832460075442033, -1.8280465986994692), pow(pow(mul(sqrt(one), log(log(pow(one, zero)))), pow(id(idF(creatinine_mg_dl)), log(one))), one))), add(add(mul(pow(id(idF(vasopressor_use_std)), add(add(id(mechanical_ventilation_std), add(id(hr_max), id(mechanical_ventilation_std))), add(id(idF(hr_max)), id(mechanical_ventilation_std)))), log(-1.3387433837539826)), sub(0.6674644636190513, -1.3387433837539826)), add(div(mul(pow(id(lactate_mmol_l), 0.5312002540826175), 0.24127557524741536), 0.5616806022161155), 0.24127557524741536))))",84,10,763,0,0,0,0,0,0
eICU_composite_risk_score,lgo,base,1,8,"log(pow(add(add(mul(log(zero), one), mul(mul(pow(id(gcs), 0.5616806022161155), sub(one, -1.3387433837539826)), mul(sub(one, -1.8280465986994692), add(sub(one, -0.9264477187979182), one)))), add(pow(-0.20832460075442033, -1.8280465986994692), pow(pow(mul(sqrt(one), log(log(pow(one, 0.24127557524741536)))), pow(id(idF(creatinine_mg_dl)), log(one))), one))), add(add(mul(pow(id(idF(vasopressor_use_std)), add(id(idF(idF(hr_max))), add(id(mechanical_ventilation_std), add(id(mechanical_ventilation_std), id(mechanical_ventilation_std))))), log(-1.3387433837539826)), sub(0.6674644636190513, -1.3387433837539826)), add(div(mul(pow(id(lactate_mmol_l), 0.5312002540826175), 0.24127557524741536), 0.5616806022161155), 0.24127557524741536))))",82,10,735,0,0,0,0,0,0
eICU_composite_risk_score,lgo,base,1,9,"log(pow(add(add(mul(log(zero), one), mul(mul(pow(id(gcs), 0.5616806022161155), sub(one, -1.3387433837539826)), mul(sub(one, -1.8280465986994692), add(sub(one, -0.9264477187979182), sqrt(one))))), add(pow(-0.20832460075442033, -1.8280465986994692), pow(pow(mul(sqrt(one), log(log(pow(one, zero)))), pow(id(idF(creatinine_mg_dl)), log(one))), one))), add(add(mul(pow(id(idF(vasopressor_use_std)), add(id(idF(idF(hr_max))), add(id(mechanical_ventilation_std), add(id(mechanical_ventilation_std), id(mechanical_ventilation_std))))), log(-1.3387433837539826)), sub(0.6674644636190513, -1.3387433837539826)), add(div(mul(pow(id(lactate_mmol_l), 0.5312002540826175), 0.24127557524741536), 0.5616806022161155), 0.24127557524741536))))",83,10,726,0,0,0,0,0,0
