dataset,method,experiment,seed,expr,complexity,cv_loss,test_loss,cv_r2,test_r2
eICU_composite_risk_score,lgo,base,1,"log(pow(add(add(mul(log(zero), one), mul(mul(pow(id(gcs), 0.5616806022161155), sub(sub(one, -1.3387433837539826), -1.3387433837539826)), mul(sub(one, -1.8280465986994692), add(1.7215173264214318, zero)))), add(pow(-0.20832460075442033, -1.8280465986994692), pow(pow(mul(sqrt(one), log(log(pow(one, zero)))), pow(id(idF(creatinine_mg_dl)), log(one))), one))), add(add(mul(pow(id(idF(vasopressor_use_std)), add(add(id(mechanical_ventilation_std), add(id(hr_max), id(mechanical_ventilation_std))), add(id(creatinine_mg_dl), id(mechanical_ventilation_std)))), log(-1.3387433837539826)), sub(0.6674644636190513, -1.3387433837539826)), add(div(mul(pow(id(lactate_mmol_l), 0.5312002540826175), 0.24127557524741536), 0.5616806022161155), 0.24127557524741536))))",52.0,1.9286304831175103,1.9089906951004807,0.7951688856713945,0.8000344684941846
eICU_composite_risk_score,lgo,lgo_soft,1,"add(log(mul(sub(id(vasopressor_use_std), lgo_and2(one, -1.1236120139335677, 4.605964267304634, -1.5151786715640994)), add(lgo_and3(1.2856504909498025, 0.9530244599904137, one, as_pos(div(-0.3810075833863096, -1.1005205939080405)), -0.6240836623660845), id(idF(idF(lactate_mmol_l)))))), div(lgo(sub(lgo_or2(zero, 0.36887092279777556, 4.399106227454386, 0.16464918508015475), lgo_and3(one, id(idF(idF(idF(idF(gcs))))), mul(-0.9546724881156206, -0.3414775675620138), as_pos(zero), as_thr(one))), as_pos(sub(zero, 0.36887092279777556)), as_thr(lgo_and3(one, 0.9335829743719873, 0.48731242748910597, as_pos(-1.4710623249538595), as_thr(0.10134074588406222)))), lgo_and2(lgo_and2(div(one, one), lgo(one, 1.7909142845846393, 0.5085656750592835), as_pos(0.36887092279777556), as_thr(one)), add(mul(-0.9546724881156206, -0.3414775675620138), sub(lgo_and2(lgo(-0.5372591851283923, 4.605964267304634, as_thr(lgo_and3(div(zero, -0.920842511678397), 0.9335829743719873, 0.48731242748910597, 2.248435356754017, as_thr(0.10134074588406222)))), id(idF(mechanical_ventilation_std)), as_pos(add(zero, one)), -1.5151786715640994), lgo_and3(mul(one, 0.6772030635885629), sub(1.049994578209843, zero), lgo_and3(div(one, one), id(hr_max), one, 0.25755372978541097, as_thr(one)), as_pos(zero), as_thr(one)))), as_pos(sub(zero, zero)), as_thr(add(zero, zero)))))",85.29999999999998,2.404358972754786,2.3658777847060235,0.7345284761701332,0.7521758435435226
eICU_composite_risk_score,lgo,lgo_hard,1,"sub(mul(add(add(sqrt(sub(1.036890904413608, id(lactate_mmol_l))), add(sqrt(sub(sub(id(gcs), id(lactate_mmol_l)), id(lactate_mmol_l))), one)), log(add(add(sqrt(zero), add(sqrt(sub(id(gcs), id(lactate_mmol_l))), one)), -0.027635957759874343))), id(lactate_mmol_l)), pow(div(lgo_thre(lgo_thre(div(pow(add(zero, one), zero), id(idF(idF(vasopressor_use_std)))), 2.3982863443793705, as_thr(sub(-0.027635957759874343, zero))), 3.83006043409255, as_thr(sub(-0.027635957759874343, zero))), sub(-0.027635957759874343, zero)), add(lgo_thre(one, as_pos(zero), as_thr(sub(-0.027635957759874343, zero))), sqrt(sub(one, one)))))",44.0,3.1148814288592788,2.952664803377479,0.6716502991305899,0.690710285659714
eICU_composite_risk_score,pysr,base,1,0.405199271963808*sqrt(hr_max) + 1.5459673*mechanical_ventilation_std + 2.5459673*vasopressor_use_std + log(creatinine_mg_dl) + 1.5459673*log(lactate_mmol_l) + sin(2.2624295*sin(0.394848*gcs)),23.0,1.313263483216251,,0.8608876805995355,
eICU_composite_risk_score,operon,base,1,((-0.424711) + (0.873624 * ((((((sin(((-1.648240) * creatinine_mg_dl)) / (sqrt(1 + (0.434294 * creatinine_mg_dl) ^ 2))) + (cos(((-0.249190) * gcs)) / (sqrt(1 + (cos(((-0.082323) * hr_max)) + cos(((-0.249190) * gcs))) ^ 2)))) + (log((0.071916 * hr_max)) + cos((cos((1.926230 * gcs)) + cos(((-0.269736) * gcs)))))) + sin(log((((-0.236611) * lactate_mmol_l) * ((-0.599934) * lactate_mmol_l))))) + cos(((-0.269736) * gcs))) + (((((2.044872 * mechanical_ventilation_std) + (1.058570 * vasopressor_use_std)) + sqrt((0.071916 * hr_max))) + (log((0.183472 * resprate_max)) + exp((0.901707 * vasopressor_use_std)))) + log((((-0.236611) * lactate_mmol_l) * ((-1.648240) * creatinine_mg_dl))))))),86.0,79.89807162534436,,-7.433496551599068,
eICU_composite_risk_score,lgo,base,2,"sqrt(sub(sub(log(div(sub(id(idF(creatinine_mg_dl)), -0.8006684403472498), sqrt(zero))), pow(mul(pow(id(vasopressor_use_std), sqrt(sub(id(vasopressor_use_std), pow(id(gcs), one)))), mul(sqrt(one), log(zero))), pow(id(vasopressor_use_std), sqrt(sub(id(creatinine_mg_dl), pow(id(gcs), sqrt(sqrt(one)))))))), pow(mul(sqrt(sub(id(lactate_mmol_l), -0.8006684403472498)), log(mul(div(div(id(lactate_mmol_l), div(log(-0.9630948821406617), zero)), sqrt(sqrt(one))), log(div(sub(id(creatinine_mg_dl), add(zero, -0.19023789271208094)), sqrt(id(creatinine_mg_dl))))))), pow(id(mechanical_ventilation_std), -0.36507893604355446))))",59.0,2.6602017686526995,2.672948179226187,0.7172672146453813,0.7036203914541601
eICU_composite_risk_score,lgo,lgo_soft,2,"add(log(mul(sub(id(mechanical_ventilation_std), -1.6143034139631962), add(mul(sub(id(vasopressor_use_std), lgo_and2(pow(add(id(gcs), lgo(one, 0.646954633327857, -0.5854542762892072)), id(idF(spo2_min))), -1.1236120139335677, 0.646954633327857, as_thr(one))), add(lgo_and3(id(idF(creatinine_mg_dl)), sub(id(lactate_mmol_l), -1.6143034139631962), sub(id(lactate_mmol_l), -1.6143034139631962), as_pos(lgo_and2(one, zero, 0.32057750107747446, -0.9841948910904964)), as_thr(0.9530244599904137)), lgo_or2(sub(id(lactate_mmol_l), -1.6143034139631962), mul(sub(id(lactate_mmol_l), lgo_and2(zero, -1.1236120139335677, 6.355322766244283, 0.011336047914091808)), 0.9335829743719873), as_pos(lgo_or2(zero, one, 0.330472933666263, -0.473502410421224)), as_thr(one)))), lgo_or2(sub(id(vasopressor_use_std), -1.6143034139631962), mul(sub(id(lactate_mmol_l), mul(zero, zero)), 0.9335829743719873), 0.31086587212348477, as_thr(pow(mul(log(lgo(zero, 0.3064254707018804, 1.2664312144482115)), sqrt(lgo_and3(one, zero, 1.6433655406197767, 3.535074969444243, -1.4016308768132841))), mul(div(lgo_and3(one, 1.1412247825198567, -1.1381337569283003, 5.203644260606669, 0.7443521059177403), sqrt(one)), gate_expr(sub(one, 0.15752271679022273), as_pos(-0.5454899857076355), as_thr(zero))))))))), div(lgo(sub(lgo_or2(zero, 0.36887092279777556, 1.3847936740122746, 0.16118518976997687), lgo_and3(one, one, mul(lgo(lgo_or2(sub(id(vasopressor_use_std), -1.6143034139631962), sqrt(-0.3414775675620138), as_pos(lgo_or2(zero, one, 0.31086587212348477, -0.473502410421224)), -0.473502410421224), as_pos(zero), -0.5854542762892072), zero), as_pos(zero), as_thr(log(one)))), 1.329560034133397, as_thr(lgo_and3(one, 0.9335829743719873, 0.48731242748910597, 6.243365040527706, -0.1084826938765603))), lgo_and2(lgo_and2(div(one, one), lgo(one, 1.3847936740122746, 0.47756097278857), as_pos(zero), as_thr(pow(one, 0.3533882890125166))), add(mul(-0.9546724881156206, -0.3414775675620138), sqrt(-0.23087212430042198)), as_pos(zero), as_thr(log(one)))))",128.5,2.5653958859370296,2.574177935268029,0.7314018842560903,0.714572151188152
eICU_composite_risk_score,lgo,lgo_hard,2,"sub(mul(add(pow(one, div(lgo_thre(sub(sub(id(mechanical_ventilation_std), id(vasopressor_use_std)), sub(-0.614518536933367, 1.5436577577437962)), as_pos(id(vasopressor_use_std)), 0.8174689230831139), sub(-0.027635957759874343, zero))), mul(log(sub(pow(mul(1.9384167444529763, one), id(vasopressor_use_std)), div(lgo_thre(zero, as_pos(1.9705034970965518), as_thr(zero)), 1.694749527179476))), pow(id(idF(idF(creatinine_mg_dl))), sub(add(lgo_thre(zero, 5.928984203598668, 1.0517008404548052), sqrt(one)), lgo_thre(lgo_thre(zero, 0.2530622007304055, 2.183060782297215), as_pos(1.9705034970965518), -0.19169865633323419))))), id(vasopressor_use_std)), pow(div(lgo_thre(sub(sub(id(lactate_mmol_l), sub(pow(id(gcs), 0.7780535149379418), add(lgo_thre(id(gcs), 4.869006602386887, as_thr(one)), id(mechanical_ventilation_std)))), sub(-0.614518536933367, 1.5436577577437962)), as_pos(pow(log(sqrt(0.7780535149379418)), one)), as_thr(log(1.5018444486137583))), sub(-0.027635957759874343, zero)), add(lgo_thre(lgo_thre(sub(sub(id(lactate_mmol_l), id(spo2_min)), sub(-0.614518536933367, 1.5436577577437962)), as_pos(sqrt(sqrt(div(-0.5176587346815493, -1.1752186385739676)))), as_thr(one)), 4.869006602386887, -0.07838947063105371), sub(div(lgo_thre(zero, as_pos(sqrt(sqrt(div(-0.5176587346815493, -1.1752186385739676)))), 2.0379991795171617), 1.694749527179476), 0.3540961804537937))))",87.5,1.5789949948865103,1.5624693944440609,0.8319834798858956,0.8267515730049626
eICU_composite_risk_score,pysr,base,2,1.47638565437398*mechanical_ventilation_std + 1.47638565437398*vasopressor_use_std - 1.47638565437398*log(gcs) + 1.47638565437398*log(0.035805047*hr_max*lactate_mmol_l*resprate_max*(creatinine_mg_dl*vasopressor_use_std + creatinine_mg_dl + 0.21979229*mechanical_ventilation_std)),23.0,1.3599700376162422,,0.8575434996016428,
eICU_composite_risk_score,operon,base,2,((-6.408622) + (1.378781 * ((sqrt((2.012511 * mechanical_ventilation_std)) + (cos(((0.707107 * creatinine_mg_dl) / (sqrt(1 + log((0.707107 * hr_max)) ^ 2)))) + (((1.620280 * vasopressor_use_std) + log(((0.755912 * creatinine_mg_dl) / (sqrt(1 + (0.487968 * gcs) ^ 2))))) + log((0.839275 * hr_max))))) + ((sin(((sin(log((1.414214 * lactate_mmol_l))) + log((0.643165 * map_mmhg))) / (sqrt(1 + log((0.943945 * lactate_mmol_l)) ^ 2)))) + (cos(log((0.707107 * lactate_mmol_l))) + log((0.839275 * resprate_max)))) + log((0.943945 * lactate_mmol_l)))))),67.25,80.08264462809917,,-7.4528362839375735,
