dataset,task,method,experiment,seed,split,metric,value
eICU_composite_risk_score,regression,lgo,base,1,1,RMSE,1.3806067884182778
eICU_composite_risk_score,regression,lgo,base,1,1,MAE,1.108331539431218
eICU_composite_risk_score,regression,lgo,base,1,1,R2,0.797881856202233
eICU_composite_risk_score,regression,lgo,lgo_soft,1,1,RMSE,1.5738814134896573
eICU_composite_risk_score,regression,lgo,lgo_soft,1,1,MAE,1.2595320523085765
eICU_composite_risk_score,regression,lgo,lgo_soft,1,1,R2,0.7373307067681815
eICU_composite_risk_score,regression,lgo,lgo_hard,1,1,RMSE,1.7484514287322297
eICU_composite_risk_score,regression,lgo,lgo_hard,1,1,MAE,1.4138545513582361
eICU_composite_risk_score,regression,lgo,lgo_hard,1,1,R2,0.6758302868134933
eICU_composite_risk_score,regression,pysr,base,1,1,RMSE,1.1426027773650194
eICU_composite_risk_score,regression,pysr,base,1,1,MAE,0.9105519800972527
eICU_composite_risk_score,regression,pysr,base,1,1,R2,0.8615618321746547
eICU_composite_risk_score,regression,operon,base,1,1,RMSE,0.917505964371187
eICU_composite_risk_score,regression,operon,base,1,1,MAE,0.7276982923217037
eICU_composite_risk_score,regression,operon,base,1,1,R2,0.9107346145890243
eICU_composite_risk_score,regression,lgo,base,2,1,RMSE,1.6463931920060624
eICU_composite_risk_score,regression,lgo,base,2,1,MAE,1.2997285203255164
eICU_composite_risk_score,regression,lgo,base,2,1,R2,0.7165502847768609
eICU_composite_risk_score,regression,lgo,lgo_soft,2,1,RMSE,1.6004113268985687
eICU_composite_risk_score,regression,lgo,lgo_soft,2,1,MAE,1.2633783052444465
eICU_composite_risk_score,regression,lgo,lgo_soft,2,1,R2,0.7321620361645793
eICU_composite_risk_score,regression,lgo,lgo_hard,2,1,RMSE,1.2664578207875683
eICU_composite_risk_score,regression,lgo,lgo_hard,2,1,MAE,1.0222636173888724
eICU_composite_risk_score,regression,lgo,lgo_hard,2,1,R2,0.8322778726167726
eICU_composite_risk_score,regression,pysr,base,2,1,RMSE,1.1569583969174062
eICU_composite_risk_score,regression,pysr,base,2,1,MAE,0.9233406324124993
eICU_composite_risk_score,regression,pysr,base,2,1,R2,0.8600269626425505
eICU_composite_risk_score,regression,operon,base,2,1,RMSE,1.0145294315537523
eICU_composite_risk_score,regression,operon,base,2,1,MAE,0.8028454317804039
eICU_composite_risk_score,regression,operon,base,2,1,R2,0.8923687949344609
