dataset,method,experiment,seed,expr_id,complexity,loss,expression
eICU_composite_risk_score,lgo,base,21,36,49,2.743491126319345,"sub(add(add(add(1.5939712863694204, add(one, 1.4321980027330108)), sub(id(mechanical_ventilation_std), mul(add(mul(sqrt(0.043425884311315145), add(id(lactate_mmol_l), pow(pow(zero, one), 2.3969352627401586))), sub(div(one, sub(div(one, -1.3670342258124584), sqrt(one))), sqrt(sqrt(one)))), add(id(vasopressor_use_std), id(lactate_mmol_l))))), sub(1.5939712863694204, id(idF(gcs)))), mul(2.3969352627401586, -1.2605273679138884))"
eICU_composite_risk_score,lgo,base,55,71,53,2.1719483997974973,"sub(add(id(lactate_mmol_l), add(id(idF(idF(vasopressor_use_std))), add(id(mechanical_ventilation_std), 1.5939712863694204))), mul(add(sqrt(log(div(sub(sqrt(sqrt(id(lactate_mmol_l))), sub(-1.802529392620369, add(zero, -1.7891671501037807))), mul(id(lactate_mmol_l), sqrt(mul(div(zero, zero), id(vasopressor_use_std))))))), sub(sqrt(pow(id(idF(idF(creatinine_mg_dl))), log(sqrt(sub(1.6081251413252493, one))))), id(gcs))), -1.2605273679138884))"
eICU_composite_risk_score,lgo,base,5,69,68,2.061585948918565,"sqrt(sub(log(div(div(pow(add(mul(div(sqrt(one), sub(zero, zero)), sqrt(id(creatinine_mg_dl))), id(lactate_mmol_l)), pow(1.225637942984131, id(vasopressor_use_std))), sqrt(pow(sub(pow(-0.5008772943614503, add(one, 0.18985738357121978)), id(idF(lactate_mmol_l))), log(sqrt(zero))))), zero)), pow(mul(sqrt(div(pow(1.225637942984131, id(lactate_mmol_l)), sub(0.18985738357121978, zero))), log(sqrt(zero))), pow(id(mechanical_ventilation_std), sqrt(pow(sub(sub(id(gcs), id(idF(vasopressor_use_std))), id(idF(lactate_mmol_l))), one))))))"
eICU_composite_risk_score,lgo,base,34,52,77,1.819545848257548,"sqrt(sub(sub(sub(log(div(pow(mul(log(zero), log(zero)), pow(add(id(creatinine_mg_dl), id(mechanical_ventilation_std)), one)), zero)), pow(log(zero), pow(id(idF(vasopressor_use_std)), one))), pow(mul(sqrt(sub(div(div(pow(one, zero), one), div(mul(0.7255510134224064, -0.5278104454991195), id(gcs))), sub(one, sqrt(-2.0683666492175923)))), mul(sqrt(add(id(creatinine_mg_dl), sqrt(0.7391895532428824))), log(zero))), one)), pow(mul(sqrt(add(id(lactate_mmol_l), sqrt(sub(id(lactate_mmol_l), sub(add(one, -2.0683666492175923), id(lactate_mmol_l)))))), log(zero)), one)))"
eICU_composite_risk_score,lgo,lgo_hard,21,130,39,3.30695833267267,"sub(mul(div(one, add(one, sub(zero, 0.3540961804537937))), id(idF(idF(idF(idF(vasopressor_use_std)))))), pow(div(lgo_thre(id(lactate_mmol_l), as_pos(sub(add(one, sub(zero, 0.3540961804537937)), pow(-2.1396336082238947, one))), -0.6975587582132845), sub(-0.027635957759874343, zero)), add(one, sub(zero, 0.3540961804537937))))"
eICU_composite_risk_score,lgo,lgo_hard,13,115,63,2.506300809482668,"sub(mul(add(add(zero, one), add(one, sub(zero, add(add(add(lgo_thre(-0.3929584855998911, 4.107995219329618, -0.4798375043918555), pow(zero, one)), div(id(gcs), id(vasopressor_use_std))), pow(zero, one))))), id(vasopressor_use_std)), pow(div(sqrt(add(sqrt(sqrt(id(lactate_mmol_l))), sqrt(pow(lgo_thre(id(idF(creatinine_mg_dl)), 4.107995219329618, -0.39356270546379135), mul(sqrt(0.7712177347500103), 1.4691297385240274))))), sub(sub(-0.027635957759874343, mul(sqrt(zero), one)), zero)), add(0.9651516903866536, sub(zero, 0.3540961804537937))))"
eICU_composite_risk_score,lgo,lgo_hard,55,171,73,1.6782918485511409,"sub(mul(add(lgo_thre(id(idF(idF(idF(idF(vasopressor_use_std))))), as_pos(pow(one, -0.002934480883035156)), -1.2425668199567206), lgo_thre(id(idF(idF(idF(resprate_max)))), 3.945749023059936, -1.2425668199567206)), add(lgo_thre(id(idF(idF(mechanical_ventilation_std))), 5.309874294321653, -0.6530304973711167), lgo_thre(id(idF(idF(vasopressor_use_std))), 4.717523974011095, -0.07838947063105371))), pow(div(sqrt(lgo_thre(id(idF(idF(idF(lactate_mmol_l)))), 2.8236313349830287, -0.07838947063105371)), sub(-0.027635957759874343, zero)), add(lgo_thre(add(mul(lgo_thre(-2.3322916542503846, as_pos(zero), -0.07838947063105371), id(idF(idF(hr_max)))), id(idF(creatinine_mg_dl))), 2.3611529651165273, -1.5830074100672997), sub(zero, 0.3540961804537937))))"
eICU_composite_risk_score,lgo,lgo_hard,2,120,134,1.5789949948865103,"sub(mul(add(pow(one, div(lgo_thre(sub(sub(id(mechanical_ventilation_std), id(vasopressor_use_std)), sub(-0.614518536933367, 1.5436577577437962)), as_pos(id(vasopressor_use_std)), 0.8174689230831139), sub(-0.027635957759874343, zero))), mul(log(sub(pow(mul(1.9384167444529763, one), id(vasopressor_use_std)), div(lgo_thre(zero, as_pos(1.9705034970965518), as_thr(zero)), 1.694749527179476))), pow(id(idF(idF(creatinine_mg_dl))), sub(add(lgo_thre(zero, 5.928984203598668, 1.0517008404548052), sqrt(one)), lgo_thre(lgo_thre(zero, 0.2530622007304055, 2.183060782297215), as_pos(1.9705034970965518), -0.19169865633323419))))), id(vasopressor_use_std)), pow(div(lgo_thre(sub(sub(id(lactate_mmol_l), sub(pow(id(gcs), 0.7780535149379418), add(lgo_thre(id(gcs), 4.869006602386887, as_thr(one)), id(mechanical_ventilation_std)))), sub(-0.614518536933367, 1.5436577577437962)), as_pos(pow(log(sqrt(0.7780535149379418)), one)), as_thr(log(1.5018444486137583))), sub(-0.027635957759874343, zero)), add(lgo_thre(lgo_thre(sub(sub(id(lactate_mmol_l), id(spo2_min)), sub(-0.614518536933367, 1.5436577577437962)), as_pos(sqrt(sqrt(div(-0.5176587346815493, -1.1752186385739676)))), as_thr(one)), 4.869006602386887, -0.07838947063105371), sub(div(lgo_thre(zero, as_pos(sqrt(sqrt(div(-0.5176587346815493, -1.1752186385739676)))), 2.0379991795171617), 1.694749527179476), 0.3540961804537937))))"
eICU_composite_risk_score,lgo,lgo_soft,1,208,124,2.404358972754786,"add(log(mul(sub(id(vasopressor_use_std), lgo_and2(one, -1.1236120139335677, 4.605964267304634, -1.5151786715640994)), add(lgo_and3(1.2856504909498025, 0.9530244599904137, one, as_pos(div(-0.3810075833863096, -1.1005205939080405)), -0.6240836623660845), id(idF(idF(lactate_mmol_l)))))), div(lgo(sub(lgo_or2(zero, 0.36887092279777556, 4.399106227454386, 0.16464918508015475), lgo_and3(one, id(idF(idF(idF(idF(gcs))))), mul(-0.9546724881156206, -0.3414775675620138), 2.840767855639482, as_thr(one))), as_pos(sub(one, 0.36887092279777556)), as_thr(lgo_and3(one, 0.9335829743719873, 0.48731242748910597, 2.248435356754017, as_thr(0.10134074588406222)))), lgo_and2(lgo_and2(div(one, one), lgo(one, 1.7909142845846393, 0.5085656750592835), as_pos(0.36887092279777556), as_thr(one)), add(mul(-0.9546724881156206, -0.3414775675620138), sub(lgo_and2(lgo(-0.5372591851283923, 4.605964267304634, as_thr(lgo_and3(div(zero, -0.920842511678397), 0.9335829743719873, 0.48731242748910597, 2.248435356754017, as_thr(0.10134074588406222)))), id(idF(mechanical_ventilation_std)), 2.840767855639482, -1.5151786715640994), lgo_and3(mul(one, 0.6772030635885629), sub(1.049994578209843, zero), lgo_and3(div(one, one), id(hr_max), one, 0.25755372978541097, 0.16464918508015475), as_pos(zero), as_thr(one)))), as_pos(sub(zero, zero)), as_thr(add(zero, zero)))))"
eICU_composite_risk_score,lgo,lgo_soft,5,261,154,2.180945102209487,"add(log(mul(sub(id(vasopressor_use_std), lgo_or2(-0.2169179253962667, -0.9947528990010478, 0.36308638020476475, as_thr(lgo_and3(one, 0.9335829743719873, 0.48731242748910597, 4.28273485788329, -0.6240836623660845)))), add(gate_expr(zero, as_pos(one), as_thr(one)), lgo_or2(sub(zero, lgo(mul(sqrt(1.3753003078032024), id(lactate_mmol_l)), as_pos(one), -0.6396399666124578)), sub(sub(lgo_and2(zero, one, 4.755661004348556, -0.6396399666124578), sub(one, -0.30464706013873605)), lgo_or2(zero, lgo_or2(-1.3169806414664487, zero, 4.755661004348556, -0.27120825562603207), 0.35030286173400194, -2.0646942480268167)), as_pos(one), -1.5151786715640994)))), div(lgo(sub(lgo_or2(zero, 0.36887092279777556, 4.216951721225925, 0.030476893180766462), lgo_and3(one, one, zero, 2.840767855639482, as_thr(log(one)))), as_pos(one), as_thr(lgo_and3(one, 0.9335829743719873, 0.48731242748910597, 4.755661004348556, -0.6053715335305084))), lgo_and2(lgo_and2(one, lgo(one, 1.7909142845846393, 0.5085656750592835), as_pos(one), as_thr(one)), add(add(mul(-0.9546724881156206, -0.3414775675620138), mul(sub(one, lgo_or2(lgo_or2(one, one, 3.0923044442505483, -0.6240836623660845), id(idF(gcs)), 4.216951721225925, -2.0646942480268167)), lgo(lgo(div(-0.7963202546375666, 0.15182793707942766), as_pos(div(1.1592149916932035, one)), -1.5151786715640994), as_pos(zero), as_thr(div(-0.0902679829703061, zero))))), lgo_and2(-0.36826079435290354, id(mechanical_ventilation_std), as_pos(lgo_and2(zero, one, 2.623152736099196, -2.0711777961642808)), as_thr(add(zero, 1.0754773777295679)))), as_pos(lgo_or2(-0.21570842670294454, zero, as_pos(one), as_thr(one))), as_thr(log(one)))))"
