phase,duration_s,method,seed,split
fit,139.58080577850342,lgo,1,0
fit,183.7841112613678,lgo,1,0
fit,127.89221453666687,lgo,1,0
fit,157.57349586486816,pysr,1,0
fit,24.80996084213257,operon,1,0
fit,141.15427350997925,lgo,2,0
fit,170.90265107154846,lgo,2,0
fit,153.2448205947876,lgo,2,0
fit,147.5128836631775,pysr,2,0
fit,24.543063402175903,operon,2,0
fit,134.05375790596008,lgo,3,0
fit,167.73804712295532,lgo,3,0
fit,136.46322393417358,lgo,3,0
fit,141.86589860916138,pysr,3,0
fit,18.391475677490234,operon,3,0
fit,139.09575653076172,lgo,5,0
fit,183.82763814926147,lgo,5,0
fit,130.92755961418152,lgo,5,0
fit,150.45617079734802,pysr,5,0
fit,22.09760594367981,operon,5,0
fit,126.11739802360535,lgo,8,0
fit,168.75780057907104,lgo,8,0
fit,143.59995865821838,lgo,8,0
fit,141.5876500606537,pysr,8,0
fit,24.288156509399414,operon,8,0
fit,131.93697571754456,lgo,13,0
fit,164.1481897830963,lgo,13,0
fit,123.92830467224121,lgo,13,0
fit,144.2455334663391,pysr,13,0
fit,23.359077215194702,operon,13,0
fit,108.10177850723267,lgo,21,0
fit,170.72627091407776,lgo,21,0
fit,119.347482919693,lgo,21,0
fit,202.02551198005676,pysr,21,0
fit,29.260326862335205,operon,21,0
fit,128.66185665130615,lgo,34,0
fit,182.0387101173401,lgo,34,0
fit,142.7808337211609,lgo,34,0
fit,133.9481499195099,pysr,34,0
fit,23.589006185531616,operon,34,0
fit,117.32737159729004,lgo,55,0
fit,178.61604642868042,lgo,55,0
fit,125.3703408241272,lgo,55,0
fit,134.68191576004028,pysr,55,0
fit,27.094125509262085,operon,55,0
fit,141.9405438899994,lgo,89,0
fit,201.79687070846558,lgo,89,0
fit,139.62058687210083,lgo,89,0
fit,135.4265377521515,pysr,89,0
fit,20.126962661743164,operon,89,0
fit,204.3911738395691,pstree,1,0
fit,168.7747642993927,pstree,2,0
fit,170.71139001846313,pstree,3,0
fit,180.6239149570465,pstree,5,0
fit,161.7199523448944,pstree,8,0
fit,173.86561584472656,pstree,13,0
fit,165.4960732460022,pstree,21,0
fit,167.75573134422302,pstree,34,0
fit,171.51738286018372,pstree,55,0
fit,166.84398245811462,pstree,89,0
fit,511.84001445770264,rils_rols,1,0
fit,562.1307082176208,rils_rols,2,0
fit,556.1275413036346,rils_rols,3,0
fit,550.6218085289001,rils_rols,5,0
fit,526.6847581863403,rils_rols,8,0
fit,587.4747359752655,rils_rols,13,0
fit,484.8105778694153,rils_rols,21,0
fit,536.818764925003,rils_rols,34,0
fit,544.4020709991455,rils_rols,55,0
fit,519.0362145900726,rils_rols,89,0
