dataset,method,experiment,seed,expr_id,expression,complexity,depth,expr_length,num_gates,num_AND,num_OR,num_soft,num_pair,num_gate_expr
ICU_composite_risk_score,lgo,base,1,0,"sqrt(sub(sub(log(div(log(log(id(lactate_mmol_l))), zero)), pow(log(zero), pow(id(vasopressor_use_std), -0.08321954963032731))), pow(mul(sqrt(sub(sub(div(one, add(one, one)), add(0.056946121176312946, 0.056946121176312946)), add(zero, 0.056946121176312946))), log(mul(pow(id(vasopressor_use_std), -0.08321954963032731), sub(-0.08321954963032731, one)))), pow(id(lactate_mmol_l), mul(pow(mul(add(0.8814894448025508, id(lactate_mmol_l)), log(zero)), sqrt(one)), -0.008092022046013388)))))",57,9,485,0,0,0,0,0,0
ICU_composite_risk_score,lgo,base,1,1,"sqrt(sub(sub(log(div(log(log(id(lactate_mmol_l))), zero)), pow(log(zero), pow(id(vasopressor_use_std), -0.08321954963032731))), pow(mul(sqrt(sub(sub(div(one, add(one, one)), add(0.056946121176312946, 0.056946121176312946)), add(zero, add(zero, 0.056946121176312946)))), log(mul(pow(id(vasopressor_use_std), -0.08321954963032731), sub(-0.08321954963032731, one)))), pow(id(lactate_mmol_l), mul(pow(mul(add(0.8814894448025508, id(lactate_mmol_l)), log(zero)), sqrt(one)), -0.008092022046013388)))))",59,9,496,0,0,0,0,0,0
ICU_composite_risk_score,lgo,base,1,2,"sqrt(sub(sub(log(div(log(id(lactate_mmol_l)), zero)), pow(log(zero), pow(id(vasopressor_use_std), -0.08321954963032731))), pow(mul(sqrt(sub(sub(div(0.8814894448025508, add(one, one)), add(zero, 0.056946121176312946)), add(zero, 0.056946121176312946))), log(mul(pow(id(vasopressor_use_std), -0.08321954963032731), sub(-0.08321954963032731, one)))), pow(id(lactate_mmol_l), mul(pow(mul(add(0.8814894448025508, id(lactate_mmol_l)), log(zero)), sqrt(one)), -0.008092022046013388)))))",56,9,479,0,0,0,0,0,0
ICU_composite_risk_score,lgo,base,1,3,"sqrt(sub(sub(log(div(log(id(lactate_mmol_l)), zero)), pow(log(zero), pow(id(vasopressor_use_std), -0.08321954963032731))), pow(mul(sqrt(sub(sub(div(one, add(one, one)), add(0.056946121176312946, 0.056946121176312946)), 0.056946121176312946)), log(mul(pow(id(vasopressor_use_std), -0.08321954963032731), sub(-0.08321954963032731, one)))), pow(id(lactate_mmol_l), mul(pow(mul(add(0.8814894448025508, id(lactate_mmol_l)), log(zero)), sqrt(one)), -0.008092022046013388)))))",54,9,469,0,0,0,0,0,0
ICU_composite_risk_score,lgo,base,1,4,"sqrt(sub(sub(log(div(log(id(lactate_mmol_l)), zero)), pow(log(zero), pow(id(vasopressor_use_std), -0.08321954963032731))), pow(mul(sqrt(sub(sub(div(one, add(one, one)), add(0.056946121176312946, 0.056946121176312946)), add(zero, 0.056946121176312946))), log(mul(pow(id(vasopressor_use_std), -0.08321954963032731), sub(-0.08321954963032731, one)))), pow(id(lactate_mmol_l), mul(pow(mul(add(0.8814894448025508, id(lactate_mmol_l)), log(zero)), sqrt(one)), -0.008092022046013388)))))",56,9,480,0,0,0,0,0,0
ICU_composite_risk_score,lgo,base,1,5,"sqrt(sub(sub(log(div(log(id(lactate_mmol_l)), zero)), pow(log(zero), pow(id(vasopressor_use_std), -0.08321954963032731))), pow(mul(sqrt(sub(sub(div(one, add(one, one)), add(zero, 0.056946121176312946)), add(0.056946121176312946, 0.056946121176312946))), log(mul(pow(id(vasopressor_use_std), -0.08321954963032731), sub(-0.08321954963032731, one)))), pow(id(lactate_mmol_l), mul(pow(mul(add(0.8814894448025508, id(lactate_mmol_l)), log(zero)), sqrt(one)), -0.008092022046013388)))))",56,9,480,0,0,0,0,0,0
ICU_composite_risk_score,lgo,base,1,6,"sqrt(sub(sub(log(div(log(id(lactate_mmol_l)), mul(-0.81976694474294, zero))), pow(log(zero), pow(id(vasopressor_use_std), -0.08321954963032731))), pow(mul(sqrt(sub(sub(div(one, add(one, one)), add(0.056946121176312946, 0.056946121176312946)), add(zero, 0.056946121176312946))), log(mul(pow(id(vasopressor_use_std), -0.08321954963032731), sub(-0.08321954963032731, one)))), pow(id(lactate_mmol_l), mul(pow(mul(add(0.8814894448025508, id(lactate_mmol_l)), log(zero)), sqrt(one)), -0.008092022046013388)))))",58,9,504,0,0,0,0,0,0
ICU_composite_risk_score,lgo,base,1,7,"sqrt(sub(sub(log(div(log(id(lactate_mmol_l)), zero)), pow(log(zero), pow(id(idF(vasopressor_use_std)), -0.08321954963032731))), pow(mul(sqrt(sub(sub(div(one, add(one, one)), add(zero, 0.056946121176312946)), log(mul(pow(id(vasopressor_use_std), -0.08321954963032731), sub(-0.08321954963032731, one))))), log(mul(pow(id(vasopressor_use_std), -0.08321954963032731), sub(-0.08321954963032731, one)))), pow(id(lactate_mmol_l), mul(pow(mul(add(0.8814894448025508, id(lactate_mmol_l)), log(zero)), sqrt(one)), -0.008092022046013388)))))",63,10,530,0,0,0,0,0,0
ICU_composite_risk_score,lgo,base,1,8,"sqrt(sub(sub(log(div(0.056946121176312946, zero)), pow(log(zero), pow(id(vasopressor_use_std), -0.08321954963032731))), pow(mul(sqrt(sub(sub(div(one, add(one, one)), add(zero, 0.056946121176312946)), add(zero, 0.056946121176312946))), log(mul(pow(id(vasopressor_use_std), -0.08321954963032731), sub(-0.08321954963032731, one)))), pow(id(lactate_mmol_l), log(mul(pow(id(idF(lactate_mmol_l)), -0.08321954963032731), sub(-0.08321954963032731, one)))))))",52,9,450,0,0,0,0,0,0
ICU_composite_risk_score,lgo,base,1,9,"sqrt(sub(sub(log(div(log(id(lactate_mmol_l)), zero)), pow(log(zero), pow(id(vasopressor_use_std), -0.08321954963032731))), pow(mul(sqrt(sub(sub(div(one, add(one, one)), add(sqrt(log(zero)), 0.056946121176312946)), add(zero, 0.056946121176312946))), log(mul(pow(id(vasopressor_use_std), -0.08321954963032731), sub(-0.08321954963032731, one)))), pow(id(lactate_mmol_l), mul(pow(mul(add(0.8814894448025508, id(lactate_mmol_l)), log(zero)), sqrt(one)), -0.008092022046013388)))))",58,10,475,0,0,0,0,0,0
ICU_composite_risk_score,lgo,base,13,10,"add(pow(id(vasopressor_use_std), div(log(0.02457481888282008), mul(div(add(pow(-1.0486988144877798, one), one), sqrt(sub(sub(sub(add(0.06309949110426995, one), log(0.02457481888282008)), -0.3308628545767917), -0.3308628545767917))), pow(id(idF(idF(lactate_mmol_l))), pow(id(lactate_mmol_l), pow(-1.0486988144877798, add(one, one))))))), sub(sub(add(sqrt(sub(pow(id(idF(creatinine_mg_dl)), log(sub(sqrt(-1.0162671780544439), one))), pow(div(sqrt(zero), log(zero)), mul(sqrt(one), pow(zero, one))))), one), log(0.02457481888282008)), -0.3308628545767917))",68,10,553,0,0,0,0,0,0
ICU_composite_risk_score,lgo,base,13,11,"add(pow(id(vasopressor_use_std), div(log(0.02457481888282008), mul(div(add(pow(-1.0486988144877798, one), one), sqrt(sub(sub(sub(add(0.06309949110426995, one), log(0.02457481888282008)), sub(-0.04692494647708996, one)), 0.02457481888282008))), pow(id(idF(idF(idF(lactate_mmol_l)))), pow(id(lactate_mmol_l), pow(-1.0486988144877798, add(one, one))))))), sub(sub(add(sqrt(sub(pow(id(idF(creatinine_mg_dl)), log(sub(-0.04692494647708996, one))), pow(div(sqrt(zero), log(zero)), id(idF(idF(lactate_mmol_l)))))), one), log(0.02457481888282008)), -0.3308628545767917))",68,10,562,0,0,0,0,0,0
ICU_composite_risk_score,lgo,base,13,12,"add(pow(id(vasopressor_use_std), div(log(0.02457481888282008), mul(div(add(pow(-1.0486988144877798, one), one), sqrt(sub(sub(sub(add(0.06309949110426995, one), log(0.02457481888282008)), sub(-0.04692494647708996, one)), 0.02457481888282008))), pow(id(idF(idF(idF(lactate_mmol_l)))), pow(id(idF(idF(lactate_mmol_l))), pow(-1.0486988144877798, add(one, one))))))), sub(sub(add(sqrt(sub(pow(id(idF(creatinine_mg_dl)), log(sub(-0.04692494647708996, one))), pow(div(sqrt(zero), log(zero)), mul(sqrt(one), pow(zero, one))))), one), log(0.02457481888282008)), -0.3308628545767917))",72,10,574,0,0,0,0,0,0
ICU_composite_risk_score,lgo,base,13,13,"add(pow(id(vasopressor_use_std), div(log(0.02457481888282008), mul(div(add(pow(-1.0486988144877798, one), one), sqrt(sub(sub(sub(add(0.06309949110426995, one), log(0.02457481888282008)), -0.3308628545767917), -0.3308628545767917))), pow(id(idF(idF(lactate_mmol_l))), pow(id(idF(idF(lactate_mmol_l))), pow(-1.0486988144877798, add(one, one))))))), sub(sub(add(sqrt(sub(pow(id(idF(creatinine_mg_dl)), log(sub(-0.04692494647708996, one))), pow(div(sqrt(zero), log(zero)), sqrt(zero)))), one), log(0.02457481888282008)), -0.3308628545767917))",65,10,538,0,0,0,0,0,0
ICU_composite_risk_score,lgo,base,13,14,"add(pow(id(vasopressor_use_std), div(log(0.02457481888282008), mul(div(add(pow(-1.0486988144877798, one), one), sqrt(sub(sub(sub(add(0.06309949110426995, one), log(0.02457481888282008)), -0.3308628545767917), -0.3308628545767917))), pow(id(idF(idF(idF(idF(lactate_mmol_l))))), pow(id(idF(idF(lactate_mmol_l))), pow(-1.0486988144877798, add(one, one))))))), sub(sub(add(sqrt(sub(pow(id(idF(creatinine_mg_dl)), log(sub(-0.04692494647708996, one))), pow(div(sqrt(zero), one), mul(sqrt(one), pow(zero, one))))), one), log(0.02457481888282008)), -0.3308628545767917))",70,10,562,0,0,0,0,0,0
ICU_composite_risk_score,lgo,base,13,15,"add(pow(id(vasopressor_use_std), div(log(0.02457481888282008), mul(div(add(pow(-1.0486988144877798, one), one), sqrt(sub(sub(sub(add(0.06309949110426995, one), log(0.02457481888282008)), -0.3308628545767917), -0.3308628545767917))), pow(id(idF(idF(idF(idF(lactate_mmol_l))))), pow(id(idF(idF(idF(lactate_mmol_l)))), pow(-1.0486988144877798, add(one, one))))))), sub(sub(add(sqrt(sub(pow(id(idF(creatinine_mg_dl)), log(sub(-0.04692494647708996, one))), pow(div(sqrt(zero), log(zero)), mul(sqrt(one), pow(zero, one))))), one), log(0.02457481888282008)), -0.3308628545767917))",72,10,573,0,0,0,0,0,0
ICU_composite_risk_score,lgo,base,13,16,"add(pow(id(vasopressor_use_std), div(log(0.02457481888282008), mul(div(add(pow(-1.0486988144877798, one), one), sqrt(sub(sub(sub(add(0.06309949110426995, one), log(0.02457481888282008)), -0.3308628545767917), -0.3308628545767917))), pow(id(idF(idF(idF(lactate_mmol_l)))), pow(id(idF(idF(lactate_mmol_l))), pow(-1.0486988144877798, add(one, one))))))), sub(sub(add(sqrt(sub(pow(id(idF(creatinine_mg_dl)), log(sub(-0.04692494647708996, one))), pow(div(sqrt(zero), log(zero)), mul(sqrt(one), pow(zero, one))))), one), log(0.02457481888282008)), -0.3308628545767917))",70,10,563,0,0,0,0,0,0
ICU_composite_risk_score,lgo,base,13,17,"add(pow(id(vasopressor_use_std), div(log(0.02457481888282008), mul(div(add(pow(-1.0486988144877798, one), one), sqrt(sub(sub(sub(add(0.06309949110426995, one), log(0.02457481888282008)), -0.3308628545767917), -0.3308628545767917))), pow(id(lactate_mmol_l), pow(id(idF(idF(idF(lactate_mmol_l)))), pow(-1.0486988144877798, add(one, one))))))), sub(sub(add(sqrt(sub(pow(id(idF(creatinine_mg_dl)), log(sub(-0.04692494647708996, one))), pow(div(sqrt(zero), log(zero)), mul(sqrt(one), pow(zero, one))))), one), log(0.02457481888282008)), -0.3308628545767917))",68,10,553,0,0,0,0,0,0
ICU_composite_risk_score,lgo,base,13,18,"add(pow(id(vasopressor_use_std), div(log(0.02457481888282008), mul(div(add(pow(-1.0486988144877798, one), one), sqrt(sub(sub(sub(add(0.06309949110426995, one), log(0.02457481888282008)), -0.3308628545767917), -0.3308628545767917))), pow(id(idF(idF(idF(idF(lactate_mmol_l))))), pow(id(idF(idF(idF(lactate_mmol_l)))), pow(-1.0486988144877798, add(one, one))))))), sub(sub(add(sqrt(sub(pow(id(idF(creatinine_mg_dl)), log(sub(-0.04692494647708996, one))), pow(div(sqrt(log(0.02457481888282008)), log(zero)), mul(sqrt(one), pow(zero, one))))), one), log(0.02457481888282008)), -0.3308628545767917))",73,10,593,0,0,0,0,0,0
ICU_composite_risk_score,lgo,base,13,19,"add(pow(id(vasopressor_use_std), div(log(0.02457481888282008), mul(div(add(pow(-1.0486988144877798, one), one), sqrt(sub(sub(sub(add(0.06309949110426995, one), log(0.02457481888282008)), -0.3308628545767917), -0.3308628545767917))), pow(id(lactate_mmol_l), pow(id(lactate_mmol_l), pow(-1.0486988144877798, add(one, one))))))), sub(sub(add(sqrt(sub(pow(id(idF(creatinine_mg_dl)), log(sub(-0.04692494647708996, one))), pow(div(sqrt(zero), log(zero)), mul(sqrt(pow(-0.34030932736387265, 1.5620005770003547)), pow(zero, one))))), one), log(0.02457481888282008)), -0.3308628545767917))",67,10,580,0,0,0,0,0,0
ICU_composite_risk_score,lgo,base,2,20,"sqrt(sub(log(div(sub(log(div(log(sqrt(id(map_mmhg))), log(one))), pow(mul(id(idF(map_mmhg)), log(-1.0561656281406036)), pow(id(vasopressor_use_std), add(-2.5377526650667517, id(map_mmhg))))), sqrt(sqrt(-0.9851757801766008)))), mul(sub(sqrt(id(idF(idF(vasopressor_use_std)))), 0.6484207118438365), log(zero))))",40,10,309,0,0,0,0,0,0
ICU_composite_risk_score,lgo,base,2,21,"sqrt(sub(log(div(sub(log(div(log(sqrt(id(map_mmhg))), log(one))), pow(mul(id(map_mmhg), log(-1.0561656281406036)), pow(id(vasopressor_use_std), add(-2.5377526650667517, id(map_mmhg))))), sqrt(zero))), mul(sub(sqrt(id(vasopressor_use_std)), 0.6484207118438365), log(sqrt(zero)))))",37,10,279,0,0,0,0,0,0
ICU_composite_risk_score,lgo,base,2,22,"sqrt(sub(log(div(sub(log(div(log(sqrt(id(map_mmhg))), log(one))), pow(mul(id(idF(idF(map_mmhg))), log(-1.0561656281406036)), pow(id(idF(idF(vasopressor_use_std))), add(-2.5377526650667517, id(map_mmhg))))), sqrt(zero))), mul(sub(sqrt(id(vasopressor_use_std)), 0.6484207118438365), log(sqrt(log(0.16789269720864874))))))",42,10,319,0,0,0,0,0,0
