dataset,method,experiment,n_models,complexity_median,complexity_q1,complexity_q3,complexity_mean,complexity_std,gates_median,gates_q1,gates_q3,depth_median
ICU_composite_risk_score,lgo,base,100,55.0,45.0,62.0,54.7,11.264945179582092,0.0,0.0,0.0,10.0
ICU_composite_risk_score,lgo,lgo_hard,100,76.5,71.0,96.25,83.07,20.061146426851987,4.0,3.0,7.0,10.0
ICU_composite_risk_score,lgo,lgo_soft,100,90.5,65.75,122.25,95.32,37.999436465784214,10.0,6.0,13.0,10.0
ICU_composite_risk_score,lgo_base,base,100,55.0,45.0,62.0,54.7,11.264945179582092,0.0,0.0,0.0,10.0
ICU_composite_risk_score,lgo_lgo_hard,lgo_hard,100,76.5,71.0,96.25,83.07,20.061146426851987,4.0,3.0,7.0,10.0
ICU_composite_risk_score,lgo_lgo_soft,lgo_soft,100,90.5,65.75,122.25,95.32,37.999436465784214,10.0,6.0,13.0,10.0
ICU_composite_risk_score,operon,base,10,30.0,27.5,31.0,29.3,3.198958163736021,0.0,0.0,0.0,11.0
ICU_composite_risk_score,operon_base,base,10,30.0,27.5,31.0,29.3,3.198958163736021,0.0,0.0,0.0,11.0
ICU_composite_risk_score,pstree,pstree,10,1.0,1.0,1.0,2.0,3.162277660168379,0.0,0.0,0.0,0.0
ICU_composite_risk_score,pstree_base,pstree,10,1.0,1.0,1.0,2.0,3.162277660168379,0.0,0.0,0.0,0.0
ICU_composite_risk_score,pysr,base,99,6.0,5.0,8.0,6.333333333333333,2.4411439272335804,0.0,0.0,0.0,1.0
ICU_composite_risk_score,pysr_base,base,99,6.0,5.0,8.0,6.333333333333333,2.4411439272335804,0.0,0.0,0.0,1.0
ICU_composite_risk_score,rils_rols,rils_rols,10,28.5,27.25,29.75,28.3,2.4966644414765335,0.0,0.0,0.0,5.0
ICU_composite_risk_score,rils_rols_base,rils_rols,10,28.5,27.25,29.75,28.3,2.4966644414765335,0.0,0.0,0.0,5.0
