dataset,method,experiment,seed,expr,complexity,cv_loss,test_loss,cv_r2,test_r2
ICU_composite_risk_score,lgo,base,1,"add(2.4156325765208044, sub(add(pow(id(idF(idF(vasopressor_use_std))), add(pow(id(idF(creatinine_mg_dl)), pow(id(idF(vasopressor_dose)), sub(add(add(-0.40880827859819024, one), id(lactate_mmol_l)), id(map_mmhg)))), sub(add(div(id(dbp_min), pow(-0.612451586213201, 0.8895195747446254)), pow(pow(1.3608723759435093, one), add(one, 0.8895195747446254))), id(idF(lactate_mmol_l))))), add(add(one, id(idF(lactate_mmol_l))), one)), -0.7776293922950797))",25.5,0.9203693091862911,0.816930534076823,0.7285851169785691,0.7619254151476101
ICU_composite_risk_score,lgo,lgo_soft,1,"lgo_or2(lgo_or2(add(id(vasopressor_use_std), 1.9920376309410859), sqrt(gate_expr(log(-1.1197957640782474), 0.6112083493942081, 0.7346651272771006)), 4.779735350829813, as_thr(gate_expr(one, 2.947062446014881, -0.6377415725734359))), log(add(add(add(add(add(add(log(zero), lgo_and3(zero, one, one, 0.2977260073767987, -2.142858073541693)), id(idF(idF(map_mmhg)))), id(idF(idF(map_mmhg)))), id(idF(idF(sbp_min)))), id(idF(idF(dbp_min)))), id(sbp_min))), as_pos(mul(lgo_or2(gate_expr(zero, as_pos(sqrt(sqrt(0.8360188332756407))), 0.2830536122741636), add(sub(lgo_or2(one, 0.03128520068391356, 0.34865569481837944, 0.17553134558152184), gate_expr(zero, 0.37987127786654784, -0.521498442623602)), log(pow(1.2052372356911771, zero))), as_pos(add(-0.07642255539588659, one)), as_thr(lgo_or2(gate_expr(zero, 0.39671888404650146, as_thr(id(dbp_min))), zero, as_pos(0.8265939486066933), as_thr(-1.46321028850984)))), sqrt(add(pow(lgo_and3(zero, one, zero, 5.950962992648658, -0.46999640062353865), pow(one, -0.7907379534190868)), sqrt(id(sbp_min)))))), as_thr(one))",73.1,1.3868169657876193,1.429638364574326,0.5804793223910591,0.5833665826682453
ICU_composite_risk_score,lgo,lgo_hard,1,"add(mul(pow(mul(one, -1.233095717762915), sqrt(zero)), pow(0.5088149991053532, mul(id(idF(idF(vasopressor_use_std))), pow(0.5088149991053532, log(div(mul(log(log(-0.12629432760136583)), pow(sub(zero, one), pow(-1.4306960691503359, zero))), pow(add(lgo_thre(1.015938423561974, 3.6578721825018983, 0.3248990841997027), sub(one, zero)), lgo_thre(log(one), as_pos(zero), -0.1916492456993649)))))))), div(sqrt(div(one, lgo_thre(pow(add(mul(0.4643383977674915, zero), 0.019950935829671564), id(lactate_mmol_l)), as_pos(-1.065717617896157), 0.4721301113935425))), 0.18225200260985802))",57.5,0.6130048468017797,0.5656778040965853,0.8166063563337097,0.8351469277339539
ICU_composite_risk_score,pysr,base,1,vasopressor_use_std + vasopressor_use_std - 6.548313/(-0.99895597 - (map_mmhg + map_mmhg/creatinine_mg_dl)/(lactate_mmol_l*spo2_min)),13.5,0.5822406858289706,,0.8228727967941609,
ICU_composite_risk_score,operon,base,1,((-2.767663) + (1.870742 * ((sqrt((0.378800 * lactate_mmol_l)) + ((((-0.352955) * lactate_mmol_l) * 1.183570) + (sqrt((1.454077 * lactate_mmol_l)) + sqrt(sqrt((((-0.988023) * creatinine_mg_dl) * (-0.701607))))))) + (sqrt((0.378800 * lactate_mmol_l)) + sqrt(sqrt((2.082585 * vasopressor_use_std))))))),33.5,0.6482162838702441,,0.8102265665486901,
ICU_composite_risk_score,lgo,base,2,"add(id(idF(idF(idF(idF(vasopressor_use_std))))), add(add(sqrt(sqrt(pow(sqrt(id(idF(idF(lactate_mmol_l)))), log(sqrt(pow(sqrt(0.10406859580436607), one)))))), add(add(one, sqrt(pow(id(creatinine_mg_dl), mul(zero, id(lactate_mmol_l))))), sub(1.5595261738527357, zero))), sub(div(div(id(lactate_mmol_l), add(sqrt(id(lactate_mmol_l)), add(sqrt(add(zero, 0.6112473378697068)), sqrt(id(idF(lactate_mmol_l)))))), add(sqrt(id(lactate_mmol_l)), add(one, sqrt(id(idF(idF(lactate_mmol_l))))))), -2.1366106675696463)))",40.0,0.5638666178884826,0.704632852116875,0.8207408941080134,0.807814518107782
ICU_composite_risk_score,lgo,lgo_soft,2,"lgo_or2(add(add(mul(lgo_and3(id(idF(idF(vasopressor_use_std))), lgo_and2(lgo_or2(zero, zero, as_pos(one), -2.718371118266573), lgo_or2(one, -1.0598560337124858, 0.5493318476646006, -1.6035945550701773), as_pos(one), as_thr(add(sub(-0.9506063272416356, log(one)), sub(lgo_and2(one, one, 0.3449090513211057, -0.25731780518152636), lgo(-0.17895817766873265, 0.30892193117369215, -2.9727899860350377))))), lgo_and3(mul(zero, log(one)), mul(zero, id(vasopressor_use_std)), sub(one, 1.0491435169119145), as_pos(zero), 0.03488952794879621), as_pos(mul(1.9084409913325273, pow(zero, lgo_or2(0.3582394343263571, lgo(0.46550954935948063, 0.35046201249134185, 0.7008758871630651), 5.927480698953224, as_thr(one))))), as_thr(lgo_or2(zero, 1.3392385332038907, 0.8161829143839193, -2.677021065359325))), log(gate_expr(lgo_and3(zero, zero, one, 0.3536348019196547, -0.0330457788506022), 0.25495723676226373, 1.926981762268891))), sub(lgo_or2(add(one, id(lactate_mmol_l)), lgo_and3(lgo_and2(one, one, 0.3536348019196547, 0.6495023728465394), id(idF(creatinine_mg_dl)), mul(one, 1.120798188244817), as_pos(zero), -5.497089613147137), as_pos(lgo_or2(one, log(zero), 0.2637945223599598, -2.55244550669237)), as_thr(id(idF(idF(vasopressor_use_std))))), add(pow(log(zero), lgo_and2(id(vasopressor_use_std), 0.17665596840294284, 0.5571662694622209, -0.11083000017910286)), lgo_and3(div(zero, 1.7473816701098746), gate_expr(one, 0.7803568756583142, 0.28012743706537013), lgo(-1.2685102914012194, 0.25495723676226373, 0.8416963357005077), as_pos(zero), as_thr(one))))), log(log(lgo_and3(id(idF(age_band)), lgo_and2(lgo_or2(zero, zero, 0.6416373815078953, -1.1742861054014333), lgo_or2(one, -1.0598560337124858, 0.5571662694622209, as_thr(one)), as_pos(one), as_thr(add(sub(-0.9506063272416356, log(one)), sub(lgo_and2(one, one, 0.2836546874195227, -0.4544353225220779), lgo(-0.17895817766873265, 0.4156988346257696, -2.894385695086291))))), lgo_and3(mul(zero, log(one)), mul(gate_expr(lgo(lgo(zero, 0.37616148555116546, 0.2888694370348766), as_pos(-0.3974601474606783), as_thr(-0.5912661754297964)), 0.3209052323891259, as_thr(div(zero, zero))), pow(lgo_and2(div(zero, one), mul(one, 0.31260786672617413), as_pos(0.47363246875497833), as_thr(zero)), lgo_and2(lgo(one, 2.9237352282996762, 2.5970529860206), id(age_years), as_pos(zero), as_thr(one)))), sub(one, 1.0491435169119145), as_pos(zero), as_thr(one)), as_pos(log(zero)), as_thr(log(zero)))))), id(idF(vasopressor_use_std)), 0.9697983144511362, as_thr(lgo_or2(zero, lgo_or2(zero, 1.7473816701098746, 1.082350093606963, -1.6555053673417586), 0.268046767036926, -4.899127332998132)))",176.3,0.9906533524465679,1.0767239610454482,0.7014395406008329,0.7063283202071107
ICU_composite_risk_score,lgo,lgo_hard,2,"add(div(id(creatinine_mg_dl), add(add(sub(2.4156325765208044, sub(sub(sub(1.2378527652466804, one), id(idF(lactate_mmol_l))), div(one, id(vasopressor_use_std)))), one), id(creatinine_mg_dl))), sub(2.4156325765208044, sub(sub(sub(zero, id(idF(idF(lactate_mmol_l)))), id(vasopressor_use_std)), div(one, 0.34884983538233105))))",15.5,1.0972418706257892,1.209539799702691,0.6829240269410862,0.670103389906774
ICU_composite_risk_score,pysr,base,2,sqrt(vasopressor_use_std + sqrt(lactate_mmol_l - 0.40816244))*(1.4552252*sqrt(sqrt(creatinine_mg_dl) + vasopressor_use_std) + 1.93628976303048),14.25,0.7524158239880662,,0.7788473722426346,
ICU_composite_risk_score,operon,base,2,((-20.031004) + (16.899708 * sqrt(sqrt(((((-0.018379) * map_mmhg) - ((sqrt((1.013479 * vasopressor_use_std)) + ((-2.645419) * vasopressor_use_std)) - (sqrt(sqrt((1.519547 * lactate_mmol_l))) + sqrt(sqrt((0.979001 * lactate_mmol_l)))))) + (sqrt((sqrt((0.979001 * lactate_mmol_l)) + sqrt((0.101899 * lactate_mmol_l)))) + sqrt((sqrt((0.591001 * creatinine_mg_dl)) + sqrt((0.434294 * creatinine_mg_dl)))))))))),46.25,0.6016967340752158,,0.8177895654025621,
