dataset,task,method,experiment,seed,split,metric,value
ICU_composite_risk_score,regression,lgo,base,1,0,RMSE,0.8621784161334264
ICU_composite_risk_score,regression,lgo,base,1,0,MAE,0.7100079698241895
ICU_composite_risk_score,regression,lgo,base,1,0,R2,0.7833682042163307
ICU_composite_risk_score,regression,lgo,lgo_soft,1,0,RMSE,1.2073356063164087
ICU_composite_risk_score,regression,lgo,lgo_soft,1,0,MAE,1.0422031644295062
ICU_composite_risk_score,regression,lgo,lgo_soft,1,0,R2,0.5752005706729093
ICU_composite_risk_score,regression,lgo,lgo_hard,1,0,RMSE,0.7493485207224349
ICU_composite_risk_score,regression,lgo,lgo_hard,1,0,MAE,0.6018915850096105
ICU_composite_risk_score,regression,lgo,lgo_hard,1,0,R2,0.8363576846988763
ICU_composite_risk_score,regression,pysr,base,1,0,RMSE,0.7478779173896294
ICU_composite_risk_score,regression,pysr,base,1,0,MAE,0.6041755304262593
ICU_composite_risk_score,regression,pysr,base,1,0,R2,0.8369993535240703
ICU_composite_risk_score,regression,operon,base,1,0,RMSE,0.7499937740277579
ICU_composite_risk_score,regression,operon,base,1,0,MAE,0.607099252572964
ICU_composite_risk_score,regression,operon,base,1,0,R2,0.8360757432437098
ICU_composite_risk_score,regression,lgo,base,2,0,RMSE,0.8394241193323403
ICU_composite_risk_score,regression,lgo,base,2,0,MAE,0.6133458507299788
ICU_composite_risk_score,regression,lgo,base,2,0,R2,0.807814518107782
ICU_composite_risk_score,regression,lgo,lgo_soft,2,0,RMSE,0.9821302124965717
ICU_composite_risk_score,regression,lgo,lgo_soft,2,0,MAE,0.8217269665200544
ICU_composite_risk_score,regression,lgo,lgo_soft,2,0,R2,0.7369151546845589
ICU_composite_risk_score,regression,lgo,lgo_hard,2,0,RMSE,0.9591146612725988
ICU_composite_risk_score,regression,lgo,lgo_hard,2,0,MAE,0.7951079805062212
ICU_composite_risk_score,regression,lgo,lgo_hard,2,0,R2,0.7491011046951088
ICU_composite_risk_score,regression,pysr,base,2,0,RMSE,0.8734715152245592
ICU_composite_risk_score,regression,pysr,base,2,0,MAE,0.7204412450788058
ICU_composite_risk_score,regression,pysr,base,2,0,R2,0.7919080963808413
ICU_composite_risk_score,regression,operon,base,2,0,RMSE,0.7862053829624719
ICU_composite_risk_score,regression,operon,base,2,0,MAE,0.6420871026504913
ICU_composite_risk_score,regression,operon,base,2,0,R2,0.8314108132862037
ICU_composite_risk_score,regression,lgo,base,3,0,RMSE,0.5569590620011957
ICU_composite_risk_score,regression,lgo,base,3,0,MAE,0.4318303213702961
ICU_composite_risk_score,regression,lgo,base,3,0,R2,0.9080265608294512
ICU_composite_risk_score,regression,lgo,lgo_soft,3,0,RMSE,1.062111636832483
ICU_composite_risk_score,regression,lgo,lgo_soft,3,0,MAE,0.8989670128543512
ICU_composite_risk_score,regression,lgo,lgo_soft,3,0,R2,0.6655307382353834
ICU_composite_risk_score,regression,lgo,lgo_hard,3,0,RMSE,0.9201523504757355
ICU_composite_risk_score,regression,lgo,lgo_hard,3,0,MAE,0.755504688159324
ICU_composite_risk_score,regression,lgo,lgo_hard,3,0,R2,0.7489643752820038
ICU_composite_risk_score,regression,pysr,base,3,0,RMSE,0.8471157752744323
ICU_composite_risk_score,regression,pysr,base,3,0,MAE,0.6863277566704947
ICU_composite_risk_score,regression,pysr,base,3,0,R2,0.7872343981949308
ICU_composite_risk_score,regression,operon,base,3,0,RMSE,0.7748384115966528
ICU_composite_risk_score,regression,operon,base,3,0,MAE,0.6361862926641605
ICU_composite_risk_score,regression,operon,base,3,0,R2,0.8219925570485582
ICU_composite_risk_score,regression,pstree,base,1,0,RMSE,1.0940392939835488
ICU_composite_risk_score,regression,pstree,base,1,0,MAE,0.8637065625088227
ICU_composite_risk_score,regression,pstree,base,1,0,R2,0.6511861280290834
ICU_composite_risk_score,regression,pstree,base,2,0,RMSE,1.3211535367103393
ICU_composite_risk_score,regression,pstree,base,2,0,MAE,1.0665161725163421
ICU_composite_risk_score,regression,pstree,base,2,0,R2,0.5239371710886752
ICU_composite_risk_score,regression,pstree,base,3,0,RMSE,1.3577414035453594
ICU_composite_risk_score,regression,pstree,base,3,0,MAE,1.0894300978422502
ICU_composite_risk_score,regression,pstree,base,3,0,R2,0.45342470119421274
ICU_composite_risk_score,regression,pstree,base,5,0,RMSE,1.3512623447740901
ICU_composite_risk_score,regression,pstree,base,5,0,MAE,1.0765956864270678
ICU_composite_risk_score,regression,pstree,base,5,0,R2,0.45401730848947763
ICU_composite_risk_score,regression,pstree,base,8,0,RMSE,1.3082793020186847
ICU_composite_risk_score,regression,pstree,base,8,0,MAE,1.0575046221102982
ICU_composite_risk_score,regression,pstree,base,8,0,R2,0.5188875473049456
ICU_composite_risk_score,regression,pstree,base,13,0,RMSE,1.309165417679291
ICU_composite_risk_score,regression,pstree,base,13,0,MAE,1.0568504740848605
ICU_composite_risk_score,regression,pstree,base,13,0,R2,0.5166511714915665
ICU_composite_risk_score,regression,pstree,base,21,0,RMSE,1.3416137841207203
ICU_composite_risk_score,regression,pstree,base,21,0,MAE,1.069502707483596
ICU_composite_risk_score,regression,pstree,base,21,0,R2,0.44317712937603737
ICU_composite_risk_score,regression,pstree,base,34,0,RMSE,1.3320670258093927
ICU_composite_risk_score,regression,pstree,base,34,0,MAE,1.0676289379533572
ICU_composite_risk_score,regression,pstree,base,34,0,R2,0.44498460753661573
ICU_composite_risk_score,regression,pstree,base,55,0,RMSE,1.254662820474289
ICU_composite_risk_score,regression,pstree,base,55,0,MAE,1.0026540150792058
ICU_composite_risk_score,regression,pstree,base,55,0,R2,0.5483925289795086
ICU_composite_risk_score,regression,pstree,base,89,0,RMSE,1.3370056932868237
ICU_composite_risk_score,regression,pstree,base,89,0,MAE,1.072675840579171
ICU_composite_risk_score,regression,pstree,base,89,0,R2,0.48311941559954996
