phase,duration_s,method,seed,split
fit,67.75868511199951,lgo,1,0
fit,94.41713523864746,lgo,1,0
fit,72.47939801216125,lgo,1,0
fit,15.115962028503418,pysr,1,0
fit,0.6056816577911377,operon,1,0
fit,66.27506566047668,lgo,2,0
fit,126.33846068382263,lgo,2,0
fit,60.22654962539673,lgo,2,0
fit,6.84839940071106,pysr,2,0
fit,0.5665223598480225,operon,2,0
fit,67.89602661132812,lgo,3,0
fit,95.12260603904724,lgo,3,0
fit,69.2137143611908,lgo,3,0
fit,7.345247507095337,pysr,3,0
fit,0.5748889446258545,operon,3,0
fit,164.45896291732788,pstree,1,0
fit,134.36415910720825,pstree,2,0
fit,134.94896173477173,pstree,3,0
fit,134.33044981956482,pstree,5,0
fit,134.60486030578613,pstree,8,0
fit,134.8358211517334,pstree,13,0
fit,134.1527395248413,pstree,21,0
fit,134.59205031394958,pstree,34,0
fit,134.53662300109863,pstree,55,0
fit,134.4262180328369,pstree,89,0
