rank,expr,cv_loss,cv_r2,instability,test_loss,test_r2,complexity,height,size,eval_calls,runtime_sec,used_lgo,used_lgo_thre,used_lgo_pair,used_lgo_and2,used_lgo_or2,used_lgo_and3,used_gate_expr,scaler_json,experiment,typed_mode,use_zscore,prior_mode,typed_grouping,enable_gate_expr,seed,method
0,"add(id(idF(idF(idF(idF(vasopressor_use_std))))), add(add(sqrt(sqrt(pow(sqrt(id(idF(idF(lactate_mmol_l)))), log(sqrt(pow(sqrt(0.10406859580436607), one)))))), add(add(one, sqrt(pow(id(creatinine_mg_dl), mul(zero, id(lactate_mmol_l))))), sub(1.5595261738527357, zero))), sub(div(div(id(lactate_mmol_l), add(sqrt(id(lactate_mmol_l)), add(sqrt(add(zero, 0.6112473378697068)), sqrt(id(idF(lactate_mmol_l)))))), add(sqrt(id(lactate_mmol_l)), add(one, sqrt(id(idF(idF(lactate_mmol_l))))))), -2.1366106675696463)))",0.5638666178884826,0.8207408941080134,0.10666985257042702,0.704632852116875,0.807814518107782,40.0,10,67,68071,66.26277923583984,False,False,False,False,False,False,False,"{""mean"": [57.13611229264143, 2.758315270097836, 1.6824695874096147, 63.34232837090599, 3.247979583156104, 17.518300633503472, 13.629409612930688, 24.0, 86.75077073585709, 45.161287111867296, 106.72910080816673, 29.30194640578477, 91.4181199489579, 9.602376350489168, 136.02942832837093, 63.6001437686091, 0.7090599744789451, 0.43726074011059124, 3.7158655891110164, 0.3836665248830285], ""std"": [12.225070016410875, 2.282025474262181, 1.7174312663530886, 15.522515155785499, 0.431839911881517, 65.95316793483582, 28.544072755512005, 1.0, 15.533192064048096, 10.667604487552506, 20.56328819787262, 7.088464973389176, 6.374995953833132, 2.1108580809574735, 5.166453347686503, 105.6399424878127, 0.45419591265319387, 0.49604816829469606, 1.3562085623612405, 0.4862782357531587]}",base,light,True,lgo,none,True,2,lgo
9,"add(id(idF(vasopressor_use_std)), add(add(sqrt(sqrt(pow(sqrt(id(idF(lactate_mmol_l))), log(sqrt(pow(sqrt(0.10406859580436607), 1.3737671670079181)))))), add(add(one, sqrt(pow(id(creatinine_mg_dl), mul(-0.43112063824907937, zero)))), 1.3737671670079181)), sub(div(id(lactate_mmol_l), add(sqrt(id(lactate_mmol_l)), add(one, sqrt(id(lactate_mmol_l))))), -2.1366106675696463)))",0.6010292178560777,0.8052947364531235,0.11141098506487747,0.7662362726004803,0.7910124586859388,30.0,10,44,68071,66.27203583717346,False,False,False,False,False,False,False,"{""mean"": [57.13611229264143, 2.758315270097836, 1.6824695874096147, 63.34232837090599, 3.247979583156104, 17.518300633503472, 13.629409612930688, 24.0, 86.75077073585709, 45.161287111867296, 106.72910080816673, 29.30194640578477, 91.4181199489579, 9.602376350489168, 136.02942832837093, 63.6001437686091, 0.7090599744789451, 0.43726074011059124, 3.7158655891110164, 0.3836665248830285], ""std"": [12.225070016410875, 2.282025474262181, 1.7174312663530886, 15.522515155785499, 0.431839911881517, 65.95316793483582, 28.544072755512005, 1.0, 15.533192064048096, 10.667604487552506, 20.56328819787262, 7.088464973389176, 6.374995953833132, 2.1108580809574735, 5.166453347686503, 105.6399424878127, 0.45419591265319387, 0.49604816829469606, 1.3562085623612405, 0.4862782357531587]}",base,light,True,lgo,none,True,2,lgo
3,"add(id(idF(idF(idF(idF(idF(vasopressor_use_std)))))), add(add(sqrt(sqrt(pow(sqrt(id(idF(lactate_mmol_l))), log(sqrt(pow(sqrt(0.10406859580436607), one)))))), add(add(one, sqrt(pow(id(creatinine_mg_dl), mul(-0.43112063824907937, zero)))), 1.3737671670079181)), sub(div(id(lactate_mmol_l), add(sqrt(id(lactate_mmol_l)), add(one, sqrt(id(lactate_mmol_l))))), -2.1366106675696463)))",0.6010446457613003,0.8053122530684199,0.11131712078008689,0.7654020042880038,0.7912400016640713,30.0,10,48,68071,66.2659182548523,False,False,False,False,False,False,False,"{""mean"": [57.13611229264143, 2.758315270097836, 1.6824695874096147, 63.34232837090599, 3.247979583156104, 17.518300633503472, 13.629409612930688, 24.0, 86.75077073585709, 45.161287111867296, 106.72910080816673, 29.30194640578477, 91.4181199489579, 9.602376350489168, 136.02942832837093, 63.6001437686091, 0.7090599744789451, 0.43726074011059124, 3.7158655891110164, 0.3836665248830285], ""std"": [12.225070016410875, 2.282025474262181, 1.7174312663530886, 15.522515155785499, 0.431839911881517, 65.95316793483582, 28.544072755512005, 1.0, 15.533192064048096, 10.667604487552506, 20.56328819787262, 7.088464973389176, 6.374995953833132, 2.1108580809574735, 5.166453347686503, 105.6399424878127, 0.45419591265319387, 0.49604816829469606, 1.3562085623612405, 0.4862782357531587]}",base,light,True,lgo,none,True,2,lgo
4,"add(id(idF(idF(idF(idF(idF(idF(vasopressor_use_std))))))), add(add(sqrt(sqrt(pow(sqrt(id(idF(lactate_mmol_l))), log(sqrt(pow(sqrt(0.10406859580436607), one)))))), add(add(one, sqrt(pow(id(creatinine_mg_dl), mul(-0.43112063824907937, zero)))), 1.3737671670079181)), sub(div(id(lactate_mmol_l), add(sqrt(id(lactate_mmol_l)), add(one, sqrt(id(lactate_mmol_l))))), -2.1366106675696463)))",0.6010446457613003,0.8053122530684199,0.11131712078008689,0.7654020042880038,0.7912400016640713,30.0,10,49,68071,66.2669460773468,False,False,False,False,False,False,False,"{""mean"": [57.13611229264143, 2.758315270097836, 1.6824695874096147, 63.34232837090599, 3.247979583156104, 17.518300633503472, 13.629409612930688, 24.0, 86.75077073585709, 45.161287111867296, 106.72910080816673, 29.30194640578477, 91.4181199489579, 9.602376350489168, 136.02942832837093, 63.6001437686091, 0.7090599744789451, 0.43726074011059124, 3.7158655891110164, 0.3836665248830285], ""std"": [12.225070016410875, 2.282025474262181, 1.7174312663530886, 15.522515155785499, 0.431839911881517, 65.95316793483582, 28.544072755512005, 1.0, 15.533192064048096, 10.667604487552506, 20.56328819787262, 7.088464973389176, 6.374995953833132, 2.1108580809574735, 5.166453347686503, 105.6399424878127, 0.45419591265319387, 0.49604816829469606, 1.3562085623612405, 0.4862782357531587]}",base,light,True,lgo,none,True,2,lgo
7,"add(id(idF(idF(idF(idF(vasopressor_use_std))))), add(add(sqrt(sqrt(pow(sqrt(id(lactate_mmol_l)), log(sqrt(pow(sqrt(0.10406859580436607), one)))))), add(add(one, sqrt(pow(id(creatinine_mg_dl), mul(-0.43112063824907937, zero)))), 1.3737671670079181)), sub(div(id(lactate_mmol_l), add(sqrt(id(lactate_mmol_l)), add(one, sqrt(id(lactate_mmol_l))))), -2.1366106675696463)))",0.6010446457613003,0.8053122530684199,0.11131712078008689,0.7654020042880038,0.7912400016640713,30.0,10,46,68071,66.27004098892212,False,False,False,False,False,False,False,"{""mean"": [57.13611229264143, 2.758315270097836, 1.6824695874096147, 63.34232837090599, 3.247979583156104, 17.518300633503472, 13.629409612930688, 24.0, 86.75077073585709, 45.161287111867296, 106.72910080816673, 29.30194640578477, 91.4181199489579, 9.602376350489168, 136.02942832837093, 63.6001437686091, 0.7090599744789451, 0.43726074011059124, 3.7158655891110164, 0.3836665248830285], ""std"": [12.225070016410875, 2.282025474262181, 1.7174312663530886, 15.522515155785499, 0.431839911881517, 65.95316793483582, 28.544072755512005, 1.0, 15.533192064048096, 10.667604487552506, 20.56328819787262, 7.088464973389176, 6.374995953833132, 2.1108580809574735, 5.166453347686503, 105.6399424878127, 0.45419591265319387, 0.49604816829469606, 1.3562085623612405, 0.4862782357531587]}",base,light,True,lgo,none,True,2,lgo
8,"add(id(idF(idF(idF(idF(vasopressor_use_std))))), add(add(sqrt(sqrt(pow(sqrt(id(idF(lactate_mmol_l))), log(sqrt(pow(sqrt(0.10406859580436607), one)))))), add(add(one, sqrt(pow(id(creatinine_mg_dl), mul(-0.43112063824907937, zero)))), 1.3737671670079181)), sub(div(id(lactate_mmol_l), add(sqrt(id(lactate_mmol_l)), add(one, sqrt(id(lactate_mmol_l))))), -2.1366106675696463)))",0.6010446457613003,0.8053122530684199,0.11131712078008689,0.7654020042880038,0.7912400016640713,30.0,10,47,68071,66.27104234695435,False,False,False,False,False,False,False,"{""mean"": [57.13611229264143, 2.758315270097836, 1.6824695874096147, 63.34232837090599, 3.247979583156104, 17.518300633503472, 13.629409612930688, 24.0, 86.75077073585709, 45.161287111867296, 106.72910080816673, 29.30194640578477, 91.4181199489579, 9.602376350489168, 136.02942832837093, 63.6001437686091, 0.7090599744789451, 0.43726074011059124, 3.7158655891110164, 0.3836665248830285], ""std"": [12.225070016410875, 2.282025474262181, 1.7174312663530886, 15.522515155785499, 0.431839911881517, 65.95316793483582, 28.544072755512005, 1.0, 15.533192064048096, 10.667604487552506, 20.56328819787262, 7.088464973389176, 6.374995953833132, 2.1108580809574735, 5.166453347686503, 105.6399424878127, 0.45419591265319387, 0.49604816829469606, 1.3562085623612405, 0.4862782357531587]}",base,light,True,lgo,none,True,2,lgo
11,"add(id(idF(idF(idF(idF(idF(idF(idF(vasopressor_use_std)))))))), add(add(sqrt(sqrt(pow(sqrt(id(idF(lactate_mmol_l))), log(sqrt(pow(sqrt(0.10406859580436607), one)))))), add(add(one, sqrt(pow(id(creatinine_mg_dl), mul(-0.43112063824907937, zero)))), 1.3737671670079181)), sub(div(id(lactate_mmol_l), add(sqrt(id(lactate_mmol_l)), add(one, sqrt(id(idF(lactate_mmol_l)))))), -2.1366106675696463)))",0.6010446457613003,0.8053122530684199,0.11131712078008689,0.7654020042880038,0.7912400016640713,30.0,10,51,68071,66.27408242225647,False,False,False,False,False,False,False,"{""mean"": [57.13611229264143, 2.758315270097836, 1.6824695874096147, 63.34232837090599, 3.247979583156104, 17.518300633503472, 13.629409612930688, 24.0, 86.75077073585709, 45.161287111867296, 106.72910080816673, 29.30194640578477, 91.4181199489579, 9.602376350489168, 136.02942832837093, 63.6001437686091, 0.7090599744789451, 0.43726074011059124, 3.7158655891110164, 0.3836665248830285], ""std"": [12.225070016410875, 2.282025474262181, 1.7174312663530886, 15.522515155785499, 0.431839911881517, 65.95316793483582, 28.544072755512005, 1.0, 15.533192064048096, 10.667604487552506, 20.56328819787262, 7.088464973389176, 6.374995953833132, 2.1108580809574735, 5.166453347686503, 105.6399424878127, 0.45419591265319387, 0.49604816829469606, 1.3562085623612405, 0.4862782357531587]}",base,light,True,lgo,none,True,2,lgo
1,"add(id(idF(idF(idF(idF(vasopressor_use_std))))), add(add(sqrt(sqrt(pow(sqrt(id(idF(lactate_mmol_l))), log(sqrt(pow(sqrt(0.10406859580436607), one)))))), add(add(sqrt(one), sqrt(pow(id(creatinine_mg_dl), mul(-0.43112063824907937, zero)))), 1.3737671670079181)), sub(div(id(lactate_mmol_l), add(sqrt(id(lactate_mmol_l)), add(one, sqrt(id(lactate_mmol_l))))), -2.1366106675696463)))",0.6010446457613003,0.8053122530684199,0.11131712078008689,0.7654020042880038,0.7912400016640713,31.5,10,48,68071,66.26383781433105,False,False,False,False,False,False,False,"{""mean"": [57.13611229264143, 2.758315270097836, 1.6824695874096147, 63.34232837090599, 3.247979583156104, 17.518300633503472, 13.629409612930688, 24.0, 86.75077073585709, 45.161287111867296, 106.72910080816673, 29.30194640578477, 91.4181199489579, 9.602376350489168, 136.02942832837093, 63.6001437686091, 0.7090599744789451, 0.43726074011059124, 3.7158655891110164, 0.3836665248830285], ""std"": [12.225070016410875, 2.282025474262181, 1.7174312663530886, 15.522515155785499, 0.431839911881517, 65.95316793483582, 28.544072755512005, 1.0, 15.533192064048096, 10.667604487552506, 20.56328819787262, 7.088464973389176, 6.374995953833132, 2.1108580809574735, 5.166453347686503, 105.6399424878127, 0.45419591265319387, 0.49604816829469606, 1.3562085623612405, 0.4862782357531587]}",base,light,True,lgo,none,True,2,lgo
2,"add(id(idF(idF(idF(idF(vasopressor_use_std))))), add(add(sqrt(sqrt(pow(sqrt(id(idF(idF(lactate_mmol_l)))), log(sqrt(pow(sqrt(0.10406859580436607), one)))))), add(add(sqrt(one), sqrt(pow(id(creatinine_mg_dl), mul(-0.43112063824907937, zero)))), 1.3737671670079181)), sub(div(id(lactate_mmol_l), add(sqrt(id(lactate_mmol_l)), add(one, sqrt(id(lactate_mmol_l))))), -2.1366106675696463)))",0.6010446457613003,0.8053122530684199,0.11131712078008689,0.7654020042880038,0.7912400016640713,31.5,10,49,68071,66.26488995552063,False,False,False,False,False,False,False,"{""mean"": [57.13611229264143, 2.758315270097836, 1.6824695874096147, 63.34232837090599, 3.247979583156104, 17.518300633503472, 13.629409612930688, 24.0, 86.75077073585709, 45.161287111867296, 106.72910080816673, 29.30194640578477, 91.4181199489579, 9.602376350489168, 136.02942832837093, 63.6001437686091, 0.7090599744789451, 0.43726074011059124, 3.7158655891110164, 0.3836665248830285], ""std"": [12.225070016410875, 2.282025474262181, 1.7174312663530886, 15.522515155785499, 0.431839911881517, 65.95316793483582, 28.544072755512005, 1.0, 15.533192064048096, 10.667604487552506, 20.56328819787262, 7.088464973389176, 6.374995953833132, 2.1108580809574735, 5.166453347686503, 105.6399424878127, 0.45419591265319387, 0.49604816829469606, 1.3562085623612405, 0.4862782357531587]}",base,light,True,lgo,none,True,2,lgo
10,"add(id(vasopressor_use_std), add(add(sqrt(sqrt(pow(sqrt(id(lactate_mmol_l)), log(sqrt(pow(sqrt(0.10406859580436607), one)))))), add(add(one, sqrt(pow(id(creatinine_mg_dl), mul(sqrt(div(zero, -0.8145927034343555)), zero)))), 1.3737671670079181)), sub(div(id(lactate_mmol_l), add(sqrt(id(lactate_mmol_l)), add(one, sqrt(id(idF(lactate_mmol_l)))))), -2.1366106675696463)))",0.6010446457613003,0.8053122530684199,0.11131712078008689,0.7654020042880038,0.7912400016640713,33.0,10,46,68071,66.27308654785156,False,False,False,False,False,False,False,"{""mean"": [57.13611229264143, 2.758315270097836, 1.6824695874096147, 63.34232837090599, 3.247979583156104, 17.518300633503472, 13.629409612930688, 24.0, 86.75077073585709, 45.161287111867296, 106.72910080816673, 29.30194640578477, 91.4181199489579, 9.602376350489168, 136.02942832837093, 63.6001437686091, 0.7090599744789451, 0.43726074011059124, 3.7158655891110164, 0.3836665248830285], ""std"": [12.225070016410875, 2.282025474262181, 1.7174312663530886, 15.522515155785499, 0.431839911881517, 65.95316793483582, 28.544072755512005, 1.0, 15.533192064048096, 10.667604487552506, 20.56328819787262, 7.088464973389176, 6.374995953833132, 2.1108580809574735, 5.166453347686503, 105.6399424878127, 0.45419591265319387, 0.49604816829469606, 1.3562085623612405, 0.4862782357531587]}",base,light,True,lgo,none,True,2,lgo
