rank,expr,cv_loss,cv_r2,instability,test_loss,test_r2,complexity,height,size,eval_calls,runtime_sec,used_lgo,used_lgo_thre,used_lgo_pair,used_lgo_and2,used_lgo_or2,used_lgo_and3,used_gate_expr,scaler_json,experiment,typed_mode,use_zscore,prior_mode,typed_grouping,enable_gate_expr,seed,method
5,"add(mul(pow(mul(one, -1.233095717762915), sqrt(zero)), pow(0.5088149991053532, mul(id(idF(idF(vasopressor_use_std))), pow(0.5088149991053532, log(div(mul(log(log(-0.12629432760136583)), pow(sub(zero, one), pow(-1.4306960691503359, zero))), pow(add(lgo_thre(1.015938423561974, 2.018760852516744, 0.2581761221553749), sub(one, zero)), lgo_thre(log(one), as_pos(zero), -1.1153434370725175)))))))), div(sqrt(div(one, lgo_thre(pow(add(mul(0.4643383977674915, zero), 0.019950935829671564), id(lactate_mmol_l)), as_pos(div(sub(log(one), lgo_thre(0.05871252191269221, as_pos(zero), -0.5688437327205784)), add(mul(-1.3003048829934676, zero), lgo_thre(id(gender_std), as_pos(-1.065717617896157), -0.884714631798758)))), 0.3157888634350035))), 0.18225200260985802))",0.6130048468017797,0.8166063563337097,0.05014335710934753,0.5656778040965853,0.8351469277339539,57.5,10,80,67890,72.469566822052,False,True,False,False,False,False,False,"{""mean"": [57.33177371331348, 2.802062441514254, 1.6428855806039957, 63.580976605699696, 3.2513823904721395, 17.62686787132012, 13.705122075712485, 24.0, 87.23271969374734, 45.20549723521906, 106.40602211824755, 29.23346490854955, 91.44108889834114, 9.6096683113569, 135.96549383241177, 63.2857830710336, 0.7018290089323692, 0.4466184602296895, 3.7422373458102935, 0.38324117396852403], ""std"": [12.116006976504528, 2.3874749470438648, 1.6811250046474968, 15.472693495889542, 0.43380788862428454, 65.84784021944942, 28.107792360283078, 1.0, 15.497760724599427, 10.643779463930542, 20.611943939519815, 7.023274680708901, 6.410048696602887, 2.1012461325886918, 5.145121068188866, 105.2730001560072, 0.4574549717222158, 0.4971422444449395, 1.3454392029738191, 0.4861762813463272]}",lgo_hard,light,True,lgo,none,True,1,lgo
4,"add(mul(pow(mul(one, -1.233095717762915), sqrt(zero)), pow(0.5088149991053532, mul(id(idF(idF(vasopressor_use_std))), pow(0.5088149991053532, log(div(mul(log(log(-0.12629432760136583)), pow(sub(zero, one), pow(-1.4306960691503359, zero))), pow(add(lgo_thre(1.015938423561974, 1.6744410015114881, -0.4997100800775942), sub(one, zero)), lgo_thre(log(one), as_pos(zero), -0.10094010722075068)))))))), div(sqrt(div(one, lgo_thre(pow(add(mul(0.4643383977674915, zero), 0.019950935829671564), id(lactate_mmol_l)), as_pos(div(sub(log(one), lgo_thre(0.05871252191269221, as_pos(zero), -0.4115575050387097)), add(mul(-1.3003048829934676, zero), lgo_thre(id(gender_std), as_pos(zero), -0.78090784137412)))), 0.3006852139551555))), 0.18225200260985802))",0.6150321893325175,0.8178028153102016,0.05130626415505488,0.5656454852125581,0.8351563462886251,57.5,10,80,67890,72.3861243724823,False,True,False,False,False,False,False,"{""mean"": [57.33177371331348, 2.802062441514254, 1.6428855806039957, 63.580976605699696, 3.2513823904721395, 17.62686787132012, 13.705122075712485, 24.0, 87.23271969374734, 45.20549723521906, 106.40602211824755, 29.23346490854955, 91.44108889834114, 9.6096683113569, 135.96549383241177, 63.2857830710336, 0.7018290089323692, 0.4466184602296895, 3.7422373458102935, 0.38324117396852403], ""std"": [12.116006976504528, 2.3874749470438648, 1.6811250046474968, 15.472693495889542, 0.43380788862428454, 65.84784021944942, 28.107792360283078, 1.0, 15.497760724599427, 10.643779463930542, 20.611943939519815, 7.023274680708901, 6.410048696602887, 2.1012461325886918, 5.145121068188866, 105.2730001560072, 0.4574549717222158, 0.4971422444449395, 1.3454392029738191, 0.4861762813463272]}",lgo_hard,light,True,lgo,none,True,1,lgo
9,"add(mul(pow(mul(one, -1.233095717762915), sqrt(zero)), pow(0.5088149991053532, mul(id(idF(idF(idF(idF(vasopressor_use_std))))), pow(0.5088149991053532, log(div(mul(log(log(-0.12629432760136583)), pow(sub(zero, one), pow(-1.4306960691503359, zero))), pow(add(lgo_thre(1.015938423561974, 1.009380426258372, -0.5002906210724014), sub(one, zero)), lgo_thre(log(one), as_pos(zero), -0.5589812129604187)))))))), div(sqrt(div(one, lgo_thre(pow(add(mul(add(zero, one), zero), 0.019950935829671564), id(lactate_mmol_l)), as_pos(div(sub(log(one), lgo_thre(0.05871252191269221, as_pos(zero), -0.48654294748368243)), add(mul(-1.3003048829934676, zero), lgo_thre(id(gender_std), as_pos(zero), -0.46384341983596716)))), 0.18769339187173645))), 0.18225200260985802))",0.6174329349728094,0.8170839172167694,0.05157046952011195,0.5711574066317713,0.8335500305140517,58.5,10,84,67890,72.47547388076782,False,True,False,False,False,False,False,"{""mean"": [57.33177371331348, 2.802062441514254, 1.6428855806039957, 63.580976605699696, 3.2513823904721395, 17.62686787132012, 13.705122075712485, 24.0, 87.23271969374734, 45.20549723521906, 106.40602211824755, 29.23346490854955, 91.44108889834114, 9.6096683113569, 135.96549383241177, 63.2857830710336, 0.7018290089323692, 0.4466184602296895, 3.7422373458102935, 0.38324117396852403], ""std"": [12.116006976504528, 2.3874749470438648, 1.6811250046474968, 15.472693495889542, 0.43380788862428454, 65.84784021944942, 28.107792360283078, 1.0, 15.497760724599427, 10.643779463930542, 20.611943939519815, 7.023274680708901, 6.410048696602887, 2.1012461325886918, 5.145121068188866, 105.2730001560072, 0.4574549717222158, 0.4971422444449395, 1.3454392029738191, 0.4861762813463272]}",lgo_hard,light,True,lgo,none,True,1,lgo
2,"add(mul(pow(mul(one, -1.233095717762915), sqrt(zero)), pow(0.5088149991053532, mul(id(idF(idF(vasopressor_use_std))), pow(0.5088149991053532, log(div(mul(log(log(-0.12629432760136583)), pow(sub(zero, one), pow(-1.4306960691503359, zero))), pow(add(lgo_thre(1.015938423561974, 1.7442093765744666, 0.14019524380570828), sub(one, zero)), lgo_thre(log(one), as_pos(zero), -0.3701830098593465)))))))), div(sqrt(div(one, lgo_thre(pow(add(mul(0.4643383977674915, zero), 0.019950935829671564), id(lactate_mmol_l)), as_pos(div(sub(log(one), lgo_thre(0.05871252191269221, as_pos(zero), -0.10874034436990365)), add(mul(-1.3003048829934676, zero), lgo_thre(id(gender_std), as_pos(-1.065717617896157), 0.025259202971413153)))), 0.24836741816288044))), 0.18225200260985802))",0.6174687588869996,0.8176481915441436,0.0526937080429126,0.5683473463320048,0.8343689544143967,57.5,10,80,67890,72.21240210533142,False,True,False,False,False,False,False,"{""mean"": [57.33177371331348, 2.802062441514254, 1.6428855806039957, 63.580976605699696, 3.2513823904721395, 17.62686787132012, 13.705122075712485, 24.0, 87.23271969374734, 45.20549723521906, 106.40602211824755, 29.23346490854955, 91.44108889834114, 9.6096683113569, 135.96549383241177, 63.2857830710336, 0.7018290089323692, 0.4466184602296895, 3.7422373458102935, 0.38324117396852403], ""std"": [12.116006976504528, 2.3874749470438648, 1.6811250046474968, 15.472693495889542, 0.43380788862428454, 65.84784021944942, 28.107792360283078, 1.0, 15.497760724599427, 10.643779463930542, 20.611943939519815, 7.023274680708901, 6.410048696602887, 2.1012461325886918, 5.145121068188866, 105.2730001560072, 0.4574549717222158, 0.4971422444449395, 1.3454392029738191, 0.4861762813463272]}",lgo_hard,light,True,lgo,none,True,1,lgo
1,"add(mul(pow(mul(one, -1.233095717762915), sqrt(zero)), pow(0.5088149991053532, mul(id(idF(idF(vasopressor_use_std))), pow(0.5088149991053532, log(div(mul(log(log(-0.12629432760136583)), pow(sub(zero, one), pow(-1.4306960691503359, zero))), pow(add(lgo_thre(1.015938423561974, 3.6578721825018983, 0.3248990841997027), sub(one, zero)), lgo_thre(log(one), as_pos(zero), -0.1916492456993649)))))))), div(sqrt(div(one, lgo_thre(pow(add(mul(0.4643383977674915, zero), 0.019950935829671564), id(lactate_mmol_l)), as_pos(-1.065717617896157), 0.4721301113935425))), 0.18225200260985802))",0.6189402822231227,0.8170646950045656,0.0558548591184487,0.5615232055089014,0.8363576846988763,45.5,10,62,67890,72.11008358001709,False,True,False,False,False,False,False,"{""mean"": [57.33177371331348, 2.802062441514254, 1.6428855806039957, 63.580976605699696, 3.2513823904721395, 17.62686787132012, 13.705122075712485, 24.0, 87.23271969374734, 45.20549723521906, 106.40602211824755, 29.23346490854955, 91.44108889834114, 9.6096683113569, 135.96549383241177, 63.2857830710336, 0.7018290089323692, 0.4466184602296895, 3.7422373458102935, 0.38324117396852403], ""std"": [12.116006976504528, 2.3874749470438648, 1.6811250046474968, 15.472693495889542, 0.43380788862428454, 65.84784021944942, 28.107792360283078, 1.0, 15.497760724599427, 10.643779463930542, 20.611943939519815, 7.023274680708901, 6.410048696602887, 2.1012461325886918, 5.145121068188866, 105.2730001560072, 0.4574549717222158, 0.4971422444449395, 1.3454392029738191, 0.4861762813463272]}",lgo_hard,light,True,lgo,none,True,1,lgo
3,"add(mul(pow(mul(one, -1.233095717762915), sqrt(zero)), pow(0.5088149991053532, mul(id(idF(idF(vasopressor_use_std))), pow(0.5088149991053532, log(div(mul(log(log(-0.12629432760136583)), pow(sub(zero, one), pow(-1.4306960691503359, zero))), pow(add(lgo_thre(1.015938423561974, 1.009380426258372, -0.7177210530756434), sub(one, zero)), lgo_thre(log(one), as_pos(zero), -0.696219324090811)))))))), div(sqrt(div(one, lgo_thre(pow(add(mul(0.4643383977674915, zero), 0.019950935829671564), id(lactate_mmol_l)), as_pos(div(sub(log(one), lgo_thre(0.05871252191269221, as_pos(zero), -0.69009942969647)), add(mul(-1.3003048829934676, zero), lgo_thre(id(gender_std), as_pos(-1.065717617896157), -0.2919882540200911)))), 0.28640421628859725))), 0.18225200260985802))",0.6200370883637302,0.816315264580593,0.05475643548205527,0.5691170888302383,0.8341446316377763,57.5,10,80,67890,72.26197290420532,False,True,False,False,False,False,False,"{""mean"": [57.33177371331348, 2.802062441514254, 1.6428855806039957, 63.580976605699696, 3.2513823904721395, 17.62686787132012, 13.705122075712485, 24.0, 87.23271969374734, 45.20549723521906, 106.40602211824755, 29.23346490854955, 91.44108889834114, 9.6096683113569, 135.96549383241177, 63.2857830710336, 0.7018290089323692, 0.4466184602296895, 3.7422373458102935, 0.38324117396852403], ""std"": [12.116006976504528, 2.3874749470438648, 1.6811250046474968, 15.472693495889542, 0.43380788862428454, 65.84784021944942, 28.107792360283078, 1.0, 15.497760724599427, 10.643779463930542, 20.611943939519815, 7.023274680708901, 6.410048696602887, 2.1012461325886918, 5.145121068188866, 105.2730001560072, 0.4574549717222158, 0.4971422444449395, 1.3454392029738191, 0.4861762813463272]}",lgo_hard,light,True,lgo,none,True,1,lgo
11,"add(mul(pow(mul(one, -1.233095717762915), sqrt(zero)), pow(0.5088149991053532, mul(id(idF(idF(idF(idF(idF(vasopressor_use_std)))))), pow(0.5088149991053532, log(div(mul(log(log(-0.12629432760136583)), pow(sub(zero, one), pow(-1.4306960691503359, zero))), pow(add(lgo_thre(1.015938423561974, 0.8561766239065997, -0.40851336791828946), sub(one, zero)), lgo_thre(log(one), as_pos(zero), -0.5181898979775137)))))))), div(sqrt(div(one, lgo_thre(pow(add(mul(0.4643383977674915, zero), 0.019950935829671564), id(lactate_mmol_l)), as_pos(div(sub(log(one), lgo_thre(0.05871252191269221, 2.1135734346250783, -0.711646236567711)), sqrt(0.5467326095031579))), 0.22380912877309306))), 0.18225200260985802))",0.6202070132210307,0.8172106847812751,0.05338276657220015,0.5708678155534459,0.8336344248081482,53.0,10,74,67890,72.47842168807983,False,True,False,False,False,False,False,"{""mean"": [57.33177371331348, 2.802062441514254, 1.6428855806039957, 63.580976605699696, 3.2513823904721395, 17.62686787132012, 13.705122075712485, 24.0, 87.23271969374734, 45.20549723521906, 106.40602211824755, 29.23346490854955, 91.44108889834114, 9.6096683113569, 135.96549383241177, 63.2857830710336, 0.7018290089323692, 0.4466184602296895, 3.7422373458102935, 0.38324117396852403], ""std"": [12.116006976504528, 2.3874749470438648, 1.6811250046474968, 15.472693495889542, 0.43380788862428454, 65.84784021944942, 28.107792360283078, 1.0, 15.497760724599427, 10.643779463930542, 20.611943939519815, 7.023274680708901, 6.410048696602887, 2.1012461325886918, 5.145121068188866, 105.2730001560072, 0.4574549717222158, 0.4971422444449395, 1.3454392029738191, 0.4861762813463272]}",lgo_hard,light,True,lgo,none,True,1,lgo
8,"add(mul(pow(mul(one, -1.233095717762915), sqrt(zero)), pow(0.5088149991053532, mul(id(idF(idF(idF(idF(idF(vasopressor_use_std)))))), pow(0.5088149991053532, log(div(mul(log(log(-0.12629432760136583)), pow(sub(zero, one), pow(-1.4306960691503359, zero))), pow(add(lgo_thre(1.015938423561974, 0.8561766239065997, -0.711646236567711), sub(one, zero)), lgo_thre(log(one), as_pos(zero), -0.5181898979775137)))))))), div(sqrt(div(one, lgo_thre(pow(add(mul(0.4643383977674915, zero), 0.019950935829671564), id(lactate_mmol_l)), as_pos(div(sub(log(one), lgo_thre(0.05871252191269221, 2.1135734346250783, -0.711646236567711)), sqrt(0.5467326095031579))), 0.048024083103902715))), 0.18225200260985802))",0.6241188933063075,0.8152045571366641,0.049676303769331215,0.5823460069113212,0.8302893844058201,53.0,10,74,67890,72.4739179611206,False,True,False,False,False,False,False,"{""mean"": [57.33177371331348, 2.802062441514254, 1.6428855806039957, 63.580976605699696, 3.2513823904721395, 17.62686787132012, 13.705122075712485, 24.0, 87.23271969374734, 45.20549723521906, 106.40602211824755, 29.23346490854955, 91.44108889834114, 9.6096683113569, 135.96549383241177, 63.2857830710336, 0.7018290089323692, 0.4466184602296895, 3.7422373458102935, 0.38324117396852403], ""std"": [12.116006976504528, 2.3874749470438648, 1.6811250046474968, 15.472693495889542, 0.43380788862428454, 65.84784021944942, 28.107792360283078, 1.0, 15.497760724599427, 10.643779463930542, 20.611943939519815, 7.023274680708901, 6.410048696602887, 2.1012461325886918, 5.145121068188866, 105.2730001560072, 0.4574549717222158, 0.4971422444449395, 1.3454392029738191, 0.4861762813463272]}",lgo_hard,light,True,lgo,none,True,1,lgo
7,"add(mul(pow(mul(one, -1.233095717762915), sqrt(zero)), pow(0.5088149991053532, mul(id(idF(idF(vasopressor_use_std))), pow(0.5088149991053532, log(div(mul(log(log(-0.12629432760136583)), pow(sub(zero, one), pow(-1.4306960691503359, zero))), pow(add(lgo_thre(1.015938423561974, 1.009380426258372, -0.45839555345693195), sub(one, zero)), lgo_thre(log(one), as_pos(zero), -0.5589812129604187)))))))), div(sqrt(div(one, lgo_thre(pow(add(mul(0.4643383977674915, zero), 0.019950935829671564), id(lactate_mmol_l)), as_pos(div(sub(log(one), lgo_thre(0.05871252191269221, as_pos(zero), -0.6394129405540644)), add(mul(-1.3003048829934676, zero), lgo_thre(id(gender_std), as_pos(-1.065717617896157), -0.46384341983596716)))), 0.048024083103902715))), 0.18225200260985802))",0.6250594733579586,0.8150568284220213,0.05082791321296742,0.5823105469459383,0.8302997183524475,57.5,10,80,67890,72.47251653671265,False,True,False,False,False,False,False,"{""mean"": [57.33177371331348, 2.802062441514254, 1.6428855806039957, 63.580976605699696, 3.2513823904721395, 17.62686787132012, 13.705122075712485, 24.0, 87.23271969374734, 45.20549723521906, 106.40602211824755, 29.23346490854955, 91.44108889834114, 9.6096683113569, 135.96549383241177, 63.2857830710336, 0.7018290089323692, 0.4466184602296895, 3.7422373458102935, 0.38324117396852403], ""std"": [12.116006976504528, 2.3874749470438648, 1.6811250046474968, 15.472693495889542, 0.43380788862428454, 65.84784021944942, 28.107792360283078, 1.0, 15.497760724599427, 10.643779463930542, 20.611943939519815, 7.023274680708901, 6.410048696602887, 2.1012461325886918, 5.145121068188866, 105.2730001560072, 0.4574549717222158, 0.4971422444449395, 1.3454392029738191, 0.4861762813463272]}",lgo_hard,light,True,lgo,none,True,1,lgo
0,"add(mul(pow(mul(one, -1.233095717762915), sqrt(zero)), pow(0.5088149991053532, mul(id(idF(idF(idF(idF(idF(vasopressor_use_std)))))), pow(0.5088149991053532, log(div(mul(log(log(-0.12629432760136583)), pow(sub(zero, one), pow(-1.4306960691503359, zero))), pow(add(lgo_thre(1.015938423561974, 1.0274119486879196, -0.4405196338199813), sub(one, zero)), lgo_thre(log(one), as_pos(zero), -0.6269871561698408)))))))), div(sqrt(div(one, lgo_thre(pow(add(mul(0.4643383977674915, zero), 0.019950935829671564), id(lactate_mmol_l)), as_pos(div(sub(log(one), lgo_thre(0.05871252191269221, 2.536288121550094, -0.5952624174936731)), sqrt(0.5467326095031579))), as_thr(log(one))))), 0.18225200260985802))",0.6266968641918591,0.8139939783488348,0.04840986980049554,0.5872874924720712,0.8288493083230244,55.5,10,76,67890,72.00910258293152,False,True,False,False,False,False,False,"{""mean"": [57.33177371331348, 2.802062441514254, 1.6428855806039957, 63.580976605699696, 3.2513823904721395, 17.62686787132012, 13.705122075712485, 24.0, 87.23271969374734, 45.20549723521906, 106.40602211824755, 29.23346490854955, 91.44108889834114, 9.6096683113569, 135.96549383241177, 63.2857830710336, 0.7018290089323692, 0.4466184602296895, 3.7422373458102935, 0.38324117396852403], ""std"": [12.116006976504528, 2.3874749470438648, 1.6811250046474968, 15.472693495889542, 0.43380788862428454, 65.84784021944942, 28.107792360283078, 1.0, 15.497760724599427, 10.643779463930542, 20.611943939519815, 7.023274680708901, 6.410048696602887, 2.1012461325886918, 5.145121068188866, 105.2730001560072, 0.4574549717222158, 0.4971422444449395, 1.3454392029738191, 0.4861762813463272]}",lgo_hard,light,True,lgo,none,True,1,lgo
