rank,expr,cv_loss,cv_r2,instability,test_loss,test_r2,complexity,height,size,eval_calls,runtime_sec,used_lgo,used_lgo_thre,used_lgo_pair,used_lgo_and2,used_lgo_or2,used_lgo_and3,used_gate_expr,scaler_json,experiment,typed_mode,use_zscore,prior_mode,typed_grouping,enable_gate_expr,seed,method
1,"add(div(id(creatinine_mg_dl), add(add(sub(2.4156325765208044, sub(sub(sub(1.2378527652466804, one), id(idF(lactate_mmol_l))), div(one, id(vasopressor_use_std)))), one), id(creatinine_mg_dl))), sub(2.4156325765208044, sub(sub(sub(zero, id(idF(idF(lactate_mmol_l)))), id(vasopressor_use_std)), div(one, 0.34884983538233105))))",1.0972418706257892,0.6829240269410862,0.11124275333285906,1.209539799702691,0.670103389906774,15.5,9,38,67943,60.217631340026855,False,False,False,False,False,False,False,"{""mean"": [57.13611229264143, 2.758315270097836, 1.6824695874096147, 63.34232837090599, 3.247979583156104, 17.518300633503472, 13.629409612930688, 24.0, 86.75077073585709, 45.161287111867296, 106.72910080816673, 29.30194640578477, 91.4181199489579, 9.602376350489168, 136.02942832837093, 63.6001437686091, 0.7090599744789451, 0.43726074011059124, 3.7158655891110164, 0.3836665248830285], ""std"": [12.225070016410875, 2.282025474262181, 1.7174312663530886, 15.522515155785499, 0.431839911881517, 65.95316793483582, 28.544072755512005, 1.0, 15.533192064048096, 10.667604487552506, 20.56328819787262, 7.088464973389176, 6.374995953833132, 2.1108580809574735, 5.166453347686503, 105.6399424878127, 0.45419591265319387, 0.49604816829469606, 1.3562085623612405, 0.4862782357531587]}",lgo_hard,light,True,lgo,none,True,2,lgo
2,"add(div(id(creatinine_mg_dl), add(add(sub(2.4156325765208044, sub(sub(sub(zero, log(id(vasopressor_use_std))), id(idF(lactate_mmol_l))), div(one, id(vasopressor_use_std)))), one), id(creatinine_mg_dl))), sub(2.4156325765208044, sub(sub(sub(zero, id(idF(idF(idF(lactate_mmol_l))))), id(vasopressor_use_std)), div(one, 0.34884983538233105))))",1.0995565092641189,0.6814465804289546,0.10961544866736359,1.2198216325910223,0.6672990656371309,17.0,10,41,67943,60.21844673156738,False,False,False,False,False,False,False,"{""mean"": [57.13611229264143, 2.758315270097836, 1.6824695874096147, 63.34232837090599, 3.247979583156104, 17.518300633503472, 13.629409612930688, 24.0, 86.75077073585709, 45.161287111867296, 106.72910080816673, 29.30194640578477, 91.4181199489579, 9.602376350489168, 136.02942832837093, 63.6001437686091, 0.7090599744789451, 0.43726074011059124, 3.7158655891110164, 0.3836665248830285], ""std"": [12.225070016410875, 2.282025474262181, 1.7174312663530886, 15.522515155785499, 0.431839911881517, 65.95316793483582, 28.544072755512005, 1.0, 15.533192064048096, 10.667604487552506, 20.56328819787262, 7.088464973389176, 6.374995953833132, 2.1108580809574735, 5.166453347686503, 105.6399424878127, 0.45419591265319387, 0.49604816829469606, 1.3562085623612405, 0.4862782357531587]}",lgo_hard,light,True,lgo,none,True,2,lgo
3,"add(div(id(creatinine_mg_dl), add(add(sub(2.4156325765208044, sub(sub(sub(zero, log(id(vasopressor_use_std))), id(idF(lactate_mmol_l))), div(one, id(vasopressor_use_std)))), one), id(creatinine_mg_dl))), sub(2.4156325765208044, sub(sub(sub(zero, id(idF(idF(idF(idF(lactate_mmol_l)))))), id(vasopressor_use_std)), div(one, 0.34884983538233105))))",1.0995565092641189,0.6814465804289546,0.10961544866736359,1.2198216325910223,0.6672990656371309,17.0,10,42,67943,60.21923875808716,False,False,False,False,False,False,False,"{""mean"": [57.13611229264143, 2.758315270097836, 1.6824695874096147, 63.34232837090599, 3.247979583156104, 17.518300633503472, 13.629409612930688, 24.0, 86.75077073585709, 45.161287111867296, 106.72910080816673, 29.30194640578477, 91.4181199489579, 9.602376350489168, 136.02942832837093, 63.6001437686091, 0.7090599744789451, 0.43726074011059124, 3.7158655891110164, 0.3836665248830285], ""std"": [12.225070016410875, 2.282025474262181, 1.7174312663530886, 15.522515155785499, 0.431839911881517, 65.95316793483582, 28.544072755512005, 1.0, 15.533192064048096, 10.667604487552506, 20.56328819787262, 7.088464973389176, 6.374995953833132, 2.1108580809574735, 5.166453347686503, 105.6399424878127, 0.45419591265319387, 0.49604816829469606, 1.3562085623612405, 0.4862782357531587]}",lgo_hard,light,True,lgo,none,True,2,lgo
4,"add(div(id(creatinine_mg_dl), add(add(sub(2.4156325765208044, sub(sub(sub(zero, log(id(vasopressor_use_std))), id(idF(idF(lactate_mmol_l)))), div(one, id(vasopressor_use_std)))), one), id(creatinine_mg_dl))), sub(2.4156325765208044, sub(sub(sub(zero, id(idF(lactate_mmol_l))), id(vasopressor_use_std)), div(one, 0.34884983538233105))))",1.0995565092641189,0.6814465804289546,0.10961544866736359,1.2198216325910223,0.6672990656371309,17.0,10,40,67943,60.22004699707031,False,False,False,False,False,False,False,"{""mean"": [57.13611229264143, 2.758315270097836, 1.6824695874096147, 63.34232837090599, 3.247979583156104, 17.518300633503472, 13.629409612930688, 24.0, 86.75077073585709, 45.161287111867296, 106.72910080816673, 29.30194640578477, 91.4181199489579, 9.602376350489168, 136.02942832837093, 63.6001437686091, 0.7090599744789451, 0.43726074011059124, 3.7158655891110164, 0.3836665248830285], ""std"": [12.225070016410875, 2.282025474262181, 1.7174312663530886, 15.522515155785499, 0.431839911881517, 65.95316793483582, 28.544072755512005, 1.0, 15.533192064048096, 10.667604487552506, 20.56328819787262, 7.088464973389176, 6.374995953833132, 2.1108580809574735, 5.166453347686503, 105.6399424878127, 0.45419591265319387, 0.49604816829469606, 1.3562085623612405, 0.4862782357531587]}",lgo_hard,light,True,lgo,none,True,2,lgo
6,"add(div(id(creatinine_mg_dl), add(add(sub(2.4156325765208044, sub(sub(sub(zero, log(id(vasopressor_use_std))), id(lactate_mmol_l)), div(one, id(vasopressor_use_std)))), one), id(creatinine_mg_dl))), sub(2.4156325765208044, sub(sub(sub(zero, id(idF(lactate_mmol_l))), id(vasopressor_use_std)), div(one, 0.34884983538233105))))",1.0995565092641189,0.6814465804289546,0.10961544866736359,1.2198216325910223,0.6672990656371309,17.0,10,38,67943,60.22161674499512,False,False,False,False,False,False,False,"{""mean"": [57.13611229264143, 2.758315270097836, 1.6824695874096147, 63.34232837090599, 3.247979583156104, 17.518300633503472, 13.629409612930688, 24.0, 86.75077073585709, 45.161287111867296, 106.72910080816673, 29.30194640578477, 91.4181199489579, 9.602376350489168, 136.02942832837093, 63.6001437686091, 0.7090599744789451, 0.43726074011059124, 3.7158655891110164, 0.3836665248830285], ""std"": [12.225070016410875, 2.282025474262181, 1.7174312663530886, 15.522515155785499, 0.431839911881517, 65.95316793483582, 28.544072755512005, 1.0, 15.533192064048096, 10.667604487552506, 20.56328819787262, 7.088464973389176, 6.374995953833132, 2.1108580809574735, 5.166453347686503, 105.6399424878127, 0.45419591265319387, 0.49604816829469606, 1.3562085623612405, 0.4862782357531587]}",lgo_hard,light,True,lgo,none,True,2,lgo
7,"add(div(id(creatinine_mg_dl), add(add(sub(2.4156325765208044, sub(sub(sub(zero, log(id(vasopressor_use_std))), id(lactate_mmol_l)), div(one, id(vasopressor_use_std)))), one), id(creatinine_mg_dl))), sub(2.4156325765208044, sub(sub(sub(zero, id(idF(idF(idF(lactate_mmol_l))))), id(vasopressor_use_std)), div(one, 0.34884983538233105))))",1.0995565092641189,0.6814465804289546,0.10961544866736359,1.2198216325910223,0.6672990656371309,17.0,10,40,67943,60.22240471839905,False,False,False,False,False,False,False,"{""mean"": [57.13611229264143, 2.758315270097836, 1.6824695874096147, 63.34232837090599, 3.247979583156104, 17.518300633503472, 13.629409612930688, 24.0, 86.75077073585709, 45.161287111867296, 106.72910080816673, 29.30194640578477, 91.4181199489579, 9.602376350489168, 136.02942832837093, 63.6001437686091, 0.7090599744789451, 0.43726074011059124, 3.7158655891110164, 0.3836665248830285], ""std"": [12.225070016410875, 2.282025474262181, 1.7174312663530886, 15.522515155785499, 0.431839911881517, 65.95316793483582, 28.544072755512005, 1.0, 15.533192064048096, 10.667604487552506, 20.56328819787262, 7.088464973389176, 6.374995953833132, 2.1108580809574735, 5.166453347686503, 105.6399424878127, 0.45419591265319387, 0.49604816829469606, 1.3562085623612405, 0.4862782357531587]}",lgo_hard,light,True,lgo,none,True,2,lgo
8,"add(div(id(creatinine_mg_dl), add(add(sub(2.4156325765208044, sub(sub(sub(zero, log(id(vasopressor_use_std))), id(idF(lactate_mmol_l))), div(one, id(vasopressor_use_std)))), one), id(creatinine_mg_dl))), sub(2.4156325765208044, sub(sub(sub(zero, id(idF(idF(lactate_mmol_l)))), id(vasopressor_use_std)), div(one, 0.34884983538233105))))",1.0995565092641189,0.6814465804289546,0.10961544866736359,1.2198216325910223,0.6672990656371309,17.0,10,40,67943,60.22323298454285,False,False,False,False,False,False,False,"{""mean"": [57.13611229264143, 2.758315270097836, 1.6824695874096147, 63.34232837090599, 3.247979583156104, 17.518300633503472, 13.629409612930688, 24.0, 86.75077073585709, 45.161287111867296, 106.72910080816673, 29.30194640578477, 91.4181199489579, 9.602376350489168, 136.02942832837093, 63.6001437686091, 0.7090599744789451, 0.43726074011059124, 3.7158655891110164, 0.3836665248830285], ""std"": [12.225070016410875, 2.282025474262181, 1.7174312663530886, 15.522515155785499, 0.431839911881517, 65.95316793483582, 28.544072755512005, 1.0, 15.533192064048096, 10.667604487552506, 20.56328819787262, 7.088464973389176, 6.374995953833132, 2.1108580809574735, 5.166453347686503, 105.6399424878127, 0.45419591265319387, 0.49604816829469606, 1.3562085623612405, 0.4862782357531587]}",lgo_hard,light,True,lgo,none,True,2,lgo
9,"add(div(id(creatinine_mg_dl), add(add(sub(2.4156325765208044, sub(sub(sub(zero, log(id(vasopressor_use_std))), id(lactate_mmol_l)), div(one, id(vasopressor_use_std)))), one), id(creatinine_mg_dl))), sub(2.4156325765208044, sub(sub(sub(zero, id(idF(idF(idF(idF(lactate_mmol_l)))))), id(vasopressor_use_std)), div(one, 0.34884983538233105))))",1.0995565092641189,0.6814465804289546,0.10961544866736359,1.2198216325910223,0.6672990656371309,17.0,10,41,67943,60.22402787208557,False,False,False,False,False,False,False,"{""mean"": [57.13611229264143, 2.758315270097836, 1.6824695874096147, 63.34232837090599, 3.247979583156104, 17.518300633503472, 13.629409612930688, 24.0, 86.75077073585709, 45.161287111867296, 106.72910080816673, 29.30194640578477, 91.4181199489579, 9.602376350489168, 136.02942832837093, 63.6001437686091, 0.7090599744789451, 0.43726074011059124, 3.7158655891110164, 0.3836665248830285], ""std"": [12.225070016410875, 2.282025474262181, 1.7174312663530886, 15.522515155785499, 0.431839911881517, 65.95316793483582, 28.544072755512005, 1.0, 15.533192064048096, 10.667604487552506, 20.56328819787262, 7.088464973389176, 6.374995953833132, 2.1108580809574735, 5.166453347686503, 105.6399424878127, 0.45419591265319387, 0.49604816829469606, 1.3562085623612405, 0.4862782357531587]}",lgo_hard,light,True,lgo,none,True,2,lgo
10,"add(div(id(creatinine_mg_dl), add(add(sub(2.4156325765208044, sub(sub(sub(zero, log(id(vasopressor_use_std))), id(lactate_mmol_l)), div(one, id(vasopressor_use_std)))), one), id(creatinine_mg_dl))), sub(2.4156325765208044, sub(sub(sub(zero, id(idF(idF(lactate_mmol_l)))), id(vasopressor_use_std)), div(one, 0.34884983538233105))))",1.0995565092641189,0.6814465804289546,0.10961544866736359,1.2198216325910223,0.6672990656371309,17.0,10,39,67943,60.22481441497803,False,False,False,False,False,False,False,"{""mean"": [57.13611229264143, 2.758315270097836, 1.6824695874096147, 63.34232837090599, 3.247979583156104, 17.518300633503472, 13.629409612930688, 24.0, 86.75077073585709, 45.161287111867296, 106.72910080816673, 29.30194640578477, 91.4181199489579, 9.602376350489168, 136.02942832837093, 63.6001437686091, 0.7090599744789451, 0.43726074011059124, 3.7158655891110164, 0.3836665248830285], ""std"": [12.225070016410875, 2.282025474262181, 1.7174312663530886, 15.522515155785499, 0.431839911881517, 65.95316793483582, 28.544072755512005, 1.0, 15.533192064048096, 10.667604487552506, 20.56328819787262, 7.088464973389176, 6.374995953833132, 2.1108580809574735, 5.166453347686503, 105.6399424878127, 0.45419591265319387, 0.49604816829469606, 1.3562085623612405, 0.4862782357531587]}",lgo_hard,light,True,lgo,none,True,2,lgo
11,"add(div(id(creatinine_mg_dl), add(add(sub(2.4156325765208044, sub(sub(sub(zero, log(id(vasopressor_use_std))), id(idF(lactate_mmol_l))), div(one, id(idF(vasopressor_use_std))))), one), id(creatinine_mg_dl))), sub(2.4156325765208044, sub(sub(sub(zero, id(idF(idF(idF(lactate_mmol_l))))), id(vasopressor_use_std)), div(one, 0.34884983538233105))))",1.0995565092641189,0.6814465804289546,0.10961544866736359,1.2198216325910223,0.6672990656371309,17.0,10,42,67943,60.2255961894989,False,False,False,False,False,False,False,"{""mean"": [57.13611229264143, 2.758315270097836, 1.6824695874096147, 63.34232837090599, 3.247979583156104, 17.518300633503472, 13.629409612930688, 24.0, 86.75077073585709, 45.161287111867296, 106.72910080816673, 29.30194640578477, 91.4181199489579, 9.602376350489168, 136.02942832837093, 63.6001437686091, 0.7090599744789451, 0.43726074011059124, 3.7158655891110164, 0.3836665248830285], ""std"": [12.225070016410875, 2.282025474262181, 1.7174312663530886, 15.522515155785499, 0.431839911881517, 65.95316793483582, 28.544072755512005, 1.0, 15.533192064048096, 10.667604487552506, 20.56328819787262, 7.088464973389176, 6.374995953833132, 2.1108580809574735, 5.166453347686503, 105.6399424878127, 0.45419591265319387, 0.49604816829469606, 1.3562085623612405, 0.4862782357531587]}",lgo_hard,light,True,lgo,none,True,2,lgo
