rank,expr,cv_loss,cv_r2,instability,test_loss,test_r2,complexity,height,size,eval_calls,runtime_sec,used_lgo,used_lgo_thre,used_lgo_pair,used_lgo_and2,used_lgo_or2,used_lgo_and3,used_gate_expr,scaler_json,experiment,typed_mode,use_zscore,prior_mode,typed_grouping,enable_gate_expr,seed,method
0,"lgo_or2(lgo_or2(add(id(vasopressor_use_std), 1.9920376309410859), sqrt(gate_expr(log(-1.1197957640782474), 0.7334500192730496, 0.6953627424914419)), 5.735682420995775, as_thr(gate_expr(one, 3.536474935217857, -0.7544866195033353))), log(add(add(add(add(add(add(log(zero), lgo_and3(zero, one, one, 0.35727120885215846, -1.603779467895368)), id(idF(idF(map_mmhg)))), id(idF(idF(map_mmhg)))), id(idF(idF(sbp_min)))), id(idF(idF(map_mmhg)))), id(sbp_min))), as_pos(mul(lgo_or2(gate_expr(zero, as_pos(sqrt(sqrt(0.8360188332756407))), -0.28108336689739416), add(sub(lgo_or2(one, 0.03128520068391356, 0.4183868337820553, 0.7420780959009149), gate_expr(zero, 0.4558455334398574, -0.4560684996477733)), log(pow(1.2052372356911771, zero))), as_pos(add(-0.07642255539588659, one)), as_thr(lgo_or2(gate_expr(zero, 0.47606266085580173, as_thr(id(dbp_min))), zero, as_pos(0.8265939486066933), as_thr(-1.46321028850984)))), sqrt(add(pow(lgo_and3(zero, one, zero, 7.141155591178389, -1.936970938267217), pow(one, -0.7907379534190868)), sqrt(id(sbp_min)))))), as_thr(one))",1.3868169657876193,0.5804793223910591,0.053228547232526714,1.429638364574326,0.5833665826682453,73.1,10,110,68441,93.6007194519043,False,False,False,False,True,True,True,"{""mean"": [57.33177371331348, 2.802062441514254, 1.6428855806039957, 63.580976605699696, 3.2513823904721395, 17.62686787132012, 13.705122075712485, 24.0, 87.23271969374734, 45.20549723521906, 106.40602211824755, 29.23346490854955, 91.44108889834114, 9.6096683113569, 135.96549383241177, 63.2857830710336, 0.7018290089323692, 0.4466184602296895, 3.7422373458102935, 0.38324117396852403], ""std"": [12.116006976504528, 2.3874749470438648, 1.6811250046474968, 15.472693495889542, 0.43380788862428454, 65.84784021944942, 28.107792360283078, 1.0, 15.497760724599427, 10.643779463930542, 20.611943939519815, 7.023274680708901, 6.410048696602887, 2.1012461325886918, 5.145121068188866, 105.2730001560072, 0.4574549717222158, 0.4971422444449395, 1.3454392029738191, 0.4861762813463272]}",lgo_soft,light,True,lgo,none,True,1,lgo
6,"lgo_or2(lgo_or2(add(id(vasopressor_use_std), 1.9920376309410859), sqrt(gate_expr(log(-1.1197957640782474), 0.6112083493942081, 0.7346651272771006)), 4.779735350829813, as_thr(gate_expr(one, 2.947062446014881, -0.6377415725734359))), log(add(add(add(add(add(add(log(zero), lgo_and3(zero, one, one, 0.2977260073767987, -2.142858073541693)), id(idF(idF(map_mmhg)))), id(idF(map_mmhg))), id(idF(idF(sbp_min)))), id(idF(idF(map_mmhg)))), id(sbp_min))), as_pos(mul(lgo_or2(gate_expr(zero, as_pos(sqrt(-0.3401005708877217)), 0.2830536122741636), add(sub(lgo_or2(one, 0.03128520068391356, 0.34865569481837944, 0.17553134558152184), gate_expr(zero, 0.37987127786654784, -0.521498442623602)), log(pow(1.2052372356911771, zero))), as_pos(add(-0.07642255539588659, one)), as_thr(lgo_or2(gate_expr(zero, 0.39671888404650146, as_thr(id(dbp_min))), zero, as_pos(0.8265939486066933), as_thr(-1.46321028850984)))), sqrt(add(pow(lgo_and3(zero, one, zero, 5.950962992648658, -0.46999640062353865), pow(one, -0.7907379534190868)), sqrt(id(sbp_min)))))), as_thr(one))",1.3868719298502332,0.5803468918556854,0.053491547288410594,1.429764386133154,0.5833298567422958,71.6,10,108,68441,94.40763759613037,False,False,False,False,True,True,True,"{""mean"": [57.33177371331348, 2.802062441514254, 1.6428855806039957, 63.580976605699696, 3.2513823904721395, 17.62686787132012, 13.705122075712485, 24.0, 87.23271969374734, 45.20549723521906, 106.40602211824755, 29.23346490854955, 91.44108889834114, 9.6096683113569, 135.96549383241177, 63.2857830710336, 0.7018290089323692, 0.4466184602296895, 3.7422373458102935, 0.38324117396852403], ""std"": [12.116006976504528, 2.3874749470438648, 1.6811250046474968, 15.472693495889542, 0.43380788862428454, 65.84784021944942, 28.107792360283078, 1.0, 15.497760724599427, 10.643779463930542, 20.611943939519815, 7.023274680708901, 6.410048696602887, 2.1012461325886918, 5.145121068188866, 105.2730001560072, 0.4574549717222158, 0.4971422444449395, 1.3454392029738191, 0.4861762813463272]}",lgo_soft,light,True,lgo,none,True,1,lgo
9,"lgo_or2(lgo_or2(add(id(vasopressor_use_std), 1.9920376309410859), sqrt(gate_expr(log(-1.1197957640782474), 0.6112083493942081, 0.7346651272771006)), 4.779735350829813, as_thr(gate_expr(one, 2.947062446014881, -0.6377415725734359))), log(add(add(add(add(add(add(log(zero), lgo_and3(zero, one, one, 0.2977260073767987, -2.142858073541693)), id(idF(idF(map_mmhg)))), id(idF(map_mmhg))), id(idF(idF(sbp_min)))), id(idF(idF(map_mmhg)))), id(sbp_min))), as_pos(mul(lgo_or2(gate_expr(zero, as_pos(sqrt(sqrt(0.8360188332756407))), 0.2830536122741636), add(sub(lgo_or2(one, 0.03128520068391356, 0.34865569481837944, 0.17553134558152184), gate_expr(zero, 0.33701064111970436, -0.521498442623602)), log(pow(1.2052372356911771, zero))), as_pos(add(-0.07642255539588659, one)), as_thr(lgo_or2(gate_expr(zero, 0.39671888404650146, -0.521498442623602), zero, as_pos(0.8265939486066933), as_thr(-1.46321028850984)))), sqrt(add(pow(lgo_and3(zero, one, zero, 5.950962992648658, -0.46999640062353865), pow(one, -0.7907379534190868)), sqrt(id(sbp_min)))))), as_thr(one))",1.3868719298502332,0.5803468918556854,0.053491547288410594,1.429764386133154,0.5833298567422958,72.1,10,107,68441,94.41271209716797,False,False,False,False,True,True,True,"{""mean"": [57.33177371331348, 2.802062441514254, 1.6428855806039957, 63.580976605699696, 3.2513823904721395, 17.62686787132012, 13.705122075712485, 24.0, 87.23271969374734, 45.20549723521906, 106.40602211824755, 29.23346490854955, 91.44108889834114, 9.6096683113569, 135.96549383241177, 63.2857830710336, 0.7018290089323692, 0.4466184602296895, 3.7422373458102935, 0.38324117396852403], ""std"": [12.116006976504528, 2.3874749470438648, 1.6811250046474968, 15.472693495889542, 0.43380788862428454, 65.84784021944942, 28.107792360283078, 1.0, 15.497760724599427, 10.643779463930542, 20.611943939519815, 7.023274680708901, 6.410048696602887, 2.1012461325886918, 5.145121068188866, 105.2730001560072, 0.4574549717222158, 0.4971422444449395, 1.3454392029738191, 0.4861762813463272]}",lgo_soft,light,True,lgo,none,True,1,lgo
11,"lgo_or2(lgo_or2(add(id(vasopressor_use_std), 1.9920376309410859), sqrt(gate_expr(log(-1.1197957640782474), 0.6112083493942081, 0.7346651272771006)), 4.779735350829813, as_thr(gate_expr(one, 2.947062446014881, -0.6377415725734359))), log(add(add(add(add(add(add(log(zero), lgo_and3(zero, one, one, 0.2977260073767987, -2.142858073541693)), id(idF(idF(map_mmhg)))), id(idF(map_mmhg))), id(idF(idF(sbp_min)))), id(idF(idF(map_mmhg)))), id(sbp_min))), as_pos(mul(lgo_or2(gate_expr(zero, as_pos(sqrt(sqrt(0.8360188332756407))), 0.2830536122741636), add(sub(lgo_or2(one, 0.03128520068391356, 0.34865569481837944, 0.17553134558152184), gate_expr(zero, 0.37987127786654784, -0.521498442623602)), log(pow(1.2052372356911771, zero))), 0.39671888404650146, as_thr(lgo_or2(gate_expr(zero, 0.39671888404650146, as_thr(id(dbp_min))), zero, as_pos(0.8265939486066933), as_thr(-1.46321028850984)))), sqrt(add(pow(lgo_and3(zero, one, zero, 5.950962992648658, -0.46999640062353865), pow(one, -0.7907379534190868)), sqrt(id(sbp_min)))))), as_thr(one))",1.3869376279115986,0.5802555508221536,0.053395280055819325,1.430206245361216,0.5832010875900899,71.1,10,106,68441,94.4161057472229,False,False,False,False,True,True,True,"{""mean"": [57.33177371331348, 2.802062441514254, 1.6428855806039957, 63.580976605699696, 3.2513823904721395, 17.62686787132012, 13.705122075712485, 24.0, 87.23271969374734, 45.20549723521906, 106.40602211824755, 29.23346490854955, 91.44108889834114, 9.6096683113569, 135.96549383241177, 63.2857830710336, 0.7018290089323692, 0.4466184602296895, 3.7422373458102935, 0.38324117396852403], ""std"": [12.116006976504528, 2.3874749470438648, 1.6811250046474968, 15.472693495889542, 0.43380788862428454, 65.84784021944942, 28.107792360283078, 1.0, 15.497760724599427, 10.643779463930542, 20.611943939519815, 7.023274680708901, 6.410048696602887, 2.1012461325886918, 5.145121068188866, 105.2730001560072, 0.4574549717222158, 0.4971422444449395, 1.3454392029738191, 0.4861762813463272]}",lgo_soft,light,True,lgo,none,True,1,lgo
10,"lgo_or2(lgo_or2(add(id(vasopressor_use_std), 1.9920376309410859), sqrt(gate_expr(log(-1.1197957640782474), 0.5712533851811435, 0.8124722047789334)), 4.779735350829813, as_thr(gate_expr(one, 3.37852872593644, -0.6377415725734359))), log(add(add(add(add(add(add(log(zero), lgo_and3(zero, one, one, 0.2977260073767987, -2.4048426133277236)), id(idF(idF(map_mmhg)))), id(idF(map_mmhg))), id(idF(idF(sbp_min)))), id(idF(idF(map_mmhg)))), id(sbp_min))), as_pos(mul(lgo_or2(gate_expr(zero, as_pos(sqrt(sqrt(0.8360188332756407))), 0.2830536122741636), add(sub(lgo_or2(one, 0.03128520068391356, 0.3317603657432252, 0.16375559032808676), gate_expr(zero, 4.577697313889682, -0.6710696152360857)), log(pow(1.2052372356911771, zero))), as_pos(add(-0.07642255539588659, sqrt(sub(zero, -0.4640771658352149)))), as_thr(lgo_or2(gate_expr(zero, 0.33953590282266977, as_thr(id(dbp_min))), zero, as_pos(0.8265939486066933), as_thr(-1.46321028850984)))), sqrt(add(pow(lgo_and3(zero, one, zero, 5.950962992648658, -0.46999640062353865), pow(one, -0.7907379534190868)), sqrt(id(sbp_min)))))), as_thr(one))",1.3869730079522902,0.580207671614731,0.053492890171838295,1.430248488455321,0.58318877686516,75.6,10,112,68441,94.41443228721619,False,False,False,False,True,True,True,"{""mean"": [57.33177371331348, 2.802062441514254, 1.6428855806039957, 63.580976605699696, 3.2513823904721395, 17.62686787132012, 13.705122075712485, 24.0, 87.23271969374734, 45.20549723521906, 106.40602211824755, 29.23346490854955, 91.44108889834114, 9.6096683113569, 135.96549383241177, 63.2857830710336, 0.7018290089323692, 0.4466184602296895, 3.7422373458102935, 0.38324117396852403], ""std"": [12.116006976504528, 2.3874749470438648, 1.6811250046474968, 15.472693495889542, 0.43380788862428454, 65.84784021944942, 28.107792360283078, 1.0, 15.497760724599427, 10.643779463930542, 20.611943939519815, 7.023274680708901, 6.410048696602887, 2.1012461325886918, 5.145121068188866, 105.2730001560072, 0.4574549717222158, 0.4971422444449395, 1.3454392029738191, 0.4861762813463272]}",lgo_soft,light,True,lgo,none,True,1,lgo
5,"lgo_or2(lgo_or2(add(id(vasopressor_use_std), 1.9920376309410859), sqrt(gate_expr(log(-1.1197957640782474), 0.7334500192730496, 0.6081958089900282)), 5.735682420995775, as_thr(gate_expr(one, 3.536474935217857, as_thr(lgo_or2(gate_expr(zero, 5.859579028370766, as_thr(id(idF(map_mmhg)))), log(one), as_pos(zero), as_thr(-1.46321028850984)))))), log(add(add(add(add(add(add(log(zero), lgo_and3(zero, one, one, 0.35727120885215846, -1.3746460533931095)), id(idF(idF(map_mmhg)))), id(idF(map_mmhg))), id(idF(idF(sbp_min)))), id(idF(idF(map_mmhg)))), id(sbp_min))), as_pos(mul(lgo_or2(gate_expr(zero, as_pos(sqrt(sqrt(0.8360188332756407))), as_thr(-1.46321028850984)), add(sub(lgo_or2(one, 0.03128520068391356, 0.4183868337820553, 1.1387749261029947), gate_expr(zero, 0.4558455334398574, 0.23243771811092223)), log(pow(1.2052372356911771, zero))), as_pos(lgo_and3(lgo_and2(one, zero, 0.4249996818767095, 1.7407817138589485), lgo(one, 0.32186768363298857, 2.0536404855241797), lgo_or2(0.06716914063883239, lgo(-0.00984400767737545, 5.424426236357966, -1.53894813218464), 5.498276727026521, -1.0571231195090744), as_pos(zero), as_thr(one))), as_thr(lgo_or2(gate_expr(zero, 0.5908655289820388, as_thr(id(dbp_min))), zero, as_pos(0.8265939486066933), as_thr(-1.46321028850984)))), sqrt(add(pow(lgo_and3(zero, one, zero, 6.256102626883715, as_thr(-1.46321028850984)), pow(one, -0.7907379534190868)), sqrt(id(sbp_min)))))), as_thr(one))",1.3876661993556578,0.5808299707098037,0.05273223053240244,1.429032150803251,0.5835432489646564,100.39999999999999,10,144,68441,94.40597176551819,True,False,False,True,True,True,True,"{""mean"": [57.33177371331348, 2.802062441514254, 1.6428855806039957, 63.580976605699696, 3.2513823904721395, 17.62686787132012, 13.705122075712485, 24.0, 87.23271969374734, 45.20549723521906, 106.40602211824755, 29.23346490854955, 91.44108889834114, 9.6096683113569, 135.96549383241177, 63.2857830710336, 0.7018290089323692, 0.4466184602296895, 3.7422373458102935, 0.38324117396852403], ""std"": [12.116006976504528, 2.3874749470438648, 1.6811250046474968, 15.472693495889542, 0.43380788862428454, 65.84784021944942, 28.107792360283078, 1.0, 15.497760724599427, 10.643779463930542, 20.611943939519815, 7.023274680708901, 6.410048696602887, 2.1012461325886918, 5.145121068188866, 105.2730001560072, 0.4574549717222158, 0.4971422444449395, 1.3454392029738191, 0.4861762813463272]}",lgo_soft,light,True,lgo,none,True,1,lgo
1,"lgo_or2(lgo_or2(add(id(vasopressor_use_std), 1.9920376309410859), sqrt(gate_expr(log(-1.1197957640782474), 0.4889666795153665, 1.6560628377749265)), 3.8237882806638503, as_thr(gate_expr(one, 2.3576499568119047, -1.2651447048169973))), log(add(add(add(add(add(add(log(zero), lgo_and3(zero, one, one, 0.23818080590143897, -2.653754935186514)), id(idF(idF(map_mmhg)))), id(idF(map_mmhg))), id(idF(idF(sbp_min)))), id(idF(idF(map_mmhg)))), id(sbp_min))), as_pos(mul(lgo_or2(gate_expr(zero, as_pos(sqrt(sqrt(0.8360188332756407))), -0.07393548951601309), add(sub(lgo_or2(one, 0.03128520068391356, 0.27892455585470355, 1.1032176970115457), gate_expr(zero, 0.2696085128957635, -1.5664215302790865)), log(pow(1.2052372356911771, zero))), as_pos(add(-0.07642255539588659, one)), as_thr(lgo_or2(gate_expr(zero, 0.3173751072372012, as_thr(id(dbp_min))), zero, as_pos(0.8265939486066933), as_thr(-1.46321028850984)))), sqrt(add(pow(lgo_and3(zero, one, zero, 4.760770394118927, -0.12674455814344182), pow(one, -0.7907379534190868)), sqrt(id(sbp_min)))))), as_thr(one))",1.3888641835456905,0.5793128308751038,0.05293243448833518,1.4339946895352051,0.5820970374458777,73.1,10,109,68441,93.72922277450562,False,False,False,False,True,True,True,"{""mean"": [57.33177371331348, 2.802062441514254, 1.6428855806039957, 63.580976605699696, 3.2513823904721395, 17.62686787132012, 13.705122075712485, 24.0, 87.23271969374734, 45.20549723521906, 106.40602211824755, 29.23346490854955, 91.44108889834114, 9.6096683113569, 135.96549383241177, 63.2857830710336, 0.7018290089323692, 0.4466184602296895, 3.7422373458102935, 0.38324117396852403], ""std"": [12.116006976504528, 2.3874749470438648, 1.6811250046474968, 15.472693495889542, 0.43380788862428454, 65.84784021944942, 28.107792360283078, 1.0, 15.497760724599427, 10.643779463930542, 20.611943939519815, 7.023274680708901, 6.410048696602887, 2.1012461325886918, 5.145121068188866, 105.2730001560072, 0.4574549717222158, 0.4971422444449395, 1.3454392029738191, 0.4861762813463272]}",lgo_soft,light,True,lgo,none,True,1,lgo
4,"lgo_or2(lgo_or2(add(id(vasopressor_use_std), 1.9920376309410859), sqrt(gate_expr(log(-1.1197957640782474), 1.0561680277531915, 1.799050702851622)), 8.259382686233916, as_thr(gate_expr(one, 5.092523906713714, -0.7321437284215597))), log(add(add(add(add(add(add(log(zero), lgo_and3(zero, one, one, 0.5144705407471082, -2.2390836156447125)), id(idF(idF(map_mmhg)))), id(idF(map_mmhg))), id(idF(idF(sbp_min)))), id(idF(idF(map_mmhg)))), id(sbp_min))), as_pos(mul(lgo_or2(gate_expr(zero, as_pos(sqrt(sqrt(0.8360188332756407))), -1.011374013201276), add(sub(lgo_or2(one, 0.03128520068391356, 0.6024770406461596, 0.5667892047504333), gate_expr(zero, 0.6564175681533946, 0.21137752615743766)), log(pow(1.2052372356911771, zero))), as_pos(add(-0.07642255539588659, one)), as_thr(lgo_or2(gate_expr(zero, 0.6855302316323545, as_thr(id(dbp_min))), zero, as_pos(0.8265939486066933), as_thr(-1.46321028850984)))), sqrt(add(pow(lgo_and3(zero, one, zero, 10.28326405129688, -0.9422703416148211), pow(one, -0.7907379534190868)), sqrt(id(sbp_min)))))), as_thr(one))",1.3899840109285562,0.5800667505166335,0.050696224289424274,1.4337893729575621,0.5821568719813084,73.1,10,109,68441,94.14441871643066,False,False,False,False,True,True,True,"{""mean"": [57.33177371331348, 2.802062441514254, 1.6428855806039957, 63.580976605699696, 3.2513823904721395, 17.62686787132012, 13.705122075712485, 24.0, 87.23271969374734, 45.20549723521906, 106.40602211824755, 29.23346490854955, 91.44108889834114, 9.6096683113569, 135.96549383241177, 63.2857830710336, 0.7018290089323692, 0.4466184602296895, 3.7422373458102935, 0.38324117396852403], ""std"": [12.116006976504528, 2.3874749470438648, 1.6811250046474968, 15.472693495889542, 0.43380788862428454, 65.84784021944942, 28.107792360283078, 1.0, 15.497760724599427, 10.643779463930542, 20.611943939519815, 7.023274680708901, 6.410048696602887, 2.1012461325886918, 5.145121068188866, 105.2730001560072, 0.4574549717222158, 0.4971422444449395, 1.3454392029738191, 0.4861762813463272]}",lgo_soft,light,True,lgo,none,True,1,lgo
8,"lgo_or2(lgo_or2(add(id(vasopressor_use_std), 1.9920376309410859), sqrt(gate_expr(log(-1.1197957640782474), 0.6112083493942081, 0.7346651272771006)), 4.779735350829813, as_thr(gate_expr(one, 2.947062446014881, -0.6377415725734359))), log(add(add(add(add(add(add(log(zero), lgo_and3(zero, one, one, 0.2977260073767987, -2.142858073541693)), id(idF(idF(map_mmhg)))), id(idF(idF(map_mmhg)))), id(idF(idF(sbp_min)))), id(idF(idF(dbp_min)))), id(sbp_min))), as_pos(mul(lgo_or2(gate_expr(zero, as_pos(sqrt(sqrt(0.8360188332756407))), 0.2830536122741636), add(sub(lgo_or2(one, 0.03128520068391356, 0.34865569481837944, 0.17553134558152184), gate_expr(zero, 0.37987127786654784, -0.521498442623602)), log(pow(1.2052372356911771, zero))), as_pos(add(-0.07642255539588659, one)), as_thr(lgo_or2(gate_expr(zero, 0.39671888404650146, as_thr(id(dbp_min))), zero, as_pos(0.8265939486066933), as_thr(-1.46321028850984)))), sqrt(add(pow(lgo_and3(zero, one, zero, 5.950962992648658, -0.46999640062353865), pow(one, -0.7907379534190868)), sqrt(id(sbp_min)))))), as_thr(one))",1.3935632664355004,0.5797923380317622,0.053196669015678495,1.426518630326889,0.584275753527733,73.1,10,110,68441,94.41109299659729,False,False,False,False,True,True,True,"{""mean"": [57.33177371331348, 2.802062441514254, 1.6428855806039957, 63.580976605699696, 3.2513823904721395, 17.62686787132012, 13.705122075712485, 24.0, 87.23271969374734, 45.20549723521906, 106.40602211824755, 29.23346490854955, 91.44108889834114, 9.6096683113569, 135.96549383241177, 63.2857830710336, 0.7018290089323692, 0.4466184602296895, 3.7422373458102935, 0.38324117396852403], ""std"": [12.116006976504528, 2.3874749470438648, 1.6811250046474968, 15.472693495889542, 0.43380788862428454, 65.84784021944942, 28.107792360283078, 1.0, 15.497760724599427, 10.643779463930542, 20.611943939519815, 7.023274680708901, 6.410048696602887, 2.1012461325886918, 5.145121068188866, 105.2730001560072, 0.4574549717222158, 0.4971422444449395, 1.3454392029738191, 0.4861762813463272]}",lgo_soft,light,True,lgo,none,True,1,lgo
2,"lgo_or2(lgo_or2(add(id(vasopressor_use_std), 1.9920376309410859), sqrt(gate_expr(log(-1.1197957640782474), 1.4082240370042556, 1.6370168377935213)), 11.012510248311889, as_thr(gate_expr(one, 6.790031875618285, -0.2913396174793563))), log(add(add(add(add(add(add(log(zero), lgo_and3(zero, one, one, 0.6859607209961442, -1.3997980482311456)), id(idF(idF(map_mmhg)))), id(idF(map_mmhg))), id(idF(idF(sbp_min)))), id(idF(idF(map_mmhg)))), id(sbp_min))), as_pos(mul(lgo_or2(gate_expr(zero, as_pos(sqrt(sqrt(0.8360188332756407))), -0.5734417911764254), add(sub(lgo_or2(one, 0.03128520068391356, 11.822153786628807, -1.1867291245361216), gate_expr(zero, 0.8752234242045263, -0.9168250403101932)), log(pow(1.2052372356911771, zero))), as_pos(add(-0.07642255539588659, one)), as_thr(lgo_or2(gate_expr(zero, 0.9140403088431394, as_thr(id(dbp_min))), zero, as_pos(0.8265939486066933), as_thr(-1.46321028850984)))), sqrt(add(pow(lgo_and3(zero, one, zero, 13.711018735062508, -0.2211201420386742), pow(one, -0.7907379534190868)), sqrt(id(sbp_min)))))), as_thr(one))",1.3946955419401996,0.5799929464292977,0.04985295455847938,1.4349728045331362,0.5818119895594824,73.1,10,109,68441,93.88928961753845,False,False,False,False,True,True,True,"{""mean"": [57.33177371331348, 2.802062441514254, 1.6428855806039957, 63.580976605699696, 3.2513823904721395, 17.62686787132012, 13.705122075712485, 24.0, 87.23271969374734, 45.20549723521906, 106.40602211824755, 29.23346490854955, 91.44108889834114, 9.6096683113569, 135.96549383241177, 63.2857830710336, 0.7018290089323692, 0.4466184602296895, 3.7422373458102935, 0.38324117396852403], ""std"": [12.116006976504528, 2.3874749470438648, 1.6811250046474968, 15.472693495889542, 0.43380788862428454, 65.84784021944942, 28.107792360283078, 1.0, 15.497760724599427, 10.643779463930542, 20.611943939519815, 7.023274680708901, 6.410048696602887, 2.1012461325886918, 5.145121068188866, 105.2730001560072, 0.4574549717222158, 0.4971422444449395, 1.3454392029738191, 0.4861762813463272]}",lgo_soft,light,True,lgo,none,True,1,lgo
