rank,expr,cv_loss,cv_r2,instability,test_loss,test_r2,complexity,height,size,eval_calls,runtime_sec,used_lgo,used_lgo_thre,used_lgo_pair,scaler_json,experiment,typed_mode,use_zscore,prior_mode,seed,method
1,vasopressor_use_std + vasopressor_use_std - 6.548313/(-0.99895597 - (map_mmhg + map_mmhg/creatinine_mg_dl)/(lactate_mmol_l*spo2_min)),0.5822406858289706,0.8228727967941609,0.038932633588309194,,,13.5,0,18,,15.105738162994385,False,False,False,"{""mean"": [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], ""std"": [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}",base,none,False,baseline,1,pysr
0,vasopressor_use_std + vasopressor_use_std - 10.370029/(-1.5463848 - (dbp_min + map_mmhg + sbp_min/creatinine_mg_dl)/(lactate_mmol_l*spo2_min)),0.5841350595053137,0.824746961934143,0.044526980902997844,,,15.5,0,20,,15.103575706481934,False,False,False,"{""mean"": [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], ""std"": [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}",base,none,False,baseline,1,pysr
2,(vasopressor_use_std + vasopressor_use_std - 9.359148/(-dbp_min/(hours_since_admission*lactate_mmol_l) - 1.4362215))*1.0236539,0.6839388016422611,0.7991557924583892,0.05525888660836298,,,11.75,0,16,,15.107444286346436,False,False,False,"{""mean"": [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], ""std"": [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}",base,none,False,baseline,1,pysr
3,vasopressor_use_std + vasopressor_use_std - 9.4387665/(-dbp_min/(hours_since_admission*lactate_mmol_l) - 1.3939756),0.6853802987861412,0.7989190363573231,0.055865300007573816,,,10.5,0,14,,15.109081745147705,False,False,False,"{""mean"": [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], ""std"": [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}",base,none,False,baseline,1,pysr
4,sqrt(16.1501353200269*sqrt(lactate_mmol_l) + 23.3266151126701*vasopressor_use_std - 7.64270231744789),0.8440273788938945,0.7465740152010136,0.05320272354847563,,,8.75,0,12,,15.109995126724243,False,False,False,"{""mean"": [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], ""std"": [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}",base,none,False,baseline,1,pysr
5,sqrt(19.3855543075351*sqrt(lactate_mmol_l) + 19.3855543075351*vasopressor_use_std - 11.2685966834069),0.8953053159212803,0.7334503997847046,0.0528988600199562,,,8.75,0,10,,15.110884428024292,False,False,False,"{""mean"": [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], ""std"": [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}",base,none,False,baseline,1,pysr
6,2.8997343*lactate_mmol_l**(1/4) + 2.8997343*vasopressor_use_std,0.9638389770276221,0.7072957168946185,0.050169993717561034,,,8.5,0,8,,15.1117525100708,False,False,False,"{""mean"": [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], ""std"": [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}",base,none,False,baseline,1,pysr
7,2.40315062659749*sqrt(lactate_mmol_l) + 2.40315062659749*vasopressor_use_std,1.3138066652553944,0.623023503044189,0.08093658574911337,,,6.0,0,7,,15.112562417984009,False,False,False,"{""mean"": [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], ""std"": [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}",base,none,False,baseline,1,pysr
9,vasopressor_use_std*2.7388325 + 3.8316627,1.5250039737850865,0.5477890867881461,0.052257958138593956,,,3.0,0,5,,15.114105463027954,False,False,False,"{""mean"": [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], ""std"": [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}",base,none,False,baseline,1,pysr
8,2.5867848*sqrt(lactate_mmol_l) + 2.5867848*vasopressor_use_std,1.536973233390709,0.57524673355139,0.09815349949587103,,,6.0,0,6,,15.113372802734375,False,False,False,"{""mean"": [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], ""std"": [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}",base,none,False,baseline,1,pysr
