dataset,method,experiment,rank,expr,complexity,cv_metric,seed
ICU_composite_risk_score,lgo,base,1,"sqrt(sub(sub(log(div(log(log(id(lactate_mmol_l))), zero)), pow(log(zero), pow(id(vasopressor_use_std), -0.08321954963032731))), pow(mul(sqrt(sub(sub(div(one, add(one, one)), add(0.056946121176312946, 0.056946121176312946)), add(zero, 0.056946121176312946))), log(mul(pow(id(vasopressor_use_std), -0.08321954963032731), sub(-0.08321954963032731, one)))), pow(id(lactate_mmol_l), mul(pow(mul(add(0.8814894448025508, id(lactate_mmol_l)), log(zero)), sqrt(one)), -0.008092022046013388)))))",41.5,0.6420073692883785,1
ICU_composite_risk_score,lgo,base,2,"sqrt(sub(sub(log(div(log(log(id(lactate_mmol_l))), zero)), pow(log(zero), pow(id(vasopressor_use_std), -0.08321954963032731))), pow(mul(sqrt(sub(sub(div(one, add(one, one)), add(0.056946121176312946, 0.056946121176312946)), add(zero, add(zero, 0.056946121176312946)))), log(mul(pow(id(vasopressor_use_std), -0.08321954963032731), sub(-0.08321954963032731, one)))), pow(id(lactate_mmol_l), mul(pow(mul(add(0.8814894448025508, id(lactate_mmol_l)), log(zero)), sqrt(one)), -0.008092022046013388)))))",42.5,0.6420073692883785,1
ICU_composite_risk_score,lgo,base,3,"sqrt(sub(sub(log(div(log(id(lactate_mmol_l)), zero)), pow(log(zero), pow(id(vasopressor_use_std), -0.08321954963032731))), pow(mul(sqrt(sub(sub(div(0.8814894448025508, add(one, one)), add(zero, 0.056946121176312946)), add(zero, 0.056946121176312946))), log(mul(pow(id(vasopressor_use_std), -0.08321954963032731), sub(-0.08321954963032731, one)))), pow(id(lactate_mmol_l), mul(pow(mul(add(0.8814894448025508, id(lactate_mmol_l)), log(zero)), sqrt(one)), -0.008092022046013388)))))",40.0,0.6611676311691189,1
ICU_composite_risk_score,lgo,base,4,"sqrt(sub(sub(log(div(log(id(lactate_mmol_l)), zero)), pow(log(zero), pow(id(vasopressor_use_std), -0.08321954963032731))), pow(mul(sqrt(sub(sub(div(one, add(one, one)), add(0.056946121176312946, 0.056946121176312946)), 0.056946121176312946)), log(mul(pow(id(vasopressor_use_std), -0.08321954963032731), sub(-0.08321954963032731, one)))), pow(id(lactate_mmol_l), mul(pow(mul(add(0.8814894448025508, id(lactate_mmol_l)), log(zero)), sqrt(one)), -0.008092022046013388)))))",39.0,0.6616423250942971,1
ICU_composite_risk_score,lgo,base,5,"sqrt(sub(sub(log(div(log(id(lactate_mmol_l)), zero)), pow(log(zero), pow(id(vasopressor_use_std), -0.08321954963032731))), pow(mul(sqrt(sub(sub(div(one, add(one, one)), add(0.056946121176312946, 0.056946121176312946)), add(zero, 0.056946121176312946))), log(mul(pow(id(vasopressor_use_std), -0.08321954963032731), sub(-0.08321954963032731, one)))), pow(id(lactate_mmol_l), mul(pow(mul(add(0.8814894448025508, id(lactate_mmol_l)), log(zero)), sqrt(one)), -0.008092022046013388)))))",40.0,0.6616423250942971,1
ICU_composite_risk_score,lgo,base,6,"sqrt(sub(sub(log(div(log(id(lactate_mmol_l)), zero)), pow(log(zero), pow(id(vasopressor_use_std), -0.08321954963032731))), pow(mul(sqrt(sub(sub(div(one, add(one, one)), add(zero, 0.056946121176312946)), add(0.056946121176312946, 0.056946121176312946))), log(mul(pow(id(vasopressor_use_std), -0.08321954963032731), sub(-0.08321954963032731, one)))), pow(id(lactate_mmol_l), mul(pow(mul(add(0.8814894448025508, id(lactate_mmol_l)), log(zero)), sqrt(one)), -0.008092022046013388)))))",40.0,0.6616423250942971,1
ICU_composite_risk_score,lgo,base,7,"sqrt(sub(sub(log(div(log(id(lactate_mmol_l)), mul(-0.81976694474294, zero))), pow(log(zero), pow(id(vasopressor_use_std), -0.08321954963032731))), pow(mul(sqrt(sub(sub(div(one, add(one, one)), add(0.056946121176312946, 0.056946121176312946)), add(zero, 0.056946121176312946))), log(mul(pow(id(vasopressor_use_std), -0.08321954963032731), sub(-0.08321954963032731, one)))), pow(id(lactate_mmol_l), mul(pow(mul(add(0.8814894448025508, id(lactate_mmol_l)), log(zero)), sqrt(one)), -0.008092022046013388)))))",41.0,0.6616423250942971,1
ICU_composite_risk_score,lgo,base,8,"sqrt(sub(sub(log(div(log(id(lactate_mmol_l)), zero)), pow(log(zero), pow(id(idF(vasopressor_use_std)), -0.08321954963032731))), pow(mul(sqrt(sub(sub(div(one, add(one, one)), add(zero, 0.056946121176312946)), log(mul(pow(id(vasopressor_use_std), -0.08321954963032731), sub(-0.08321954963032731, one))))), log(mul(pow(id(vasopressor_use_std), -0.08321954963032731), sub(-0.08321954963032731, one)))), pow(id(lactate_mmol_l), mul(pow(mul(add(0.8814894448025508, id(lactate_mmol_l)), log(zero)), sqrt(one)), -0.008092022046013388)))))",44.5,0.6762174969435251,1
ICU_composite_risk_score,lgo,base,9,"sqrt(sub(sub(log(div(0.056946121176312946, zero)), pow(log(zero), pow(id(vasopressor_use_std), -0.08321954963032731))), pow(mul(sqrt(sub(sub(div(one, add(one, one)), add(zero, 0.056946121176312946)), add(zero, 0.056946121176312946))), log(mul(pow(id(vasopressor_use_std), -0.08321954963032731), sub(-0.08321954963032731, one)))), pow(id(lactate_mmol_l), log(mul(pow(id(idF(lactate_mmol_l)), -0.08321954963032731), sub(-0.08321954963032731, one)))))))",36.0,0.6793819181777639,1
ICU_composite_risk_score,lgo,base,10,"sqrt(sub(sub(log(div(log(id(lactate_mmol_l)), zero)), pow(log(zero), pow(id(vasopressor_use_std), -0.08321954963032731))), pow(mul(sqrt(sub(sub(div(one, add(one, one)), add(sqrt(log(zero)), 0.056946121176312946)), add(zero, 0.056946121176312946))), log(mul(pow(id(vasopressor_use_std), -0.08321954963032731), sub(-0.08321954963032731, one)))), pow(id(lactate_mmol_l), mul(pow(mul(add(0.8814894448025508, id(lactate_mmol_l)), log(zero)), sqrt(one)), -0.008092022046013388)))))",43.0,0.692289330570509,1
