dataset,method,experiment,seed,expr_id,expression,complexity,depth,expr_length,num_gates,num_AND,num_OR,num_soft,num_pair,num_gate_expr
NHANES_metabolic_score,lgo,base,1,0,"add(sqrt(add(0.7508742006524992, id(waist_circumference))), add(one, sub(sqrt(pow(sub(div(mul(pow(div(-1.1657177019735117, zero), id(systolic_bp)), pow(div(-1.1657177019735117, zero), id(systolic_bp))), sqrt(div(sqrt(one), log(one)))), div(sub(1.8950160571427719, 1.1280328005377345), sub(one, log(sqrt(zero))))), mul(log(1.1280328005377345), pow(-1.1657177019735117, sub(log(zero), -1.2775085798093735))))), sub(mul(log(1.1280328005377345), mul(id(systolic_bp), add(-1.2775085798093735, sub(div(pow(one, one), add(-0.8286225449884401, -0.8286225449884401)), sub(1.8950160571427719, 1.1280328005377345))))), sqrt(id(triglycerides))))))",73,10,635,0,0,0,0,0,0
NHANES_metabolic_score,lgo,base,1,1,"add(sqrt(add(0.7508742006524992, id(waist_circumference))), add(one, sub(sqrt(pow(sub(div(mul(pow(div(-1.1657177019735117, zero), id(systolic_bp)), pow(div(-1.1657177019735117, zero), id(systolic_bp))), sqrt(div(sqrt(one), log(one)))), div(sub(1.8950160571427719, 1.1280328005377345), sub(id(systolic_bp), log(sqrt(zero))))), mul(log(1.1280328005377345), pow(-1.1657177019735117, sub(log(zero), -1.2775085798093735))))), sub(mul(log(1.1280328005377345), mul(id(systolic_bp), add(-1.2775085798093735, sub(div(pow(one, one), add(-0.8286225449884401, -0.8286225449884401)), sub(1.8950160571427719, 1.1280328005377345))))), sqrt(id(triglycerides))))))",74,10,647,0,0,0,0,0,0
NHANES_metabolic_score,lgo,base,1,2,"add(sqrt(add(0.7508742006524992, id(waist_circumference))), add(one, sub(sqrt(pow(sub(div(mul(pow(div(-1.1657177019735117, zero), id(systolic_bp)), pow(div(-1.1657177019735117, zero), id(systolic_bp))), sqrt(div(sqrt(one), log(one)))), div(sub(1.8950160571427719, one), sub(one, log(sqrt(zero))))), mul(log(1.1280328005377345), pow(-1.1657177019735117, sub(log(zero), -1.2775085798093735))))), sub(mul(log(1.1280328005377345), mul(id(systolic_bp), add(-1.2775085798093735, sub(div(pow(one, one), add(-0.8286225449884401, -0.8286225449884401)), sub(1.8950160571427719, 1.1280328005377345))))), sqrt(id(triglycerides))))))",73,10,620,0,0,0,0,0,0
NHANES_metabolic_score,lgo,base,1,3,"add(sqrt(add(0.7508742006524992, id(waist_circumference))), add(one, sub(sqrt(pow(sub(div(mul(pow(div(-1.2775085798093735, zero), id(systolic_bp)), pow(div(-1.1657177019735117, zero), id(systolic_bp))), sqrt(div(sqrt(one), log(one)))), div(one, sub(1.1280328005377345, log(sqrt(zero))))), mul(log(1.1280328005377345), pow(-1.1657177019735117, sub(log(zero), -1.2775085798093735))))), sub(mul(log(1.1280328005377345), mul(id(systolic_bp), add(-1.2775085798093735, sub(div(pow(one, one), add(-0.8286225449884401, -0.8286225449884401)), sub(1.8950160571427719, 1.1280328005377345))))), sqrt(id(triglycerides))))))",71,10,610,0,0,0,0,0,0
NHANES_metabolic_score,lgo,base,1,4,"add(sqrt(add(0.7508742006524992, id(waist_circumference))), add(one, sub(sqrt(pow(sub(div(mul(pow(div(-1.1657177019735117, zero), id(systolic_bp)), pow(div(-1.2775085798093735, zero), id(systolic_bp))), sqrt(div(sqrt(one), log(one)))), div(one, sub(one, log(sqrt(zero))))), mul(log(1.1280328005377345), pow(-1.1657177019735117, sub(log(zero), -1.2775085798093735))))), sub(mul(log(1.1280328005377345), mul(id(systolic_bp), add(-1.2775085798093735, sub(div(pow(one, one), add(-0.8286225449884401, -0.8286225449884401)), sub(1.8950160571427719, 1.1280328005377345))))), sqrt(id(triglycerides))))))",71,10,595,0,0,0,0,0,0
NHANES_metabolic_score,lgo,base,1,5,"add(sqrt(add(0.7508742006524992, id(waist_circumference))), add(one, sub(sqrt(pow(sub(div(mul(pow(div(-1.1657177019735117, zero), id(systolic_bp)), pow(div(-1.1657177019735117, zero), id(systolic_bp))), sqrt(div(one, log(one)))), div(one, sub(add(id(triglycerides), mul(zero, one)), log(sqrt(zero))))), mul(log(1.1280328005377345), pow(-1.1657177019735117, sub(log(zero), -1.2775085798093735))))), sub(mul(log(1.1280328005377345), mul(id(systolic_bp), add(-1.2775085798093735, sub(div(pow(one, one), add(-0.8286225449884401, -0.8286225449884401)), sub(1.8950160571427719, 1.1280328005377345))))), sqrt(id(triglycerides))))))",75,10,624,0,0,0,0,0,0
NHANES_metabolic_score,lgo,base,1,6,"add(sqrt(add(0.7508742006524992, id(waist_circumference))), add(one, sub(sqrt(pow(sub(div(mul(pow(div(-1.1657177019735117, zero), id(systolic_bp)), pow(div(-1.1657177019735117, zero), id(systolic_bp))), sqrt(div(sqrt(one), log(one)))), div(one, sub(add(id(triglycerides), mul(zero, one)), log(sqrt(zero))))), mul(log(1.1280328005377345), pow(-1.1657177019735117, sub(log(zero), -1.2775085798093735))))), sub(mul(log(1.1280328005377345), mul(id(systolic_bp), add(-1.2775085798093735, sub(div(pow(one, one), add(-0.8286225449884401, -0.8286225449884401)), sub(1.8950160571427719, 1.1280328005377345))))), sqrt(id(idF(triglycerides)))))))",77,10,635,0,0,0,0,0,0
NHANES_metabolic_score,lgo,base,1,7,"add(sqrt(add(0.7508742006524992, id(waist_circumference))), add(one, sub(sqrt(pow(sub(div(mul(pow(div(-1.1657177019735117, zero), id(systolic_bp)), pow(div(-1.1657177019735117, zero), id(systolic_bp))), sqrt(div(sqrt(one), log(one)))), div(one, sub(add(one, one), log(sqrt(zero))))), mul(log(1.1280328005377345), pow(-1.1657177019735117, sub(log(zero), -1.2775085798093735))))), sub(mul(log(1.1280328005377345), mul(id(systolic_bp), add(-1.2775085798093735, sub(div(pow(one, one), add(-0.8286225449884401, -0.8286225449884401)), sub(1.8950160571427719, 1.1280328005377345))))), sqrt(id(triglycerides))))))",73,10,605,0,0,0,0,0,0
NHANES_metabolic_score,lgo,base,1,8,"add(sqrt(add(0.7508742006524992, id(waist_circumference))), add(one, sub(sqrt(pow(sub(div(mul(pow(div(-1.1657177019735117, zero), id(systolic_bp)), pow(div(-1.1657177019735117, zero), id(systolic_bp))), sqrt(div(sqrt(one), zero))), div(sub(1.8950160571427719, 1.1280328005377345), sub(one, log(sqrt(zero))))), mul(log(1.1280328005377345), pow(-1.1657177019735117, sub(log(zero), -1.2775085798093735))))), sub(mul(log(1.1280328005377345), mul(id(systolic_bp), add(-1.2775085798093735, sub(div(1.1280328005377345, add(-0.8286225449884401, -0.8286225449884401)), sub(1.8950160571427719, 1.1280328005377345))))), sqrt(id(triglycerides))))))",70,10,636,0,0,0,0,0,0
NHANES_metabolic_score,lgo,base,1,9,"add(sqrt(add(0.7508742006524992, id(waist_circumference))), add(one, sub(sqrt(pow(sub(div(mul(pow(div(-1.1657177019735117, zero), id(systolic_bp)), pow(div(-1.1657177019735117, zero), id(systolic_bp))), sqrt(div(sqrt(one), sqrt(zero)))), div(sub(1.8950160571427719, 1.1280328005377345), sub(one, log(sqrt(zero))))), mul(log(1.1280328005377345), pow(-1.1657177019735117, sub(log(zero), -1.2775085798093735))))), sub(mul(log(1.1280328005377345), mul(id(systolic_bp), add(-1.2775085798093735, sub(div(1.1280328005377345, add(-0.8286225449884401, -0.8286225449884401)), sub(1.8950160571427719, 1.1280328005377345))))), sqrt(id(triglycerides))))))",71,10,642,0,0,0,0,0,0
NHANES_metabolic_score,lgo,base,13,10,"add(sub(mul(pow(pow(mul(one, 0.8030001777635664), add(one, zero)), id(idF(idF(idF(idF(waist_circumference)))))), mul(mul(mul(add(one, zero), one), 0.5629049147823575), id(idF(waist_circumference)))), log(div(pow(pow(mul(pow(one, one), 0.8030001777635664), pow(pow(sub(zero, log(0.8030001777635664)), add(one, 0.8030001777635664)), id(idF(idF(fasting_glucose))))), id(idF(idF(fasting_glucose)))), add(div(pow(one, -0.5208516195829577), 1.3010441711862217), sqrt(sqrt(id(systolic_bp))))))), add(add(one, sqrt(one)), sub(div(sqrt(sub(div(sqrt(id(triglycerides)), 0.8030001777635664), sub(zero, log(0.8030001777635664)))), sqrt(0.8030001777635664)), div(zero, sub(one, sub(id(systolic_bp), add(one, zero)))))))",94,10,706,0,0,0,0,0,0
NHANES_metabolic_score,lgo,base,13,11,"add(sub(mul(pow(pow(mul(one, 0.8030001777635664), add(one, zero)), id(idF(idF(idF(idF(waist_circumference)))))), mul(mul(mul(add(one, zero), one), 0.5629049147823575), id(idF(waist_circumference)))), log(div(pow(pow(mul(pow(one, one), 0.8030001777635664), pow(pow(sub(zero, log(0.8030001777635664)), add(one, 0.8030001777635664)), id(idF(fasting_glucose)))), id(idF(idF(fasting_glucose)))), add(div(pow(one, -0.5208516195829577), 1.3010441711862217), sqrt(sqrt(id(systolic_bp))))))), add(add(one, sqrt(one)), sub(div(sqrt(sub(div(sqrt(id(triglycerides)), 0.8030001777635664), sub(zero, log(0.8030001777635664)))), sqrt(0.8030001777635664)), div(zero, sub(one, sub(id(systolic_bp), add(one, zero)))))))",93,10,701,0,0,0,0,0,0
NHANES_metabolic_score,lgo,base,13,12,"add(sub(mul(pow(pow(mul(one, 0.8030001777635664), add(one, zero)), id(idF(idF(idF(idF(waist_circumference)))))), mul(mul(mul(add(one, zero), one), 0.5629049147823575), id(idF(waist_circumference)))), log(div(pow(pow(mul(pow(one, one), 0.8030001777635664), pow(pow(sub(zero, log(0.8030001777635664)), add(one, 0.8030001777635664)), id(idF(fasting_glucose)))), id(idF(idF(fasting_glucose)))), add(div(pow(one, -0.5208516195829577), 1.3010441711862217), sqrt(sqrt(id(systolic_bp))))))), add(add(one, sqrt(one)), sub(div(sqrt(sub(div(sqrt(id(triglycerides)), 0.8030001777635664), sub(zero, log(0.8030001777635664)))), sqrt(0.8030001777635664)), div(zero, sub(sub(zero, mul(div(one, 1.4435252934829934), pow(zero, zero))), sub(id(systolic_bp), add(one, zero)))))))",101,10,759,0,0,0,0,0,0
NHANES_metabolic_score,lgo,base,13,13,"add(sub(mul(pow(pow(mul(one, 0.8030001777635664), add(one, zero)), id(idF(idF(idF(idF(waist_circumference)))))), mul(mul(mul(add(one, zero), one), 0.5629049147823575), id(idF(waist_circumference)))), log(div(pow(pow(mul(pow(one, one), 0.8030001777635664), pow(pow(sub(zero, log(0.8030001777635664)), add(0.8030001777635664, 0.8030001777635664)), id(idF(fasting_glucose)))), id(idF(idF(fasting_glucose)))), add(div(pow(one, -0.5208516195829577), 1.3010441711862217), sqrt(sqrt(id(systolic_bp))))))), add(add(one, sqrt(one)), sub(div(sqrt(sub(div(sqrt(id(triglycerides)), 0.8030001777635664), sub(zero, log(0.8030001777635664)))), sqrt(0.8030001777635664)), div(zero, sub(one, one)))))",88,10,683,0,0,0,0,0,0
NHANES_metabolic_score,lgo,base,13,14,"add(sub(mul(pow(pow(mul(one, 0.8030001777635664), add(one, zero)), id(idF(idF(idF(idF(idF(waist_circumference))))))), mul(mul(mul(add(one, zero), one), 0.5629049147823575), id(idF(waist_circumference)))), log(div(pow(pow(mul(pow(one, one), 0.8030001777635664), pow(pow(sub(zero, log(0.8030001777635664)), add(0.8030001777635664, 0.8030001777635664)), id(idF(fasting_glucose)))), id(idF(idF(fasting_glucose)))), add(div(pow(one, -0.5208516195829577), 1.3010441711862217), sqrt(sqrt(id(systolic_bp))))))), add(add(one, sqrt(one)), sub(div(sqrt(sub(div(sqrt(id(triglycerides)), 0.8030001777635664), sub(zero, log(0.8030001777635664)))), sqrt(0.8030001777635664)), div(zero, sub(one, sub(id(systolic_bp), add(one, zero)))))))",94,10,721,0,0,0,0,0,0
NHANES_metabolic_score,lgo,base,13,15,"add(sub(mul(pow(pow(mul(one, 0.8030001777635664), add(one, zero)), id(idF(idF(idF(idF(waist_circumference)))))), mul(mul(mul(add(one, zero), one), 0.5629049147823575), id(idF(waist_circumference)))), log(div(pow(pow(mul(pow(one, one), 0.8030001777635664), pow(pow(sub(zero, log(0.8030001777635664)), add(0.8030001777635664, 0.8030001777635664)), id(fasting_glucose))), id(idF(idF(fasting_glucose)))), add(div(pow(one, -0.5208516195829577), 1.3010441711862217), sqrt(sqrt(id(systolic_bp))))))), add(add(one, sqrt(one)), sub(div(sqrt(sub(div(sqrt(id(triglycerides)), 0.8030001777635664), sub(zero, log(0.8030001777635664)))), sqrt(0.8030001777635664)), div(zero, sub(one, sub(id(systolic_bp), add(one, zero)))))))",92,10,711,0,0,0,0,0,0
