dataset,method,experiment,n_models,complexity_median,complexity_q1,complexity_q3,complexity_mean,complexity_std,gates_median,gates_q1,gates_q3,depth_median
NHANES_metabolic_score,lgo,base,100,84.0,73.0,92.25,83.63,12.12365164844855,0.0,0.0,0.0,10.0
NHANES_metabolic_score,lgo,lgo_hard,100,93.0,83.0,115.25,100.53,21.074880926368383,6.0,3.0,8.0,10.0
NHANES_metabolic_score,lgo,lgo_soft,100,110.5,92.0,169.5,129.66,42.45953986152613,12.0,10.0,22.25,10.0
NHANES_metabolic_score,lgo_base,base,100,84.0,73.0,92.25,83.63,12.12365164844855,0.0,0.0,0.0,10.0
NHANES_metabolic_score,lgo_lgo_hard,lgo_hard,100,93.0,83.0,115.25,100.53,21.074880926368383,6.0,3.0,8.0,10.0
NHANES_metabolic_score,lgo_lgo_soft,lgo_soft,100,110.5,92.0,169.5,129.66,42.45953986152613,12.0,10.0,22.25,10.0
NHANES_metabolic_score,operon,base,10,30.5,29.0,31.75,29.9,2.2335820757001272,0.0,0.0,0.0,11.0
NHANES_metabolic_score,operon_base,base,10,30.5,29.0,31.75,29.9,2.2335820757001272,0.0,0.0,0.0,11.0
NHANES_metabolic_score,pstree,pstree,10,4.5,3.25,5.75,5.0,2.9814239699997196,0.0,0.0,0.0,2.0
NHANES_metabolic_score,pstree_base,pstree,10,4.5,3.25,5.75,5.0,2.9814239699997196,0.0,0.0,0.0,2.0
NHANES_metabolic_score,pysr,base,100,7.0,5.0,9.0,6.64,2.6572561225839904,0.0,0.0,0.0,1.0
NHANES_metabolic_score,pysr_base,base,100,7.0,5.0,9.0,6.64,2.6572561225839904,0.0,0.0,0.0,1.0
NHANES_metabolic_score,rils_rols,rils_rols,10,30.0,29.25,30.0,29.8,0.6324555320336758,0.0,0.0,0.0,3.0
NHANES_metabolic_score,rils_rols_base,rils_rols,10,30.0,29.25,30.0,29.8,0.6324555320336758,0.0,0.0,0.0,3.0
