dataset,method,experiment,seed,expr,complexity,cv_loss,test_loss,cv_r2,test_r2
NHANES_metabolic_score,lgo,base,1,"add(sqrt(add(0.7508742006524992, id(waist_circumference))), add(one, sub(sqrt(pow(sub(div(mul(pow(div(-1.1657177019735117, zero), id(systolic_bp)), pow(div(-1.1657177019735117, zero), id(systolic_bp))), sqrt(div(sqrt(one), sqrt(zero)))), div(sub(1.8950160571427719, 1.1280328005377345), sub(one, log(sqrt(zero))))), mul(log(1.1280328005377345), pow(-1.1657177019735117, sub(log(zero), -1.2775085798093735))))), sub(mul(log(1.1280328005377345), mul(id(systolic_bp), add(-1.2775085798093735, sub(div(1.1280328005377345, add(-0.8286225449884401, -0.8286225449884401)), sub(1.8950160571427719, 1.1280328005377345))))), sqrt(id(triglycerides))))))",52.5,0.5786543106402391,0.6293985269536334,0.6611153470507718,0.6432739927603086
NHANES_metabolic_score,lgo,lgo_soft,1,"add(lgo_or2(1.210220317783098, lgo_and2(id(idF(systolic_bp)), one, as_pos(sub(-0.9966903470212021, one)), as_thr(pow(-0.03753617264220324, add(lgo_and3(lgo(pow(gate_expr(zero, 0.14672038991693095, 0.4818818912015086), mul(one, zero)), as_pos(lgo(0.9986280322426563, 0.16761856702408837, -1.4020198996645619)), as_thr(div(zero, one))), sqrt(id(idF(hdl_cholesterol))), pow(sub(div(one, 0.38055525545923885), add(0.9813540419190356, zero)), lgo_and2(sqrt(zero), gate_expr(-0.6664590716698764, 2.878864593667285, -1.0566507364987605), as_pos(one), as_thr(0.8225069675666006))), as_pos(sub(log(one), sqrt(zero))), as_thr(lgo(id(waist_circumference), as_pos(0.6243662105653626), as_thr(-0.8527787590659714)))), lgo(id(idF(idF(waist_circumference))), as_pos(lgo_and3(add(-0.035921306852120645, one), sqrt(one), lgo(one, 0.1760396054883252, -2.083610276704871), as_pos(one), as_thr(zero))), as_thr(lgo_or2(lgo_or2(-0.32227214130492443, zero, 1.6986754119611598, 1.2177373242774077), id(bmi), as_pos(one), as_thr(zero)))))))), 5.32248173999572, as_thr(lgo_and3(lgo_or2(one, zero, 0.8079149244618256, as_thr(pow(-0.03753617264220324, pow(gate_expr(0.18753834264525418, 3.570561265532846, 0.17699488780937533), one)))), one, log(lgo(one, as_pos(-0.040337723136579795), 0.5714260815475642)), 0.6932666455770404, as_thr(lgo(id(triglycerides), as_pos(0.6243662105653626), as_thr(-0.8527787590659714)))))), pow(add(id(waist_circumference), sub(id(triglycerides), add(-1.0863144680264123, lgo_and3(sub(one, zero), one, -0.26737455610625455, 0.3520825644681782, as_thr(pow(-0.03753617264220324, pow(0.006600463766767761, one))))))), gate_expr(one, as_pos(lgo_and3(lgo_and2(gate_expr(sqrt(0.5703376844219457), as_pos(-1.7231931672724274), as_thr(-0.4888639260426323)), add(log(one), pow(log(0.013197242325412991), zero)), as_pos(lgo_or2(one, 0.40162022609667314, as_pos(zero), -0.2811671038929251)), as_thr(add(0.006600463766767761, zero))), one, zero, 0.173226627233096, 0.22158738530057684)), as_thr(lgo_and3(one, sub(one, zero), one, 0.5568036443314618, as_thr(pow(-0.03753617264220324, pow(gate_expr(0.18753834264525418, 0.173226627233096, -0.6013684015379521), one))))))))",157.3,0.7451060977905994,0.7425906725425673,0.5634217753141778,0.5791197559490604
NHANES_metabolic_score,lgo,lgo_hard,1,"add(sqrt(id(triglycerides)), add(add(lgo_thre(id(idF(fasting_glucose)), as_pos(sub(id(idF(triglycerides)), div(div(1.9844251457209283, -1.6705564417066212), sqrt(-1.3572707179367058)))), -0.3852224033154265), pow(lgo_thre(id(idF(idF(gender_std))), as_pos(zero), 1.2763389053393148), add(lgo_thre(id(idF(idF(idF(hdl_cholesterol)))), 3.1362557152655124, -0.4406497087004496), lgo_thre(id(idF(idF(idF(hdl_cholesterol)))), 3.1362557152655124, -0.3852224033154265)))), add(lgo_thre(div(id(waist_circumference), lgo_thre(id(idF(idF(gender_std))), as_pos(add(0.1474490374522271, one)), 1.2763389053393148)), 3.1362557152655124, as_thr(-1.7065365680445388)), sqrt(pow(mul(sqrt(lgo_thre(zero, as_pos(add(0.1474490374522271, one)), 1.4186790370117501)), id(idF(systolic_bp))), lgo_thre(lgo_thre(pow(sub(lgo_thre(zero, 0.3122955066120131, 1.2763389053393148), id(systolic_bp)), sqrt(div(-1.0204627716774348, one))), 3.1362557152655124, -0.3852224033154265), as_pos(add(0.1474490374522271, one)), 1.4186790370117501))))))",56.5,0.2243486798396679,0.22450577349902748,0.8616728613513889,0.8727562192269535
NHANES_metabolic_score,pysr,base,1,(5.8460183*age_band + 20.406658*gender_std + systolic_bp + sqrt(triglycerides) + waist_circumference - 158.98141)/hdl_cholesterol,13.75,0.6705913957511844,,0.6103370048390226,
NHANES_metabolic_score,operon,base,1,(7.168697 + ((-4664.765137) * (1.338378 / sqrt(((((sqrt(sqrt((0.378594 * hdl_cholesterol))) + (0.434294 * waist_circumference)) + (sqrt(((0.755178 * hdl_cholesterol) + (0.812135 * triglycerides))) * sqrt((0.839275 * gender_std)))) / sqrt((0.378594 * hdl_cholesterol))) * ((((2.053244 * fasting_glucose) + (0.812135 * triglycerides)) + ((0.881968 * hdl_cholesterol) - sqrt((0.839275 * gender_std)))) * (3.141593 * systolic_bp))))))),43.0,0.5327037055104946,,0.6890573196853522,
NHANES_metabolic_score,lgo,base,2,"pow(0.7963134622646567, div(add(one, sub(sub(id(idF(idF(idF(idF(waist_circumference))))), sub(log(pow(0.7963134622646567, id(gender_std))), sqrt(sqrt(id(systolic_bp))))), sub(log(pow(add(id(fasting_glucose), one), sub(zero, one))), sqrt(id(idF(triglycerides)))))), add(sub(mul(-0.060249617831895794, add(sub(id(idF(hdl_cholesterol)), sub(log(0.7963134622646567), sqrt(id(fasting_glucose)))), add(id(idF(waist_circumference)), add(id(waist_circumference), add(id(fasting_glucose), one))))), one), sqrt(0.42628688107486745))))",35.5,0.5173148821079497,0.5721016246053474,0.7007721334282125,0.7060113867496625
NHANES_metabolic_score,lgo,lgo_soft,2,"lgo_or2(gate_expr(add(1.3756635782048707, lgo_or2(one, 1.142207497140543, 6.729083424997765, as_thr(one))), 2.801953484132654, as_thr(one)), sub(sub(pow(gate_expr(id(triglycerides), as_pos(lgo_or2(lgo_and2(id(systolic_bp), lgo_and2(zero, -0.648003644213762, 2.801953484132654, 1.0223366327087047), as_pos(one), -1.5577107223696625), div(div(-2.7053835596492153, zero), div(zero, 0.10702874271177955)), as_pos(pow(one, 0.28642164577203)), as_thr(one))), as_thr(add(log(sqrt(zero)), log(gate_expr(zero, 0.7947447385757787, 0.011926588127416982))))), gate_expr(one, 0.303107779081528, as_thr(lgo(sqrt(sqrt(sub(0.3642510379330915, one))), 0.35861919686084215, 1.5139897149585808)))), sqrt(sqrt(sqrt(sqrt(sqrt(sub(-0.4023304702818481, id(fasting_glucose)))))))), sqrt(sub(sqrt(sqrt(sub(lgo_and2(one, 0.31078550680032613, as_pos(pow(one, 0.28642164577203)), -1.4766949380736607), id(idF(systolic_bp))))), id(waist_circumference)))), as_pos(sqrt(sqrt(sub(lgo_and2(one, 0.31078550680032613, as_pos(pow(one, 0.28642164577203)), -1.7701728384392248), id(idF(systolic_bp)))))), -0.7321268044254857)",75.0,0.4527998967334501,0.5374121651294871,0.7233939069250777,0.7238374261229068
NHANES_metabolic_score,lgo,lgo_hard,2,"div(sqrt(add(add(div(add(sqrt(sqrt(div(id(systolic_bp), pow(one, one)))), sqrt(id(triglycerides))), sqrt(lgo_thre(id(idF(hdl_cholesterol)), as_pos(one), -0.7113994289500698))), lgo_thre(id(fasting_glucose), as_pos(div(one, zero)), -0.39381041753045254)), mul(id(waist_circumference), 0.4731688446462943))), lgo_thre(lgo_thre(sub(0.10268257748791454, id(idF(gender_std))), 8.875078777745223, -0.36004734055431187), as_pos(div(log(add(zero, add(log(id(idF(hdl_cholesterol))), id(idF(idF(hba1c)))))), div(lgo_thre(zero, 0.46033249277076926, -0.39381041753045254), add(div(lgo_thre(zero, as_pos(one), -0.7113994289500698), add(one, one)), one)))), as_thr(log(one))))",50.5,0.37931382977735745,0.4188116266434823,0.7673773021921643,0.7847832552215328
NHANES_metabolic_score,pysr,base,2,0.14646219*gender_std + 0.019647175*systolic_bp + 0.14646219*sqrt(triglycerides) + 1.15539 + (-hdl_cholesterol - 245.27225)/waist_circumference,15.75,0.6295726264374205,,0.6218309410135016,
NHANES_metabolic_score,operon,base,2,((-17.705130) + (3.735965 * (sqrt((sqrt(((1.482861 * waist_circumference) - ((-0.388138) * fasting_glucose))) + (sqrt((0.839275 * gender_std)) + sqrt(((((0.797663 * age) + (0.839275 * gender_std)) + (0.293865 * triglycerides)) / sqrt((1.176267 * triglycerides))))))) + sqrt(((sqrt(sqrt((1.176267 * triglycerides))) / sqrt(((0.494577 * hdl_cholesterol) + (-3.515811)))) * (0.016210 * systolic_bp)))))),46.25,0.5335415772148258,,0.6826607047340871,
