dataset,task,method,experiment,seed,split,metric,value
NHANES_metabolic_score,regression,lgo,base,1,0,RMSE,0.7930254002108693
NHANES_metabolic_score,regression,lgo,base,1,0,MAE,0.6442680723009685
NHANES_metabolic_score,regression,lgo,base,1,0,R2,0.6435626170669166
NHANES_metabolic_score,regression,lgo,lgo_soft,1,0,RMSE,0.8602041508279945
NHANES_metabolic_score,regression,lgo,lgo_soft,1,0,MAE,0.6795480297226167
NHANES_metabolic_score,regression,lgo,lgo_soft,1,0,R2,0.5806157480788756
NHANES_metabolic_score,regression,lgo,lgo_hard,1,0,RMSE,0.47327241544738813
NHANES_metabolic_score,regression,lgo,lgo_hard,1,0,MAE,0.3558270603412804
NHANES_metabolic_score,regression,lgo,lgo_hard,1,0,R2,0.8730503711002016
NHANES_metabolic_score,regression,pysr,base,1,0,RMSE,0.7897545826079455
NHANES_metabolic_score,regression,pysr,base,1,0,MAE,0.6364098299935406
NHANES_metabolic_score,regression,pysr,base,1,0,R2,0.6464967914846915
NHANES_metabolic_score,regression,operon,base,1,0,RMSE,0.7086628664134568
NHANES_metabolic_score,regression,operon,base,1,0,MAE,0.5648311384198101
NHANES_metabolic_score,regression,operon,base,1,0,R2,0.7153649331620726
NHANES_metabolic_score,regression,lgo,base,2,0,RMSE,0.7563739978379396
NHANES_metabolic_score,regression,lgo,base,2,0,MAE,0.5883024142156923
NHANES_metabolic_score,regression,lgo,base,2,0,R2,0.7060113867496625
NHANES_metabolic_score,regression,lgo,lgo_soft,2,0,RMSE,0.7392877665939049
NHANES_metabolic_score,regression,lgo,lgo_soft,2,0,MAE,0.5987007696741122
NHANES_metabolic_score,regression,lgo,lgo_soft,2,0,R2,0.7191435719774562
NHANES_metabolic_score,regression,lgo,lgo_hard,2,0,RMSE,0.6892229786688148
NHANES_metabolic_score,regression,lgo,lgo_hard,2,0,MAE,0.5085709541904637
NHANES_metabolic_score,regression,lgo,lgo_hard,2,0,R2,0.755894915559063
NHANES_metabolic_score,regression,pysr,base,2,0,RMSE,0.8413914479505515
NHANES_metabolic_score,regression,pysr,base,2,0,MAE,0.6759249692357222
NHANES_metabolic_score,regression,pysr,base,2,0,R2,0.6362076891389383
NHANES_metabolic_score,regression,operon,base,2,0,RMSE,0.7673277727900807
NHANES_metabolic_score,regression,operon,base,2,0,MAE,0.6193270246578465
NHANES_metabolic_score,regression,operon,base,2,0,R2,0.6974346690652358
NHANES_metabolic_score,regression,lgo,base,3,0,RMSE,0.7330779924313093
NHANES_metabolic_score,regression,lgo,base,3,0,MAE,0.5785766186550677
NHANES_metabolic_score,regression,lgo,base,3,0,R2,0.7153331943949437
NHANES_metabolic_score,regression,lgo,lgo_soft,3,0,RMSE,0.7284632959264845
NHANES_metabolic_score,regression,lgo,lgo_soft,3,0,MAE,0.5843400884145752
NHANES_metabolic_score,regression,lgo,lgo_soft,3,0,R2,0.7189058462451714
NHANES_metabolic_score,regression,lgo,lgo_hard,3,0,RMSE,0.743930979335126
NHANES_metabolic_score,regression,lgo,lgo_hard,3,0,MAE,0.6063581500452958
NHANES_metabolic_score,regression,lgo,lgo_hard,3,0,R2,0.706841998182903
NHANES_metabolic_score,regression,pysr,base,3,0,RMSE,0.8881441089042564
NHANES_metabolic_score,regression,pysr,base,3,0,MAE,0.713352152536522
NHANES_metabolic_score,regression,pysr,base,3,0,R2,0.5821664169248291
NHANES_metabolic_score,regression,operon,base,3,0,RMSE,0.840792927831526
NHANES_metabolic_score,regression,operon,base,3,0,MAE,0.6608401184614673
NHANES_metabolic_score,regression,operon,base,3,0,R2,0.6255321266007875
NHANES_metabolic_score,regression,lgo,base,5,0,RMSE,0.6683936181478646
NHANES_metabolic_score,regression,lgo,base,5,0,MAE,0.5499849718208155
NHANES_metabolic_score,regression,lgo,base,5,0,R2,0.7429576273572682
NHANES_metabolic_score,regression,lgo,lgo_soft,5,0,RMSE,0.9958639184127307
NHANES_metabolic_score,regression,lgo,lgo_soft,5,0,MAE,0.7511970575794843
NHANES_metabolic_score,regression,lgo,lgo_soft,5,0,R2,0.42938901614186875
NHANES_metabolic_score,regression,lgo,lgo_hard,5,0,RMSE,0.6017919520181374
NHANES_metabolic_score,regression,lgo,lgo_hard,5,0,MAE,0.4921277704167743
NHANES_metabolic_score,regression,lgo,lgo_hard,5,0,R2,0.7916311076459728
NHANES_metabolic_score,regression,pysr,base,5,0,RMSE,0.8078135292524038
NHANES_metabolic_score,regression,pysr,base,5,0,MAE,0.6491008580936044
NHANES_metabolic_score,regression,pysr,base,5,0,R2,0.6245411227819395
NHANES_metabolic_score,regression,operon,base,5,0,RMSE,0.7116177098289473
NHANES_metabolic_score,regression,operon,base,5,0,MAE,0.5611023027252774
NHANES_metabolic_score,regression,operon,base,5,0,R2,0.7086375182969886
NHANES_metabolic_score,regression,lgo,base,8,0,RMSE,0.5978253649949854
NHANES_metabolic_score,regression,lgo,base,8,0,MAE,0.4598999176733979
NHANES_metabolic_score,regression,lgo,base,8,0,R2,0.8033915193645178
NHANES_metabolic_score,regression,lgo,lgo_soft,8,0,RMSE,0.8404821595261192
NHANES_metabolic_score,regression,lgo,lgo_soft,8,0,MAE,0.6691752350383414
NHANES_metabolic_score,regression,lgo,lgo_soft,8,0,R2,0.6113930438057027
NHANES_metabolic_score,regression,lgo,lgo_hard,8,0,RMSE,0.8890352653370458
NHANES_metabolic_score,regression,lgo,lgo_hard,8,0,MAE,0.7245858494162079
NHANES_metabolic_score,regression,lgo,lgo_hard,8,0,R2,0.565197984463043
NHANES_metabolic_score,regression,pysr,base,8,0,RMSE,0.7378264055373904
NHANES_metabolic_score,regression,pysr,base,8,0,MAE,0.607538471334405
NHANES_metabolic_score,regression,pysr,base,8,0,R2,0.7005240444374279
NHANES_metabolic_score,regression,operon,base,8,0,RMSE,0.7480699861653664
NHANES_metabolic_score,regression,operon,base,8,0,MAE,0.6053395342729008
NHANES_metabolic_score,regression,operon,base,8,0,R2,0.6921507976805525
NHANES_metabolic_score,regression,lgo,base,13,0,RMSE,0.7094101643085187
NHANES_metabolic_score,regression,lgo,base,13,0,MAE,0.5632940804472147
NHANES_metabolic_score,regression,lgo,base,13,0,R2,0.7197175237442635
