dataset,method,experiment,seed,expr_id,complexity,loss,expression
NHANES_metabolic_score,lgo,base,2,26,64,0.5173148821079497,"pow(0.7963134622646567, div(add(one, sub(sub(id(idF(idF(idF(idF(waist_circumference))))), sub(log(pow(0.7963134622646567, id(gender_std))), sqrt(sqrt(id(systolic_bp))))), sub(log(pow(add(id(fasting_glucose), one), sub(zero, one))), sqrt(id(triglycerides))))), add(sub(mul(-0.060249617831895794, add(sub(id(idF(hdl_cholesterol)), sub(log(one), sqrt(id(fasting_glucose)))), add(id(waist_circumference), add(id(waist_circumference), add(id(fasting_glucose), one))))), one), sqrt(0.42628688107486745))))"
NHANES_metabolic_score,lgo,base,5,68,65,0.4859171791437551,"add(sqrt(add(sqrt(add(div(sub(add(mul(add(-0.8077964036319457, zero), 0.5528645661836261), pow(zero, zero)), add(sqrt(sub(1.7211763990703752, one)), id(idF(fasting_glucose)))), sub(log(add(id(gender_std), mul(one, 0.5452056632833071))), add(pow(one, pow(-0.10318203507541251, zero)), zero))), id(fasting_glucose))), id(waist_circumference))), add(one, sub(sqrt(sqrt(sqrt(id(systolic_bp)))), sub(log(sub(zero, add(pow(one, pow(-0.10318203507541251, zero)), 0.5528645661836261))), sqrt(id(triglycerides))))))"
NHANES_metabolic_score,lgo,base,34,57,81,0.4299230372365571,"add(pow(pow(1.4180815782843736, pow(1.4180815782843736, pow(1.4180815782843736, pow(1.4180815782843736, pow(1.3227408954537019, one))))), sub(add(one, id(waist_circumference)), add(pow(sqrt(sub(pow(zero, one), id(gender_std))), sub(1.287727171636747, id(idF(waist_circumference)))), add(sqrt(mul(add(div(id(gender_std), pow(1.3227408954537019, one)), add(sub(-0.06260107646144006, zero), id(waist_circumference))), id(waist_circumference))), zero)))), add(one, sub(sqrt(sqrt(mul(sqrt(one), id(idF(idF(systolic_bp)))))), sub(log(add(sqrt(add(add(zero, one), id(hdl_cholesterol))), one)), sqrt(id(idF(idF(idF(idF(triglycerides))))))))))"
NHANES_metabolic_score,lgo,base,8,88,104,0.395303248935977,"add(sqrt(add(add(sqrt(add(add(add(id(idF(triglycerides)), id(triglycerides)), add(id(idF(triglycerides)), id(idF(triglycerides)))), add(pow(-1.2004072943283821, 0.19735366576550648), add(id(idF(triglycerides)), id(idF(gender_std)))))), sqrt(add(id(idF(systolic_bp)), add(id(idF(systolic_bp)), id(idF(systolic_bp)))))), add(id(idF(idF(waist_circumference))), sqrt(add(id(idF(waist_circumference)), add(id(idF(idF(gender_std))), pow(log(log(-0.07697292026594516)), id(idF(hdl_cholesterol))))))))), sqrt(sqrt(add(sqrt(add(add(add(id(idF(triglycerides)), id(triglycerides)), add(id(idF(triglycerides)), id(idF(triglycerides)))), add(pow(-1.2004072943283821, 0.19735366576550648), add(id(idF(triglycerides)), id(idF(fasting_glucose)))))), add(id(fasting_glucose), add(id(idF(idF(fasting_glucose))), one))))))"
NHANES_metabolic_score,lgo,lgo_hard,21,130,69,0.3356405575599464,"add(sqrt(sqrt(id(idF(idF(idF(idF(idF(systolic_bp)))))))), add(sqrt(add(id(waist_circumference), add(mul(log(sub(mul(0.062010733848112946, one), -1.210851456268304)), add(lgo_thre(id(idF(triglycerides)), 7716.943939957391, 0.39887340423441453), sub(one, one))), add(mul(log(id(idF(gender_std))), -0.2427844019789058), pow(lgo_thre(id(fasting_glucose), as_pos(-0.8026386504990374), 0.399680805949787), sub(one, id(gender_std))))))), add(lgo_thre(id(idF(fasting_glucose)), as_pos(add(add(one, one), div(one, zero))), as_thr(-0.4163881506892508)), sqrt(id(triglycerides)))))"
NHANES_metabolic_score,lgo,lgo_hard,1,100,101,0.2243486798396679,"add(sqrt(id(triglycerides)), add(add(lgo_thre(id(idF(fasting_glucose)), as_pos(sub(id(idF(triglycerides)), div(div(1.9844251457209283, -1.6705564417066212), sqrt(-1.3572707179367058)))), -0.3852224033154265), pow(lgo_thre(id(idF(idF(gender_std))), as_pos(zero), 1.2763389053393148), add(lgo_thre(id(idF(idF(idF(hdl_cholesterol)))), 3.1362557152655124, -0.4406497087004496), lgo_thre(id(idF(idF(idF(hdl_cholesterol)))), 3.1362557152655124, -0.3852224033154265)))), add(lgo_thre(div(id(waist_circumference), lgo_thre(id(idF(idF(gender_std))), as_pos(add(0.1474490374522271, one)), 1.2763389053393148)), 3.1362557152655124, as_thr(-1.7065365680445388)), sqrt(pow(mul(sqrt(lgo_thre(zero, as_pos(add(0.1474490374522271, one)), 1.4186790370117501)), id(idF(systolic_bp))), lgo_thre(lgo_thre(pow(sub(lgo_thre(zero, 0.3122955066120131, 1.2763389053393148), id(systolic_bp)), sqrt(div(-1.0204627716774348, one))), 3.1362557152655124, -0.3852224033154265), as_pos(add(0.1474490374522271, one)), 1.4186790370117501))))))"
NHANES_metabolic_score,lgo,lgo_soft,34,256,76,0.6981417021282454,"lgo_or2(gate_expr(add(1.390728379140619, lgo_or2(lgo_and2(sqrt(id(triglycerides)), 1.3756635782048707, 5.850297268305761, as_thr(lgo_and2(gate_expr(div(log(zero), div(-0.39811189807938047, 0.009877961322587699)), 5.301496583403966, as_thr(sqrt(-0.08523007020561217))), add(add(1.25104487897034, 1.3756635782048707), 1.3756635782048707), 3.4448432444271515, as_thr(1.3756635782048707)))), sqrt(sub(one, lgo_and3(-0.41401213233241885, gate_expr(add(add(1.3756635782048707, 1.3756635782048707), 1.3756635782048707), 4.590541846823701, -3.194135948605223), id(idF(idF(systolic_bp))), 3.3031415154765775, as_thr(-0.9043391983936371)))), 5.356421958614333, 0.5826150126663528)), 3.8379168853864525, -3.194135948605223), id(idF(idF(idF(idF(idF(idF(idF(waist_circumference)))))))), as_pos(div(sub(zero, 0.5128497147770179), sqrt(id(triglycerides)))), as_thr(id(triglycerides)))"
NHANES_metabolic_score,lgo,lgo_soft,5,264,79,0.5944430900507893,"add(sqrt(sqrt(div(lgo_or2(mul(lgo_or2(1.1575202569345333, mul(zero, one), 14.772876913809156, -0.20434161836738385), add(gate_expr(id(triglycerides), 8.088293301568687, as_thr(div(-1.0885110152090731, 2.15389860901281))), lgo_or2(1.1575202569345333, id(systolic_bp), as_pos(div(-1.6192221208415445, zero)), 0.099318069366544))), id(idF(idF(idF(waist_circumference)))), as_pos(2.15389860901281), 1.4898809938102702), lgo_and3(add(div(sqrt(pow(0.9203747716235637, zero)), add(lgo_or2(zero, 2.1247817139958807, 8.088293301568687, -0.49650778450066746), add(one, -0.7513165397943125))), gate_expr(sub(sqrt(one), id(fasting_glucose)), 14.772876913809156, 1.4053118687001185)), -1.0466261523583047, -0.8263371288010134, as_pos(-0.5125845342279157), -0.36720428333344646)))), add(-0.06762760296313826, add(sub(sub(-0.20584532918245305, zero), mul(zero, -0.5045857079282173)), one)))"
NHANES_metabolic_score,lgo,lgo_soft,3,244,85,0.4954414737827876,"add(add(add(sqrt(sqrt(add(lgo(id(idF(idF(systolic_bp))), as_pos(mul(-1.4590266275308015, -1.846010143360718)), 0.13310123105794172), gate_expr(sub(id(fasting_glucose), -0.44675416043848837), as_pos(div(0.8772373218572542, zero)), -0.3936569576560882)))), log(-1.341049170594787)), lgo_or2(lgo_or2(sqrt(sqrt(id(idF(waist_circumference)))), sub(lgo_and2(id(idF(idF(triglycerides))), lgo_and2(id(triglycerides), lgo_and2(id(triglycerides), -1.4381703261071428, 0.29908536766715926, -0.3936569576560882), 0.3210586822016207, 0.13310123105794172), 0.25813207588745596, 0.13510976527680152), gate_expr(sub(-0.21519742405231884, id(idF(waist_circumference))), 5.998276791710722, 0.13310123105794172)), as_pos(mul(-1.4590266275308015, log(zero))), -0.9761294583201358), add(0.05762885271338741, id(idF(idF(triglycerides)))), 0.20309920534283146, as_thr(add(lgo_or2(one, one, 0.25813207588745596, -0.9761294583201358), sqrt(zero))))), one)"
NHANES_metabolic_score,lgo,lgo_soft,2,220,96,0.4527998967334501,"lgo_or2(gate_expr(add(1.3756635782048707, lgo_or2(one, 1.142207497140543, 5.607569520831471, as_thr(one))), 2.334961236777212, as_thr(one)), sub(sub(pow(gate_expr(id(triglycerides), as_pos(lgo_or2(lgo_and2(id(systolic_bp), lgo_and2(zero, -0.648003644213762, 2.334961236777212, 1.2046883865033062), as_pos(one), -1.4853127224278095), div(div(-2.7053835596492153, zero), div(zero, 0.10702874271177955)), as_pos(pow(one, 0.28642164577203)), as_thr(one))), as_thr(add(log(sqrt(zero)), log(gate_expr(zero, 0.6622872821464822, -0.5451206850868714))))), gate_expr(one, 0.25258981590127333, as_thr(lgo(sqrt(sqrt(sub(0.3642510379330915, one))), 0.29884933071736847, -0.5451206850868714)))), sqrt(sqrt(sqrt(sqrt(sqrt(sub(-0.4023304702818481, id(fasting_glucose)))))))), sqrt(sub(sqrt(sqrt(sub(lgo_and2(one, 0.31078550680032613, as_pos(pow(one, 0.28642164577203)), -1.4853127224278095), id(idF(systolic_bp))))), id(waist_circumference)))), 2.334961236777212, -0.7321268044254857)"
