dataset,method,experiment,seed,expr_id,expression,complexity,depth,expr_length,num_gates,num_AND,num_OR,num_soft,num_pair,num_gate_expr
UCI_CTG_NSPbin,lgo,base,1,0,"sqrt(sqrt(add(zero, pow(id(NSP), sqrt(-0.7413843128572858)))))",9,5,62,0,0,0,0,0,0
UCI_CTG_NSPbin,lgo,base,1,1,"sqrt(mul(sub(pow(zero, -0.37630815672208845), sub(zero, one)), pow(sqrt(id(idF(idF(NSP)))), zero)))",16,7,99,0,0,0,0,0,0
UCI_CTG_NSPbin,lgo,base,1,2,"sqrt(add(pow(id(NSP), sqrt(-0.7413843128572858)), sqrt(mul(add(zero, zero), sqrt(zero)))))",14,5,90,0,0,0,0,0,0
UCI_CTG_NSPbin,lgo,base,1,3,"sqrt(sqrt(mul(sub(pow(zero, -0.37630815672208845), sub(zero, one)), pow(sqrt(id(idF(NSP))), zero))))",16,7,100,0,0,0,0,0,0
UCI_CTG_NSPbin,lgo,base,1,4,"add(sqrt(zero), sqrt(sqrt(sqrt(sqrt(pow(id(NSP), sqrt(-0.7413843128572858)))))))",12,7,80,0,0,0,0,0,0
UCI_CTG_NSPbin,lgo,base,1,5,"sqrt(add(mul(one, zero), sqrt(sqrt(mul(sub(pow(zero, -0.37630815672208845), sub(zero, one)), pow(id(idF(NSP)), add(zero, zero)))))))",22,8,132,0,0,0,0,0,0
UCI_CTG_NSPbin,lgo,base,1,6,"sqrt(mul(sub(pow(zero, mul(sqrt(zero), log(mul(sqrt(-0.7962485712115029), sub(-1.2591480949990894, 1.9191607451537789))))), sub(zero, one)), pow(id(idF(idF(NSP))), zero)))",24,8,171,0,0,0,0,0,0
UCI_CTG_NSPbin,lgo,base,1,7,"sqrt(mul(sub(pow(zero, mul(sqrt(zero), log(mul(sqrt(-0.7962485712115029), sub(-1.2591480949990894, 1.9191607451537789))))), sub(zero, one)), pow(id(NSP), sqrt(zero))))",23,8,167,0,0,0,0,0,0
UCI_CTG_NSPbin,lgo,base,1,8,"sqrt(mul(sub(log(sqrt(one)), sub(zero, one)), pow(id(NSP), sub(zero, mul(sqrt(zero), log(mul(sqrt(-0.7962485712115029), sub(-1.2591480949990894, 1.9191607451537789))))))))",24,8,171,0,0,0,0,0,0
UCI_CTG_NSPbin,lgo,base,1,9,"sqrt(add(pow(id(idF(NSP)), mul(sqrt(zero), log(0.003952749513052885))), sqrt(pow(log(mul(sqrt(log(-0.938351539483584)), pow(-0.7962485712115029, sub(one, zero)))), mul(pow(id(idF(MeanHist)), pow(sqrt(zero), div(0.3699707014259643, zero))), log(sqrt(div(one, 1.0423693769104052))))))))",39,8,284,0,0,0,0,0,0
UCI_CTG_NSPbin,lgo,base,13,10,"sqrt(sqrt(add(zero, sqrt(sqrt(div(sqrt(id(idF(NSP))), sqrt(id(idF(NSP)))))))))",15,9,78,0,0,0,0,0,0
UCI_CTG_NSPbin,lgo,base,13,11,"sqrt(add(add(zero, zero), sqrt(sqrt(sqrt(sqrt(div(sqrt(id(idF(NSP))), sqrt(id(idF(NSP))))))))))",18,10,95,0,0,0,0,0,0
UCI_CTG_NSPbin,lgo,base,13,12,"sqrt(add(mul(id(idF(ALTV)), zero), sqrt(sqrt(sqrt(sqrt(div(sqrt(id(idF(NSP))), sqrt(id(NSP)))))))))",19,10,99,0,0,0,0,0,0
UCI_CTG_NSPbin,lgo,base,13,13,"sqrt(add(mul(add(0.6210837097362776, zero), zero), sqrt(sqrt(sqrt(sqrt(div(sqrt(id(idF(NSP))), sqrt(id(idF(NSP))))))))))",20,10,120,0,0,0,0,0,0
UCI_CTG_NSPbin,lgo,base,13,14,"sqrt(add(mul(pow(zero, id(NSP)), zero), sqrt(sqrt(sqrt(sqrt(div(sqrt(id(idF(NSP))), sqrt(id(idF(NSP))))))))))",21,10,109,0,0,0,0,0,0
UCI_CTG_NSPbin,lgo,base,13,15,"sqrt(add(mul(sqrt(sqrt(id(idF(NSP)))), zero), sqrt(sqrt(sqrt(sqrt(div(sqrt(id(idF(NSP))), sqrt(id(idF(NSP))))))))))",22,10,115,0,0,0,0,0,0
