dataset,method,experiment,n_models,complexity_median,complexity_q1,complexity_q3,complexity_mean,complexity_std,gates_median,gates_q1,gates_q3,depth_median
UCI_CTG_NSPbin,lgo,base,100,15.0,12.0,21.0,16.72,7.222411807923466,0.0,0.0,0.0,7.0
UCI_CTG_NSPbin,lgo,lgo_hard,100,12.5,10.0,16.0,15.19,8.487298888588903,1.0,0.0,1.0,5.0
UCI_CTG_NSPbin,lgo,lgo_soft,100,146.5,131.0,176.25,162.33,51.28452126336096,19.0,17.0,22.0,10.0
UCI_CTG_NSPbin,lgo_base,base,100,15.0,12.0,21.0,16.72,7.222411807923466,0.0,0.0,0.0,7.0
UCI_CTG_NSPbin,lgo_lgo_hard,lgo_hard,100,12.5,10.0,16.0,15.19,8.487298888588903,1.0,0.0,1.0,5.0
UCI_CTG_NSPbin,lgo_lgo_soft,lgo_soft,100,146.5,131.0,176.25,162.33,51.28452126336096,19.0,17.0,22.0,10.0
UCI_CTG_NSPbin,operon,base,10,24.0,20.5,28.0,24.0,4.83045891539648,0.0,0.0,0.0,10.0
UCI_CTG_NSPbin,operon_base,base,10,24.0,20.5,28.0,24.0,4.83045891539648,0.0,0.0,0.0,10.0
UCI_CTG_NSPbin,pstree,pstree,10,1.0,1.0,1.75,2.1,2.1317702607092643,0.0,0.0,0.0,0.0
UCI_CTG_NSPbin,pstree_base,pstree,10,1.0,1.0,1.75,2.1,2.1317702607092643,0.0,0.0,0.0,0.0
UCI_CTG_NSPbin,pysr,base,81,5.0,3.0,6.0,4.962962962962963,2.3687784005919825,0.0,0.0,0.0,1.0
UCI_CTG_NSPbin,pysr_base,base,81,5.0,3.0,6.0,4.962962962962963,2.3687784005919825,0.0,0.0,0.0,1.0
UCI_CTG_NSPbin,rils_rols,rils_rols,10,27.0,26.25,28.75,26.8,3.190262963734772,0.0,0.0,0.0,5.0
UCI_CTG_NSPbin,rils_rols_base,rils_rols,10,27.0,26.25,28.75,26.8,3.190262963734772,0.0,0.0,0.0,5.0
