dataset,method,experiment,seed,expr,complexity,cv_loss,test_loss,cv_r2,test_r2
UCI_CTG_NSPbin,lgo,base,1,"sqrt(sqrt(add(zero, pow(id(NSP), sqrt(-0.7413843128572858)))))",7.5,0.0,0.0,1.0,1.0
UCI_CTG_NSPbin,lgo,lgo_soft,1,"sub(gate_expr(lgo(sqrt(lgo(sqrt(lgo(sqrt(id(NSP)), 1.3801198573841724, as_thr(-1.0775839399490952))), as_pos(mul(div(0.1627312167179585, zero), pow(one, zero))), as_thr(-1.0775839399490952))), as_pos(mul(div(0.1627312167179585, zero), pow(one, zero))), -0.9915970574816001), as_pos(mul(div(0.1627312167179585, zero), pow(div(0.1627312167179585, zero), zero))), as_thr(-1.0775839399490952)), lgo_or2(lgo_and3(0.04561505494712012, one, -0.5768409397340966, 1.3801198573841724, as_thr(div(lgo_and2(id(Tendency), log(0.6280934446703574), 0.2536969722163203, 1.1097778736913597), lgo_or2(-0.5198482685034761, -0.624767148091045, 2.640995061019237, 0.8778602623391545)))), lgo(lgo(sqrt(lgo(sqrt(id(NSP)), as_pos(mul(div(div(0.2853817326289653, one), zero), pow(one, zero))), as_thr(div(lgo_and2(id(NSP), log(0.6280934446703574), 0.2536969722163203, as_thr(-1.0775839399490952)), lgo_or2(-0.5198482685034761, -0.624767148091045, 2.640995061019237, 0.9822810712062537))))), as_pos(mul(div(0.1627312167179585, zero), pow(one, zero))), as_thr(div(lgo_and2(id(NSP), log(0.6280934446703574), 0.2536969722163203, -0.9879493357081401), lgo_or2(-0.5198482685034761, -0.624767148091045, 2.640995061019237, 1.3706877756397085)))), 2.9303980463923582, as_thr(sub(pow(sub(id(NSP), lgo_or2(0.2747662013640924, 0.1643437551543973, 2.640995061019237, -0.6284270195446027)), mul(pow(one, zero), lgo_or2(zero, one, 0.2536969722163203, -0.6838687499664851))), lgo_and2(id(NSP), one, 0.25345472360625193, 0.8461113584854298)))), 1.3801198573841724, as_thr(div(lgo_or2(one, -1.4205161478634976, 5.54294486098406, -1.2258090789434246), lgo_and3(0.04561505494712012, one, -0.5768409397340966, 2.640995061019237, 2.17239125918483)))))",120.1,3.059773030014182e-09,0.0009193729204325584,0.9989926252191352,0.9946538028675846
UCI_CTG_NSPbin,lgo,lgo_hard,1,"lgo_thre(div(id(idF(NSP)), zero), 4.169328327701092, 0.2359098727443642)",3.5,5.908599397985776e-53,5.975725728816206e-53,1.0,1.0
UCI_CTG_NSPbin,pysr,base,1,NSP*(2.4999993 - 0.4999998*NSP) - 1.9999995,5.25,5.088235274067075e-15,,0.9999999999999719,
UCI_CTG_NSPbin,operon,base,1,(0.999644 + ((-0.000443) * ((((-2.032569) + (-0.048208)) + ((((0.323311 / (0.887919 * NSP)) - (-0.468463)) / ((0.023014 - ((-0.989268) * NSP)) - sqrt((1.176515 * NSP)))) / (0.887919 * NSP))) / ((0.023014 - ((-0.989268) * NSP)) - (0.323311 / (0.317298 * NSP)))))),34.25,6.832899697156574e-07,,0.9999959772320544,
UCI_CTG_NSPbin,lgo,base,2,"sqrt(sqrt(add(zero, sqrt(sqrt(div(sqrt(id(idF(NSP))), sqrt(id(idF(NSP)))))))))",11.5,0.0,0.0,1.0,1.0
UCI_CTG_NSPbin,lgo,lgo_soft,2,"sub(gate_expr(lgo(sqrt(sqrt(sqrt(sqrt(sqrt(sqrt(id(NSP))))))), as_pos(mul(div(0.1627312167179585, zero), add(1.01549952005217, sqrt(lgo_and2(one, add(-0.07547811628354079, zero), as_pos(1.403578886927733), as_thr(one)))))), as_thr(zero)), as_pos(mul(lgo(1.5555918510863356, as_pos(one), 0.0781712999930417), 1.403578886927733)), as_thr(log(lgo(zero, 3.5079612378442304, -0.4112144488731633)))), lgo_or2(lgo_and3(pow(div(lgo_and3(sqrt(one), lgo(one, 2.0467854889222687, as_thr(one)), log(-0.39059707637761654), as_pos(-0.7402006261750557), as_thr(zero)), sub(log(zero), add(zero, zero))), gate_expr(lgo_or2(lgo_or2(zero, -0.4953993570599943, 4.23018106970769, 0.22374241097668418), div(zero, one), as_pos(one), as_thr(one)), as_pos(lgo_or2(one, 0.04964097919121643, 1.1195922573873112, -0.514689161757573)), as_thr(sub(0.6172968744666038, 1.8587710353419713)))), lgo_and3(sub(lgo_or2(one, id(NSP), 4.23018106970769, as_thr(one)), log(lgo(one, 0.41231166559145294, as_thr(zero)))), pow(lgo_or2(lgo_and2(1.0941426955695532, one, 3.5079612378442304, 1.2757815526117335), div(-0.667997501868778, 0.23320766891616262), 6.586495100250719, as_thr(sqrt(lgo_and2(zero, zero, 3.1547973067292303, -0.4244105705301357)))), log(id(idF(NSP)))), id(NSP), as_pos(lgo_and3(sub(one, -1.8848716001364176), div(-1.5452605635631018, zero), pow(zero, 0.9916958207215131), as_pos(-0.45198823916360936), as_thr(0.5035913112674415))), 1.2757815526117335), mul(lgo(-1.4708514986441066, 2.9980685012531723, -0.5502875487272229), add(zero, one)), as_pos(lgo(log(lgo_and2(zero, one, 3.7044265307367046, -0.070499692499018)), as_pos(div(log(zero), zero)), as_thr(zero))), as_thr(one)), lgo(lgo_and2(lgo_or2(-0.8727189026892772, lgo_or2(lgo(add(gate_expr(pow(0.38912791387909573, one), as_pos(0.17493142039288861), as_thr(one)), sqrt(lgo_and2(zero, one, 6.204917122526458, 0.8461895078850559))), as_pos(pow(log(zero), add(0.13899034544840727, zero))), as_thr(lgo(mul(zero, zero), as_pos(-1.5219744750295188), as_thr(zero)))), lgo_and2(sub(log(add(one, 0.12765091990554167)), id(idF(MeanHist))), sub(id(idF(MSTV)), lgo_and3(lgo_and2(zero, -0.23228946231309566, 0.2620746699968281, -1.0775753615224966), gate_expr(one, 0.28340690440407157, -0.4591904640816074), lgo_or2(one, 0.03878588245939632, 0.7985078481102587, 0.43660008071040074), as_pos(zero), as_thr(one))), as_pos(one), as_thr(lgo_and2(lgo_or2(one, zero, 0.25291565790121484, -0.4900115306056884), add(one, zero), as_pos(one), as_thr(zero)))), as_pos(sub(log(add(one, zero)), gate_expr(pow(-0.4747197065259003, -0.4779338218073662), as_pos(zero), as_thr(-1.7673355440219738)))), -0.070499692499018), as_pos(sub(0.6172968744666038, 1.8587710353419713)), -0.9214107548878624), zero, as_pos(mul(div(0.1627312167179585, zero), add(1.01549952005217, -0.9612215225591039))), -1.1466477312512127), as_pos(1.403578886927733), -0.070499692499018), as_pos(lgo_or2(mul(one, log(sqrt(mul(zero, zero)))), lgo_or2(-0.5964558791130512, gate_expr(id(AC), as_pos(zero), as_thr(log(zero))), 0.2964940929431321, 0.2404105821284997), 4.23018106970769, as_thr(one))), -0.070499692499018))",243.0,2.118612548396884e-09,2.1533474905327874e-09,0.9999999877742127,0.9999999874781822
UCI_CTG_NSPbin,lgo,lgo_hard,2,"lgo_thre(div(id(idF(NSP)), zero), 1.772244804184816, 0.998556239051382)",3.5,6.043910834580869e-53,5.975725728816206e-53,1.0,1.0
UCI_CTG_NSPbin,pysr,base,2,((1.0 - NSP)*(0.5000001*NSP - 2.00000024))**(1/4),9.25,8.705883015134801e-17,,0.9999999999999994,
UCI_CTG_NSPbin,operon,base,2,(1.000133 + (0.179871 * ((0.323311 / (1.772454 * NSP)) * ((((((3.141593 / (0.887919 * NSP)) / (1.196607 * NSP)) / (0.887919 * NSP)) / (1.196607 * NSP)) + (-0.132297)) * (((((0.323311 / (0.887919 * NSP)) / ((-0.033562) * NSP)) / (1.196607 * NSP)) / (0.887919 * NSP)) / (0.887919 * NSP)))))),36.5,4.445775701596789e-09,,0.999999973171486,
