phase,duration_s,method,seed,split
fit,11.570389032363892,lgo,1,0
fit,30.175888776779175,lgo,1,0
fit,12.152921676635742,lgo,1,0
fit,12.269463777542114,pysr,1,0
fit,0.3503763675689697,operon,1,0
fit,11.746628761291504,lgo,2,0
fit,36.78701734542847,lgo,2,0
fit,12.299060344696045,lgo,2,0
fit,4.926830768585205,pysr,2,0
fit,0.30672192573547363,operon,2,0
fit,11.902655839920044,lgo,3,0
fit,22.668574571609497,lgo,3,0
fit,13.38656210899353,lgo,3,0
fit,4.399557113647461,pysr,3,0
fit,0.30171823501586914,operon,3,0
fit,9.465249061584473,lgo,5,0
fit,23.825038194656372,lgo,5,0
fit,11.846145629882812,lgo,5,0
fit,4.397512674331665,pysr,5,0
fit,0.28146862983703613,operon,5,0
fit,11.235425472259521,lgo,8,0
fit,22.84737229347229,lgo,8,0
fit,13.003973007202148,lgo,8,0
fit,4.958718299865723,pysr,8,0
fit,0.2898705005645752,operon,8,0
fit,11.781977891921997,lgo,13,0
fit,26.23427391052246,lgo,13,0
fit,12.401333093643188,lgo,13,0
fit,4.183758020401001,pysr,13,0
fit,0.3235280513763428,operon,13,0
fit,12.265781164169312,lgo,21,0
fit,27.461376905441284,lgo,21,0
fit,11.47729229927063,lgo,21,0
fit,3.9440553188323975,pysr,21,0
fit,0.33266592025756836,operon,21,0
fit,10.56231164932251,lgo,34,0
fit,45.270264863967896,lgo,34,0
fit,11.82796573638916,lgo,34,0
fit,4.612537622451782,pysr,34,0
fit,0.28752899169921875,operon,34,0
fit,9.02494740486145,lgo,55,0
fit,35.40192794799805,lgo,55,0
fit,12.89325475692749,lgo,55,0
fit,4.777968406677246,pysr,55,0
fit,0.2797837257385254,operon,55,0
fit,12.18538522720337,lgo,89,0
fit,24.837342262268066,lgo,89,0
fit,16.060576677322388,lgo,89,0
fit,4.27933931350708,pysr,89,0
fit,0.2845926284790039,operon,89,0
fit,151.2081356048584,pstree,1,0
fit,153.90036630630493,pstree,2,0
fit,150.06549644470215,pstree,3,0
fit,154.23610758781433,pstree,5,0
fit,174.41673636436462,pstree,8,0
fit,151.8856782913208,pstree,13,0
fit,150.06386137008667,pstree,21,0
fit,149.68831181526184,pstree,34,0
fit,150.65206909179688,pstree,55,0
fit,151.37251567840576,pstree,89,0
fit,33.351471185684204,rils_rols,1,0
fit,37.536991119384766,rils_rols,2,0
fit,46.8752224445343,rils_rols,3,0
fit,39.78076148033142,rils_rols,5,0
fit,43.71920871734619,rils_rols,8,0
fit,47.15819311141968,rils_rols,13,0
fit,43.29778003692627,rils_rols,21,0
fit,43.35008239746094,rils_rols,34,0
fit,44.26409125328064,rils_rols,55,0
fit,47.05676770210266,rils_rols,89,0
