dataset,method,experiment,n_models,complexity_median,complexity_q1,complexity_q3,complexity_mean,complexity_std,gates_median,gates_q1,gates_q3,depth_median
UCI_Heart_Cleveland_num,lgo,base,100,57.0,51.75,71.0,59.36,12.2627134604924,0.0,0.0,0.0,10.0
UCI_Heart_Cleveland_num,lgo,lgo_hard,100,52.5,35.0,69.0,55.44,21.311219599264625,1.0,0.0,2.0,10.0
UCI_Heart_Cleveland_num,lgo,lgo_soft,100,96.0,77.5,107.0,96.62,33.19205819579025,10.0,8.0,15.0,10.0
UCI_Heart_Cleveland_num,lgo_base,base,100,57.0,51.75,71.0,59.36,12.2627134604924,0.0,0.0,0.0,10.0
UCI_Heart_Cleveland_num,lgo_lgo_hard,lgo_hard,100,52.5,35.0,69.0,55.44,21.311219599264625,1.0,0.0,2.0,10.0
UCI_Heart_Cleveland_num,lgo_lgo_soft,lgo_soft,100,96.0,77.5,107.0,96.62,33.19205819579025,10.0,8.0,15.0,10.0
UCI_Heart_Cleveland_num,operon,base,10,31.0,27.25,32.0,29.7,2.907843798341919,0.0,0.0,0.0,10.5
UCI_Heart_Cleveland_num,operon_base,base,10,31.0,27.25,32.0,29.7,2.907843798341919,0.0,0.0,0.0,10.5
UCI_Heart_Cleveland_num,pstree,pstree,10,1.0,1.0,2.5,1.8,1.3984117975602022,0.0,0.0,0.0,0.0
UCI_Heart_Cleveland_num,pstree_base,pstree,10,1.0,1.0,2.5,1.8,1.3984117975602022,0.0,0.0,0.0,0.0
UCI_Heart_Cleveland_num,pysr,base,100,7.0,5.0,9.0,7.24,2.4000000000000004,0.0,0.0,0.0,2.0
UCI_Heart_Cleveland_num,pysr_base,base,100,7.0,5.0,9.0,7.24,2.4000000000000004,0.0,0.0,0.0,2.0
UCI_Heart_Cleveland_num,rils_rols,rils_rols,10,26.5,24.0,27.0,25.8,1.9321835661585915,0.0,0.0,0.0,3.5
UCI_Heart_Cleveland_num,rils_rols_base,rils_rols,10,26.5,24.0,27.0,25.8,1.9321835661585915,0.0,0.0,0.0,3.5
