dataset,task,method,experiment,seed,split,metric,value
UCI_Heart_Cleveland_num,regression,lgo,base,1,0,RMSE,0.9032205075729818
UCI_Heart_Cleveland_num,regression,lgo,base,1,0,MAE,0.47002529288370765
UCI_Heart_Cleveland_num,regression,lgo,base,1,0,R2,0.45284446492379804
UCI_Heart_Cleveland_num,regression,lgo,lgo_soft,1,0,RMSE,0.8625200106066568
UCI_Heart_Cleveland_num,regression,lgo,lgo_soft,1,0,MAE,0.46998735229366473
UCI_Heart_Cleveland_num,regression,lgo,lgo_soft,1,0,R2,0.5010447728332387
UCI_Heart_Cleveland_num,regression,lgo,lgo_hard,1,0,RMSE,0.9450248240160103
UCI_Heart_Cleveland_num,regression,lgo,lgo_hard,1,0,MAE,0.49363771770403275
UCI_Heart_Cleveland_num,regression,lgo,lgo_hard,1,0,R2,0.40102368296644697
UCI_Heart_Cleveland_num,regression,pysr,base,1,0,RMSE,0.9878720355605121
UCI_Heart_Cleveland_num,regression,pysr,base,1,0,MAE,0.6075897289054202
UCI_Heart_Cleveland_num,regression,pysr,base,1,0,R2,0.3454774691224535
UCI_Heart_Cleveland_num,regression,operon,base,1,0,RMSE,0.9305174421608953
UCI_Heart_Cleveland_num,regression,operon,base,1,0,MAE,0.5434953647127377
UCI_Heart_Cleveland_num,regression,operon,base,1,0,R2,0.4192726848366256
UCI_Heart_Cleveland_num,regression,lgo,base,2,0,RMSE,0.9206199804085937
UCI_Heart_Cleveland_num,regression,lgo,base,2,0,MAE,0.6201141173484397
UCI_Heart_Cleveland_num,regression,lgo,base,2,0,R2,0.5472723782763854
UCI_Heart_Cleveland_num,regression,lgo,lgo_soft,2,0,RMSE,1.0209070383500185
UCI_Heart_Cleveland_num,regression,lgo,lgo_soft,2,0,MAE,0.723304911253645
UCI_Heart_Cleveland_num,regression,lgo,lgo_soft,2,0,R2,0.44326490893990134
UCI_Heart_Cleveland_num,regression,lgo,lgo_hard,2,0,RMSE,0.9470098002158935
UCI_Heart_Cleveland_num,regression,lgo,lgo_hard,2,0,MAE,0.6035045364099694
UCI_Heart_Cleveland_num,regression,lgo,lgo_hard,2,0,R2,0.520945254507019
UCI_Heart_Cleveland_num,regression,pysr,base,2,0,RMSE,0.9872891100275539
UCI_Heart_Cleveland_num,regression,pysr,base,2,0,MAE,0.7034703785663919
UCI_Heart_Cleveland_num,regression,pysr,base,2,0,R2,0.4793271968698455
