dataset,method,experiment,seed,expr_id,complexity,loss,expression
UCI_Heart_Cleveland_num,lgo,base,34,51,39,0.6197696200072572,"mul(sqrt(sqrt(div(1.2806366324408631, one))), sqrt(add(add(add(id(cp), add(id(oldpeak), div(sqrt(sqrt(mul(one, 1.2440118035229408))), 1.2440118035229408))), id(idF(ca))), mul(id(idF(thal)), sqrt(sqrt(add(id(oldpeak), sqrt(add(id(oldpeak), 1.1721614244897514)))))))))"
UCI_Heart_Cleveland_num,lgo,base,5,63,40,0.5377277217655476,"sqrt(add(add(id(ca), add(id(cp), pow(add(id(thal), sqrt(add(id(ca), id(restecg)))), mul(sqrt(pow(id(thal), pow(id(restecg), id(fbs)))), sqrt(add(pow(id(thal), id(restecg)), sqrt(id(fbs)))))))), id(oldpeak)))"
UCI_Heart_Cleveland_num,lgo,base,1,7,68,0.5347005439677426,"sqrt(add(add(id(idF(idF(ca))), add(sub(mul(add(sqrt(id(idF(thalach))), id(idF(idF(slope)))), add(sqrt(sqrt(id(thal))), zero)), id(idF(thalach))), add(add(id(thal), id(idF(idF(idF(oldpeak))))), id(idF(idF(cp)))))), add(sqrt(sqrt(id(idF(idF(cp))))), add(div(mul(mul(one, id(sex)), add(sqrt(id(thal)), sqrt(id(sex)))), sub(zero, id(thal))), id(sex)))))"
UCI_Heart_Cleveland_num,lgo,base,89,98,73,0.5201175653171092,"add(sqrt(add(add(pow(id(idF(cp)), id(age)), id(idF(oldpeak))), add(id(idF(idF(idF(ca)))), add(add(id(idF(idF(thal))), id(idF(idF(ca)))), div(div(sqrt(one), 1.6071482833148967), one))))), mul(sub(pow(sqrt(add(id(idF(oldpeak)), add(id(oldpeak), id(idF(idF(thal)))))), 1.6071482833148967), add(id(idF(idF(idF(ca)))), id(ca))), sub(0.039112807828269626, mul(sub(0.039112807828269626, mul(0.039112807828269626, id(idF(idF(restecg))))), sub(zero, one)))))"
UCI_Heart_Cleveland_num,lgo,lgo_hard,3,144,28,0.710896087386952,"sqrt(add(add(add(sqrt(add(id(ca), pow(sqrt(mul(0.03257725937059562, id(cp))), div(id(cp), pow(-0.8184413343298161, id(slope)))))), id(oldpeak)), id(thal)), id(idF(ca))))"
UCI_Heart_Cleveland_num,lgo,lgo_hard,2,125,31,0.6004484200157758,"sqrt(add(add(div(sqrt(add(id(thal), add(lgo_thre(id(trestbps), 13.41667295081885, 1.7309726405781047), add(lgo_thre(id(exang), 12.904955606365688, 1.3773310870336235), id(slope))))), sqrt(0.6662833988990412)), id(oldpeak)), add(id(ca), id(cp))))"
UCI_Heart_Cleveland_num,lgo,lgo_hard,5,162,41,0.4874330728035547,"sqrt(add(add(id(cp), id(idF(thal))), add(add(sqrt(add(add(id(exang), add(id(slope), id(ca))), add(add(add(id(exang), id(restecg)), sub(0.7054486655710946, one)), add(id(idF(age)), id(idF(oldpeak)))))), id(oldpeak)), id(ca))))"
UCI_Heart_Cleveland_num,lgo,lgo_soft,2,220,41,0.6651190528460407,"sqrt(add(add(pow(lgo_or2(0.9767767833275062, one, as_pos(lgo(id(ca), as_pos(0.09044956180199268), -0.510216177999133)), -0.06295791376861759), id(oldpeak)), pow(id(ca), lgo(lgo_or2(lgo(id(idF(exang)), 2.4262741766009928, -0.36882656340549047), id(chol), as_pos(1.1516268223268027), as_thr(-2.4341040493682957)), as_pos(mul(one, 1.9571530229400955)), 0.3981795494882416))), id(thal)))"
UCI_Heart_Cleveland_num,lgo,lgo_soft,1,201,58,0.5734375761278072,"sqrt(add(add(id(ca), add(id(oldpeak), lgo(id(cp), as_pos(lgo_or2(sub(add(one, zero), sub(-0.6705626688616826, -0.21630955404009466)), div(mul(-0.15123287071872538, sqrt(1.2889662777112358)), id(cp)), as_pos(add(0.0764422496509264, zero)), -0.19282697914588992)), 2.837616365598703))), add(id(cp), add(sqrt(add(add(id(idF(idF(ca))), add(id(sex), pow(id(slope), -1.3788323692329096))), id(idF(idF(cp))))), id(idF(thal))))))"
UCI_Heart_Cleveland_num,lgo,lgo_soft,89,294,93,0.4584617182425628,"sqrt(lgo_or2(lgo_or2(add(lgo_or2(pow(0.5000459419154132, lgo_or2(mul(id(ca), sub(zero, 0.7009059999446063)), id(idF(thalach)), 2.998148576848319, 0.5348463666382266)), id(idF(idF(cp))), 2.998148576848319, 0.8493500441484989), div(0.2567559936223038, id(idF(exang)))), lgo_or2(add(lgo_or2(id(ca), id(thal), 0.3732791928835365, as_thr(sub(lgo_or2(zero, div(one, zero), 2.998148576848319, 0.5348463666382266), lgo(sqrt(one), 2.998148576848319, as_thr(zero))))), div(0.2567559936223038, id(slope))), id(idF(idF(idF(oldpeak)))), as_pos(sub(lgo_or2(zero, div(one, zero), 2.998148576848319, 0.26165348331595456), lgo(sqrt(one), 2.998148576848319, 0.26165348331595456))), 0.9194221228907352), 2.998148576848319, 0.9194221228907352), lgo_or2(id(idF(idF(ca))), id(idF(idF(idF(thal)))), 0.25501163578952635, 0.5348463666382266), 2.3294568256295283, 0.5348463666382266))"
