phase,duration_s,method,seed,split
fit,7.56575083732605,lgo,1,0
fit,8.881422758102417,lgo,1,0
fit,8.9914870262146,lgo,1,0
fit,11.46892237663269,pysr,1,0
fit,0.13442349433898926,operon,1,0
fit,9.090097188949585,lgo,2,0
fit,11.86577320098877,lgo,2,0
fit,7.237666368484497,lgo,2,0
fit,3.902156352996826,pysr,2,0
fit,0.16146445274353027,operon,2,0
fit,7.274630546569824,lgo,3,0
fit,14.491719007492065,lgo,3,0
fit,6.916332006454468,lgo,3,0
fit,3.6454648971557617,pysr,3,0
fit,0.16132187843322754,operon,3,0
fit,7.220867156982422,lgo,5,0
fit,17.41617488861084,lgo,5,0
fit,6.805453538894653,lgo,5,0
fit,3.497832775115967,pysr,5,0
fit,0.15900421142578125,operon,5,0
fit,9.997892141342163,lgo,8,0
fit,16.406756162643433,lgo,8,0
fit,8.549737215042114,lgo,8,0
fit,3.385619640350342,pysr,8,0
fit,0.1548464298248291,operon,8,0
fit,7.498290538787842,lgo,13,0
fit,13.115426301956177,lgo,13,0
fit,8.816631317138672,lgo,13,0
fit,3.308131217956543,pysr,13,0
fit,0.1523275375366211,operon,13,0
fit,9.105845212936401,lgo,21,0
fit,18.7163348197937,lgo,21,0
fit,8.176046133041382,lgo,21,0
fit,3.593327760696411,pysr,21,0
fit,0.1584303379058838,operon,21,0
fit,7.094611644744873,lgo,34,0
fit,28.02120327949524,lgo,34,0
fit,8.663208723068237,lgo,34,0
fit,3.363515615463257,pysr,34,0
fit,0.1560354232788086,operon,34,0
fit,6.759038686752319,lgo,55,0
fit,15.74548625946045,lgo,55,0
fit,7.160357475280762,lgo,55,0
fit,3.4163241386413574,pysr,55,0
fit,0.15291953086853027,operon,55,0
fit,10.815544128417969,lgo,89,0
fit,18.32321524620056,lgo,89,0
fit,6.865869760513306,lgo,89,0
fit,3.3141376972198486,pysr,89,0
fit,0.16116094589233398,operon,89,0
fit,149.82236647605896,pstree,1,0
fit,149.6249520778656,pstree,2,0
fit,152.55328822135925,pstree,3,0
fit,149.53982949256897,pstree,5,0
fit,150.9773018360138,pstree,8,0
fit,151.67134618759155,pstree,13,0
fit,145.99556708335876,pstree,21,0
fit,132.66603565216064,pstree,34,0
fit,135.71672558784485,pstree,55,0
fit,133.18886423110962,pstree,89,0
fit,26.779362678527832,rils_rols,1,0
fit,30.60624122619629,rils_rols,2,0
fit,33.698500633239746,rils_rols,3,0
fit,35.93460273742676,rils_rols,5,0
fit,39.902395725250244,rils_rols,8,0
fit,37.65449786186218,rils_rols,13,0
fit,41.119272232055664,rils_rols,21,0
fit,44.242852449417114,rils_rols,34,0
fit,46.11073851585388,rils_rols,55,0
fit,46.634116649627686,rils_rols,89,0
