dataset,method,experiment,rank,expr,complexity,cv_metric,seed
UCI_Heart_Cleveland_numc,lgo,base,1,"sqrt(add(add(id(idF(idF(idF(idF(ca))))), add(sub(mul(add(sqrt(id(idF(thalach))), id(idF(idF(slope)))), add(sqrt(sqrt(id(ca))), zero)), id(idF(thalach))), add(add(id(thal), id(idF(idF(oldpeak)))), id(idF(idF(cp)))))), add(sqrt(sqrt(id(idF(idF(cp))))), add(div(mul(mul(one, id(sex)), add(sqrt(sqrt(id(thal))), zero)), sub(zero, id(thal))), id(idF(idF(idF(sex))))))))",28.5,0.5347005439677426,1
UCI_Heart_Cleveland_numc,lgo,base,2,"sqrt(add(add(id(idF(idF(idF(idF(idF(idF(ca))))))), add(sub(mul(add(sqrt(id(idF(thalach))), id(idF(idF(slope)))), add(sqrt(sqrt(id(ca))), zero)), id(idF(thalach))), add(add(id(thal), id(idF(idF(oldpeak)))), id(idF(idF(cp)))))), add(sqrt(sqrt(id(idF(idF(cp))))), add(div(mul(mul(one, id(sex)), add(sqrt(sqrt(id(thal))), zero)), sub(zero, id(thal))), id(idF(idF(idF(sex))))))))",28.5,0.5347005439677426,1
UCI_Heart_Cleveland_numc,lgo,base,3,"sqrt(add(add(id(idF(idF(idF(idF(idF(idF(ca))))))), add(sub(mul(add(sqrt(id(idF(thalach))), id(idF(idF(slope)))), add(sqrt(sqrt(id(thal))), zero)), id(idF(thalach))), add(add(id(thal), id(idF(idF(idF(oldpeak))))), id(idF(idF(cp)))))), add(sqrt(sqrt(id(idF(idF(cp))))), add(div(mul(mul(one, id(sex)), add(sqrt(sqrt(id(thal))), sqrt(id(sex)))), sub(zero, id(thal))), id(sex)))))",30.0,0.5441943703990911,1
UCI_Heart_Cleveland_numc,lgo,base,4,"sqrt(add(add(id(idF(idF(idF(idF(idF(idF(ca))))))), add(sub(mul(add(sqrt(id(idF(thalach))), id(idF(idF(slope)))), add(sqrt(sqrt(id(thal))), zero)), id(idF(thalach))), add(add(id(thal), id(idF(idF(idF(oldpeak))))), id(idF(idF(idF(cp))))))), add(sqrt(sqrt(id(idF(idF(cp))))), add(div(mul(mul(one, id(idF(sex))), add(sqrt(sqrt(id(thal))), sqrt(id(sex)))), sub(zero, id(thal))), id(sex)))))",30.0,0.5441943703990911,1
UCI_Heart_Cleveland_numc,lgo,base,5,"sqrt(add(add(id(idF(idF(idF(idF(idF(idF(ca))))))), add(sub(mul(add(sqrt(id(idF(thalach))), id(idF(idF(slope)))), add(sqrt(sqrt(id(thal))), zero)), id(idF(thalach))), add(add(id(thal), id(idF(idF(idF(oldpeak))))), id(idF(idF(idF(cp))))))), add(sqrt(sqrt(id(idF(idF(cp))))), add(div(mul(mul(one, id(sex)), add(sqrt(sqrt(id(thal))), sqrt(id(sex)))), sub(zero, id(thal))), id(sex)))))",30.0,0.5441943703990911,1
UCI_Heart_Cleveland_numc,lgo,base,6,"sqrt(add(add(id(idF(idF(idF(idF(idF(idF(ca))))))), add(sub(mul(add(sqrt(id(thalach)), id(idF(idF(slope)))), add(sqrt(sqrt(id(thal))), zero)), id(idF(thalach))), add(add(id(thal), id(idF(idF(idF(oldpeak))))), id(idF(idF(cp)))))), add(sqrt(sqrt(id(idF(idF(cp))))), add(div(mul(mul(one, id(sex)), add(sqrt(id(thal)), sqrt(id(sex)))), sub(zero, id(thal))), id(sex)))))",28.5,0.5447205776703509,1
UCI_Heart_Cleveland_numc,lgo,base,7,"sqrt(add(add(id(idF(idF(idF(idF(idF(idF(ca))))))), add(sub(mul(add(sqrt(id(idF(thalach))), id(idF(idF(slope)))), add(sqrt(sqrt(id(thal))), zero)), id(idF(thalach))), add(add(id(thal), id(idF(idF(idF(oldpeak))))), id(idF(idF(idF(cp))))))), add(sqrt(sqrt(id(cp))), add(div(mul(mul(one, id(sex)), add(sqrt(id(thal)), sqrt(id(sex)))), sub(zero, id(thal))), id(sex)))))",28.5,0.5447205776703509,1
UCI_Heart_Cleveland_numc,lgo,base,8,"sqrt(add(add(id(idF(idF(ca))), add(sub(mul(add(sqrt(id(idF(thalach))), id(idF(idF(slope)))), add(sqrt(sqrt(id(thal))), zero)), id(idF(thalach))), add(add(id(thal), id(idF(idF(idF(oldpeak))))), id(idF(idF(cp)))))), add(sqrt(sqrt(id(idF(idF(cp))))), add(div(mul(mul(one, id(sex)), add(sqrt(id(thal)), sqrt(id(sex)))), sub(zero, id(thal))), id(sex)))))",28.5,0.5447205776703509,1
UCI_Heart_Cleveland_numc,lgo,base,9,"sqrt(add(add(id(idF(idF(idF(idF(idF(idF(ca))))))), add(sub(mul(add(sqrt(id(idF(thalach))), id(idF(idF(slope)))), add(sqrt(sqrt(id(thal))), zero)), id(idF(thalach))), add(add(id(thal), id(idF(idF(idF(oldpeak))))), id(idF(idF(idF(cp))))))), add(sqrt(sqrt(id(idF(idF(cp))))), add(div(mul(mul(one, id(sex)), add(sqrt(id(thal)), sqrt(id(sex)))), sub(zero, id(thal))), id(sex)))))",28.5,0.5447205776703509,1
UCI_Heart_Cleveland_numc,lgo,base,10,"sqrt(add(add(id(idF(idF(idF(idF(idF(idF(ca))))))), add(sub(mul(add(sqrt(id(idF(thalach))), id(idF(idF(slope)))), add(sqrt(sqrt(id(thal))), zero)), id(idF(thalach))), add(add(id(thal), id(idF(idF(idF(oldpeak))))), id(idF(idF(cp)))))), add(sqrt(sqrt(id(idF(idF(cp))))), add(div(mul(mul(one, id(sex)), add(sqrt(id(thal)), sqrt(id(sex)))), sub(zero, id(thal))), id(sex)))))",28.5,0.5447205776703509,1
