dataset,method,experiment,seed,expr_id,expression,complexity,depth,expr_length,num_gates,num_AND,num_OR,num_soft,num_pair,num_gate_expr
UCI_HydraulicSys_fault_score,lgo,base,1,0,"add(div(-0.03255036821520683, log(sqrt(log(sqrt(sub(add(pow(one, id(PS1_mean)), id(EPS1_q75)), mul(id(PS3_std), sqrt(0.4204046438076743)))))))), add(mul(div(-0.03255036821520683, log(sqrt(sub(add(mul(0.4204046438076743, id(PS3_std)), id(PS1_mean)), sqrt(mul(id(PS3_std), log(-0.03255036821520683))))))), -1.8964040531542925), mul(0.4204046438076743, one)))",44,10,356,0,0,0,0,0,0
UCI_HydraulicSys_fault_score,lgo,base,1,1,"add(div(-0.03255036821520683, log(sqrt(log(sqrt(sub(add(pow(one, one), id(EPS1_q75)), mul(id(PS3_std), sqrt(0.4204046438076743)))))))), add(mul(div(-0.03255036821520683, log(sqrt(sub(add(mul(0.4204046438076743, id(PS3_std)), id(PS1_mean)), sqrt(mul(id(PS3_std), log(-0.03255036821520683))))))), -1.8964040531542925), mul(0.4204046438076743, one)))",43,10,347,0,0,0,0,0,0
UCI_HydraulicSys_fault_score,lgo,base,1,2,"add(div(-0.03255036821520683, log(sqrt(log(sqrt(sub(add(pow(one, id(EPS1_q75)), id(EPS1_q75)), mul(id(PS3_std), sqrt(0.4204046438076743)))))))), add(mul(div(-0.03255036821520683, log(sqrt(sub(add(mul(0.4204046438076743, id(PS3_std)), id(PS1_mean)), sqrt(mul(id(PS3_std), log(zero))))))), -1.8964040531542925), mul(0.4204046438076743, one)))",44,10,340,0,0,0,0,0,0
UCI_HydraulicSys_fault_score,lgo,base,1,3,"add(div(-0.03255036821520683, log(sqrt(log(sqrt(sub(add(pow(one, one), id(EPS1_q75)), mul(id(PS3_std), sqrt(mul(0.4204046438076743, one))))))))), add(mul(div(-0.03255036821520683, log(sqrt(sub(add(mul(0.4204046438076743, id(PS3_std)), id(PS1_mean)), sqrt(mul(id(PS3_std), log(zero))))))), -1.8964040531542925), mul(0.4204046438076743, one)))",45,10,341,0,0,0,0,0,0
UCI_HydraulicSys_fault_score,lgo,base,1,4,"add(div(-0.03255036821520683, log(sqrt(log(sqrt(sub(add(pow(one, mul(0.4204046438076743, one)), id(EPS1_q75)), mul(id(PS3_std), sqrt(0.4204046438076743)))))))), add(mul(div(-0.03255036821520683, log(sqrt(sub(add(mul(0.4204046438076743, id(PS3_std)), id(PS1_mean)), sqrt(mul(id(PS3_std), log(zero))))))), -1.8964040531542925), mul(0.4204046438076743, one)))",45,10,356,0,0,0,0,0,0
UCI_HydraulicSys_fault_score,lgo,base,1,5,"add(div(-0.03255036821520683, log(sqrt(log(sqrt(sub(add(pow(one, sqrt(0.6557207976785749)), id(EPS1_q75)), mul(id(PS3_std), sqrt(0.4204046438076743)))))))), add(mul(div(-0.03255036821520683, log(sqrt(sub(add(mul(0.4204046438076743, id(PS3_std)), id(PS1_mean)), sqrt(mul(id(PS3_std), log(zero))))))), -1.8964040531542925), mul(0.4204046438076743, one)))",44,10,352,0,0,0,0,0,0
UCI_HydraulicSys_fault_score,lgo,base,1,6,"add(div(-0.03255036821520683, log(sqrt(log(sqrt(sub(add(pow(one, sqrt(0.4204046438076743)), id(EPS1_q75)), mul(id(PS3_std), sqrt(0.4204046438076743)))))))), add(mul(div(-0.03255036821520683, log(sqrt(sub(add(mul(0.4204046438076743, id(PS3_std)), id(PS1_mean)), sqrt(mul(id(PS3_std), log(zero))))))), -1.8964040531542925), mul(0.4204046438076743, one)))",44,10,352,0,0,0,0,0,0
UCI_HydraulicSys_fault_score,lgo,base,1,7,"add(div(-0.03255036821520683, log(sqrt(log(sqrt(sub(add(pow(one, one), id(EPS1_q75)), mul(id(PS3_std), sqrt(0.4204046438076743)))))))), add(mul(div(-0.03255036821520683, log(sqrt(sub(add(mul(0.4204046438076743, id(PS3_std)), id(PS1_mean)), sqrt(mul(id(PS3_std), log(-0.03255036821520683))))))), -1.8964040531542925), mul(0.4204046438076743, pow(one, one))))",45,10,357,0,0,0,0,0,0
UCI_HydraulicSys_fault_score,lgo,base,1,8,"add(div(-0.03255036821520683, log(sqrt(log(sqrt(sub(add(pow(one, one), id(EPS1_q75)), mul(id(PS3_std), sqrt(0.4204046438076743)))))))), add(mul(div(-0.03255036821520683, log(sqrt(sub(add(mul(0.4204046438076743, id(PS3_std)), id(PS1_mean)), sqrt(mul(id(PS3_std), log(zero))))))), -1.8964040531542925), mul(0.4204046438076743, pow(one, id(idF(idF(idF(PS3_std))))))))",49,10,364,0,0,0,0,0,0
UCI_HydraulicSys_fault_score,lgo,base,1,9,"add(div(-0.03255036821520683, log(sqrt(log(sqrt(sub(add(pow(one, one), id(EPS1_q75)), mul(id(PS3_std), sqrt(0.4204046438076743)))))))), add(mul(div(-0.03255036821520683, log(sqrt(sub(add(mul(0.4204046438076743, id(PS3_std)), id(PS1_mean)), sqrt(mul(id(PS3_std), log(zero))))))), -1.8964040531542925), mul(0.4204046438076743, pow(one, id(idF(PS3_std))))))",47,10,354,0,0,0,0,0,0
