dataset,method,experiment,n_models,complexity_median,complexity_q1,complexity_q3,complexity_mean,complexity_std,gates_median,gates_q1,gates_q3,depth_median
UCI_HydraulicSys_fault_score,lgo,base,100,60.5,46.75,78.0,68.01,25.266057000720085,0.0,0.0,0.0,10.0
UCI_HydraulicSys_fault_score,lgo,lgo_hard,100,78.5,56.5,92.25,73.62,22.258254625866314,3.0,2.0,4.0,10.0
UCI_HydraulicSys_fault_score,lgo,lgo_soft,100,103.0,90.0,156.0,121.35,44.61923646395424,15.5,12.0,25.0,10.0
UCI_HydraulicSys_fault_score,lgo_base,base,100,60.5,46.75,78.0,68.01,25.266057000720085,0.0,0.0,0.0,10.0
UCI_HydraulicSys_fault_score,lgo_lgo_hard,lgo_hard,100,78.5,56.5,92.25,73.62,22.258254625866314,3.0,2.0,4.0,10.0
UCI_HydraulicSys_fault_score,lgo_lgo_soft,lgo_soft,100,103.0,90.0,156.0,121.35,44.61923646395424,15.5,12.0,25.0,10.0
UCI_HydraulicSys_fault_score,operon,base,10,29.0,26.0,30.0,28.1,2.601281735350223,0.0,0.0,0.0,10.0
UCI_HydraulicSys_fault_score,operon_base,base,10,29.0,26.0,30.0,28.1,2.601281735350223,0.0,0.0,0.0,10.0
UCI_HydraulicSys_fault_score,pstree,pstree,10,5.0,3.0,6.0,4.8,2.3475755815545343,0.0,0.0,0.0,2.0
UCI_HydraulicSys_fault_score,pstree_base,pstree,10,5.0,3.0,6.0,4.8,2.3475755815545343,0.0,0.0,0.0,2.0
UCI_HydraulicSys_fault_score,pysr,base,99,5.0,3.0,6.0,4.787878787878788,2.2779901957858546,0.0,0.0,0.0,1.0
UCI_HydraulicSys_fault_score,pysr_base,base,99,5.0,3.0,6.0,4.787878787878788,2.2779901957858546,0.0,0.0,0.0,1.0
UCI_HydraulicSys_fault_score,rils_rols,rils_rols,10,22.0,21.25,22.75,22.0,0.8164965809277255,0.0,0.0,0.0,1.0
UCI_HydraulicSys_fault_score,rils_rols_base,rils_rols,10,22.0,21.25,22.75,22.0,0.8164965809277255,0.0,0.0,0.0,1.0
