dataset,task,method,experiment,seed,split,metric,value
UCI_HydraulicSys_fault_score,regression,lgo,base,1,0,RMSE,0.11496166752484423
UCI_HydraulicSys_fault_score,regression,lgo,base,1,0,MAE,0.0899794509022506
UCI_HydraulicSys_fault_score,regression,lgo,base,1,0,R2,0.5438402157848794
UCI_HydraulicSys_fault_score,regression,lgo,lgo_soft,1,0,RMSE,0.2041690783745243
UCI_HydraulicSys_fault_score,regression,lgo,lgo_soft,1,0,MAE,0.15994866317902764
UCI_HydraulicSys_fault_score,regression,lgo,lgo_soft,1,0,R2,-0.43876817222241793
UCI_HydraulicSys_fault_score,regression,lgo,lgo_hard,1,0,RMSE,0.13176431566381866
UCI_HydraulicSys_fault_score,regression,lgo,lgo_hard,1,0,MAE,0.10158627328616347
UCI_HydraulicSys_fault_score,regression,lgo,lgo_hard,1,0,R2,0.4007521192040112
UCI_HydraulicSys_fault_score,regression,pysr,base,1,0,RMSE,0.10635023039814237
UCI_HydraulicSys_fault_score,regression,pysr,base,1,0,MAE,0.08706104160731594
UCI_HydraulicSys_fault_score,regression,pysr,base,1,0,R2,0.60961982407071
UCI_HydraulicSys_fault_score,regression,operon,base,1,0,RMSE,0.05888329760053781
UCI_HydraulicSys_fault_score,regression,operon,base,1,0,MAE,0.04594636070054399
UCI_HydraulicSys_fault_score,regression,operon,base,1,0,R2,0.880327288214632
UCI_HydraulicSys_fault_score,regression,lgo,base,2,0,RMSE,0.11321377280162853
UCI_HydraulicSys_fault_score,regression,lgo,base,2,0,MAE,0.09165914277858102
UCI_HydraulicSys_fault_score,regression,lgo,base,2,0,R2,0.5571218551901942
UCI_HydraulicSys_fault_score,regression,lgo,lgo_soft,2,0,RMSE,0.11148740541270305
UCI_HydraulicSys_fault_score,regression,lgo,lgo_soft,2,0,MAE,0.08239104122322193
UCI_HydraulicSys_fault_score,regression,lgo,lgo_soft,2,0,R2,0.5705255427480523
UCI_HydraulicSys_fault_score,regression,lgo,lgo_hard,2,0,RMSE,0.06520616360206506
UCI_HydraulicSys_fault_score,regression,lgo,lgo_hard,2,0,MAE,0.05077911223708289
UCI_HydraulicSys_fault_score,regression,lgo,lgo_hard,2,0,R2,0.8530860548702226
UCI_HydraulicSys_fault_score,regression,pysr,base,2,0,RMSE,0.09781322681787405
UCI_HydraulicSys_fault_score,regression,pysr,base,2,0,MAE,0.0789473531985945
UCI_HydraulicSys_fault_score,regression,pysr,base,2,0,R2,0.6694167117111052
UCI_HydraulicSys_fault_score,regression,operon,base,2,0,RMSE,0.061125290116610526
UCI_HydraulicSys_fault_score,regression,operon,base,2,0,MAE,0.04905322665762857
UCI_HydraulicSys_fault_score,regression,operon,base,2,0,R2,0.8708995995458452
UCI_HydraulicSys_fault_score,regression,lgo,base,3,0,RMSE,0.12344049981255703
UCI_HydraulicSys_fault_score,regression,lgo,base,3,0,MAE,0.09999638037232206
UCI_HydraulicSys_fault_score,regression,lgo,base,3,0,R2,0.4825254559158728
UCI_HydraulicSys_fault_score,regression,lgo,lgo_soft,3,0,RMSE,0.10157070036996216
UCI_HydraulicSys_fault_score,regression,lgo,lgo_soft,3,0,MAE,0.08179746135660634
UCI_HydraulicSys_fault_score,regression,lgo,lgo_soft,3,0,R2,0.6496432075175779
UCI_HydraulicSys_fault_score,regression,lgo,lgo_hard,3,0,RMSE,0.1443850460626916
UCI_HydraulicSys_fault_score,regression,lgo,lgo_hard,3,0,MAE,0.12024001880600897
UCI_HydraulicSys_fault_score,regression,lgo,lgo_hard,3,0,R2,0.2920247442744254
UCI_HydraulicSys_fault_score,regression,pysr,base,3,0,RMSE,0.10981909411906439
UCI_HydraulicSys_fault_score,regression,pysr,base,3,0,MAE,0.08539411771105797
UCI_HydraulicSys_fault_score,regression,pysr,base,3,0,R2,0.5904288463153109
UCI_HydraulicSys_fault_score,regression,operon,base,3,0,RMSE,0.4508439978242471
UCI_HydraulicSys_fault_score,regression,operon,base,3,0,MAE,0.4169104308390023
UCI_HydraulicSys_fault_score,regression,operon,base,3,0,R2,-5.902814964554909
UCI_HydraulicSys_fault_score,regression,lgo,base,5,0,RMSE,0.10740821692464046
UCI_HydraulicSys_fault_score,regression,lgo,base,5,0,MAE,0.08679521589550251
UCI_HydraulicSys_fault_score,regression,lgo,base,5,0,R2,0.6087981557862369
UCI_HydraulicSys_fault_score,regression,lgo,lgo_soft,5,0,RMSE,0.10997447191745638
UCI_HydraulicSys_fault_score,regression,lgo,lgo_soft,5,0,MAE,0.08147014012424983
UCI_HydraulicSys_fault_score,regression,lgo,lgo_soft,5,0,R2,0.5898812263776458
UCI_HydraulicSys_fault_score,regression,lgo,lgo_hard,5,0,RMSE,0.14105670747638147
UCI_HydraulicSys_fault_score,regression,lgo,lgo_hard,5,0,MAE,0.11856220201374794
UCI_HydraulicSys_fault_score,regression,lgo,lgo_hard,5,0,R2,0.32529587653898684
UCI_HydraulicSys_fault_score,regression,pysr,base,5,0,RMSE,0.07794804517888554
UCI_HydraulicSys_fault_score,regression,pysr,base,5,0,MAE,0.0576518562425925
UCI_HydraulicSys_fault_score,regression,pysr,base,5,0,R2,0.7939672136109561
UCI_HydraulicSys_fault_score,regression,operon,base,5,0,RMSE,0.08443220528637616
UCI_HydraulicSys_fault_score,regression,operon,base,5,0,MAE,0.06381618046266446
UCI_HydraulicSys_fault_score,regression,operon,base,5,0,R2,0.7582635471709224
UCI_HydraulicSys_fault_score,regression,lgo,base,8,0,RMSE,0.10966981261351254
UCI_HydraulicSys_fault_score,regression,lgo,base,8,0,MAE,0.09128249322384745
UCI_HydraulicSys_fault_score,regression,lgo,base,8,0,R2,0.5488759067645272
UCI_HydraulicSys_fault_score,regression,lgo,lgo_soft,8,0,RMSE,0.12269581610471574
UCI_HydraulicSys_fault_score,regression,lgo,lgo_soft,8,0,MAE,0.10060199492556919
UCI_HydraulicSys_fault_score,regression,lgo,lgo_soft,8,0,R2,0.43534740732429644
UCI_HydraulicSys_fault_score,regression,lgo,lgo_hard,8,0,RMSE,0.1495846809705885
UCI_HydraulicSys_fault_score,regression,lgo,lgo_hard,8,0,MAE,0.12542503602435376
UCI_HydraulicSys_fault_score,regression,lgo,lgo_hard,8,0,R2,0.16074090116562323
UCI_HydraulicSys_fault_score,regression,pysr,base,8,0,RMSE,0.09827175017045396
UCI_HydraulicSys_fault_score,regression,pysr,base,8,0,MAE,0.0749892496272729
UCI_HydraulicSys_fault_score,regression,pysr,base,8,0,R2,0.6377743497893904
UCI_HydraulicSys_fault_score,regression,operon,base,8,0,RMSE,0.07365077745433449
UCI_HydraulicSys_fault_score,regression,operon,base,8,0,MAE,0.05693428657143093
UCI_HydraulicSys_fault_score,regression,operon,base,8,0,R2,0.7965411944764854
UCI_HydraulicSys_fault_score,regression,lgo,base,13,0,RMSE,0.10275608238532216
UCI_HydraulicSys_fault_score,regression,lgo,base,13,0,MAE,0.08353242638860031
UCI_HydraulicSys_fault_score,regression,lgo,base,13,0,R2,0.6518873530307714
UCI_HydraulicSys_fault_score,regression,lgo,lgo_soft,13,0,RMSE,0.09060922201373008
UCI_HydraulicSys_fault_score,regression,lgo,lgo_soft,13,0,MAE,0.07487974855170092
UCI_HydraulicSys_fault_score,regression,lgo,lgo_soft,13,0,R2,0.7293241383294844
UCI_HydraulicSys_fault_score,regression,lgo,lgo_hard,13,0,RMSE,0.08444371387145652
UCI_HydraulicSys_fault_score,regression,lgo,lgo_hard,13,0,MAE,0.06621875384451571
UCI_HydraulicSys_fault_score,regression,lgo,lgo_hard,13,0,R2,0.7649071742893848
UCI_HydraulicSys_fault_score,regression,pysr,base,13,0,RMSE,0.07293175739264572
UCI_HydraulicSys_fault_score,regression,pysr,base,13,0,MAE,0.05781136792185811
UCI_HydraulicSys_fault_score,regression,pysr,base,13,0,R2,0.8246369532662694
UCI_HydraulicSys_fault_score,regression,operon,base,13,0,RMSE,0.06270071646321841
UCI_HydraulicSys_fault_score,regression,operon,base,13,0,MAE,0.049527081178049714
UCI_HydraulicSys_fault_score,regression,operon,base,13,0,R2,0.8703866511183178
UCI_HydraulicSys_fault_score,regression,lgo,base,21,0,RMSE,0.1106846913133259
UCI_HydraulicSys_fault_score,regression,lgo,base,21,0,MAE,0.0849633562287623
UCI_HydraulicSys_fault_score,regression,lgo,base,21,0,R2,0.59848461926944
UCI_HydraulicSys_fault_score,regression,lgo,lgo_soft,21,0,RMSE,0.2509177732025548
UCI_HydraulicSys_fault_score,regression,lgo,lgo_soft,21,0,MAE,0.1709871758962227
UCI_HydraulicSys_fault_score,regression,lgo,lgo_soft,21,0,R2,-1.0634308498652363
UCI_HydraulicSys_fault_score,regression,lgo,lgo_hard,21,0,RMSE,0.23900971732516746
UCI_HydraulicSys_fault_score,regression,lgo,lgo_hard,21,0,MAE,0.2074134943999415
UCI_HydraulicSys_fault_score,regression,lgo,lgo_hard,21,0,R2,-0.8722256306429972
UCI_HydraulicSys_fault_score,regression,pysr,base,21,0,RMSE,0.09845173703792541
UCI_HydraulicSys_fault_score,regression,pysr,base,21,0,MAE,0.07784844342699185
UCI_HydraulicSys_fault_score,regression,pysr,base,21,0,R2,0.6823317313945677
UCI_HydraulicSys_fault_score,regression,operon,base,21,0,RMSE,0.0857733900538946
UCI_HydraulicSys_fault_score,regression,operon,base,21,0,MAE,0.07004551478882602
UCI_HydraulicSys_fault_score,regression,operon,base,21,0,R2,0.7588805633364465
UCI_HydraulicSys_fault_score,regression,lgo,base,34,0,RMSE,0.1009991758364091
UCI_HydraulicSys_fault_score,regression,lgo,base,34,0,MAE,0.0803305344519697
UCI_HydraulicSys_fault_score,regression,lgo,base,34,0,R2,0.6622406896365819
UCI_HydraulicSys_fault_score,regression,lgo,lgo_soft,34,0,RMSE,0.10354057002859914
UCI_HydraulicSys_fault_score,regression,lgo,lgo_soft,34,0,MAE,0.07879067256944512
UCI_HydraulicSys_fault_score,regression,lgo,lgo_soft,34,0,R2,0.6450290828971288
UCI_HydraulicSys_fault_score,regression,lgo,lgo_hard,34,0,RMSE,0.11856738830932899
UCI_HydraulicSys_fault_score,regression,lgo,lgo_hard,34,0,MAE,0.08829409758526129
UCI_HydraulicSys_fault_score,regression,lgo,lgo_hard,34,0,R2,0.5345187660905724
UCI_HydraulicSys_fault_score,regression,pysr,base,34,0,RMSE,0.06512747172334205
UCI_HydraulicSys_fault_score,regression,pysr,base,34,0,MAE,0.04527237236761923
UCI_HydraulicSys_fault_score,regression,pysr,base,34,0,R2,0.8595569969090938
UCI_HydraulicSys_fault_score,regression,operon,base,34,0,RMSE,0.06649779007324749
UCI_HydraulicSys_fault_score,regression,operon,base,34,0,MAE,0.04876240348176674
UCI_HydraulicSys_fault_score,regression,operon,base,34,0,R2,0.853584823757216
UCI_HydraulicSys_fault_score,regression,lgo,base,55,0,RMSE,0.0880356284523758
UCI_HydraulicSys_fault_score,regression,lgo,base,55,0,MAE,0.06837338559460761
UCI_HydraulicSys_fault_score,regression,lgo,base,55,0,R2,0.7392484316191767
UCI_HydraulicSys_fault_score,regression,lgo,lgo_soft,55,0,RMSE,0.13925704169577133
UCI_HydraulicSys_fault_score,regression,lgo,lgo_soft,55,0,MAE,0.11424898623592544
UCI_HydraulicSys_fault_score,regression,lgo,lgo_soft,55,0,R2,0.34755437745419104
UCI_HydraulicSys_fault_score,regression,lgo,lgo_hard,55,0,RMSE,0.0591279935932447
UCI_HydraulicSys_fault_score,regression,lgo,lgo_hard,55,0,MAE,0.04485484054665525
UCI_HydraulicSys_fault_score,regression,lgo,lgo_hard,55,0,R2,0.8823759101244089
UCI_HydraulicSys_fault_score,regression,pysr,base,55,0,RMSE,0.07399666107495269
UCI_HydraulicSys_fault_score,regression,pysr,base,55,0,MAE,0.06065937134369933
UCI_HydraulicSys_fault_score,regression,pysr,base,55,0,R2,0.8157810770013139
UCI_HydraulicSys_fault_score,regression,operon,base,55,0,RMSE,0.45324195163660214
UCI_HydraulicSys_fault_score,regression,operon,base,55,0,MAE,0.41917233560090705
UCI_HydraulicSys_fault_score,regression,operon,base,55,0,R2,-5.911466279886257
UCI_HydraulicSys_fault_score,regression,lgo,base,89,0,RMSE,0.09441550072093077
UCI_HydraulicSys_fault_score,regression,lgo,base,89,0,MAE,0.07611180211710827
UCI_HydraulicSys_fault_score,regression,lgo,base,89,0,R2,0.6998486328116891
UCI_HydraulicSys_fault_score,regression,lgo,lgo_soft,89,0,RMSE,0.12501105021286127
UCI_HydraulicSys_fault_score,regression,lgo,lgo_soft,89,0,MAE,0.0985335888009514
UCI_HydraulicSys_fault_score,regression,lgo,lgo_soft,89,0,R2,0.47380037789235163
UCI_HydraulicSys_fault_score,regression,lgo,lgo_hard,89,0,RMSE,0.30463990855758605
UCI_HydraulicSys_fault_score,regression,lgo,lgo_hard,89,0,MAE,0.2865877872989296
UCI_HydraulicSys_fault_score,regression,lgo,lgo_hard,89,0,R2,-2.124836632273284
UCI_HydraulicSys_fault_score,regression,pysr,base,89,0,RMSE,0.10520342739497028
UCI_HydraulicSys_fault_score,regression,pysr,base,89,0,MAE,0.0843663092287687
UCI_HydraulicSys_fault_score,regression,pysr,base,89,0,R2,0.6273393800411091
UCI_HydraulicSys_fault_score,regression,operon,base,89,0,RMSE,0.07974988203026949
UCI_HydraulicSys_fault_score,regression,operon,base,89,0,MAE,0.05441219082458698
UCI_HydraulicSys_fault_score,regression,operon,base,89,0,R2,0.7858520984382253
UCI_HydraulicSys_fault_score,regression,pstree,base,1,0,RMSE,0.11555102660051593
UCI_HydraulicSys_fault_score,regression,pstree,base,1,0,MAE,0.08802312836298545
UCI_HydraulicSys_fault_score,regression,pstree,base,1,0,R2,0.5391511566738664
UCI_HydraulicSys_fault_score,regression,pstree,base,2,0,RMSE,0.11187030228818917
UCI_HydraulicSys_fault_score,regression,pstree,base,2,0,MAE,0.09071046159055242
UCI_HydraulicSys_fault_score,regression,pstree,base,2,0,R2,0.5675704678768485
UCI_HydraulicSys_fault_score,regression,pstree,base,3,0,RMSE,0.14357653527914208
UCI_HydraulicSys_fault_score,regression,pstree,base,3,0,MAE,0.11464603438003257
UCI_HydraulicSys_fault_score,regression,pstree,base,3,0,R2,0.29993142157495767
UCI_HydraulicSys_fault_score,regression,pstree,base,5,0,RMSE,0.12152587398761878
UCI_HydraulicSys_fault_score,regression,pstree,base,5,0,MAE,0.09822488760387137
UCI_HydraulicSys_fault_score,regression,pstree,base,5,0,R2,0.4992010775011555
UCI_HydraulicSys_fault_score,regression,pstree,base,8,0,RMSE,0.10931689298020138
UCI_HydraulicSys_fault_score,regression,pstree,base,8,0,MAE,0.07689184531488387
UCI_HydraulicSys_fault_score,regression,pstree,base,8,0,R2,0.551774687649085
UCI_HydraulicSys_fault_score,regression,pstree,base,13,0,RMSE,0.09264871284828306
UCI_HydraulicSys_fault_score,regression,pstree,base,13,0,MAE,0.07215505697746602
UCI_HydraulicSys_fault_score,regression,pstree,base,13,0,R2,0.7170019094562115
UCI_HydraulicSys_fault_score,regression,pstree,base,21,0,RMSE,0.16740562910953502
UCI_HydraulicSys_fault_score,regression,pstree,base,21,0,MAE,0.1342424707138492
UCI_HydraulicSys_fault_score,regression,pstree,base,21,0,R2,0.0815253282528382
UCI_HydraulicSys_fault_score,regression,pstree,base,34,0,RMSE,0.09995876603305322
UCI_HydraulicSys_fault_score,regression,pstree,base,34,0,MAE,0.07268335518080438
UCI_HydraulicSys_fault_score,regression,pstree,base,34,0,R2,0.6691634815760323
UCI_HydraulicSys_fault_score,regression,pstree,base,55,0,RMSE,0.12480003577481208
UCI_HydraulicSys_fault_score,regression,pstree,base,55,0,MAE,0.09557630189229385
UCI_HydraulicSys_fault_score,regression,pstree,base,55,0,R2,0.47599019745392723
UCI_HydraulicSys_fault_score,regression,pstree,base,89,0,RMSE,0.12603401494084687
UCI_HydraulicSys_fault_score,regression,pstree,base,89,0,MAE,0.0981985730686643
UCI_HydraulicSys_fault_score,regression,pstree,base,89,0,R2,0.4651533656731217
UCI_HydraulicSys_fault_score,regression,rils_rols,base,1,0,RMSE,0.03698749025454598
UCI_HydraulicSys_fault_score,regression,rils_rols,base,1,0,MAE,0.02833738372260455
UCI_HydraulicSys_fault_score,regression,rils_rols,base,1,0,R2,0.9527805838669757
UCI_HydraulicSys_fault_score,regression,rils_rols,base,2,0,RMSE,0.03878490712194306
UCI_HydraulicSys_fault_score,regression,rils_rols,base,2,0,MAE,0.029286298653180144
UCI_HydraulicSys_fault_score,regression,rils_rols,base,2,0,R2,0.9480229970341477
UCI_HydraulicSys_fault_score,regression,rils_rols,base,3,0,RMSE,0.041976234784900764
UCI_HydraulicSys_fault_score,regression,rils_rols,base,3,0,MAE,0.026463338435190505
UCI_HydraulicSys_fault_score,regression,rils_rols,base,3,0,R2,0.9401615124193591
UCI_HydraulicSys_fault_score,regression,rils_rols,base,5,0,RMSE,0.04025263315052699
UCI_HydraulicSys_fault_score,regression,rils_rols,base,5,0,MAE,0.029450851810360425
UCI_HydraulicSys_fault_score,regression,rils_rols,base,5,0,R2,0.9450567341976559
UCI_HydraulicSys_fault_score,regression,rils_rols,base,8,0,RMSE,0.03669223554837748
UCI_HydraulicSys_fault_score,regression,rils_rols,base,8,0,MAE,0.028611445765080377
UCI_HydraulicSys_fault_score,regression,rils_rols,base,8,0,R2,0.94950246661801
UCI_HydraulicSys_fault_score,regression,rils_rols,base,13,0,RMSE,0.046161804308008994
UCI_HydraulicSys_fault_score,regression,rils_rols,base,13,0,MAE,0.02933580141259848
UCI_HydraulicSys_fault_score,regression,rils_rols,base,13,0,R2,0.9297461262154146
UCI_HydraulicSys_fault_score,regression,rils_rols,base,21,0,RMSE,0.03884484997091249
UCI_HydraulicSys_fault_score,regression,rils_rols,base,21,0,MAE,0.026041821743990747
UCI_HydraulicSys_fault_score,regression,rils_rols,base,21,0,R2,0.9505468492202029
UCI_HydraulicSys_fault_score,regression,rils_rols,base,34,0,RMSE,0.03247595965121793
UCI_HydraulicSys_fault_score,regression,rils_rols,base,34,0,MAE,0.023750146177084035
